pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC
7.7,9.1,8.3,342,4,6.9,18,4.143,0.089,3.9,5450,0.972,0.01,78.9,524
7.6,14.3,6.6,439,4.9,8.1,18.2,6.652,0.102,4.7,198,1.972,0.015,63.6,39
7.9,13.4,6.6,374,5.9,11.1,20.9,6.452,0.141,6.1,1400,1.705,0.005,157.7,108
7.9,14,11,339,6.1,9.5,34.7,6.849,0.135,5.6,1225,2.693,0.014,93.2,236
8,12.2,15.7,345,4.9,9.7,9.8,5.548,0.117,5.3,378,1.977,0.021,36.9,57
8.2,10.3,21.4,316,5.8,10.6,11.1,4.361,0.142,5.6,272,1.961,0.057,24.3,290
8.6,12.1,25.5,233,5.2,13.2,15,3.695,0.122,6.7,197,1.014,0.029,40.7,32
7.7,9.2,25.7,190,4.7,11.5,21,3.051,0.226,7.1,5566,0.541,0.091,27.4,2098
8.1,9.7,29.3,198,4.6,9.7,19.3,3.027,0.15,6.4,344,0.53,0.075,27.9,133
7.7,10.6,24.4,188,3.2,8.1,13.6,2.776,0.152,4,1469,0.363,0.076,49.2,797
7.9,13.1,19.2,228,1.7,6.3,9.2,3.313,0.063,3.3,1688,0.39,0.027,24.4,870
8,12.9,14.9,365,3.5,8.5,11.5,5.21,0.068,4.1,788,1.118,0.011,36.9,445
7.5,13.5,7.8,433,2.8,7.1,7.3,6.414,0.102,4.1,3990,2.181,0.051,21.3,1870
