BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
1.8 ,4.5 ,2.354 ,2.209 ,1.925 ,0.074 ,0.085 ,0.061 ,0.055 ,19.1 
2.2 ,5.1 ,2.341 ,2.012 ,1.611 ,0.033 ,0.138 ,0.095 ,0.078 ,41.8 
1.5 ,4.6 ,2.154 ,2.054 ,1.798 ,0.036 ,0.119 ,0.100 ,0.081 ,23.2 
1.5 ,4.6 ,3.127 ,3.048 ,2.279 ,0.047 ,0.164 ,0.142 ,0.122 ,15.1 
1.7 ,4.3 ,3.533 ,3.403 ,2.900 ,0.116 ,0.135 ,0.104 ,0.086 ,21.0 
2.3 ,4.9 ,4.671 ,4.364 ,3.558 ,0.306 ,0.177 ,0.130 ,0.098 ,16.3 
3.0 ,6.1 ,4.229 ,3.965 ,3.277 ,0.432 ,0.149 ,0.102 ,0.077 ,24.3 
1.3 ,4.3 ,3.575 ,3.548 ,3.027 ,0.156 ,0.099 ,0.075 ,0.060 ,6.2 
1.3 ,4.5 ,2.947 ,2.745 ,2.327 ,0.071 ,0.095 ,0.068 ,0.055 ,9.5 
1.7 ,5.2 ,2.336 ,2.150 ,1.621 ,0.083 ,0.098 ,0.068 ,0.059 ,13.3 
2.1 ,5.6 ,2.079 ,1.870 ,1.482 ,0.051 ,0.116 ,0.081 ,0.070 ,28.4 
1.7 ,5.7 ,2.669 ,2.560 ,1.949 ,0.046 ,0.124 ,0.093 ,0.078 ,20.5 
1.6 ,5.7 ,1.980 ,1.869 ,1.514 ,0.070 ,0.108 ,0.071 ,0.061 ,15.1 
1.0 ,5.5 ,2.329 ,2.224 ,1.941 ,0.047 ,0.100 ,0.083 ,0.071 ,13.9 
1.1 ,3.9 ,2.656 ,2.603 ,2.379 ,0.038 ,0.098 ,0.085 ,0.078 ,8.4 
1.1 ,3.7 ,3.184 ,3.061 ,2.814 ,0.068 ,0.102 ,0.090 ,0.081 ,4.5 
1.2 ,4.3 ,3.577 ,3.481 ,3.042 ,0.141 ,0.113 ,0.087 ,0.074 ,5.8 
1.5 ,4.2 ,3.972 ,3.722 ,3.036 ,0.381 ,0.129 ,0.102 ,0.088 ,5.5 
2.3 ,5.4 ,3.513 ,3.345 ,2.594 ,0.547 ,0.103 ,0.066 ,0.051 ,22.9 
2.3 ,5.6 ,4.090 ,3.821 ,3.190 ,0.331 ,0.111 ,0.076 ,0.061 ,17.3 
2.1 ,5.5 ,2.720 ,2.548 ,2.234 ,0.104 ,0.099 ,0.068 ,0.053 ,18.6 
1.8 ,5.0 ,2.706 ,2.617 ,2.329 ,0.069 ,0.075 ,0.049 ,0.041 ,17.1 
2.2 ,6.0 ,2.497 ,2.413 ,1.909 ,0.101 ,0.091 ,0.061 ,0.052 ,20.5 
1.7 ,5.3 ,2.773 ,2.566 ,2.246 ,0.050 ,0.110 ,0.071 ,0.058 ,19.9 
1.2 ,5.0 ,2.374 ,2.181 ,1.808 ,0.077 ,0.091 ,0.068 ,0.057 ,10.0 
1.6 ,4.5 ,2.436 ,2.251 ,1.875 ,0.044 ,0.092 ,0.061 ,0.049 ,24.7 
1.5 ,4.7 ,2.778 ,2.582 ,2.215 ,0.042 ,0.108 ,0.079 ,0.070 ,19.5 
1.0 ,3.9 ,2.881 ,2.746 ,2.420 ,0.037 ,0.081 ,0.068 ,0.063 ,6.6 
1.0 ,3.2 ,3.748 ,3.492 ,3.100 ,0.095 ,0.099 ,0.077 ,0.070 ,3.0 
1.4 ,3.9 ,4.330 ,4.200 ,3.472 ,0.285 ,0.116 ,0.099 ,0.089 ,5.3 
1.9 ,4.6 ,4.330 ,4.125 ,3.220 ,0.383 ,0.110 ,0.077 ,0.066 ,15.7 
2.2 ,5.0 ,3.567 ,3.316 ,2.677 ,0.200 ,0.084 ,0.056 ,0.042 ,15.3 
1.7 ,4.4 ,2.933 ,2.725 ,2.360 ,0.110 ,0.084 ,0.049 ,0.039 ,9.1 
1.8 ,4.6 ,2.734 ,2.528 ,2.271 ,0.074 ,0.075 ,0.039 ,0.029 ,20.5 
2.1 ,5.7 ,2.291 ,2.062 ,1.638 ,0.094 ,0.075 ,0.034 ,0.022 ,35.6 
1.9 ,5.4 ,2.371 ,2.207 ,1.791 ,0.087 ,0.079 ,0.040 ,0.029 ,26.9 
1.7 ,5.0 ,2.127 ,1.976 ,1.646 ,0.079 ,0.087 ,0.050 ,0.035 ,17.1 
0.9 ,4.2 ,2.557 ,2.470 ,2.142 ,0.067 ,0.072 ,0.333 ,0.027 ,3.6 
1.6 ,3.7 ,3.024 ,2.808 ,2.715 ,0.033 ,0.038 ,0.026 ,0.013 ,13.9 
1.2 ,3.5 ,3.345 ,3.145 ,2.830 ,0.106 ,0.029 ,0.211 ,0.011 ,5.5 
1.1 ,3.2 ,3.520 ,3.372 ,3.046 ,0.213 ,0.027 ,0.222 ,0.011 ,1.8 
1.0 ,3.5 ,4.039 ,3.853 ,3.317 ,0.362 ,0.037 ,0.125 ,0.014 ,2.6 
1.2 ,3.7 ,3.569 ,3.385 ,2.919 ,0.280 ,0.067 ,0.039 ,0.018 ,4.9 
1.7 ,4.2 ,3.573 ,3.340 ,2.757 ,0.284 ,0.044 ,0.022 ,0.012 ,12.1 
2.0 ,4.1 ,3.161 ,2.979 ,2.506 ,0.157 ,0.042 ,0.019 ,0.009 ,11.5 
2.5 ,4.9 ,2.612 ,2.461 ,1.971 ,0.142 ,0.044 ,0.023 ,0.008 ,17.2 
2.2 ,5.1 ,2.356 ,2.152 ,1.655 ,0.095 ,0.363 ,0.025 ,0.015 ,27.1 
2.0 ,4.7 ,2.576 ,2.377 ,1.826 ,0.063 ,0.067 ,0.043 ,0.034 ,16.2 
1.8 ,5.0 ,2.062 ,1.916 ,1.556 ,0.071 ,0.068 ,0.047 ,0.033 ,18.0 
1.6 ,4.2 ,2.218 ,2.052 ,1.523 ,0.117 ,0.055 ,0.036 ,0.019 ,16.1 
1.4 ,4.8 ,2.873 ,2.740 ,2.320 ,0.043 ,0.064 ,0.048 ,0.031 ,7.9 
1.7 ,4.0 ,2.931 ,2.749 ,2.030 ,0.053 ,0.040 ,0.023 ,0.011 ,12.0 
1.5 ,3.7 ,3.773 ,3.570 ,2.738 ,0.094 ,0.038 ,0.022 ,0.013 ,7.9 
1.5 ,3.6 ,3.697 ,3.517 ,3.282 ,0.176 ,0.032 ,0.019 ,0.010 ,7.0 
2.0 ,3.8 ,3.917 ,3.693 ,3.051 ,0.265 ,0.055 ,0.030 ,0.011 ,11.5 
2.1 ,4.8 ,3.368 ,3.189 ,2.660 ,0.196 ,0.038 ,0.020 ,0.006 ,12.9 
2.1 ,4.7 ,3.080 ,2.944 ,2.360 ,0.096 ,0.041 ,0.025 ,0.013 ,13.8 
2.2 ,5.2 ,2.730 ,2.429 ,1.920 ,0.080 ,0.044 ,0.021 ,0.009 ,16.0 
2.8 ,6.2 ,2.206 ,1.989 ,1.811 ,0.139 ,0.048 ,0.027 ,0.021 ,28.4 
2.2 ,5.5 ,2.154 ,1.850 ,1.552 ,0.087 ,0.053 ,0.032 ,0.019 ,31.1 
1.8 ,5.5 ,2.378 ,2.060 ,1.733 ,0.104 ,0.099 ,0.061 ,0.029 ,9.3 
1.8 ,4.9 ,2.803 ,2.666 ,2.284 ,0.032 ,0.046 ,0.025 ,0.007 ,20.0 
1.4 ,4.2 ,3.037 ,2.854 ,2.114 ,0.101 ,0.050 ,0.029 ,0.017 ,11.0 
1.4 ,4.0 ,2.915 ,2.828 ,1.968 ,0.145 ,0.042 ,0.032 ,0.011 ,6.2 
1.1 ,3.6 ,3.085 ,2.890 ,3.002 ,0.095 ,0.033 ,0.025 ,0.016 ,3.7 
1.6 ,3.9 ,3.867 ,3.686 ,2.918 ,0.282 ,0.036 ,0.024 ,0.017 ,5.4 
1.5 ,4.1 ,3.554 ,3.362 ,2.631 ,0.236 ,0.033 ,0.019 ,0.011 ,6.9 
1.8 ,4.5 ,3.162 ,2.922 ,2.443 ,0.130 ,0.040 ,0.023 ,0.011 ,10.0 
1.8 ,4.5 ,2.566 ,2.450 ,1.959 ,0.112 ,0.042 ,0.024 ,0.012 ,10.0 
1.8 ,4.7 ,2.133 ,1.957 ,1.636 ,0.064 ,0.047 ,0.027 ,0.009 ,16.8 
2.8 ,6.8 ,2.417 ,2.116 ,1.148 ,0.121 ,0.079 ,0.043 ,0.011 ,41.8 
2.6 ,7.3 ,2.424 ,2.242 ,1.664 ,0.074 ,0.081 ,0.057 ,0.031 ,42.5 
2.5 ,5.7 ,1.709 ,1.520 ,1.092 ,0.094 ,0.055 ,0.035 ,0.019 ,31.3 
1.8 ,5.4 ,1.932 ,1.795 ,1.489 ,0.061 ,0.051 ,0.030 ,0.019 ,13.3 
1.8 ,4.6 ,1.980 ,1.848 ,1.496 ,0.034 ,0.033 ,0.019 ,0.010 ,18.4 
1.5 ,4.3 ,2.621 ,2.504 ,2.067 ,0.104 ,0.033 ,0.026 ,0.015 ,10.6 
0.8 ,3.6 ,3.278 ,3.176 ,2.804 ,0.082 ,0.028 ,0.015 ,0.007 ,4.1 
1.3 ,3.7 ,3.828 ,3.744 ,3.173 ,0.316 ,0.025 ,0.016 ,0.003 ,5.0 
1.4 ,4.2 ,3.850 ,3.650 ,3.045 ,0.376 ,0.030 ,0.016 ,0.008 ,6.3 
2.1 ,5.1 ,3.522 ,3.407 ,2.990 ,0.132 ,0.042 ,0.030 ,0.015 ,9.9 
2.0 ,5.1 ,2.666 ,2.591 ,2.352 ,0.101 ,0.038 ,0.028 ,0.014 ,10.2 
2.6 ,5.7 ,2.207 ,2.110 ,1.794 ,0.102 ,0.043 ,0.030 ,0.012 ,18.2 
2.7 ,6.6 ,1.981 ,1.785 ,1.361 ,0.079 ,0.044 ,0.024 ,0.009 ,36.9 
2.4 ,8.0 ,2.437 ,2.299 ,1.979 ,0.090 ,0.121 ,0.074 ,0.054 ,13.6 
2.4 ,6.4 ,2.247 ,1.982 ,1.629 ,0.087 ,0.070 ,0.036 ,0.019 ,26.1 
0.8 ,4.7 ,2.726 ,2.600 ,2.363 ,0.069 ,0.054 ,0.039 ,0.035 ,5.4 
1.2 ,4.6 ,2.673 ,2.531 ,2.348 ,0.064 ,0.047 ,0.038 ,0.033 ,6.5 
1.1 ,3.9 ,2.992 ,2.903 ,2.690 ,0.048 ,0.017 ,0.010 ,0.007 ,12.0 
1.3 ,3.7 ,3.485 ,3.378 ,3.008 ,0.081 ,0.017 ,0.012 ,0.006 ,9.3 
0.9 ,3.8 ,3.540 ,3.465 ,3.044 ,0.221 ,0.024 ,0.018 ,0.012 ,4.4 
1.4 ,4.2 ,3.816 ,3.699 ,3.053 ,0.391 ,0.023 ,0.013 ,0.007 ,7.8 
2.2 ,5.2 ,3.436 ,3.242 ,2.737 ,0.277 ,0.031 ,0.016 ,0.005 ,18.4 
1.8 ,4.6 ,2.544 ,2.426 ,2.108 ,0.057 ,0.030 ,0.018 ,0.008 ,13.6 
2.7 ,5.6 ,2.064 ,1.869 ,1.364 ,0.130 ,0.032 ,0.016 ,0.011 ,21.8 
3.3 ,6.1 ,1.756 ,1.514 ,0.943 ,0.135 ,0.043 ,0.018 ,0.005 ,32.3 
3.1 ,6.7 ,1.864 ,1.674 ,1.086 ,0.064 ,0.052 ,0.026 ,0.013 ,48.2 
2.7 ,6.5 ,2.036 ,1.727 ,1.293 ,0.090 ,0.042 ,0.022 ,0.012 ,28.0 
2.2 ,5.5 ,2.114 ,1.934 ,1.432 ,0.050 ,0.044 ,0.026 ,0.009 ,21.3 
1.3 ,4.6 ,2.308 ,2.216 ,1.610 ,0.037 ,0.030 ,0.021 ,0.010 ,14.9 
1.9 ,4.5 ,2.974 ,2.803 ,2.108 ,0.032 ,0.024 ,0.012 ,0.003 ,12.4 
2.5 ,4.5 ,3.913 ,3.739 ,2.843 ,0.186 ,0.027 ,0.015 ,0.003 ,8.6 
1.9 ,4.5 ,4.572 ,4.306 ,2.997 ,0.369 ,0.025 ,0.016 ,0.002 ,9.5 
2.2 ,4.6 ,4.055 ,3.882 ,2.428 ,0.397 ,0.029 ,0.021 ,0.011 ,10.0 
1.6 ,5.1 ,4.032 ,3.896 ,3.450 ,0.174 ,0.029 ,0.016 ,0.009 ,11.8 
1.9 ,4.5 ,2.994 ,2.920 ,2.405 ,0.098 ,0.041 ,0.027 ,0.016 ,11.5 
2.0 ,5.0 ,2.728 ,2.560 ,2.184 ,0.095 ,0.028 ,0.017 ,0.008 ,11.3 
2.0 ,6.9 ,2.120 ,1.907 ,1.346 ,0.087 ,0.053 ,0.030 ,0.019 ,28.6 
2.0 ,7.3 ,2.503 ,2.302 ,1.858 ,0.067 ,0.085 ,0.050 ,0.042 ,14.7 
2.5 ,7.7 ,1.652 ,1.557 ,1.095 ,0.067 ,0.045 ,0.028 ,0.013 ,29.2 
1.2 ,5.7 ,2.680 ,2.530 ,1.973 ,0.071 ,0.061 ,0.045 ,0.035 ,5.8 
1.3 ,4.4 ,2.852 ,2.639 ,1.793 ,0.030 ,0.024 ,0.015 ,0.010 ,6.8 
1.1 ,4.0 ,2.987 ,2.843 ,2.502 ,0.038 ,0.020 ,0.012 ,0.003 ,9.9 
1.4 ,3.9 ,3.759 ,3.580 ,3.134 ,0.084 ,0.020 ,0.010 ,0.006 ,6.9 
1.7 ,3.9 ,4.225 ,4.013 ,3.318 ,0.184 ,0.024 ,0.015 ,0.008 ,7.5 
1.9 ,4.8 ,3.685 ,3.449 ,2.945 ,0.253 ,0.040 ,0.017 ,0.008 ,14.0 
2.6 ,5.5 ,3.027 ,2.823 ,2.344 ,0.152 ,0.024 ,0.013 ,0.005 ,19.8 
2.5 ,5.1 ,2.350 ,2.156 ,1.697 ,0.026 ,0.031 ,0.019 ,0.004 ,22.1 
1.7 ,4.7 ,2.015 ,1.829 ,1.404 ,0.033 ,0.027 ,0.018 ,0.004 ,16.5 
2.3 ,6.5 ,1.478 ,1.281 ,0.825 ,0.037 ,0.031 ,0.017 ,0.002 ,29.4 
1.6 ,5.6 ,1.938 ,1.779 ,1.267 ,0.032 ,0.102 ,0.080 ,0.016 ,21.3 
1.9 ,5.4 ,1.642 ,1.528 ,1.121 ,0.040 ,0.054 ,0.040 ,0.027 ,19.6 
1.4 ,5.3 ,2.257 ,2.176 ,1.769 ,0.033 ,0.063 ,0.043 ,0.033 ,8.5 
1.0 ,4.0 ,3.091 ,2.920 ,2.612 ,0.043 ,0.033 ,0.027 ,0.016 ,7.7 
1.3 ,3.9 ,3.220 ,3.090 ,2.766 ,0.123 ,0.026 ,0.018 ,0.011 ,5.6 
1.2 ,4.0 ,3.531 ,3.377 ,3.081 ,0.047 ,0.023 ,0.016 ,0.008 ,5.7 
