date,pH,DO,BOD,COD,SS,T_N, T_P,TOC,WT,EC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
2010-04-19,7.8,10,4.3,7.9,10,1.891,0.06,5.8,13,287,8000,0.078,0.005,36.6,60,2.542,1.5
2010-04-26,7.5,9.1,2.9,6.4,13.1,1.579,0.057,4.5,16,245,7800,0.021,0.01,26.1,115,4.563,53
2010-05-04,7.2,8.3,2.6,4.6,8.1,1.775,0.06,2.9,19,191,3900,0.107,0.018,13,10,4.302,50.5
2010-05-11,7.6,7.6,3.9,7,13.9,1.425,0.058,4.9,19,228,13800,0.124,0.009,38.6,60,2.253,6
2010-05-27,7.2,8.4,2.3,5.8,12,2.734,0.141,4.8,19,201,57000,0.319,0.064,4.9,400,46.561,92
2010-06-04,7,9.2,4.6,7.4,10.6,2.549,0.118,6.2,22,210,28000,0.178,0.047,10.6,85,9.025,1
2010-06-10,7.2,6.3,4.2,9.4,5.9,2.789,0.147,7.1,23,240,77000,0.296,0.075,11.7,125,7.313,39.6
2010-06-17,7.3,6.2,3.1,9,9,2.266,0.133,6.2,25,210,76000,0.189,0.072,10.6,115,7.448,6.5
2010-06-24,7.5,7,3.5,8.6,10.2,1.881,0.103,6.7,25,234,600,0.137,0.031,25.5,290,6.107,8.1
2010-06-30,7,5.2,2.6,5,6.2,2.101,0.123,8,25,255,1000,0.153,0.062,6.7,220,5.762,8.4
2010-07-06,7.1,6.8,1.8,7.6,5.1,2.645,0.121,5.3,25,191,3400,0.264,0.073,4.7,680,2.9,90.2
2010-07-14,7.3,7.4,3,6.1,22.3,3.731,0.115,3.8,25,168,7000,0.095,0.037,5.2,500,7.089,199
2010-07-19,7.1,7.7,2.5,5.9,17.9,2.01,0.059,3.5,25,168,13000,0.121,0.049,8.1,620,109.535,99
2010-07-27,7.3,6.5,5,9,22.2,2.246,0.114,6.9,26,180,31000,0.086,0.015,7.2,2000,34.55,54.3
2010-08-02,7.4,6.4,3.4,5.2,9.5,2.029,0.076,3.1,28,128,18000,0.122,0.042,14.6,600,16.47,18.5
2010-08-10,7.3,7.2,3.4,5.7,8,1.589,0.057,3.1,26,285,6000,0.119,0.039,10.4,967,13.642,26.5
2010-08-27,7.3,7.1,4,6.8,24.8,2.11,0.172,4.1,26,135,12000,0.235,0.079,10.6,2000,12.857,197.6
2010-09-02,7.2,7.8,4.1,7.3,41.3,1.666,0.25,4.2,24,426,7800,0.146,0.091,1.6,3900,31.574,70.5
2010-09-09,7.5,8.1,3.9,8.1,17.7,2.018,0.082,4.6,23,477,44000,0.056,0.024,5.5,2,103.775,8
2010-09-16,7.4,8.8,2.8,4.5,23.4,2.022,0.059,3.3,24,141,4200,0.156,0.044,5.9,2700,14.008,94.8
2010-09-20,6.9,6.5,2.9,5.3,15.9,3.422,0.056,3.2,26,158,10000,0.119,0.031,15.3,2400,21.127,0.5
2010-09-29,7.8,8.5,2.8,5.3,16.9,1.978,0.074,4.1,19,245,5000,0.102,0.035,8.6,3567,11.156,22.9
2010-10-04,7.1,8.4,3,5.5,11,2.442,0.112,4.4,19,211,3000,0.201,0.042,6.2,1600,7.659,22.5
2010-10-11,7.1,7.6,3.4,7,11.2,2.348,0.076,5.2,20,286,2600,0.086,0.037,6.5,300,7.377,7
2010-10-19,7.3,9.1,3.2,6,10.8,2.216,0.057,4.5,18,315,3600,0.08,0.033,5.8,900,5.281,1.5
2010-10-26,7.5,10.8,2,5.6,11.1,2.279,0.091,3.9,13,262,4000,0.08,0.035,5.5,700,3.84,11
2010-11-02,7.5,6.8,1.8,5.4,7.8,2.13,0.061,3.7,13,278,800,0.087,0.028,5.1,200,2.917,0
2010-11-09,7.6,10.2,1.8,5.3,4.5,2.417,0.06,4,11,319,1400,0.074,0.027,6.4,110,1.941,1
2010-11-19,7.4,10.5,4.8,8,8.2,2.227,0.082,5.4,9,347,27600,0.06,0.019,7.6,1867,3.407,0
2010-11-25,7.9,11.7,7.5,13.4,7,2.503,0.075,10.2,10,391,3233,0.053,0.033,17.8,667,3.393,4.5
2010-12-03,7.8,11.1,6,11.1,11.2,3.118,0.118,6.3,9,369,24200,0.048,0.035,15.8,8133,2.75,3.9
2010-12-09,7.8,13.1,5.1,8.8,6.5,2.834,0.064,5.7,5,392,2800,0.107,0.023,23.7,933,1.689,4.4
2010-12-15,7.7,12,3.2,7.1,6,3.39,0.111,4.7,4,384,1200,0.072,0.068,19.8,133,1.68,11.1
2010-12-21,7.4,13.9,2.8,6.5,7.7,3.007,0.085,4.1,5,347,1200,0.059,0.047,18.7,100,3.36,0
2010-12-29,7,13.2,2.5,5.6,18.3,3.609,0.137,4.6,3,340,433,0.102,0.076,18.5,60,3.548,6.2
2011-01-05,6.6,13.1,3.7,6.5,10.7,2.927,0.099,4.8,3,336,542,0.22,0.059,7.2,40,1.89,19.4
2011-01-11,7.8,13.2,2,5.1,8.8,2.976,0.124,3.6,2,355,327,0.166,0.089,6,31,2.365,1
2011-01-19,7.4,12.4,2.1,4,5,3.46,0.114,3.7,2,396,469,0.187,0.09,4.8,87,2.115,2.7
2011-01-24,7.3,13.8,2.9,4.7,8.4,3.415,0.136,3.8,2,338,856,0.328,0.089,7.6,171,2.221,0.6
2011-01-31,7.3,13.8,2.4,4.1,4.2,3.256,0.095,3.1,1,387,305,0.197,0.09,4,9,1.975,3.1
2011-02-08,7.6,12.8,2.5,3.4,9.5,3.496,0.116,4,5,322,432,0.282,0.078,14.2,86,2.335,0
2011-02-15,7.8,13.6,3.1,4.8,15.3,2.821,0.11,3.5,3,322,400,0.153,0.066,17.2,29,2.022,1.8
2011-02-22,7.9,12.5,3.5,6.7,13.3,2.711,0.089,5.7,7,364,143,0.16,0.063,17.3,61,1.935,10
2011-03-02,6.8,12.2,3.2,8.3,58,3.22,0.141,5.5,6,259,5600,0.422,0.058,9.5,400,10.614,48
2011-03-10,7.6,12.7,2.9,5,10.8,2.925,0.088,3.9,6,338,320,0.178,0.037,5.1,104,2.817,3
2011-03-17,8.2,12.4,3.3,6.9,17.1,2.528,0.084,5.3,7,336,570,0.082,0.025,21.3,38,2.143,0
2011-03-24,8.1,12.4,3.7,7.2,17.8,2.409,0.095,5.8,10,385,180,0.112,0.031,19.8,27,1.439,18.5
2011-03-31,8.4,11.8,4.6,9.1,29.1,1.798,0.107,7.8,11,368,80,0.069,0.011,26.8,16,1.063,1.6
2011-04-08,7.6,10.3,6.1,8.8,58.1,2.762,0.126,7.1,14,300,2000,0.249,0.029,65.4,200,6.225,34.4
2011-04-14,7.7,10,5.1,8.8,23.6,1.708,0.11,6,13,455,200,0.074,0.009,41.8,20,1.721,6.5
2011-04-18,8.1,10.2,7.4,8.7,18.6,1.588,0.119,7.3,15,325,320,0.125,0.02,39.4,56,1.28,0.5
2011-04-25,7.8,10.4,7.2,8.6,19.9,1.779,0.103,7.5,15,308,460,0.047,0.012,48.5,50,3.412,31.1
2011-05-03,8.2,9.7,7,9.9,41.7,2.263,0.186,7.5,19,261,720,0.154,0.012,97.1,82,5.975,31
2011-05-13,7.9,10.3,3.1,5.6,25.4,2.702,0.118,3.8,15,170,8600,0.162,0.032,5.9,2040,37.665,128
2011-05-20,8.1,11.7,3.4,5.9,16.7,2.191,0.096,4,22,188,38400,0.155,0.027,31.2,25400,6.73,3.5
2011-05-25,7.8,10.1,5,8.2,29.6,2.208,0.102,5.2,22,390,1080,0.295,0.036,14.6,165,5.346,6.3
2011-06-02,7.6,10.2,5.3,7.4,22.7,2.885,0.167,5.6,22,219,260,0.437,0.065,24.6,224,7.656,4.6
2011-06-09,7.1,7.1,7,8.4,43,2.314,0.186,7.3,23,209,510,0.303,0.062,18.7,220,5.889,0
2011-06-13,6.4,6.9,6,9.3,21.4,2.666,0.189,7.9,24,297,4600,0.328,0.098,12.1,403,6.436,13.5
2011-06-21,7.7,8.7,7.3,11.7,17.6,2.157,0.131,8,25,335,1310,0.11,0.02,55.7,168,4.987,0
2011-06-27,7.5,7.6,4.7,9,26.8,3.108,0.212,8,23,212,5367,0.471,0.094,5.3,1700,13.383,86
2011-07-04,7.3,8.1,7.1,11.1,66.2,3.167,0.288,6.9,24,222,31000,0.658,0.115,10.1,6200,44.746,43.5
2011-07-11,7,8.9,4.1,8.6,60.1,2.332,0.227,4.3,22,116,16000,0.183,0.085,7.1,2410,123.384,167.1
2011-07-19,7.4,9.3,3.2,4.8,17,1.935,0.078,3.6,27,188,4000,0.101,0.049,3.2,490,13.545,44.5
2011-07-25,7.6,8.9,2.4,4.8,11.4,1.71,0.066,3.3,28,127,2875,0.075,0.028,11.6,320,10.705,32.4
2011-08-03,7.5,7.5,1.7,4.9,23.7,1.906,0.089,3.2,30,148,61000,0.186,0.048,5.7,12200,217.986,103.5
2011-08-11,7.2,8.5,2.9,5.2,24.6,2.305,0.122,3.6,24,138,10000,0.087,0.068,6.5,3500,49.015,156
2011-08-16,7.2,7.9,1.9,4.9,18.9,2.299,0.138,3.5,25,212,15000,0.158,0.076,3,2500,19.092,49.5
2011-08-22,7.2,8.3,1.3,4.7,9.6,1.929,0.099,3.5,23,165,13000,0.054,0.054,4.5,1440,13.898,39
2011-08-29,7.2,9.5,1.7,4.8,7.6,1.677,0.076,3.3,24,201,4375,0.057,0.021,12.6,340,7.29,8
2011-09-06,7.5,9.4,2.9,6.5,9.4,1.617,0.1,4.8,25,267,2725,0.169,0.052,19.2,315,8.56,37
2011-09-16,7.4,8.1,1.7,3.8,6.2,1.382,0.088,3.1,26,168,2533,0.082,0.035,12.9,463,7.093,7.7
2011-09-19,6.9,8,2.1,5.6,9.1,1.399,0.079,3.7,24,190,3800,0.115,0.053,19.6,517,10.773,2
2011-09-28,7.4,9.2,1.6,4.4,7.2,1.554,0.078,3,20,191,2200,0.14,0.051,2.7,440,12.263,0
2011-10-05,7.1,8,1,4.5,10.9,1.439,0.077,3,17.5,201,3300,0.102,0.036,4.6,61,4.698,3.8
2011-10-12,7.9,9.5,1.3,4.6,6.7,1.54,0.059,3.1,17.4,196,1533,0.116,0.03,9.4,130,3.57,0
2011-10-21,7.8,10.8,3.6,12,15.3,1.467,0.176,7.3,17.3,439,6000,0.06,0.093,71.7,300,2.653,10
2011-10-25,7.8,11.4,2.9,6,9.6,1.577,0.104,5.5,14.9,335,3400,0.163,0.042,35.6,608,1.341,10.5
2011-11-01,7.6,12.6,3.9,9.4,15.4,1.877,0.141,7.9,15.6,438,575,0.075,0.052,64.3,170,1.62,0
2011-11-10,7.2,8.5,2.8,9,20.1,2.823,0.117,8.5,17.6,378,1100,0.411,0.043,24.3,500,2.713,42.7
2011-11-18,7.3,9.4,2,5.7,16.3,2.312,0.07,4.2,13.6,406,3200,0.505,0.017,21.2,1980,4.038,16
2011-11-22,7.2,11.4,2,6.8,18.7,3.125,0.135,4.9,8.6,231,7000,0.382,0.075,2.9,1390,5.722,46.5
2011-11-29,7.4,10.3,1.1,5.4,8.8,2.495,0.049,4.2,11.1,378,375,0.133,0.031,3.4,80,3.848,6.6
2011-12-05,7,11.8,1,4.3,7.7,2.49,0.058,2.9,7.8,288,445,0.157,0.041,3.7,181,5.556,30.5
2011-12-14,7.7,12.2,1.2,3.1,7.6,2.653,0.042,2.5,5.5,304,500,0.047,0.013,2.2,98,4.176,1
2011-12-21,7.7,12.4,1.5,4.3,4.3,3.442,0.046,3.6,4,328,1100,0.273,0.022,3.2,188,3.152,3.6
2012-01-05,7.5,13.1,2,3.4,5.8,2.776,0.048,3,3.9,295,40,0.141,0.023,12.8,2,2.865,3.2
2012-01-09,7.5,13.9,2,4.2,7,3.59,0.084,3.2,2.6,360,460,0.168,0.022,4.2,340,2.239,5.8
2012-01-18,6.6,12.6,2.1,3.8,5.1,3.156,0.08,3,3.4,329,278,0.097,0.019,21.6,240,1.856,0
2012-01-27,7,14.4,2.5,4.8,9.3,3.299,0.095,3.4,2.5,331,178,0.263,0.038,25.9,48,1.915,5.2
2012-01-30,8.2,14.2,1.9,4.3,7.3,2.818,0.087,3.5,2.8,330,30,0.074,0.03,24.4,2,2.203,2.7
2012-02-06,7.9,13.5,2.7,4.9,9.6,3.315,0.067,3.1,3.2,406,278,0.092,0.037,25,184,2.726,1.8
2012-02-15,7.5,12.7,3,5.1,6.8,3.181,0.07,3.7,4.4,362,265,0.233,0.05,18.1,136,2.981,15.3
2012-02-22,7.4,14.2,2.5,4.9,7,2.879,0.037,3.8,2.9,345,285,0.066,0.02,30.6,129,1.826,1.5
2012-02-29,7.9,14.4,2.7,5.1,8.4,2.709,0.079,4.2,3.8,354,110,0.086,0.015,35,36,1.797,1.5
2012-03-05,7.9,12.9,3.9,6.3,21.5,2.527,0.105,4,7.5,344,1280,0.092,0.022,42.5,920,2.597,8
2012-03-15,8.2,13.8,4.1,7.5,14.2,2.595,0.089,5.7,8.3,364,98,0.076,0.02,52.6,24,2.565,21
2012-03-19,8.7,10.9,4.4,8.4,13.8,2.428,0.086,5.5,8.6,394,120,0.051,0.025,55.9,16,2.122,4.1
2012-03-30,7.5,9.7,4.2,7.3,18,2.254,0.081,5.9,13.5,314,2410,0.165,0.011,50.7,510,4.032,37
2012-04-02,7.6,11.9,2.9,7.1,18.4,2.792,0.088,5,11.1,253,1120,0.237,0.033,20,81,6.255,30.3
2012-04-10,7.1,9.7,4,7.2,16,2.576,0.092,5.2,15.2,294,140,0.085,0.01,44.5,59,4.279,20
2012-04-18,8.4,9.6,4.3,6.9,17.8,1.748,0.065,5.6,15.9,344,80,0.076,0.005,28.8,10,1.52,7.5
2012-04-26,7.4,12.2,2.8,5.9,18.3,2.613,0.105,4.7,15.5,249,2370,0.234,0.05,20.2,725,11.545,54.5
2012-05-03,7.4,9.5,2.7,7.5,24.6,2.028,0.097,4.7,19.5,240,690,0.134,0.018,29.8,215,5.809,220.3
2012-05-11,6.7,8.4,3.3,7.7,12.7,1.173,0.105,6.3,21.4,344,280,0.291,0.053,19,55,1.726,1
2012-05-15,7.4,7.8,4.2,7.7,26.7,2.03,0.1,5.9,20,471,860,0.519,0.054,17.3,365,4.2,15
2012-05-23,7.2,7.1,3.7,7.5,19.3,1.005,0.098,5.3,22.6,334,140,0.142,0.028,39.5,15,3.217,1.5
2012-05-29,7.7,6.9,3,7.6,13.6,1.676,0.107,6.2,22,344,155,0.317,0.051,12.9,43,2.97,0.1
2012-06-05,7.4,7.8,3.1,8.4,11.1,2.441,0.105,6.7,24.9,226,255,0.471,0.07,10.5,38,6.183,3.5
2012-06-14,7.4,9.5,4.7,12.9,20.8,2.338,0.096,10,25.8,319,420,0.26,0.037,62.6,240,6.418,47.1
2012-06-19,6.9,8.5,6.4,10.8,10,2.538,0.092,8.4,24,303,440,0.392,0.046,26.4,240,7.264,7.4
2012-06-28,8.2,9,4.1,5.6,17.5,2.078,0.103,8.6,24,310,250,0.636,0.031,13.4,110,2.383,8.6
2012-07-04,7.3,7.1,2.6,9.2,10.2,1.881,0.101,7.3,25.3,371,230,0.14,0.06,9.6,170,3.292,16.5
2012-07-12,7.3,7.7,2.9,9.2,35.8,2.622,0.144,5.1,23.1,159,12000,0.34,0.094,3.8,1050,30.546,160
2012-07-16,6.9,8.7,2,5.2,29.2,2.717,0.077,3.2,22.2,159,32000,0.131,0.053,2.1,4600,34.585,115
2012-07-26,8.4,12.4,4.5,7.5,8.7,1.709,0.083,4.6,31.5,194,720,0.066,0.006,42.9,220,4.736,55.6
2012-07-31,7.9,6.1,3.7,6.6,8,1.01,0.061,4.6,30.2,213,515,0.097,0.02,18.1,40,3.814,0
2012-08-08,6.3,7.2,2.8,7.9,13.3,1.196,0.103,5.3,28.5,204,6050,0.073,0.071,11.8,200,7.668,47.5
2012-08-14,6.7,7.1,3.6,8.7,10.2,1.76,0.091,5.2,26.4,231,11120,0.227,0.069,6.6,1780,20.343,55.5
2012-08-23,8.2,10.2,2.4,7.7,14.5,1.671,0.107,4.4,24.7,163,7600,0.207,0.093,4.4,1390,37.114,79.5
2012-08-27,6.7,7.9,1.6,5.2,8.4,1.938,0.05,2.7,25.7,167,11200,0.062,0.043,3.1,1680,26.544,80
2012-09-04,7.7,8.5,1.7,7.4,13.5,2.485,0.048,3.4,23.9,227,5330,0.108,0.032,3.4,1000,17.356,211
2012-09-11,6.7,9.6,1.4,5,9,2.075,0.034,2.3,22.6,173,6120,0.127,0.03,7,2860,30.729,137
2012-09-18,8.3,9.4,1.6,5.2,22.7,1.665,0.069,2.9,20,93,8400,0.165,0.054,5,1600,118.877,135
2012-09-25,8.1,9.2,1.4,4.4,5.5,2.157,0.059,2,22.4,230,4383,0.189,0.02,5,225,14.645,0
2012-10-05,7.5,9.1,1.6,4.9,5.2,1.743,0.058,1.7,19.8,272,9000,0.101,0.034,8.2,930,11.074,0
2012-10-08,7.3,7.7,2.3,5.6,7.5,1.536,0.036,2.3,19.6,207,8000,0.048,0.018,5.3,810,12.153,0
2012-10-16,7,10.1,1.4,7,4.9,1.709,0.03,4.8,17.7,391,1930,0.096,0.024,10.9,180,5.515,0
2012-10-24,6.8,8.9,2.7,6.7,18.4,2.069,0.099,4.3,14.3,218,10600,0.256,0.076,6.1,2900,7.453,53.3
2012-10-30,7.2,9.2,1.8,6.6,11.3,1.868,0.063,4.1,15.9,255,2800,0.136,0.056,4.4,1400,6.407,29.5
2012-11-08,7.1,11.2,1,5.4,3.7,2.487,0.062,3.9,12.7,308,3200,0.169,0.039,2.9,167,3.736,10.5
2012-11-12,7.2,10.6,0.9,4.9,5,2.217,0.046,3.1,11.3,298,520,0.118,0.03,3.3,330,3.819,8.5
2012-11-20,7.8,11,0.9,4.3,3.7,2.323,0.045,2.7,8,256,800,0.161,0.033,2.2,120,3.351,18.9
2012-11-28,7.1,11.8,1.2,3.8,3,2.567,0.043,2,6.2,272,1300,0.062,0.025,1.9,110,4.954,8
2012-12-04,7.6,12.7,1.1,4.1,2.6,2.8,0.038,2.3,5,306,4600,0.037,0.018,2.6,325,4.059,4.5
2012-12-17,7.8,14,2.6,7,7.9,3.485,0.07,4.5,7.4,338,10000,0.663,0.047,4,1140,9.722,49.9
2012-12-26,6.7,14.1,1.1,5.5,4.5,2.888,0.06,1.3,0.6,238,960,0.269,0.037,2.5,120,5.268,12
2013-01-04,7.4,13.7,1,4.3,5.3,3.781,0.051,3.7,1.2,345,400,0.128,0.034,2.7,70,3.327,14.3
2013-01-10,7.4,13.9,2.8,4.8,4.1,3.531,0.067,3.1,0.9,306,240,0.39,0.035,3.9,73,3.582,0
2013-01-15,7.7,14.7,1.7,3.5,4.3,2.946,0.044,2.9,1.8,279,85,0.099,0.03,6.5,40,4.409,0
2013-01-23,7.7,14,1.9,4.6,3.8,2.919,0.067,3.4,4.8,308,4600,0.248,0.044,10.8,560,6.456,14
2013-01-28,7.1,13.5,2.3,4.7,5,3.335,0.051,3.9,1.3,277,220,0.484,0.038,3,38,5.45,3.4
2013-02-06,7.5,12.5,1.8,5.4,5.2,2.336,0.055,3.7,4.7,246,4600,0.237,0.043,3.8,570,15.883,35.1
2013-02-12,6.8,14.1,1.1,3.4,2.4,3.03,0.039,2.3,2.9,172,7800,0.18,0.026,3.5,380,6.51,7.5
2013-02-18,6.9,12.2,1.2,3.3,4,2.885,0.079,2.7,4.5,220,720,0.162,0.031,8.7,310,5.157,0.5
2013-02-25,7.1,12.3,2,4.3,11.1,2.978,0.04,3.2,4.6,314,610,0.174,0.027,14.9,375,3.421,6
2013-03-07,7.7,10.1,2.8,7.5,7.4,2.765,0.071,5.8,8.1,409,300,0.101,0.021,27.3,28,2.278,4
2013-03-13,7.3,10.8,5.2,8.8,31.3,2.649,0.087,5.8,10.8,255,8600,0.364,0.038,89.1,980,14.973,1
2013-03-19,6.7,12.3,3.5,7.1,31.9,2.572,0.113,4.9,11.6,207,10000,0.341,0.077,20.2,1160,21.949,52.5
2013-03-27,7.4,11.8,1.7,4.5,7.7,2.329,0.072,3.6,11.5,268,260,0.162,0.031,11.5,6,4.393,18
2013-04-01,7.4,13.4,3.3,6,6.7,2.188,0.048,3.7,11.3,169,120,0.036,0.01,35.7,16,3.438,0.4
2013-04-10,7.9,12.6,3.8,6.6,15.1,1.859,0.048,3.8,10.7,214,120,0.024,0.009,34.8,30,1.915,18.6
2013-04-17,7.8,9.8,4.8,8.8,8.8,2.431,0.075,6.5,17.8,487,2000,0.234,0.008,56.9,34,1.92,0.3
2013-04-22,7.8,9.5,3.3,7,10.2,1.458,0.049,4.5,13.2,283,85,0.09,0.015,22.1,22,1.988,9.6
2013-04-30,8.1,11.7,4.4,8.1,20.5,2.143,0.081,5,16.6,286,5000,0.224,0.038,44.9,340,6.603,24.4
2013-05-07,7.6,9.5,3,6.7,11.6,0.986,0.034,4.2,19.1,193,270,0.986,0.007,18.7,52,2.79,3
2013-05-13,7.7,9.3,2.4,6.8,7.4,1.654,0.066,5.3,21.7,522,207,0.348,0.047,7.7,52,2.218,21.5
2013-05-20,7.4,8.2,4,6.9,18.7,1.759,0.075,5.6,19.9,315,2400,0.415,0.059,18.2,290,4.928,2
2013-05-28,6.9,7.6,5.1,8.9,44.4,2.636,0.13,5.9,19.4,169,51000,0.642,0.099,5.5,3600,50.986,0
2013-06-03,7.4,7.4,4,7.4,20.2,3.093,0.098,5.1,22.9,235,390,0.578,0.082,5.6,105,7.381,51
2013-06-11,6.6,6.4,4.5,10.7,14.3,2.197,0.103,6.9,24.1,198,510,0.293,0.079,9.5,102,7.038,0
2013-06-17,7.4,8.2,3.2,8.7,11.1,2.131,0.089,5.8,25.9,223,440,0.126,0.059,8.2,84,7.133,6.7
2013-06-26,7.3,8,3.3,8.9,9.6,2.363,0.086,6.7,24,350,5000,0.219,0.051,25.4,410,11.441,69.5
2013-07-02,7.3,5.9,2.4,8.2,6.8,1.589,0.117,5.9,27,220,580,0.124,0.054,16.1,100,4.289,7.5
2013-07-08,7.3,8.1,1.6,6,27.4,2.142,0.135,4.4,23.6,110,13000,0.147,0.06,4.5,1600,92.938,245
2013-07-16,7.8,8.8,2.6,7.1,7.1,2.079,0.079,5.3,27.7,311,4400,0.037,0.031,37.8,540,7.743,38.6
2013-07-22,7.6,7.8,2.9,7.4,10,1.453,0.088,5.3,27.9,280,2200,0.055,0.038,39.9,170,6.764,0
2013-07-30,7.3,6.3,2.1,6.8,7.5,2.073,0.086,4.8,26.1,257,10000,0.156,0.057,11.7,4000,9.457,33.5
2013-08-05,7.2,7.3,3,7.5,40.5,1.919,0.194,5,26.4,158,47000,0.151,0.08,12.8,17600,36.604,36
2013-08-12,7,6.8,2.5,6.6,6.1,1.131,0.088,5.2,30.4,228,670,0.061,0.037,19.5,110,5.94,19.5
2013-08-20,7.9,9.5,5.2,12.1,11.4,1.024,0.109,8.2,30.5,316,530,0.011,0.032,36.9,255,7.002,0
2013-08-26,7.1,7,1.5,6.4,12,2.242,0.113,4.1,25.5,182,8000,0.124,0.074,2.7,2000,22.668,155.6
2013-09-03,7.1,7.6,1.8,6.5,6.2,1.737,0.067,4.9,23.7,227,1300,0.041,0.034,10.2,310,7.287,106.1
2013-09-09,7.4,9.2,3.5,8.8,14.6,1.546,0.071,5.9,22.8,288,680,0.016,0.01,43.8,360,5.18,12.5
2013-09-16,7,7.7,2.5,6.1,6.8,1.805,0.112,4.4,22.9,253,4000,0.118,0.079,3,700,10.153,61
2013-09-24,7.4,9.8,2.4,6.1,9.5,1.546,0.083,3.4,24.6,216,700,0.074,0.017,26.7,420,5.289,0
2013-10-01,7.4,7.2,2.6,6.5,6.7,1.534,0.069,4.5,23.2,370,540,0.049,0.023,18.3,310,4.517,4
2013-10-08,7.3,7.5,1.7,6.3,6.9,1.607,0.034,4.4,22.3,312,867,0.038,0.013,21.9,460,3.882,10.3
2013-10-14,7.9,7.9,1.2,5.4,4.9,1.828,0.071,3.9,19.1,456,310,0.071,0.039,6.3,180,4.013,22.5
2013-10-22,7.8,11.2,2.7,6.3,8.1,1.453,0.065,4.6,17.7,341,250,0.034,0.008,31.2,110,3.931,0
2013-10-28,7.2,10,4.3,7.9,12.7,1.657,0.088,5.1,14,368,8400,0.014,0.004,65.2,590,2.18,0
2013-11-04,7.3,9.2,2.6,6.6,8.9,1.407,0.066,4.6,15.1,297,4200,0.014,0.006,34,500,3.534,0
2013-11-12,7,10.9,2,5.4,6.8,2.103,0.1,4.4,11.4,353,8400,0.327,0.038,6.2,500,6.663,25
2013-11-19,7.6,10.8,3.5,5.1,8.4,1.682,0.065,4.2,8.5,320,6000,0.056,0.02,19.5,480,6.393,8.3
2013-11-27,7.5,12.1,3.9,6.2,11.5,2.786,0.143,5.3,8.5,267,13000,0.505,0.075,8,1720,8.709,45.7
2013-12-03,7.2,11.1,2.1,4.1,3.1,2.825,0.065,3.6,6.7,332,280,0.147,0.047,3,52,5.167,16
2013-12-11,7.3,10.7,2.6,4.1,4.7,3.084,0.058,3.3,7,376,920,0.129,0.023,4.3,330,3.674,7.1
2013-12-16,7.1,13.6,1.5,3.7,3,3.457,0.077,3.3,4.1,377,320,0.312,0.047,4.7,36,2.98,2.6
2013-12-24,7.5,12.2,1.3,3,4.9,2.918,0.057,2.9,3.4,346,630,0.059,0.023,11.1,290,2.776,7.5
2014-01-07,7.6,13.4,2.2,3.4,5.8,2.894,0.059,2.6,2.5,316,310,0.053,0.015,7.4,10,3.117,2.1
2014-01-13,7.3,9.9,2.2,4.8,5.4,3.83,0.074,3,1.8,321,380,0.282,0.022,41.2,42,2.371,15
2014-01-22,7.1,12.2,2.5,3.6,5.1,3.452,0.05,2.4,1.7,370,640,0.02,0.017,5.1,110,1.76,3.9
2014-01-28,8,11.7,2.6,3.9,5.4,3.407,0.074,2.3,3.5,401,260,0.296,0.036,17,72,2.563,4.5
2014-02-04,8.2,13.5,2.8,5.1,7.8,3.36,0.08,3.3,4,394,390,0.123,0.019,27.6,102,1.893,4.5
