season,spot,BOD,COD,TN,TP,TOC,SS,EC,pH,DO,Temperature,Turbidity,Transparency,Chla,LowWaterLevel,Inflow,Discharge,Reservoir
autumn2017,J2,0.8,3.1,0.628,0.014,2.4,1.3,84,7.3,6.3,22.4,3.3,3.5,3.9,6625,4.51,3.42,5858
winter2017,J2,0.8,3.2,0.613,0.014,2.3,1.7,91,6.9,8.7,14.3,2.7,2.8,6.1,6471,0.33,1.75,5019
spring2018,J2,0.7,3,0.571,0.013,2.2,1.2,92,7,11.5,6.1,2.4,2.8,5.4,6265,2.98,1.99,3998
summer2018,J2,0.9,3.1,0.878,0.014,2.4,1.8,98,7.4,9.3,15.6,1.7,3.1,5.8,6491,3.55,2.61,5128
autumn2018,J2,1.3,3.8,0.856,0.022,3,3.7,88,6.8,6.6,22.8,11.7,2.7,2.4,6720,4.82,3.3,6469
winter2018,J2,0.7,3.8,0.669,0.017,3.2,1.6,78,6.8,7.4,16.1,0.9,3.6,3.3,7290,1.16,1.9,10257
spring2019,J2,0.6,3.4,0.64,0.014,2.5,1,76,7.4,11.5,7.3,1,3.7,4,7171,0.8,1.92,9380
summer2019,J2,0.9,3.4,0.595,0.022,2.2,1.2,79,7.7,9.7,13.5,1,3.5,3.8,7164,4.02,2.68,9324
autumn2019,J2,1.1,3.8,0.636,0.017,2.9,2.1,84,7.7,7,20.8,2.2,3.2,2.5,7493,22.66,4.46,11861
winter2019,J2,1,3.5,0.854,0.015,2.5,2.1,76,7.3,7.8,15.9,1.6,3.4,3.7,7992,1.78,2.1,16247
spring2020,J2,0.7,3.3,0.838,0.009,2.2,1.3,75,7.4,11.1,8,0.6,3.8,1.5,7875,2.2,4.22,15176
summer2020,J2,0.6,3.1,0.801,0.007,2,1.1,73,7.8,9.4,14.3,0.6,4.3,1.3,7684,5.03,5.55,13498
autumn2020,J2,1.2,3.9,0.824,0.019,2.5,3.6,71,7.4,7.6,20.9,6.4,1.6,8,7655,12.77,19.14,13257
winter2020,J2,0.9,3.3,0.751,0.012,1.7,1.9,69,7.2,8.5,15.4,1.6,2.9,4.4,7440,0.19,2.91,11568
spring2017,T1,1.4,3.7,1.224,0.066,2.8,5.8,127,7,11.7,6.7,1.9,3.2,6.6,10107,2.07,10.16,24696
summer2017,T1,2.3,6,1.355,0.077,4.6,7.7,140,7.3,10.1,14.5,2.2,3.1,5.4,9781,2.94,11.49,19181
autumn2017,T1,1.1,5.2,1.15,0.07,3.8,9.1,146,7,6.4,19,2.7,2.9,4.2,9483,16.13,11.12,14902
winter2017,T1,1.9,4.5,2.165,0.116,3.5,4.6,244,6.9,8.5,11.4,3.3,2.3,5.7,9468,2.9,8.03,14726
spring2018,T1,3,5.6,2.587,0.163,4.4,8.4,241,7,12.5,5.5,3.1,1.7,12.3,9134,8.03,8.01,10844
summer2018,T1,2.1,5.9,1.626,0.084,4.7,6.8,179,7.4,9.1,14.6,2.9,2,4.8,9206,6.95,10.06,11614
autumn2018,T1,1.9,5.6,1.181,0.085,4.2,5.7,168,6.6,6.6,19.5,2.7,2.3,3.7,10154,68.97,18.55,26172
winter2018,T1,1.7,4,1.825,0.071,3.7,5,192,6.9,8.5,14.4,2.3,2.1,4.4,10613,8.48,13.31,35525
spring2019,T1,2.5,5.6,2.692,0.116,4.3,22.1,217,7.6,11.7,6.4,1.3,2.5,4.8,10354,2.8,10.21,29609
summer2019,T1,2.9,7.1,1.509,0.122,4.9,11.1,193,7.5,9.8,13.4,2.6,2.8,5.3,10085,7.47,12.63,24280
autumn2019,T1,1.4,4.7,1.05,0.056,4,9.7,130,7.2,6.6,19.1,2,2.4,3.5,10347,48.95,30.11,29518
winter2019,T1,1.9,3.9,1.708,0.102,3.4,4.2,186,7.3,8.2,15.2,2.2,2.6,5.1,10629,17.87,24.45,35921
spring2020,T1,1.5,4.2,1.285,0.052,3.2,6.4,169,7.6,11.2,8,1,2.9,3.2,10410,3.95,11.13,30800
summer2020,T1,1.5,5.3,1.118,0.054,3.5,8.8,115,7.9,9.8,15.1,4.3,3,6.1,10176,18.13,13.17,25990
autumn2020,T1,0.8,4.3,1.181,0.054,2.7,9.7,113,7.3,7.5,19.3,3.9,2.5,3.5,10504,67.94,91.5,32977
winter2020,T1,1.3,4.3,2.088,0.107,2.4,6,182,7.1,8.8,13.1,1.1,2.7,4.6,10432,4.29,11.96,31195
spring2017,T2,1.4,3.7,1.224,0.066,2.8,5.8,127,7,11.7,6.8,2.3,3,6.4,10107,2.07,10.16,24696
summer2017,T2,2.3,6,1.355,0.077,4.6,7.7,140,7.2,9.8,14.2,2.4,3.1,5.7,9781,2.94,11.49,19181
autumn2017,T2,1.1,5.2,1.15,0.07,3.8,9.1,146,7,6.3,21.1,3.4,2.8,5.4,9483,16.13,11.12,14902
winter2017,T2,1.9,4.5,2.165,0.116,3.5,4.6,244,6.9,8.9,12.4,3,2.2,6.7,9468,2.9,8.03,14726
spring2018,T2,3,5.6,2.587,0.163,4.4,8.4,241,6.9,12.2,5.7,3.4,1.7,12.1,9134,8.03,8.01,10844
summer2018,T2,2.1,5.9,1.626,0.084,4.7,6.8,179,7.4,8.9,17.2,3.3,2,7.2,9206,6.95,10.06,11614
autumn2018,T2,1.9,5.6,1.181,0.085,4.2,5.7,168,6.6,7,23.3,3.1,2.1,5.6,10154,68.97,18.55,26172
winter2018,T2,1.7,4,1.825,0.071,3.7,5,192,7.4,8.9,15.4,2.1,2.1,7,10613,8.48,13.31,35525
spring2019,T2,2.5,5.6,2.692,0.116,4.3,22.1,217,8,11.8,6.5,1,2.6,4.9,10354,2.8,10.21,29609
summer2019,T2,2.9,7.1,1.509,0.122,4.9,11.1,193,8.1,9.7,13.8,1.4,2.6,5.5,10085,7.47,12.63,24280
autumn2019,T2,1.4,4.7,1.05,0.056,4,9.7,130,7.6,6.4,19.4,2.5,2.3,2.9,10347,48.95,30.11,29518
winter2019,T2,1.9,3.9,1.708,0.102,3.4,4.2,186,7.7,7.9,14.4,1.5,2.6,4.1,10629,17.87,24.45,35921
spring2020,T2,1.5,4.2,1.285,0.052,3.2,6.4,169,8.2,11.3,7.8,1.8,2.9,2.8,10410,3.95,11.13,30800
summer2020,T2,1.5,5.3,1.118,0.054,3.5,8.8,115,8.1,9.6,14,2.1,3,3.3,10176,18.13,13.17,25990
autumn2020,T2,0.8,4.3,1.181,0.054,2.7,9.7,113,7.3,7,17.6,4.7,2.3,2.8,10504,67.94,91.5,32977
winter2020,T2,1.3,4.3,2.088,0.107,2.4,6,182,6.8,7.5,12,1.7,2.4,3.7,10432,4.29,11.96,31195
