p H,DO,BOD,COD,SS,TN, T P,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow,Rain
7.5 ,7.0 ,3.5 ,8.6 ,10.2 ,1.881 ,0.103 ,6.7 ,25.0 ,234 ,600 ,0.137 ,0.031 ,25.5 ,290 ,6.107 ,8.1 
7.0 ,5.2 ,2.6 ,5.0 ,6.2 ,2.101 ,0.123 ,8.0 ,25.0 ,255 ,1000 ,0.153 ,0.062 ,6.7 ,220 ,5.762 ,8.4 
7.1 ,6.8 ,1.8 ,7.6 ,5.1 ,2.645 ,0.121 ,5.3 ,25.0 ,191 ,3400 ,0.264 ,0.073 ,4.7 ,680 ,2.900 ,90.2 
7.3 ,7.4 ,3.0 ,6.1 ,22.3 ,3.731 ,0.115 ,3.8 ,25.0 ,168 ,7000 ,0.095 ,0.037 ,5.2 ,500 ,7.089 ,199.0 
7.1 ,7.7 ,2.5 ,5.9 ,17.9 ,2.010 ,0.059 ,3.5 ,25.0 ,168 ,13000 ,0.121 ,0.049 ,8.1 ,620 ,109.535 ,99.0 
7.3 ,6.5 ,5.0 ,9.0 ,22.2 ,2.246 ,0.114 ,6.9 ,26.0 ,180 ,31000 ,0.086 ,0.015 ,7.2 ,2000 ,34.550 ,54.3 
7.4 ,6.4 ,3.4 ,5.2 ,9.5 ,2.029 ,0.076 ,3.1 ,28.0 ,128 ,18000 ,0.122 ,0.042 ,14.6 ,600 ,16.470 ,18.5 
7.3 ,7.2 ,3.4 ,5.7 ,8.0 ,1.589 ,0.057 ,3.1 ,26.0 ,285 ,6000 ,0.119 ,0.039 ,10.4 ,967 ,13.642 ,26.5 
7.3 ,7.1 ,4.0 ,6.8 ,24.8 ,2.110 ,0.172 ,4.1 ,26.0 ,135 ,12000 ,0.235 ,0.079 ,10.6 ,2000 ,12.857 ,197.6 
7.2 ,7.8 ,4.1 ,7.3 ,41.3 ,1.666 ,0.250 ,4.2 ,24.0 ,426 ,7800 ,0.146 ,0.091 ,1.6 ,3900 ,31.574 ,70.5 
7.5 ,8.1 ,3.9 ,8.1 ,17.7 ,2.018 ,0.082 ,4.6 ,23.0 ,477 ,44000 ,0.056 ,0.024 ,5.5 ,2 ,103.775 ,8.0 
7.4 ,8.8 ,2.8 ,4.5 ,23.4 ,2.022 ,0.059 ,3.3 ,24.0 ,141 ,4200 ,0.156 ,0.044 ,5.9 ,2700 ,14.008 ,94.8 
6.9 ,6.5 ,2.9 ,5.3 ,15.9 ,3.422 ,0.056 ,3.2 ,26.0 ,158 ,10000 ,0.119 ,0.031 ,15.3 ,2400 ,21.127 ,0.5 
7.8 ,8.5 ,2.8 ,5.3 ,16.9 ,1.978 ,0.074 ,4.1 ,19.0 ,245 ,5000 ,0.102 ,0.035 ,8.6 ,3567 ,11.156 ,22.9 
7.1 ,8.4 ,3.0 ,5.5 ,11.0 ,2.442 ,0.112 ,4.4 ,19.0 ,211 ,3000 ,0.201 ,0.042 ,6.2 ,1600 ,7.659 ,22.5 
7.1 ,7.6 ,3.4 ,7.0 ,11.2 ,2.348 ,0.076 ,5.2 ,20.0 ,286 ,2600 ,0.086 ,0.037 ,6.5 ,300 ,7.377 ,7.0 
7.3 ,9.1 ,3.2 ,6.0 ,10.8 ,2.216 ,0.057 ,4.5 ,18.0 ,315 ,3600 ,0.080 ,0.033 ,5.8 ,900 ,5.281 ,1.5 
7.5 ,10.8 ,2.0 ,5.6 ,11.1 ,2.279 ,0.091 ,3.9 ,13.0 ,262 ,4000 ,0.080 ,0.035 ,5.5 ,700 ,3.840 ,11.0 
7.5 ,6.8 ,1.8 ,5.4 ,7.8 ,2.130 ,0.061 ,3.7 ,13.0 ,278 ,800 ,0.087 ,0.028 ,5.1 ,200 ,2.917 ,0.0 
7.6 ,10.2 ,1.8 ,5.3 ,4.5 ,2.417 ,0.060 ,4.0 ,11.0 ,319 ,1400 ,0.074 ,0.027 ,6.4 ,110 ,1.941 ,1.0 
7.4 ,10.5 ,4.8 ,8.0 ,8.2 ,2.227 ,0.082 ,5.4 ,9.0 ,347 ,27600 ,0.060 ,0.019 ,7.6 ,1867 ,3.407 ,0.0 
7.9 ,11.7 ,7.5 ,13.4 ,7.0 ,2.503 ,0.075 ,10.2 ,10.0 ,391 ,3233 ,0.053 ,0.033 ,17.8 ,667 ,3.393 ,4.5 
7.8 ,11.1 ,6.0 ,11.1 ,11.2 ,3.118 ,0.118 ,6.3 ,9.0 ,369 ,24200 ,0.048 ,0.035 ,15.8 ,8133 ,2.750 ,3.9 
7.8 ,13.1 ,5.1 ,8.8 ,6.5 ,2.834 ,0.064 ,5.7 ,5.0 ,392 ,2800 ,0.107 ,0.023 ,23.7 ,933 ,1.689 ,4.4 
7.7 ,12.0 ,3.2 ,7.1 ,6.0 ,3.390 ,0.111 ,4.7 ,4.0 ,384 ,1200 ,0.072 ,0.068 ,19.8 ,133 ,1.680 ,11.1 
7.4 ,13.9 ,2.8 ,6.5 ,7.7 ,3.007 ,0.085 ,4.1 ,5.0 ,347 ,1200 ,0.059 ,0.047 ,18.7 ,100 ,3.360 ,0.0 
7.0 ,13.2 ,2.5 ,5.6 ,18.3 ,3.609 ,0.137 ,4.6 ,3.0 ,340 ,433 ,0.102 ,0.076 ,18.5 ,60 ,3.548 ,6.2 
6.6 ,13.1 ,3.7 ,6.5 ,10.7 ,2.927 ,0.099 ,4.8 ,3.0 ,336 ,542 ,0.220 ,0.059 ,7.2 ,40 ,1.890 ,19.4 
7.8 ,13.2 ,2.0 ,5.1 ,8.8 ,2.976 ,0.124 ,3.6 ,2.0 ,355 ,327 ,0.166 ,0.089 ,6.0 ,31 ,2.365 ,1.0 
7.4 ,12.4 ,2.1 ,4.0 ,5.0 ,3.460 ,0.114 ,3.7 ,2.0 ,396 ,469 ,0.187 ,0.090 ,4.8 ,87 ,2.115 ,2.7 
7.3 ,13.8 ,2.9 ,4.7 ,8.4 ,3.415 ,0.136 ,3.8 ,2.0 ,338 ,856 ,0.328 ,0.089 ,7.6 ,171 ,2.221 ,0.6 
7.3 ,13.8 ,2.4 ,4.1 ,4.2 ,3.256 ,0.095 ,3.1 ,1.0 ,387 ,305 ,0.197 ,0.090 ,4.0 ,9 ,1.975 ,3.1 
7.6 ,12.8 ,2.5 ,3.4 ,9.5 ,3.496 ,0.116 ,4.0 ,5.0 ,322 ,432 ,0.282 ,0.078 ,14.2 ,86 ,2.335 ,0.0 
7.8 ,13.6 ,3.1 ,4.8 ,15.3 ,2.821 ,0.110 ,3.5 ,3.0 ,322 ,400 ,0.153 ,0.066 ,17.2 ,29 ,2.022 ,1.8 
7.9 ,12.5 ,3.5 ,6.7 ,13.3 ,2.711 ,0.089 ,5.7 ,7.0 ,364 ,143 ,0.160 ,0.063 ,17.3 ,61 ,1.935 ,10.0 
6.8 ,12.2 ,3.2 ,8.3 ,58.0 ,3.220 ,0.141 ,5.5 ,6.0 ,259 ,5600 ,0.422 ,0.058 ,9.5 ,400 ,10.614 ,48.0 
7.6 ,12.7 ,2.9 ,5.0 ,10.8 ,2.925 ,0.088 ,3.9 ,6.0 ,338 ,320 ,0.178 ,0.037 ,5.1 ,104 ,2.817 ,3.0 
8.2 ,12.4 ,3.3 ,6.9 ,17.1 ,2.528 ,0.084 ,5.3 ,7.0 ,336 ,570 ,0.082 ,0.025 ,21.3 ,38 ,2.143 ,0.0 
8.1 ,12.4 ,3.7 ,7.2 ,17.8 ,2.409 ,0.095 ,5.8 ,10.0 ,385 ,180 ,0.112 ,0.031 ,19.8 ,27 ,1.439 ,18.5 
8.4 ,11.8 ,4.6 ,9.1 ,29.1 ,1.798 ,0.107 ,7.8 ,11.0 ,368 ,80 ,0.069 ,0.011 ,26.8 ,16 ,1.063 ,1.6 
7.6 ,10.3 ,6.1 ,8.8 ,58.1 ,2.762 ,0.126 ,7.1 ,14.0 ,300 ,2000 ,0.249 ,0.029 ,65.4 ,200 ,6.225 ,34.4 
7.7 ,10.0 ,5.1 ,8.8 ,23.6 ,1.708 ,0.110 ,6.0 ,13.0 ,455 ,200 ,0.074 ,0.009 ,41.8 ,20 ,1.721 ,6.5 
8.1 ,10.2 ,7.4 ,8.7 ,18.6 ,1.588 ,0.119 ,7.3 ,15.0 ,325 ,320 ,0.125 ,0.020 ,39.4 ,56 ,1.280 ,0.5 
7.8 ,10.4 ,7.2 ,8.6 ,19.9 ,1.779 ,0.103 ,7.5 ,15.0 ,308 ,460 ,0.047 ,0.012 ,48.5 ,50 ,3.412 ,31.1 
8.2 ,9.7 ,7.0 ,9.9 ,41.7 ,2.263 ,0.186 ,7.5 ,19.0 ,261 ,720 ,0.154 ,0.012 ,97.1 ,82 ,5.975 ,31.0 
7.9 ,10.3 ,3.1 ,5.6 ,25.4 ,2.702 ,0.118 ,3.8 ,15.0 ,170 ,8600 ,0.162 ,0.032 ,5.9 ,2040 ,37.665 ,128.0 
8.1 ,11.7 ,3.4 ,5.9 ,16.7 ,2.191 ,0.096 ,4.0 ,22.0 ,188 ,38400 ,0.155 ,0.027 ,31.2 ,25400 ,6.730 ,3.5 
7.8 ,10.1 ,5.0 ,8.2 ,29.6 ,2.208 ,0.102 ,5.2 ,22.0 ,390 ,1080 ,0.295 ,0.036 ,14.6 ,165 ,5.346 ,6.3 
7.6 ,10.2 ,5.3 ,7.4 ,22.7 ,2.885 ,0.167 ,5.6 ,22.0 ,219 ,260 ,0.437 ,0.065 ,24.6 ,224 ,7.656 ,4.6 
7.1 ,7.1 ,7.0 ,8.4 ,43.0 ,2.314 ,0.186 ,7.3 ,23.0 ,209 ,510 ,0.303 ,0.062 ,18.7 ,220 ,5.889 ,0.0 
6.4 ,6.9 ,6.0 ,9.3 ,21.4 ,2.666 ,0.189 ,7.9 ,24.0 ,297 ,4600 ,0.328 ,0.098 ,12.1 ,403 ,6.436 ,13.5 
7.7 ,8.7 ,7.3 ,11.7 ,17.6 ,2.157 ,0.131 ,8.0 ,25.0 ,335 ,1310 ,0.110 ,0.020 ,55.7 ,168 ,4.987 ,0.0 
7.5 ,7.6 ,4.7 ,9.0 ,26.8 ,3.108 ,0.212 ,8.0 ,23.0 ,212 ,5367 ,0.471 ,0.094 ,5.3 ,1700 ,13.383 ,86.0 
7.3 ,8.1 ,7.1 ,11.1 ,66.2 ,3.167 ,0.288 ,6.9 ,24.0 ,222 ,31000 ,0.658 ,0.115 ,10.1 ,6200 ,44.746 ,43.5 
7.0 ,8.9 ,4.1 ,8.6 ,60.1 ,2.332 ,0.227 ,4.3 ,22.0 ,116 ,16000 ,0.183 ,0.085 ,7.1 ,2410 ,123.384 ,167.1 
7.4 ,9.3 ,3.2 ,4.8 ,17.0 ,1.935 ,0.078 ,3.6 ,27.0 ,188 ,4000 ,0.101 ,0.049 ,3.2 ,490 ,13.545 ,44.5 
7.6 ,8.9 ,2.4 ,4.8 ,11.4 ,1.710 ,0.066 ,3.3 ,28.0 ,127 ,2875 ,0.075 ,0.028 ,11.6 ,320 ,10.705 ,32.4 
7.5 ,7.5 ,1.7 ,4.9 ,23.7 ,1.906 ,0.089 ,3.2 ,30.0 ,148 ,61000 ,0.186 ,0.048 ,5.7 ,12200 ,217.986 ,103.5 
7.2 ,8.5 ,2.9 ,5.2 ,24.6 ,2.305 ,0.122 ,3.6 ,24.0 ,138 ,10000 ,0.087 ,0.068 ,6.5 ,3500 ,49.015 ,156.0 
7.2 ,7.9 ,1.9 ,4.9 ,18.9 ,2.299 ,0.138 ,3.5 ,25.0 ,212 ,15000 ,0.158 ,0.076 ,3.0 ,2500 ,19.092 ,49.5 
7.2 ,8.3 ,1.3 ,4.7 ,9.6 ,1.929 ,0.099 ,3.5 ,23.0 ,165 ,13000 ,0.054 ,0.054 ,4.5 ,1440 ,13.898 ,39.0 
7.2 ,9.5 ,1.7 ,4.8 ,7.6 ,1.677 ,0.076 ,3.3 ,24.0 ,201 ,4375 ,0.057 ,0.021 ,12.6 ,340 ,7.290 ,8.0 
7.5 ,9.4 ,2.9 ,6.5 ,9.4 ,1.617 ,0.100 ,4.8 ,25.0 ,267 ,2725 ,0.169 ,0.052 ,19.2 ,315 ,8.560 ,37.0 
7.4 ,8.1 ,1.7 ,3.8 ,6.2 ,1.382 ,0.088 ,3.1 ,26.0 ,168 ,2533 ,0.082 ,0.035 ,12.9 ,463 ,7.093 ,7.7 
6.9 ,8.0 ,2.1 ,5.6 ,9.1 ,1.399 ,0.079 ,3.7 ,24.0 ,190 ,3800 ,0.115 ,0.053 ,19.6 ,517 ,10.773 ,2.0 
7.4 ,9.2 ,1.6 ,4.4 ,7.2 ,1.554 ,0.078 ,3.0 ,20.0 ,191 ,2200 ,0.140 ,0.051 ,2.7 ,440 ,12.263 ,0.0 
7.1 ,8.0 ,1.0 ,4.5 ,10.9 ,1.439 ,0.077 ,3.0 ,17.5 ,201 ,3300 ,0.102 ,0.036 ,4.6 ,61 ,4.698 ,3.8 
7.9 ,9.5 ,1.3 ,4.6 ,6.7 ,1.540 ,0.059 ,3.1 ,17.4 ,196 ,1533 ,0.116 ,0.030 ,9.4 ,130 ,3.570 ,0.0 
7.8 ,10.8 ,3.6 ,12.0 ,15.3 ,1.467 ,0.176 ,7.3 ,17.3 ,439 ,6000 ,0.060 ,0.093 ,71.7 ,300 ,2.653 ,10.0 
7.8 ,11.4 ,2.9 ,6.0 ,9.6 ,1.577 ,0.104 ,5.5 ,14.9 ,335 ,3400 ,0.163 ,0.042 ,35.6 ,608 ,1.341 ,10.5 
7.6 ,12.6 ,3.9 ,9.4 ,15.4 ,1.877 ,0.141 ,7.9 ,15.6 ,438 ,575 ,0.075 ,0.052 ,64.3 ,170 ,1.620 ,0.0 
7.2 ,8.5 ,2.8 ,9.0 ,20.1 ,2.823 ,0.117 ,8.5 ,17.6 ,378 ,1100 ,0.411 ,0.043 ,24.3 ,500 ,2.713 ,42.7 
7.3 ,9.4 ,2.0 ,5.7 ,16.3 ,2.312 ,0.070 ,4.2 ,13.6 ,406 ,3200 ,0.505 ,0.017 ,21.2 ,1980 ,4.038 ,16.0 
7.2 ,11.4 ,2.0 ,6.8 ,18.7 ,3.125 ,0.135 ,4.9 ,8.6 ,231 ,7000 ,0.382 ,0.075 ,2.9 ,1390 ,5.722 ,46.5 
7.4 ,10.3 ,1.1 ,5.4 ,8.8 ,2.495 ,0.049 ,4.2 ,11.1 ,378 ,375 ,0.133 ,0.031 ,3.4 ,80 ,3.848 ,6.6 
7.0 ,11.8 ,1.0 ,4.3 ,7.7 ,2.490 ,0.058 ,2.9 ,7.8 ,288 ,445 ,0.157 ,0.041 ,3.7 ,181 ,5.556 ,30.5 
7.7 ,12.2 ,1.2 ,3.1 ,7.6 ,2.653 ,0.042 ,2.5 ,5.5 ,304 ,500 ,0.047 ,0.013 ,2.2 ,98 ,4.176 ,1.0 
7.7 ,12.4 ,1.5 ,4.3 ,4.3 ,3.442 ,0.046 ,3.6 ,4.0 ,328 ,1100 ,0.273 ,0.022 ,3.2 ,188 ,3.152 ,3.6 
7.5 ,13.1 ,2.0 ,3.4 ,5.8 ,2.776 ,0.048 ,3.0 ,3.9 ,295 ,40 ,0.141 ,0.023 ,12.8 ,2 ,2.865 ,3.2 
7.5 ,13.9 ,2.0 ,4.2 ,7.0 ,3.590 ,0.084 ,3.2 ,2.6 ,360 ,460 ,0.168 ,0.022 ,4.2 ,340 ,2.239 ,5.8 
6.6 ,12.6 ,2.1 ,3.8 ,5.1 ,3.156 ,0.080 ,3.0 ,3.4 ,329 ,278 ,0.097 ,0.019 ,21.6 ,240 ,1.856 ,0.0 
7.0 ,14.4 ,2.5 ,4.8 ,9.3 ,3.299 ,0.095 ,3.4 ,2.5 ,331 ,178 ,0.263 ,0.038 ,25.9 ,48 ,1.915 ,5.2 
8.2 ,14.2 ,1.9 ,4.3 ,7.3 ,2.818 ,0.087 ,3.5 ,2.8 ,330 ,30 ,0.074 ,0.030 ,24.4 ,2 ,2.203 ,2.7 
7.9 ,13.5 ,2.7 ,4.9 ,9.6 ,3.315 ,0.067 ,3.1 ,3.2 ,406 ,278 ,0.092 ,0.037 ,25.0 ,184 ,2.726 ,1.8 
7.5 ,12.7 ,3.0 ,5.1 ,6.8 ,3.181 ,0.070 ,3.7 ,4.4 ,362 ,265 ,0.233 ,0.050 ,18.1 ,136 ,2.981 ,15.3 
7.4 ,14.2 ,2.5 ,4.9 ,7.0 ,2.879 ,0.037 ,3.8 ,2.9 ,345 ,285 ,0.066 ,0.020 ,30.6 ,129 ,1.826 ,1.5 
7.9 ,14.4 ,2.7 ,5.1 ,8.4 ,2.709 ,0.079 ,4.2 ,3.8 ,354 ,110 ,0.086 ,0.015 ,35.0 ,36 ,1.797 ,1.5 
7.9 ,12.9 ,3.9 ,6.3 ,21.5 ,2.527 ,0.105 ,4.0 ,7.5 ,344 ,1280 ,0.092 ,0.022 ,42.5 ,920 ,2.597 ,8.0 
8.2 ,13.8 ,4.1 ,7.5 ,14.2 ,2.595 ,0.089 ,5.7 ,8.3 ,364 ,98 ,0.076 ,0.020 ,52.6 ,24 ,2.565 ,21.0 
8.7 ,10.9 ,4.4 ,8.4 ,13.8 ,2.428 ,0.086 ,5.5 ,8.6 ,394 ,120 ,0.051 ,0.025 ,55.9 ,16 ,2.122 ,4.1 
7.5 ,9.7 ,4.2 ,7.3 ,18.0 ,2.254 ,0.081 ,5.9 ,13.5 ,314 ,2410 ,0.165 ,0.011 ,50.7 ,510 ,4.032 ,37.0 
7.6 ,11.9 ,2.9 ,7.1 ,18.4 ,2.792 ,0.088 ,5.0 ,11.1 ,253 ,1120 ,0.237 ,0.033 ,20.0 ,81 ,6.255 ,30.3 
7.1 ,9.7 ,4.0 ,7.2 ,16.0 ,2.576 ,0.092 ,5.2 ,15.2 ,294 ,140 ,0.085 ,0.010 ,44.5 ,59 ,4.279 ,20.0 
8.4 ,9.6 ,4.3 ,6.9 ,17.8 ,1.748 ,0.065 ,5.6 ,15.9 ,344 ,80 ,0.076 ,0.005 ,28.8 ,10 ,1.520 ,7.5 
7.4 ,12.2 ,2.8 ,5.9 ,18.3 ,2.613 ,0.105 ,4.7 ,15.5 ,249 ,2370 ,0.234 ,0.050 ,20.2 ,725 ,11.545 ,54.5 
7.4 ,9.5 ,2.7 ,7.5 ,24.6 ,2.028 ,0.097 ,4.7 ,19.5 ,240 ,690 ,0.134 ,0.018 ,29.8 ,215 ,5.809 ,220.3 
6.7 ,8.4 ,3.3 ,7.7 ,12.7 ,1.173 ,0.105 ,6.3 ,21.4 ,344 ,280 ,0.291 ,0.053 ,19.0 ,55 ,1.726 ,1.0 
7.4 ,7.8 ,4.2 ,7.7 ,26.7 ,2.030 ,0.100 ,5.9 ,20.0 ,471 ,860 ,0.519 ,0.054 ,17.3 ,365 ,4.200 ,15.0 
7.2 ,7.1 ,3.7 ,7.5 ,19.3 ,1.005 ,0.098 ,5.3 ,22.6 ,334 ,140 ,0.142 ,0.028 ,39.5 ,15 ,3.217 ,1.5 
7.7 ,6.9 ,3.0 ,7.6 ,13.6 ,1.676 ,0.107 ,6.2 ,22.0 ,344 ,155 ,0.317 ,0.051 ,12.9 ,43 ,2.970 ,0.1 
7.4 ,7.8 ,3.1 ,8.4 ,11.1 ,2.441 ,0.105 ,6.7 ,24.9 ,226 ,255 ,0.471 ,0.070 ,10.5 ,38 ,6.183 ,3.5 
7.4 ,9.5 ,4.7 ,12.9 ,20.8 ,2.338 ,0.096 ,10.0 ,25.8 ,319 ,420 ,0.260 ,0.037 ,62.6 ,240 ,6.418 ,47.1 
6.9 ,8.5 ,6.4 ,10.8 ,10.0 ,2.538 ,0.092 ,8.4 ,24.0 ,303 ,440 ,0.392 ,0.046 ,26.4 ,240 ,7.264 ,7.4 
8.2 ,9.0 ,4.1 ,5.6 ,17.5 ,2.078 ,0.103 ,8.6 ,24.0 ,310 ,250 ,0.636 ,0.031 ,13.4 ,110 ,2.383 ,8.6 
7.3 ,7.1 ,2.6 ,9.2 ,10.2 ,1.881 ,0.101 ,7.3 ,25.3 ,371 ,230 ,0.140 ,0.060 ,9.6 ,170 ,3.292 ,16.5 
7.3 ,7.7 ,2.9 ,9.2 ,35.8 ,2.622 ,0.144 ,5.1 ,23.1 ,159 ,12000 ,0.340 ,0.094 ,3.8 ,1050 ,30.546 ,160.0 
6.9 ,8.7 ,2.0 ,5.2 ,29.2 ,2.717 ,0.077 ,3.2 ,22.2 ,159 ,32000 ,0.131 ,0.053 ,2.1 ,4600 ,34.585 ,115.0 
8.4 ,12.4 ,4.5 ,7.5 ,8.7 ,1.709 ,0.083 ,4.6 ,31.5 ,194 ,720 ,0.066 ,0.006 ,42.9 ,220 ,4.736 ,55.6 
7.9 ,6.1 ,3.7 ,6.6 ,8.0 ,1.010 ,0.061 ,4.6 ,30.2 ,213 ,515 ,0.097 ,0.020 ,18.1 ,40 ,3.814 ,0.0 
6.3 ,7.2 ,2.8 ,7.9 ,13.3 ,1.196 ,0.103 ,5.3 ,28.5 ,204 ,6050 ,0.073 ,0.071 ,11.8 ,200 ,7.668 ,47.5 
6.7 ,7.1 ,3.6 ,8.7 ,10.2 ,1.760 ,0.091 ,5.2 ,26.4 ,231 ,11120 ,0.227 ,0.069 ,6.6 ,1780 ,20.343 ,55.5 
8.2 ,10.2 ,2.4 ,7.7 ,14.5 ,1.671 ,0.107 ,4.4 ,24.7 ,163 ,7600 ,0.207 ,0.093 ,4.4 ,1390 ,37.114 ,79.5 
6.7 ,7.9 ,1.6 ,5.2 ,8.4 ,1.938 ,0.050 ,2.7 ,25.7 ,167 ,11200 ,0.062 ,0.043 ,3.1 ,1680 ,26.544 ,80.0 
7.7 ,8.5 ,1.7 ,7.4 ,13.5 ,2.485 ,0.048 ,3.4 ,23.9 ,227 ,5330 ,0.108 ,0.032 ,3.4 ,1000 ,17.356 ,211.0 
6.7 ,9.6 ,1.4 ,5.0 ,9.0 ,2.075 ,0.034 ,2.3 ,22.6 ,173 ,6120 ,0.127 ,0.030 ,7.0 ,2860 ,30.729 ,137.0 
8.3 ,9.4 ,1.6 ,5.2 ,22.7 ,1.665 ,0.069 ,2.9 ,20.0 ,93 ,8400 ,0.165 ,0.054 ,5.0 ,1600 ,118.877 ,135.0 
8.1 ,9.2 ,1.4 ,4.4 ,5.5 ,2.157 ,0.059 ,2.0 ,22.4 ,230 ,4383 ,0.189 ,0.020 ,5.0 ,225 ,14.645 ,0.0 
7.5 ,9.1 ,1.6 ,4.9 ,5.2 ,1.743 ,0.058 ,1.7 ,19.8 ,272 ,9000 ,0.101 ,0.034 ,8.2 ,930 ,11.074 ,0.0 
7.3 ,7.7 ,2.3 ,5.6 ,7.5 ,1.536 ,0.036 ,2.3 ,19.6 ,207 ,8000 ,0.048 ,0.018 ,5.3 ,810 ,12.153 ,0.0 
7.0 ,10.1 ,1.4 ,7.0 ,4.9 ,1.709 ,0.030 ,4.8 ,17.7 ,391 ,1930 ,0.096 ,0.024 ,10.9 ,180 ,5.515 ,0.0 
6.8 ,8.9 ,2.7 ,6.7 ,18.4 ,2.069 ,0.099 ,4.3 ,14.3 ,218 ,10600 ,0.256 ,0.076 ,6.1 ,2900 ,7.453 ,53.3 
7.2 ,9.2 ,1.8 ,6.6 ,11.3 ,1.868 ,0.063 ,4.1 ,15.9 ,255 ,2800 ,0.136 ,0.056 ,4.4 ,1400 ,6.407 ,29.5 
