pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,NH3_N,PO4_P,Chl_a,log TC,log FC
7.8,12.3,6.1,356,1.3,3.9,3.3,2.573,0.056,3.5,0.077,0.02,8.6,4.2007,2.3222
7.4,11.6,3.8,327,1.5,4.3,4.2,2.898,0.079,3.3,0.224,0.029,7.3,3.4472,2.2553
7.8,12.5,4.8,307,1.8,4.5,5.6,2.929,0.086,3.5,0.222,0.041,8.5,3.0934,2.301
7.7,13.6,10.1,366,4,6.6,13.4,2.255,0.091,5.8,0.062,0.014,42.5,3.0607,2.238
8.5,11.4,15.9,329,5.9,11,18.1,1.422,0.109,7.8,0.024,0.006,110.6,3.9132,2.1761
7.8,10.9,20.6,364,5.8,13.4,21.2,1.626,0.138,9.1,0.124,0.01,71.4,2.7853,1.7482
6.9,7.3,23.7,332,3.9,12.7,12.9,2.142,0.121,9.5,0.286,0.026,32,3.0637,2.4548
7.3,6.6,26.9,225,2.3,8.4,10.3,1.971,0.118,6.2,0.162,0.047,14.1,3.8482,3.1392
7.3,7.5,26.5,183,2.5,7.1,21.5,1.404,0.112,5.3,0.091,0.064,20.4,4.1931,3.346
7.2,8.4,22.4,221,1.7,5.8,6.7,1.412,0.08,4.5,0.038,0.041,10.7,3.7243,3.1578
7.8,11.6,17.2,346,1.6,5.5,3.7,1.813,0.071,4.2,0.092,0.03,17.9,3.3979,2.4393
7.9,11.9,8.8,493,4.1,7.3,9.9,1.917,0.07,6,0.192,0.006,77.5,2.9518,1.8633
7.4,12.7,4.2,363,3.3,5.9,7.5,2.72,0.067,5,0.269,0.005,49.1,3.317,2.7466
8,12.1,3.3,328,2.9,5.6,6.7,2.627,0.072,4.5,0.246,0.012,34.1,3.8451,2.7589
8.2,9.5,4,440,3.2,5.8,7.7,2.659,0.095,4.5,0.075,0.012,46.8,3.0286,2.5575
7.2,10.7,11,261,3.5,7.4,15.6,2.59,0.108,5.5,0.202,0.028,34.2,4.0588,3.0774
7.6,9.8,15.6,272,2.5,6.6,9.2,2.231,0.094,5,0.064,0.023,35.7,3.6665,2.5798
7.4,9.2,20.2,253,2.7,7.2,11.6,2.233,0.131,5.9,0.252,0.058,15.9,3.8146,2.6365
7.1,6.9,24.7,255,2.9,10.8,8.7,1.858,0.115,8.5,0.12,0.05,13.9,3.4232,2.444
7.5,8,27.3,276,3.6,9.6,13.8,1.626,0.125,6.8,0.039,0.074,29.7,3.7024,3
7.2,7.4,26.9,305,2.5,8.4,9.4,1.399,0.112,6.4,0.028,0.05,17.8,3.8528,3.0561
7.5,9.7,23.1,182,2.1,5.3,7.4,1.922,0.082,4.5,0.031,0.036,18.5,3.9482,3.1959
8,11.3,16.2,272,2,5.8,5.6,1.969,0.078,5.3,0.032,0.03,13.8,3.9455,3.0554
7.5,10.4,11.2,305,1.8,5.8,5.5,2.035,0.088,5.8,0.013,0.038,18.1,3.7054,2.4914
7.7,13,5.9,319,1.8,4.3,4.5,2.509,0.071,4.9,0.078,0.034,18.5,3.6435,3.0406
7.9,12.5,3.4,383,1.7,4.3,4.6,2.71,0.073,4.3,0.092,0.014,16.6,2.7185,2.2504
7.9,13.1,4.7,333,2.8,6.6,8.5,2.502,0.1,5.6,0.13,0.028,41.1,3.0881,2.2788
8.4,12.5,9.5,337,4.4,9,17,1.753,0.17,7.3,0.036,0.014,77,3.4065,2.5391
8.2,10.6,15.1,315,4.3,9.5,13.5,1.404,0.161,7,0.165,0.02,52.8,3.4636,2.871
8,8.2,19.7,278,3.7,8.9,16.3,1.501,0.156,6.9,0.272,0.041,40.6,3.8963,2.8585
6.9,8.6,23.2,252,3.5,9.8,10.5,1.82,0.144,7.9,0.177,0.053,17,3.4624,2.9736
7.2,7.7,25.5,216,2.6,7.5,10.5,1.856,0.102,6.5,0.103,0.064,9.2,4.2529,3.5046
7,7.8,27.1,219,2.6,7.9,6.7,1.13,0.089,7,0.039,0.04,20.6,4.0783,3.2584
7.2,8.2,23.2,236,1.6,5.7,4.2,1.729,0.077,4.4,0.037,0.057,6.5,3.9948,3.5087
7.6,10.3,16.8,252,1.3,4.6,4.1,1.968,0.048,3.3,0.031,0.024,10.1,3.9204,3.4669
7.8,9.6,12.6,318,3.4,7,11.4,1.974,0.077,6.5,0.05,0.026,50.2,3.8366,3.3483
7.9,11.9,5.9,344,2.9,5.1,6,2.557,0.055,4.9,0.077,0.025,28,3.6628,3.0035
7.8,16.9,4.9,311,1.9,4.5,4.5,2.814,0.052,2.4,0.275,0.023,7.3,4.5988,3.5185
8,12.2,5.7,312,3.1,5.6,5.7,2.557,0.081,2.7,0.299,0.047,13.2,4.0569,2.8293
8.3,11.2,9.8,329,5.1,8.8,14.3,2.151,0.122,3.8,0.296,0.019,62.1,4.0334,2.9243
8.1,9.2,15.8,264,5.1,10.2,15.6,2.059,0.162,4.6,0.392,0.073,51.9,4.8096,3.4354
8.3,9.7,21.2,187,4.8,10.1,26.4,1.753,0.105,4.5,0.198,0.039,38.8,4.2553,3.2304
8,8.7,24.7,239,3.5,9.8,14.7,2.493,0.09,5.6,0.427,0.033,25.7,4.0881,3.0107
7.6,7.8,25.4,178,3.3,8.1,18.6,2.106,0.114,5,0.191,0.063,17.2,5.1492,3.9031
7.8,6.9,27.2,171,3.2,7.6,15.8,1.428,0.107,3.8,0.269,0.064,24.6,4.9138,4.0682
7.9,8.8,24.4,223,1.7,6,7.5,0.879,0.056,3.4,0.045,0.033,16.7,4.243,3.1139
8,11.8,19.8,248,3.6,7.5,9.7,1.069,0.051,3.6,0.047,0.012,34.4,4.1614,3.4065
7.7,10.4,14.5,292,2.6,7.8,8.3,1.864,0.093,3.7,0.17,0.048,19.8,4.4609,3.6767
7.6,12.2,9.2,303,1.8,5.3,6.7,2.634,0.071,2.9,0.185,0.038,4.8,4.7324,3.0314
7.7,14.7,4.2,328,1.9,4.5,4.4,2.642,0.056,2.3,0.198,0.026,7.5,4.1688,2.699
7.7,13.6,5.2,319,2.6,6.1,7.8,2.932,0.073,2.8,0.246,0.032,10.5,4.273,3.0414
8,12.4,10.7,257,3.6,7.6,21.2,2.471,0.098,3.5,0.223,0.029,27.6,4.0467,3.444
8.4,11,17.8,205,4.6,10.2,16.5,2.104,0.106,4.2,0.102,0.02,54.7,3.5185,2.942
8,9.1,21.5,212,3,7.5,10.7,1.65,0.068,4.1,0.061,0.02,25.7,3.6812,2.5911
7.8,8,24,222,2.8,9.2,11.8,2.234,0.077,5.2,0.188,0.032,25.1,3.2788,2.7024
7.7,8.6,27.1,204,2.2,7.3,9.3,2.145,0.09,3.6,0.127,0.056,17.5,3.6835,3.4683
8,8,28.7,244,2.9,7.6,9.4,1.111,0.098,4.1,0.074,0.049,35.1,3.9675,3.5977
7.9,10.5,24.6,212,2.1,7.1,6.9,1.548,0.082,3.8,0.078,0.045,14.6,4.1561,3.6857
7.7,10.3,18.4,197,2.4,6.3,9.4,2.05,0.123,3.7,0.128,0.084,5.7,4.1351,3.6767
8.4,12.2,11.7,230,3.6,5.1,7,2.234,0.074,4,0.057,0.02,45.3,4.1348,3.4713
8,13.4,6.3,290,3.5,4.9,9.5,2.767,0.095,3.1,0.312,0.026,26.8,4.6128,4.0414
8,14.2,4.7,336,2.8,4.9,7.8,2.876,0.078,2.8,0.255,0.039,9.2,3.9754,3.4023
7.9,13.3,5.7,321,3.6,5.9,13.3,2.727,0.077,3.7,0.168,0.018,22.8,3.9365,3.3902
8.2,12.8,9.8,282,5.7,9.4,20.9,1.926,0.106,5.5,0.087,0.036,120.6,4.238,3.0792
8.3,10.1,16.7,276,8.1,12.4,28.3,1.799,0.152,6.7,0.172,0.046,117.7,4.525,3.935
8,11.5,20.9,311,4.8,11.3,20.1,1.591,0.123,6.9,0.283,0.038,32.8,4.2234,2.8739
8.1,10.4,24.3,245,5,12.3,19.1,2.192,0.102,6.9,0.266,0.029,53.7,4.4878,3.7597
7.9,6.9,27.3,217,3.1,9.1,13.7,2.301,0.156,5.1,0.378,0.095,14.2,4.8497,4.4693
7.7,7.9,27.3,161,2.9,8.4,30.7,1.697,0.138,4.4,0.237,0.081,24.1,5.4257,5.3186
8,9.3,24.4,188,1.9,6.7,15.3,1.082,0.079,3.8,0.043,0.04,37.4,4.4074,3.9261
8.3,10.5,19,281,3,6.2,7.8,1.412,0.067,3.3,0.049,0.022,46.3,3.9031,3.5711
8.2,13.5,11.2,339,4.6,7.5,9.3,2.115,0.103,4.1,0.402,0.018,58.2,4.5641,4.2906
7.9,13.4,5.2,376,4.1,7.4,8.4,2.832,0.11,4.4,0.227,0.018,43.1,4.7976,4.0943
7.9,14.8,4.7,355,4.6,7.3,10.7,2.902,0.092,3.8,0.174,0.012,53.8,4.8528,3.9345
8.2,11.2,4.3,354,3.6,7.4,9.3,2.453,0.073,3.6,0.129,0.013,40.2,4.2162,2.9948
7.4,11.6,12,263,3.6,8.5,19.8,2.838,0.122,4.8,0.329,0.03,49.9,4.8146,3.7163
7.9,10.9,15.9,229,3.5,8.1,21.7,2.285,0.115,4.2,0.126,0.032,55.6,4.6075,3.9956
7.9,10.4,21.2,215,3.5,8.8,31.6,2.297,0.124,5.1,0.191,0.059,51,4.9542,3.2783
7.8,9.3,25.6,251,3.2,10.2,22.2,1.731,0.105,5.8,0.118,0.027,66,4.1584,3.1183
7.7,10.3,26.8,182,2.7,9.1,31,1.676,0.139,4.5,0.067,0.073,55.9,4.1414,3.4958
8,8.8,28.7,176,2.6,7.9,17,1.054,0.14,4.4,0.047,0.078,47.4,3.8451,3.7871
7.8,8.9,24.7,175,0.8,4.8,7.3,1.855,0.101,2.9,0.061,0.05,35.9,3.8921,3.3833
8,12.4,17.7,283,2.8,6,9.6,1.893,0.1,3.6,0.082,0.032,42.7,4.0689,3.5289
7.9,15,11.3,289,3.3,6.1,9.4,1.993,0.104,3.8,0.078,0.02,47.5,4.3594,3.48
7.8,9.7,6.6,294,2.9,5.3,6.8,2.922,0.102,3,0.191,0.038,29.1,4.5208,3.5488
7.6,14.4,4.6,304,3,5.6,5.5,2.539,0.086,3.2,0.1,0.021,28,3.8921,3.1717
7.5,12.8,5.9,288,4.1,8.8,12.3,2.396,0.116,3.6,0.087,0.012,57.7,3.8921,2.7404
8,12.6,8.8,256,6.1,10,20.7,2.158,0.145,5.4,0.247,0.024,95.3,4.48,3.382
8.1,10.8,15.2,275,6.1,10.6,17,2.63,0.153,5.5,0.606,0.022,52.9,4.9229,3.5523
8.3,10.8,19.6,240,4.7,10.5,23.7,1.827,0.144,5.5,0.285,0.031,32,3.9432,3.4735
7.8,8.4,23.6,207,3.3,10.3,13.3,2.04,0.095,6,0.169,0.04,31.3,4.1302,3.3551
7.9,9.6,24.4,196,2.6,9.2,16.5,2.075,0.12,5.2,0.187,0.062,23.7,4.3715,3.5315
8.3,9,27.5,188,2.9,8.8,31.2,1.685,0.144,5.5,0.115,0.082,26.3,5.0289,4.8836
7.8,9.4,23.8,202,1.2,6.7,5.9,1.805,0.117,3.6,0.077,0.071,12,4.1139,3.4942
8,12.7,18.8,209,1.6,5.6,7.2,2.095,0.078,3.3,0.065,0.037,18.9,4.0986,3.4778
7.9,11.2,13.3,256,2.9,8.5,18.3,2.508,0.118,4.3,0.414,0.046,17.3,5.2309,4.3781
8.5,17.7,6.5,305,5.9,9.5,22.5,2.439,0.133,4.3,0.113,0.022,100.1,4.2335,3.483
7.5,14.9,7.9,413,2.9,6.7,4.9,8.417,0.088,3.4,4.182,0.048,4.3,4.8722,4.2253
7.6,11.5,8.9,450,5.3,8.4,9.7,9.795,0.116,4.1,5.869,0.065,12.3,4.7076,3.6628
7.5,10.4,11.9,468,5.2,9.4,10,10.757,0.103,4.9,6.915,0.012,46.4,4.5159,3.2833
7.5,9.3,17.1,393,6.9,11.1,16.5,8.068,0.164,5.1,4.006,0.053,43.6,5.3838,4.2122
7.6,9.2,22.1,378,5.6,10.5,14.5,6.933,0.081,4.7,3.373,0.015,32.9,4.4553,3.7243
7.7,9.1,24.4,329,6,10.1,18.4,5.847,0.085,5.6,2.969,0.02,26.1,4.7118,3.7202
7.7,7.5,25.7,240,6.1,9,13.3,3.482,0.142,4.8,1.219,0.079,16.4,5.2788,4.4586
7.6,7.5,27.2,285,5.6,9.5,9.6,4.637,0.162,4.2,2.118,0.096,27,5.3512,4.5826
7.7,8.5,24.6,304,2.5,7,4.7,4.47,0.081,3.8,1.372,0.048,15.4,4.3979,4.0107
7.5,9.7,20.7,345,4.9,8.6,13.5,6.371,0.119,5.1,1.86,0.071,15.3,5.277,4.6474
7.5,9.4,16.2,380,3.7,8,6.8,5.647,0.1,4,1.743,0.057,15.6,4.638,3.8794
7.2,10.5,11.8,416,1.7,5.6,4.4,6.283,0.071,3.1,1.505,0.044,3.1,4.2553,3.3918
7.4,13.1,7.5,481,2.9,6.2,4.2,7.986,0.078,3.3,2.403,0.042,8.3,3.8162,3.301
7.5,12.4,7.4,410,2.7,7.1,6.2,7.365,0.114,3.5,3.088,0.064,7.8,4.4983,4.1106
7.2,10.5,12.5,408,4.5,8.7,17.4,8.296,0.197,4.6,3.339,0.096,19.9,4.7279,4.8352
7.9,9.4,18.5,281,6.8,10.1,17.1,6.496,0.195,4.5,2.19,0.09,35.3,4.7384,4.0054
7.5,9.1,21.3,299,4.2,8,7.9,4.834,0.147,4,1.77,0.07,22.3,4.357,3.3636
7.4,7.5,24.5,326,5.9,8.8,8.2,6.267,0.156,5,2.91,0.088,14.3,4.3952,3.7042
7.6,9,27.1,265,4.2,7.2,10.6,4.403,0.153,3.8,1.588,0.106,20.2,4.143,3.9191
7.8,8.3,28.4,348,5.3,9.1,11.4,5.729,0.137,4.7,2.185,0.072,60.7,4.419,4.1232
7.5,8.5,24.9,304,3,7.2,7.3,4.198,0.121,3.9,1.672,0.078,10.9,4.4983,3.8543
7.1,10,19.7,268,2.7,5.4,5.5,4.29,0.198,3.6,1.158,0.139,2.1,4.9098,4.5809
7.5,10.9,14.6,336,4,6.1,5.4,7.694,0.082,4.1,2.517,0.028,20.8,4.4533,4.0821
7.7,12.4,11.2,469,4.5,6.9,7.6,8.209,0.132,4.3,2.823,0.029,29.5,4.8588,4.2014
7.6,12.4,8.1,468,4,7.1,5.1,9.673,0.14,4,4.036,0.068,10.8,4.6042,3.7959
7.5,11.9,9,443,4.5,7.8,7.9,11.091,0.164,5.2,6.001,0.06,18,5.0406,4.367
7.6,11.5,12.6,458,6.9,10.9,14.4,9.863,0.197,6.3,6.093,0.032,71.4,4.4878,3.6623
7.6,10.3,17.8,379,7.1,11.6,17.2,7.39,0.115,6.4,3.024,0.027,71.2,4.9151,3.899
7.6,9.6,22.2,494,4.9,11.1,11.7,10.628,0.153,6.9,5.755,0.047,22.3,4.5883,3.5826
7.9,11.5,24.7,352,7.6,13.6,17.7,7.221,0.113,7.4,3.318,0.022,67.4,4.6266,3.9269
7.6,7.1,27.1,269,5.3,9.6,14.1,4.371,0.175,5.2,1.908,0.099,15.1,4.8921,4.6048
7.5,8.1,27,210,4.5,9.6,30.3,5.23,0.223,4.9,2.715,0.149,21.8,5.4208,5.3459
7.3,7.5,24.3,361,3.7,7.5,13.6,5.886,0.128,4.1,2.389,0.067,23.4,5.1584,4.905
7.4,9,20.5,414,4.7,7.5,7.2,6.957,0.094,3.8,3.205,0.034,33.9,4.4962,4.338
7.5,10.9,13.8,479,5.4,8.7,8.3,8.074,0.089,5.3,3.185,0.006,53.9,3.688,3.3874
7.7,12.3,8.2,512,8,10.2,16.9,7.947,0.119,5.7,4.105,0.007,68.1,4.7526,4.4249
7.5,13,8.4,485,7.3,10.5,18.3,10.486,0.136,5.5,5.766,0.034,64,4.9811,4.6527
7.8,13.7,9,448,5.9,10,11.2,11.501,0.106,5.6,8.594,0.021,50.6,4.842,4.4407
7.2,11.3,13.3,337,8,12,25.7,8.14,0.191,6.1,5.037,0.079,50.3,5.4635,5.0197
7.5,10.8,16.5,326,7.4,9.9,22.1,7.026,0.166,4.8,3.789,0.09,45.3,5.3627,4.7899
7.7,11.1,21.2,309,9.1,9.8,22.7,5.548,0.236,5.4,3.31,0.136,66.6,4.8112,3.5085
7.3,9.8,25.8,303,5,9.7,14.7,5.33,0.114,5.6,3.187,0.038,47.1,4.0719,3.5185
7.3,8.2,26.8,321,8,10.2,21,6.915,0.208,4.8,4.75,0.133,31.3,5.3856,4.9204
7.6,8.8,29.3,357,6.6,10.2,18.3,7.542,0.187,5.3,5.504,0.11,38.7,5.1652,4.7255
7.3,7.8,24.7,262,4.1,6.2,10.4,5.072,0.166,3.6,2.862,0.095,28.1,4.7324,4.2617
7.4,11.4,18.9,393,5.1,7.1,9.8,7.143,0.192,4.2,3.638,0.11,35.2,4.4301,4.0899
7.7,9.6,14.7,442,7.9,8.4,10.3,9.608,0.255,5.1,6.539,0.138,33.4,4.9141,4.4706
7.6,8.2,9.4,449,7.2,9.1,12.9,11.538,0.344,5,5.954,0.229,37.7,5.3953,5.1957
7.3,12.4,8.6,474,6,8.1,9.7,9.384,0.122,5,6.281,0.026,40.5,4.1973,3.4393
7.3,11.8,8.8,458,7.7,11.3,19.2,11.656,0.142,5.6,8.402,0.01,60.3,4.368,3.301
7.6,10.8,12.9,385,10,12.7,19.7,10.815,0.164,6.2,7.551,0.031,60.5,4.7818,4.1327
7.5,9.5,15.6,398,8.8,11.7,17.1,9.274,0.172,5.8,6.071,0.04,26.5,4.9965,4.2529
7.5,9,19.9,379,8.2,10.4,15,7.874,0.114,5.5,5.367,0.04,12.6,4.663,3.8603
7.6,8.9,24.1,335,8.9,11.4,13.1,6.385,0.112,6.1,3.942,0.046,17.8,4.3962,3.7745
7.4,8.1,25.6,272,7.8,10.6,15.4,5.356,0.194,6.1,2.642,0.128,19.4,5.0284,4.4683
7.6,8,27.5,315,7.6,9.6,22.7,6.017,0.194,6.6,3.341,0.111,26.4,5.3111,4.7871
7.4,9.2,24.3,280,5.7,7.4,10.1,5.499,0.13,4.1,2.948,0.073,11.2,4.6613,4.3988
7.4,11.4,19.6,292,5,6.8,12.1,5.346,0.071,3.5,2.249,0.03,19.3,4.1123,3.5563
7.4,9.8,15.4,398,9.8,12,19.6,9.085,0.266,5.3,5.656,0.167,30.2,5.3928,5.1547
7.7,13.8,10,414,8.6,11.5,23.3,7.204,0.148,5.3,3.474,0.005,112.1,5.0443,4.4903
7.5,15.4,7.3,412,2.2,6.4,3.2,8.761,0.067,3.4,4.415,0.034,4.7,4.7284,4.0512
7.5,9.7,8.5,468,3.7,8.4,5.6,10.932,0.147,4.4,6.85,0.081,7.3,5.0022,3.7959
7.5,10.7,12,483,5.5,10.1,12.2,10.242,0.114,5.2,6.249,0.014,63.3,4.9284,3.5658
7.3,8.1,17.5,418,6.7,11.6,13.9,8.951,0.182,5.4,5.049,0.082,46.2,5.3274,4.3181
8,10.8,23.8,376,8.1,12.7,12.5,7.332,0.084,5.7,3.186,0.012,59.5,4.2492,3.1973
7.8,10.5,25.4,333,7.6,13,15.7,6.937,0.151,6.5,3.493,0.057,50.2,5.0934,4.1666
7.6,6.6,25.8,284,6.6,9.6,11.2,5.811,0.238,5.5,2.853,0.154,26.9,5.4385,4.8277
7.5,7.8,28,285,5.8,10.1,11.6,4.643,0.152,4.5,1.874,0.055,66.7,4.6435,4.1538
7.8,9.9,25.5,326,5.4,9.9,10.3,4.66,0.116,4.5,1.573,0.053,98,4.5855,4
7.4,10.6,21.1,385,5.3,9.8,9.5,6.932,0.077,4.7,1.882,0.03,59.8,4.2368,3.6902
7.4,9,16.1,377,3.9,8.6,7.6,5.911,0.176,4.1,2.275,0.118,25,4.5038,4.0065
7.2,10.7,10.9,414,2,6.3,4.7,6.597,0.146,3.4,1.961,0.102,2.9,4.8893,4.2788
7.3,12.6,7.4,467,2.3,6.3,3.9,9.137,0.098,3.5,3.414,0.056,6.7,3.7959,3.3222
7.5,12.8,7.3,394,3.1,7.4,6.7,6.839,0.132,3.6,2.485,0.07,8.2,4.5593,4.0663
7.2,10.6,12.3,382,4.7,9.2,16.9,7.869,0.196,4.5,3.352,0.097,33.1,4.662,3.9096
8,11,19.1,297,7.4,11.3,17,6.931,0.175,5,1.887,0.051,80,4.3274,3.6232
7.5,9.8,21.9,329,5.3,8.1,8.9,5.656,0.149,4.5,2.084,0.074,41.8,4.4586,3.5527
7.6,9.3,25.8,317,9.5,11.3,14.9,6.225,0.201,5.6,2.346,0.048,120.1,4.3147,3.415
7.8,10.6,27.8,272,4.8,8.4,11.1,5.307,0.143,4.2,1.774,0.085,35.5,4.716,4.0065
8.3,9.4,29.9,322,8.6,11.8,15.5,4.636,0.15,5.4,1.473,0.071,88.6,3.9191,3.8458
7.6,8.2,25.2,247,4.5,8,9.6,4.028,0.196,4.3,1.563,0.127,16.4,4.9178,4.3222
7,8.1,20,269,4,7.1,8.5,5.482,0.357,4,2.383,0.249,3,5.3185,4.9708
7.5,10.1,14.5,342,4.6,6.9,8.6,8.822,0.204,4.5,3.849,0.106,35.5,5.1853,4.7604
7.5,12,11,493,4.5,7.4,8.2,9.259,0.217,4.6,3.439,0.091,25.5,4.937,4.5152
7.5,12.8,7.8,465,3.2,7.2,5.7,9.09,0.146,4,3.477,0.07,13.4,4.0253,3.6835
7.4,11.3,8.8,456,4.6,7.9,10.3,11.508,0.247,5.5,6.22,0.122,30.5,5.2117,4.7924
7.6,10.9,12.3,453,6.8,12,18.9,11.999,0.269,7.3,7.117,0.125,70.6,5.3664,4.5058
7.9,12.3,18.7,404,7.8,12.2,18.2,9.085,0.207,6.8,4.256,0.092,117.1,5.372,4.7284
8.3,14.2,24.3,477,7.6,14.3,18.8,10.442,0.203,8.3,4.971,0.062,116.5,3.8808,2.9652
8.2,13,25.5,348,8.2,15.1,21,8.115,0.184,7.2,3.81,0.066,105.3,5.0755,4.2056
7.5,6.1,27.9,283,6.4,11,13.5,5.742,0.516,6.1,2.923,0.364,19,5.0043,4.6803
7.6,7.4,28.1,211,5.3,8,25.8,4.591,0.216,4.8,2.064,0.134,45.9,5.5938,5.4691
7.6,9.5,24.7,330,3.6,8.4,19.8,5.081,0.101,4.6,1.734,0.038,70.3,4.6167,4.5481
7.6,10.5,20.7,410,4.7,8.1,10.1,7.089,0.113,4.7,2.235,0.021,70.4,3.9868,3.618
7.3,10.8,13.9,518,5.3,9.2,10.9,9.258,0.1,5.4,3.908,0.01,68.4,4.3683,3.8707
7.4,11.5,8.4,539,8.4,10.7,19.2,10.065,0.196,6.1,5.974,0.032,57.5,5.526,5.3171
7.3,12.3,8.5,489,4.5,10.5,14.7,10.623,0.113,5.7,5.629,0.016,66.1,5.0043,4.3464
7.6,12.4,8.5,465,4.1,11.2,11.3,13.092,0.161,6,9.924,0.057,41,5.0917,4.7388
7,9.5,13.3,329,7,11.5,26.9,8.196,0.257,6.1,5.222,0.107,41.1,5.4237,4.7178
7.3,10.3,16.4,336,7.1,10.7,41.7,7.347,0.162,4.8,4.216,0.051,47.5,5.2648,4.734
7.4,11.6,21.4,334,6.2,9.2,33.8,5.893,0.132,4.8,3.525,0.043,61.8,5.0294,4.5913
7.3,11.5,25.7,342,4.5,10,26.2,7.381,0.153,5.7,4.754,0.053,52.7,4.248,3.6335
7.1,9,26.5,320,5.6,9.3,24.9,7.084,0.172,5.2,4.855,0.091,41.7,4.7263,4.4233
7.6,9.9,29.1,351,5.6,10.2,23.1,7.556,0.181,5.2,5.148,0.094,59.4,5.0086,4.7376
7.2,8.6,24.8,253,2.1,5.9,13.1,3.956,0.148,3.4,1.887,0.08,41.4,4.3921,4.2077
7.3,11.3,18.6,397,4.7,7.3,10.3,7.284,0.176,4.3,3.738,0.097,36.2,4.4562,4.0983
7.5,10.4,14.1,433,7.1,8,11.4,8.897,0.233,5.6,5.302,0.093,59.2,4.7966,4.3885
7.3,8.2,9.5,485,5.5,7.5,9.9,10.973,0.122,4.8,5.465,0.03,45,5.1503,4.3307
7.3,12.7,8.5,496,5.5,7.2,9,9.617,0.102,5.3,5.488,0.016,59.1,3.769,2.9165
7,11.8,8.8,473,6.3,10.1,15.1,11.121,0.127,5.2,7.307,0.009,81.4,4.1399,3.1781
7.4,10,12.8,398,7.6,12,16.6,12.329,0.345,6.6,7.752,0.164,60,5.3022,4.5514
7.3,9.1,15.4,434,7,11.5,15.1,11.365,0.301,6.1,7.563,0.132,16.7,5.2693,4.824
7.4,8.9,19.7,387,6.3,10.3,11.9,8.55,0.208,5.8,5.852,0.115,12.6,4.7271,4.2852
7.5,8.4,23.6,377,7,11.7,11.7,9.042,0.243,6.4,5.68,0.112,22.6,4.7969,4.4676
7.1,7,25.1,264,5.8,9.7,16.6,6.302,0.175,5.1,3.53,0.111,17.6,5.1892,4.6069
7.2,7.4,27.4,321,5.3,8.7,13.7,6.871,0.137,5.5,3.824,0.066,32.6,4.9148,4.7646
7.2,7.8,23.9,294,4.3,7.6,8.4,6.367,0.179,4.3,3.518,0.106,14,5.3064,4.9919
7.3,10.7,19.2,318,2.8,6.7,7.2,6.96,0.072,3.9,2.819,0.027,20.4,4.2636,3.6021
