p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,Rain,logTC,logFC
7.6 ,10.9 ,476 ,11.3 ,7.1 ,12.2 ,9.7 ,69.5 ,16.0 ,11.880 ,0.610 ,7.712 ,0.454 ,16.712 ,100.4 ,4.2121 ,3.3373 
7.8 ,10.9 ,344 ,16.1 ,6.5 ,11.7 ,7.6 ,94.2 ,16.4 ,6.231 ,0.424 ,2.732 ,0.246 ,18.499 ,82.5 ,4.0213 ,2.9488 
7.7 ,10.7 ,361 ,23.2 ,6.8 ,11.8 ,7.9 ,75.5 ,12.8 ,5.233 ,0.332 ,2.906 ,0.228 ,18.403 ,42.6 ,2.5427 ,1.7532 
8.1 ,12.0 ,360 ,26.3 ,7.6 ,13.7 ,9.2 ,89.0 ,13.7 ,6.126 ,0.355 ,3.168 ,0.236 ,21.000 ,83.1 ,2.3822 ,1.7684 
7.7 ,10.2 ,224 ,27.2 ,4.9 ,10.2 ,6.1 ,52.4 ,21.8 ,3.144 ,0.150 ,0.674 ,0.082 ,102.915 ,330.6 ,3.0980 ,2.4080 
7.2 ,6.5 ,194 ,28.0 ,4.7 ,8.5 ,5.0 ,37.3 ,17.4 ,2.642 ,0.136 ,0.768 ,0.111 ,75.448 ,473.5 ,4.4934 ,3.6878 
7.5 ,8.8 ,141 ,23.0 ,1.8 ,5.5 ,2.5 ,10.7 ,11.2 ,2.434 ,0.069 ,0.316 ,0.052 ,146.063 ,272.0 ,4.1677 ,3.2657 
7.1 ,9.7 ,234 ,19.0 ,3.5 ,6.5 ,3.6 ,38.6 ,8.7 ,3.375 ,0.081 ,0.608 ,0.042 ,18.133 ,82.8 ,3.3320 ,2.7673 
7.3 ,9.1 ,351 ,12.3 ,3.0 ,6.6 ,4.0 ,18.5 ,5.4 ,5.328 ,0.112 ,1.681 ,0.073 ,17.387 ,45.9 ,3.7385 ,2.6347 
7.3 ,12.1 ,341 ,5.8 ,3.5 ,6.6 ,3.7 ,11.9 ,9.5 ,5.182 ,0.137 ,1.676 ,0.076 ,20.153 ,79.6 ,3.9027 ,2.9265 
7.1 ,11.7 ,417 ,4.0 ,3.5 ,7.4 ,4.8 ,12.3 ,5.8 ,6.910 ,0.140 ,3.232 ,0.093 ,16.706 ,18.6 ,3.6863 ,2.0862 
7.2 ,11.0 ,281 ,5.0 ,3.3 ,6.2 ,4.4 ,4.5 ,8.2 ,5.196 ,0.135 ,2.397 ,0.094 ,30.944 ,49.0 ,4.1859 ,2.4004 
7.5 ,12.4 ,318 ,12.2 ,5.7 ,10.4 ,6.1 ,61.9 ,16.9 ,5.986 ,0.168 ,2.896 ,0.043 ,32.160 ,75.9 ,3.7762 ,2.4830 
7.6 ,10.1 ,363 ,14.5 ,5.1 ,9.7 ,5.7 ,58.5 ,10.1 ,7.251 ,0.100 ,4.056 ,0.033 ,14.728 ,55.9 ,3.2289 ,1.9808 
7.8 ,10.2 ,355 ,22.1 ,6.4 ,12.7 ,6.7 ,71.7 ,11.0 ,6.011 ,0.242 ,3.671 ,0.175 ,31.743 ,86.5 ,3.6977 ,2.7362 
7.2 ,7.7 ,301 ,24.9 ,5.3 ,11.2 ,6.4 ,67.1 ,11.8 ,5.309 ,0.161 ,2.505 ,0.081 ,29.729 ,83.7 ,4.1963 ,3.6612 
7.4 ,7.1 ,261 ,27.1 ,4.3 ,7.5 ,5.1 ,39.5 ,14.3 ,3.683 ,0.141 ,1.071 ,0.056 ,75.924 ,345.1 ,3.4556 ,3.0760 
7.7 ,7.1 ,250 ,29.8 ,4.4 ,9.3 ,5.5 ,54.4 ,10.6 ,3.594 ,0.182 ,1.353 ,0.105 ,47.278 ,297.2 ,3.1934 ,2.8950 
7.8 ,8.5 ,232 ,25.3 ,3.9 ,7.0 ,4.7 ,49.3 ,6.7 ,3.376 ,0.144 ,0.755 ,0.060 ,26.117 ,77.5 ,3.3426 ,2.9574 
7.5 ,9.5 ,357 ,20.7 ,4.0 ,7.4 ,4.9 ,60.3 ,9.6 ,5.121 ,0.086 ,1.146 ,0.016 ,16.872 ,32.8 ,2.7697 ,2.1485 
7.7 ,10.4 ,384 ,13.0 ,6.0 ,7.2 ,5.4 ,50.6 ,14.0 ,5.973 ,0.116 ,1.308 ,0.031 ,16.651 ,95.0 ,3.5948 ,2.8287 
7.4 ,11.2 ,473 ,7.6 ,4.1 ,6.6 ,5.1 ,12.1 ,6.2 ,6.544 ,0.128 ,2.305 ,0.057 ,14.976 ,19.3 ,3.2955 ,2.1697 
7.5 ,13.3 ,485 ,5.8 ,3.9 ,7.0 ,4.8 ,26.3 ,8.1 ,8.590 ,0.093 ,4.091 ,0.006 ,11.366 ,26.4 ,2.5070 ,1.0039 
7.6 ,12.3 ,482 ,7.6 ,6.5 ,9.9 ,7.2 ,57.4 ,15.1 ,9.945 ,0.134 ,5.798 ,0.010 ,9.354 ,8.6 ,2.6776 ,1.5284 
7.6 ,10.3 ,457 ,10.4 ,7.0 ,10.6 ,8.4 ,53.3 ,11.1 ,7.798 ,0.182 ,4.781 ,0.040 ,10.650 ,101.7 ,3.2819 ,2.0444 
7.4 ,7.5 ,427 ,16.5 ,7.0 ,9.1 ,6.5 ,52.7 ,12.4 ,6.001 ,0.136 ,2.970 ,0.039 ,15.001 ,62.5 ,3.5338 ,2.4818 
7.6 ,9.8 ,382 ,20.9 ,6.5 ,10.0 ,7.4 ,71.7 ,15.4 ,5.056 ,0.149 ,2.156 ,0.024 ,27.080 ,56.0 ,3.1719 ,2.1561 
7.8 ,9.3 ,338 ,24.7 ,5.1 ,9.5 ,8.1 ,60.4 ,13.5 ,4.824 ,0.124 ,2.189 ,0.021 ,17.969 ,72.0 ,2.7832 ,1.9811 
7.6 ,7.1 ,295 ,26.0 ,5.2 ,9.4 ,6.3 ,58.2 ,12.8 ,4.409 ,0.188 ,1.911 ,0.078 ,60.399 ,240.9 ,3.1577 ,2.5340 
7.1 ,7.5 ,152 ,24.4 ,3.7 ,7.0 ,4.5 ,13.4 ,29.7 ,2.728 ,0.220 ,0.584 ,0.091 ,155.490 ,370.2 ,4.6780 ,4.2204 
7.4 ,8.6 ,282 ,24.5 ,4.2 ,7.0 ,5.1 ,21.7 ,8.6 ,3.807 ,0.128 ,0.934 ,0.046 ,23.917 ,116.5 ,3.4768 ,2.8692 
7.4 ,9.6 ,332 ,19.8 ,4.4 ,6.9 ,5.0 ,12.1 ,9.5 ,4.258 ,0.111 ,0.857 ,0.042 ,21.623 ,105.0 ,3.6455 ,3.2675 
7.4 ,11.5 ,360 ,13.3 ,4.1 ,6.5 ,4.9 ,47.3 ,10.4 ,4.942 ,0.100 ,1.290 ,0.023 ,40.457 ,95.0 ,3.5227 ,2.6316 
6.9 ,9.9 ,416 ,6.7 ,2.9 ,4.8 ,4.2 ,3.4 ,5.0 ,5.310 ,0.126 ,2.074 ,0.087 ,26.397 ,47.5 ,4.1807 ,3.3634 
6.9 ,11.9 ,403 ,5.6 ,2.5 ,5.0 ,4.5 ,7.1 ,6.4 ,6.382 ,0.115 ,3.178 ,0.055 ,20.630 ,47.2 ,3.3745 ,1.7559 
7.1 ,12.6 ,422 ,6.5 ,4.3 ,6.5 ,5.3 ,27.9 ,6.7 ,7.327 ,0.110 ,4.068 ,0.029 ,18.073 ,23.9 ,3.3403 ,1.7266 
7.4 ,12.0 ,430 ,10.4 ,6.9 ,10.0 ,7.0 ,99.8 ,13.4 ,7.658 ,0.147 ,4.521 ,0.017 ,12.371 ,36.5 ,2.9975 ,1.5977 
7.2 ,7.5 ,346 ,15.8 ,5.6 ,8.9 ,6.5 ,56.0 ,12.5 ,5.658 ,0.162 ,2.966 ,0.049 ,22.021 ,145.5 ,3.5017 ,2.3155 
7.0 ,6.4 ,309 ,20.9 ,6.3 ,8.4 ,6.2 ,56.3 ,11.5 ,5.195 ,0.140 ,2.582 ,0.027 ,19.311 ,48.6 ,3.0886 ,2.3476 
6.7 ,6.8 ,290 ,23.9 ,5.3 ,8.3 ,6.3 ,44.6 ,13.2 ,4.456 ,0.126 ,1.874 ,0.025 ,19.118 ,96.1 ,3.4036 ,2.5575 
7.5 ,7.1 ,237 ,26.2 ,4.2 ,8.3 ,5.9 ,57.0 ,9.6 ,3.352 ,0.137 ,0.953 ,0.041 ,38.434 ,164.3 ,3.4077 ,2.8418 
7.3 ,6.7 ,291 ,27.8 ,4.3 ,7.6 ,5.8 ,60.0 ,10.6 ,4.168 ,0.190 ,1.283 ,0.063 ,21.543 ,141.2 ,3.3238 ,2.8662 
7.2 ,8.1 ,322 ,24.0 ,4.4 ,7.1 ,5.2 ,38.1 ,8.7 ,4.487 ,0.153 ,1.428 ,0.049 ,19.761 ,66.6 ,3.3006 ,2.7519 
7.0 ,8.9 ,313 ,20.1 ,4.3 ,7.1 ,5.9 ,38.8 ,9.4 ,4.514 ,0.118 ,1.064 ,0.039 ,14.647 ,90.9 ,2.6431 ,2.1148 
6.7 ,5.8 ,349 ,15.6 ,4.2 ,6.6 ,5.3 ,23.0 ,5.9 ,5.011 ,0.202 ,1.801 ,0.093 ,21.203 ,121.9 ,3.9411 ,3.2630 
6.6 ,9.2 ,341 ,9.0 ,2.3 ,5.2 ,2.6 ,7.5 ,3.3 ,4.916 ,0.169 ,1.234 ,0.089 ,23.383 ,59.2 ,4.0564 ,2.8513 
7.2 ,12.8 ,417 ,6.6 ,2.6 ,5.4 ,5.3 ,28.5 ,5.1 ,6.783 ,0.124 ,1.672 ,0.036 ,15.677 ,49.7 ,2.8420 ,1.4128 
7.1 ,12.0 ,355 ,6.9 ,3.5 ,5.8 ,5.5 ,20.3 ,8.6 ,5.428 ,0.154 ,1.762 ,0.072 ,23.339 ,45.2 ,3.0318 ,1.5028 
7.2 ,10.4 ,317 ,11.6 ,4.8 ,7.4 ,6.1 ,46.4 ,19.5 ,4.855 ,0.176 ,1.311 ,0.046 ,26.807 ,55.2 ,3.2885 ,1.8302 
7.2 ,10.0 ,284 ,16.6 ,5.4 ,7.9 ,5.9 ,64.3 ,12.8 ,3.833 ,0.137 ,0.889 ,0.025 ,29.265 ,185.0 ,3.4501 ,2.4793 
6.9 ,9.4 ,287 ,21.4 ,4.5 ,7.6 ,6.0 ,65.8 ,10.1 ,4.087 ,0.140 ,1.309 ,0.045 ,26.044 ,108.1 ,3.6833 ,3.0647 
6.9 ,7.2 ,288 ,24.3 ,4.0 ,7.8 ,7.0 ,42.4 ,7.0 ,4.023 ,0.146 ,1.365 ,0.068 ,24.420 ,116.1 ,3.9998 ,2.7850 
6.9 ,6.5 ,230 ,26.2 ,3.9 ,6.9 ,6.2 ,36.7 ,10.7 ,3.277 ,0.166 ,1.072 ,0.085 ,59.187 ,301.3 ,3.7689 ,3.1887 
6.8 ,4.3 ,317 ,29.0 ,4.5 ,8.6 ,7.3 ,61.0 ,9.7 ,3.845 ,0.204 ,1.669 ,0.117 ,22.217 ,81.0 ,3.7563 ,2.9267 
7.0 ,6.8 ,276 ,24.0 ,4.1 ,7.0 ,5.7 ,49.5 ,9.1 ,3.613 ,0.152 ,1.076 ,0.077 ,36.609 ,251.2 ,3.9432 ,3.1943 
6.5 ,7.1 ,220 ,19.5 ,3.0 ,5.9 ,4.6 ,8.4 ,11.8 ,3.153 ,0.192 ,0.807 ,0.126 ,42.963 ,216.7 ,4.3956 ,3.7620 
7.0 ,10.8 ,371 ,13.2 ,3.8 ,6.6 ,5.4 ,48.2 ,8.7 ,5.604 ,0.163 ,1.577 ,0.061 ,16.251 ,31.5 ,3.7229 ,2.9590 
7.0 ,10.9 ,428 ,8.3 ,4.1 ,7.3 ,6.1 ,46.5 ,10.0 ,6.097 ,0.122 ,1.738 ,0.023 ,15.293 ,44.9 ,3.4044 ,2.4758 
7.0 ,13.1 ,432 ,6.1 ,4.0 ,7.2 ,5.7 ,42.9 ,9.0 ,6.447 ,0.114 ,1.892 ,0.019 ,12.284 ,11.7 ,2.9565 ,1.6859 
7.2 ,13.8 ,473 ,7.0 ,5.5 ,9.1 ,7.8 ,69.3 ,14.7 ,7.673 ,0.154 ,3.512 ,0.020 ,16.996 ,41.9 ,3.3695 ,1.6813 
7.5 ,14.8 ,428 ,11.1 ,6.8 ,12.4 ,8.8 ,101.4 ,16.0 ,8.267 ,0.121 ,4.164 ,0.018 ,4.914 ,33.2 ,3.3701 ,1.6790 
6.8 ,10.5 ,369 ,16.6 ,7.3 ,11.7 ,8.7 ,34.2 ,9.9 ,6.152 ,0.159 ,3.048 ,0.044 ,13.412 ,59.9 ,3.3654 ,2.0278 
7.2 ,8.6 ,445 ,21.6 ,5.9 ,12.6 ,9.0 ,35.2 ,11.0 ,7.440 ,0.133 ,3.606 ,0.038 ,9.681 ,30.2 ,2.1589 ,1.2711 
7.1 ,8.0 ,351 ,24.1 ,6.9 ,14.1 ,10.3 ,55.3 ,13.7 ,4.550 ,0.106 ,1.528 ,0.006 ,23.248 ,42.1 ,1.9665 ,1.4331 
6.4 ,4.6 ,274 ,27.2 ,3.9 ,9.1 ,7.4 ,20.5 ,10.3 ,3.847 ,0.176 ,1.711 ,0.101 ,24.309 ,211.6 ,3.7742 ,3.2610 
6.6 ,3.3 ,262 ,27.5 ,3.8 ,8.8 ,6.8 ,13.9 ,13.7 ,4.244 ,0.181 ,2.362 ,0.104 ,94.799 ,280.5 ,4.2147 ,3.8282 
7.0 ,8.4 ,272 ,23.7 ,3.7 ,7.9 ,5.9 ,38.9 ,10.5 ,3.163 ,0.105 ,0.858 ,0.039 ,47.595 ,108.8 ,3.0638 ,2.5145 
7.1 ,8.4 ,388 ,18.9 ,4.9 ,8.3 ,6.6 ,48.9 ,10.1 ,5.166 ,0.091 ,1.926 ,0.031 ,17.424 ,85.4 ,3.2451 ,2.4544 
7.6 ,12.3 ,480 ,12.1 ,5.3 ,9.8 ,7.4 ,48.1 ,13.7 ,6.340 ,0.087 ,2.229 ,0.008 ,15.681 ,2.1 ,2.7192 ,1.9961 
7.8 ,12.2 ,559 ,7.4 ,5.4 ,9.2 ,7.6 ,40.7 ,17.3 ,7.160 ,0.117 ,3.507 ,0.007 ,25.078 ,28.5 ,3.8520 ,2.9457 
7.2 ,13.5 ,561 ,5.8 ,6.4 ,11.6 ,8.6 ,56.5 ,13.0 ,8.883 ,0.125 ,5.352 ,0.013 ,7.290 ,38.8 ,3.3563 ,1.9425 
7.5 ,13.3 ,548 ,6.5 ,6.1 ,11.8 ,8.9 ,70.0 ,14.1 ,11.563 ,0.177 ,8.907 ,0.023 ,10.175 ,22.0 ,3.0423 ,2.0999 
7.3 ,7.8 ,386 ,11.7 ,6.0 ,11.1 ,8.7 ,41.9 ,25.3 ,7.031 ,0.199 ,4.460 ,0.034 ,38.267 ,115.8 ,4.0488 ,3.3756 
7.4 ,8.2 ,364 ,16.6 ,5.7 ,10.9 ,8.2 ,41.4 ,47.7 ,6.849 ,0.203 ,3.832 ,0.043 ,43.437 ,127.4 ,4.2531 ,3.6187 
7.5 ,8.3 ,306 ,21.5 ,6.2 ,10.7 ,8.1 ,47.7 ,36.6 ,4.675 ,0.183 ,2.270 ,0.048 ,38.195 ,85.4 ,4.4945 ,3.9324 
7.6 ,7.7 ,382 ,26.0 ,6.6 ,11.6 ,8.9 ,50.0 ,24.4 ,5.959 ,0.128 ,3.329 ,0.026 ,33.815 ,222.4 ,3.7968 ,3.2660 
8.0 ,9.2 ,323 ,28.7 ,7.0 ,12.5 ,9.0 ,70.5 ,43.6 ,5.545 ,0.214 ,2.853 ,0.096 ,68.392 ,84.5 ,4.1333 ,3.5599 
8.0 ,9.7 ,343 ,29.5 ,6.7 ,12.9 ,8.9 ,80.1 ,23.2 ,5.043 ,0.227 ,2.788 ,0.090 ,60.961 ,396.1 ,4.0980 ,3.5048 
7.3 ,6.9 ,294 ,24.5 ,4.8 ,8.7 ,6.7 ,28.5 ,10.3 ,4.876 ,0.190 ,2.516 ,0.108 ,17.677 ,129.7 ,4.8478 ,4.5172 
7.3 ,8.7 ,336 ,18.4 ,4.9 ,7.9 ,7.4 ,33.8 ,9.5 ,4.942 ,0.158 ,2.397 ,0.070 ,12.864 ,125.0 ,4.0250 ,3.6027 
7.8 ,9.7 ,415 ,13.4 ,5.1 ,9.7 ,8.6 ,56.9 ,10.6 ,5.688 ,0.209 ,2.488 ,0.066 ,8.473 ,47.2 ,4.3211 ,3.6901 
7.9 ,11.7 ,466 ,8.4 ,4.0 ,8.4 ,8.1 ,62.2 ,9.5 ,6.668 ,0.140 ,2.556 ,0.038 ,12.747 ,32.4 ,3.8880 ,2.9155 
7.8 ,12.5 ,485 ,6.7 ,4.7 ,9.0 ,8.0 ,42.0 ,10.1 ,9.198 ,0.154 ,3.972 ,0.024 ,6.433 ,16.4 ,2.6807 ,1.5150 
7.8 ,12.4 ,434 ,7.5 ,6.6 ,14.1 ,10.5 ,115.2 ,19.1 ,7.597 ,0.195 ,3.777 ,0.018 ,7.281 ,37.0 ,3.8180 ,2.6001 
7.8 ,10.4 ,454 ,12.0 ,6.0 ,12.5 ,9.0 ,66.7 ,12.2 ,8.271 ,0.194 ,5.145 ,0.027 ,8.799 ,33.9 ,3.9251 ,2.5432 
8.3 ,9.0 ,374 ,15.3 ,6.0 ,12.9 ,9.1 ,44.2 ,29.8 ,6.569 ,0.358 ,3.919 ,0.098 ,18.457 ,84.7 ,4.3438 ,3.2742 
7.6 ,8.1 ,349 ,20.6 ,4.8 ,10.3 ,7.7 ,49.6 ,13.3 ,5.090 ,0.197 ,2.642 ,0.045 ,16.081 ,78.8 ,3.9894 ,3.2063 
7.9 ,6.5 ,325 ,24.4 ,6.4 ,13.5 ,9.2 ,63.8 ,14.3 ,4.433 ,0.200 ,2.530 ,0.037 ,14.614 ,158.0 ,3.9744 ,2.7211 
7.7 ,5.7 ,257 ,26.1 ,4.1 ,10.2 ,9.3 ,29.9 ,14.9 ,4.120 ,0.163 ,1.928 ,0.079 ,34.560 ,242.2 ,4.4854 ,3.8721 
7.6 ,7.6 ,273 ,28.1 ,4.0 ,10.0 ,8.6 ,52.4 ,19.7 ,3.918 ,0.181 ,1.575 ,0.063 ,51.418 ,64.8 ,3.8737 ,3.5963 
7.4 ,7.8 ,243 ,24.5 ,3.8 ,7.1 ,4.9 ,28.4 ,8.8 ,3.411 ,0.129 ,1.138 ,0.073 ,41.132 ,165.8 ,4.1834 ,3.7564 
7.8 ,10.2 ,291 ,19.6 ,3.9 ,6.5 ,5.2 ,46.8 ,10.3 ,4.156 ,0.063 ,1.075 ,0.016 ,24.889 ,149.9 ,3.3728 ,2.7353 
7.7 ,10.3 ,419 ,14.9 ,5.0 ,8.5 ,7.7 ,52.0 ,8.7 ,6.361 ,0.086 ,2.714 ,0.061 ,19.908 ,22.8 ,3.1436 ,2.4108 
7.7 ,13.1 ,480 ,9.0 ,6.1 ,10.5 ,8.5 ,70.3 ,14.0 ,7.155 ,0.116 ,2.998 ,0.032 ,12.570 ,31.6 ,3.5738 ,2.7672 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
