p H,DO,BOD,COD,SS,TN, T P,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow,,,,,
7.0 ,5.9 ,5.0 ,10.6 ,20.2 ,4.680 ,0.344 ,6.2 ,26.0 ,318 ,20000 ,0.652 ,0.230 ,4.8 ,3600 ,44.171 ,,,,,
7.2 ,7.0 ,4.8 ,9.9 ,48.2 ,3.078 ,0.278 ,4.5 ,25.0 ,176 ,17000 ,0.366 ,0.123 ,4.9 ,3200 ,380.542 ,,,,,
6.9 ,9.6 ,4.0 ,7.2 ,45.6 ,2.745 ,0.168 ,4.3 ,25.0 ,259 ,37000 ,0.328 ,0.128 ,6.0 ,6200 ,121.887 ,,,,,
6.9 ,5.6 ,4.2 ,9.9 ,42.3 ,3.362 ,0.264 ,5.0 ,26.0 ,308 ,37000 ,0.678 ,0.134 ,13.4 ,19000 ,85.198 ,,,,,
7.2 ,6.6 ,3.9 ,7.0 ,20.5 ,3.575 ,0.182 ,4.2 ,28.0 ,193 ,15000 ,0.707 ,0.116 ,13.4 ,3600 ,33.842 ,,,,,
7.3 ,6.0 ,4.0 ,7.2 ,49.6 ,3.580 ,0.302 ,4.3 ,28.0 ,236 ,18000 ,1.070 ,0.205 ,16.9 ,6000 ,74.423 ,,,,,
7.1 ,6.3 ,3.9 ,6.6 ,60.3 ,2.519 ,0.236 ,4.7 ,26.0 ,168 ,46000 ,0.420 ,0.095 ,10.9 ,16000 ,126.808 ,,,,,
8.2 ,6.7 ,3.7 ,7.4 ,33.3 ,1.744 ,0.219 ,3.8 ,25.0 ,108 ,28000 ,0.146 ,0.078 ,2.1 ,9000 ,411.431 ,,,,,
7.4 ,7.9 ,3.5 ,5.7 ,13.7 ,3.350 ,0.202 ,3.8 ,26.0 ,215 ,6000 ,0.618 ,0.108 ,13.0 ,1000 ,45.174 ,,,,,
7.0 ,7.2 ,2.9 ,5.0 ,20.2 ,2.257 ,0.137 ,3.4 ,25.0 ,168 ,14000 ,0.357 ,0.108 ,5.0 ,4940 ,81.453 ,,,,,
6.8 ,6.6 ,3.4 ,6.1 ,12.0 ,1.744 ,0.151 ,4.4 ,27.0 ,211 ,26000 ,0.570 ,0.121 ,31.4 ,12800 ,55.537 ,,,,,
6.9 ,8.3 ,2.9 ,5.4 ,11.5 ,4.159 ,0.181 ,4.0 ,20.0 ,281 ,6400 ,0.579 ,0.109 ,12.0 ,5000 ,26.292 ,,,,,
6.9 ,8.3 ,3.0 ,5.4 ,12.9 ,4.021 ,0.232 ,4.4 ,20.0 ,285 ,5800 ,0.687 ,0.169 ,13.7 ,3000 ,25.973 ,,,,,
6.8 ,7.3 ,3.2 ,6.6 ,12.7 ,5.371 ,0.331 ,5.1 ,21.0 ,355 ,82000 ,1.305 ,0.233 ,19.6 ,21000 ,19.398 ,,,,,
7.1 ,7.7 ,3.2 ,6.6 ,12.6 ,5.182 ,0.171 ,4.5 ,19.0 ,374 ,4200 ,0.798 ,0.130 ,11.6 ,1900 ,17.323 ,,,,,
7.3 ,10.7 ,2.5 ,6.8 ,8.2 ,4.560 ,0.183 ,4.6 ,15.0 ,338 ,7400 ,0.765 ,0.120 ,8.2 ,2700 ,16.747 ,,,,,
7.3 ,6.0 ,3.6 ,6.6 ,13.1 ,5.908 ,0.258 ,5.1 ,15.0 ,397 ,6200 ,1.650 ,0.181 ,7.5 ,1300 ,14.475 ,,,,,
7.1 ,8.7 ,3.9 ,6.9 ,31.3 ,6.192 ,0.249 ,4.7 ,12.0 ,433 ,7000 ,1.486 ,0.158 ,13.8 ,800 ,13.170 ,,,,,
7.1 ,9.7 ,4.7 ,7.5 ,31.0 ,6.365 ,0.551 ,5.4 ,11.0 ,405 ,9000 ,1.857 ,0.410 ,14.5 ,2800 ,14.808 ,,,,,
7.4 ,9.9 ,5.5 ,9.9 ,23.5 ,7.126 ,0.414 ,6.3 ,12.0 ,491 ,15000 ,2.456 ,0.290 ,33.7 ,3600 ,12.741 ,,,,,
7.4 ,9.9 ,5.0 ,8.6 ,28.0 ,7.277 ,0.528 ,5.7 ,11.0 ,537 ,8600 ,3.213 ,0.386 ,24.9 ,2000 ,13.199 ,,,,,
7.4 ,11.0 ,5.5 ,8.3 ,24.6 ,7.952 ,0.186 ,5.9 ,8.0 ,550 ,6600 ,3.259 ,0.086 ,32.3 ,1600 ,13.756 ,,,,,
6.7 ,11.7 ,6.5 ,9.1 ,52.2 ,6.824 ,0.322 ,6.8 ,5.0 ,498 ,72000 ,2.542 ,0.111 ,40.5 ,16000 ,16.043 ,,,,,
7.4 ,13.2 ,4.9 ,9.8 ,37.8 ,8.900 ,0.478 ,6.1 ,9.0 ,497 ,13600 ,3.732 ,0.324 ,35.2 ,1000 ,12.448 ,,,,,
7.3 ,13.3 ,6.1 ,8.5 ,34.8 ,9.853 ,0.409 ,6.2 ,6.0 ,554 ,36000 ,5.338 ,0.310 ,31.5 ,6400 ,13.603 ,,,,,
6.3 ,12.6 ,5.1 ,8.6 ,21.9 ,9.512 ,0.771 ,6.2 ,6.0 ,474 ,6261 ,4.962 ,0.612 ,26.7 ,548 ,12.336 ,,,,,
7.8 ,12.7 ,5.9 ,8.0 ,23.1 ,9.022 ,0.524 ,6.3 ,4.0 ,514 ,5292 ,5.774 ,0.389 ,25.7 ,155 ,13.716 ,,,,,
7.3 ,12.3 ,4.9 ,8.5 ,23.0 ,10.802 ,0.479 ,7.0 ,4.0 ,541 ,16882 ,6.866 ,0.306 ,16.9 ,2677 ,15.096 ,,,,,
7.3 ,12.5 ,6.2 ,9.1 ,29.7 ,10.780 ,0.653 ,7.0 ,5.0 ,540 ,24125 ,7.420 ,0.511 ,10.1 ,6681 ,11.697 ,,,,,
7.0 ,11.3 ,6.3 ,9.3 ,21.8 ,10.810 ,0.380 ,7.2 ,4.0 ,537 ,4800 ,7.603 ,0.372 ,10.8 ,245 ,14.704 ,,,,,
7.2 ,10.1 ,5.9 ,9.8 ,37.6 ,10.625 ,0.561 ,6.8 ,7.0 ,466 ,43359 ,7.374 ,0.355 ,25.7 ,4109 ,14.325 ,,,,,
7.0 ,9.9 ,7.1 ,10.1 ,23.9 ,9.826 ,0.421 ,6.7 ,5.0 ,527 ,12845 ,6.905 ,0.230 ,28.0 ,959 ,13.276 ,,,,,
6.7 ,10.8 ,6.6 ,9.9 ,20.5 ,9.068 ,0.483 ,8.5 ,9.0 ,505 ,7746 ,6.290 ,0.282 ,42.1 ,346 ,13.544 ,,,,,
7.3 ,9.0 ,6.7 ,10.8 ,57.7 ,6.747 ,0.357 ,7.7 ,7.0 ,310 ,32000 ,1.844 ,0.112 ,13.9 ,8500 ,35.582 ,,,,,
7.3 ,11.2 ,5.0 ,7.6 ,39.3 ,7.871 ,0.478 ,6.6 ,8.0 ,388 ,4800 ,4.060 ,0.337 ,9.3 ,180 ,15.875 ,,,,,
7.9 ,11.3 ,5.3 ,9.7 ,28.8 ,10.248 ,0.596 ,8.2 ,9.0 ,484 ,4600 ,5.445 ,0.414 ,34.3 ,270 ,15.849 ,,,,,
7.8 ,11.2 ,5.3 ,9.6 ,21.6 ,6.799 ,0.304 ,8.1 ,10.0 ,403 ,1675 ,3.854 ,0.173 ,65.0 ,95 ,13.290 ,,,,,
7.7 ,12.5 ,9.4 ,12.3 ,26.1 ,9.757 ,0.855 ,9.4 ,12.0 ,478 ,730 ,5.011 ,0.619 ,84.6 ,332 ,10.913 ,,,,,
7.7 ,9.3 ,10.6 ,14.3 ,67.7 ,8.589 ,0.838 ,10.4 ,14.0 ,459 ,31000 ,5.241 ,0.628 ,56.3 ,4000 ,32.298 ,,,,,
7.8 ,13.5 ,11.8 ,15.5 ,35.2 ,6.125 ,0.431 ,9.3 ,15.0 ,397 ,10000 ,2.602 ,0.202 ,161.2 ,600 ,17.084 ,,,,,
7.9 ,11.7 ,12.1 ,14.0 ,35.3 ,8.021 ,0.877 ,9.8 ,17.0 ,479 ,2000 ,4.015 ,0.616 ,117.2 ,80 ,14.063 ,,,,,
7.5 ,8.3 ,8.7 ,9.6 ,19.2 ,5.938 ,0.280 ,8.6 ,16.0 ,369 ,19100 ,2.975 ,0.148 ,43.2 ,680 ,19.839 ,,,,,
8.1 ,10.5 ,7.7 ,10.6 ,18.5 ,4.405 ,0.268 ,7.5 ,20.0 ,291 ,10267 ,1.418 ,0.115 ,125.0 ,260 ,31.588 ,,,,,
7.4 ,9.6 ,5.2 ,8.2 ,77.7 ,3.470 ,0.287 ,4.8 ,17.0 ,146 ,76000 ,0.489 ,0.090 ,8.4 ,27450 ,192.455 ,,,,,
7.9 ,10.2 ,7.0 ,8.0 ,29.6 ,4.446 ,0.212 ,5.1 ,22.0 ,259 ,1500 ,1.364 ,0.067 ,58.7 ,260 ,23.887 ,,,,,
7.4 ,9.1 ,5.9 ,8.2 ,10.8 ,4.823 ,0.221 ,5.9 ,22.0 ,311 ,1050 ,1.926 ,0.025 ,21.4 ,340 ,24.821 ,,,,,
7.1 ,6.7 ,5.1 ,7.9 ,18.7 ,5.091 ,0.195 ,5.9 ,22.0 ,325 ,500 ,2.088 ,0.099 ,24.2 ,120 ,24.474 ,,,,,
7.1 ,7.0 ,6.7 ,7.9 ,25.1 ,4.488 ,0.231 ,7.0 ,24.0 ,280 ,1017 ,1.492 ,0.126 ,51.3 ,140 ,22.465 ,,,,,
6.6 ,7.9 ,6.5 ,9.6 ,27.0 ,4.885 ,0.358 ,7.9 ,25.0 ,334 ,3700 ,1.940 ,0.193 ,32.4 ,620 ,25.087 ,,,,,
7.6 ,8.2 ,8.7 ,13.0 ,21.2 ,4.371 ,0.270 ,9.2 ,25.0 ,339 ,1533 ,1.290 ,0.138 ,109.9 ,383 ,19.912 ,,,,,
7.9 ,7.8 ,7.0 ,9.1 ,89.8 ,3.676 ,0.327 ,7.1 ,23.0 ,159 ,31100 ,0.758 ,0.120 ,10.9 ,5800 ,68.359 ,,,,,
7.1 ,6.5 ,7.4 ,9.1 ,79.1 ,4.621 ,0.329 ,6.2 ,26.0 ,208 ,86000 ,1.717 ,0.108 ,23.6 ,18000 ,184.455 ,,,,,
8.2 ,8.6 ,4.9 ,10.0 ,229.6 ,2.719 ,0.420 ,5.5 ,22.0 ,98 ,30000 ,0.203 ,0.106 ,9.4 ,7083 ,619.671 ,,,,,
7.4 ,8.9 ,4.8 ,8.2 ,39.6 ,4.490 ,0.223 ,5.0 ,28.0 ,232 ,9000 ,1.544 ,0.127 ,9.2 ,5517 ,44.147 ,,,,,
7.1 ,5.2 ,5.1 ,7.7 ,97.6 ,4.021 ,0.406 ,5.5 ,27.0 ,161 ,90000 ,1.622 ,0.120 ,17.9 ,34000 ,59.466 ,,,,,
7.4 ,7.3 ,2.3 ,6.3 ,21.0 ,2.164 ,0.154 ,4.0 ,29.0 ,141 ,130000 ,0.402 ,0.105 ,12.9 ,45000 ,559.018 ,,,,,
6.9 ,7.9 ,3.0 ,4.8 ,22.5 ,2.395 ,0.134 ,3.6 ,24.0 ,99 ,36000 ,0.138 ,0.060 ,3.1 ,9500 ,320.343 ,,,,,
7.2 ,8.2 ,2.2 ,5.1 ,15.5 ,3.564 ,0.209 ,3.4 ,27.0 ,201 ,32000 ,0.676 ,0.140 ,2.7 ,9000 ,81.668 ,,,,,
6.9 ,7.3 ,3.1 ,5.3 ,11.9 ,2.865 ,0.168 ,3.9 ,24.0 ,188 ,13800 ,0.415 ,0.117 ,7.9 ,2700 ,65.771 ,,,,,
7.1 ,9.4 ,3.6 ,6.2 ,9.4 ,3.714 ,0.181 ,4.2 ,28.0 ,257 ,11700 ,0.889 ,0.106 ,29.5 ,5550 ,42.577 ,,,,,
8.0 ,9.5 ,5.4 ,10.0 ,11.8 ,3.363 ,0.233 ,6.0 ,28.0 ,294 ,983 ,0.173 ,0.122 ,102.3 ,181 ,48.960 ,,,,,
9.1 ,10.8 ,5.4 ,8.1 ,9.8 ,2.597 ,0.114 ,5.4 ,28.0 ,237 ,8500 ,0.114 ,0.014 ,74.2 ,195 ,52.152 ,,,,,
7.7 ,8.6 ,7.0 ,7.4 ,9.0 ,3.956 ,0.133 ,4.6 ,27.0 ,313 ,16200 ,1.921 ,0.078 ,66.6 ,209 ,55.343 ,,,,,
8.0 ,9.5 ,5.4 ,10.0 ,11.8 ,3.363 ,0.233 ,6.0 ,28.0 ,294 ,983 ,0.173 ,0.122 ,102.3 ,181 ,48.960 ,,,,,
9.1 ,10.8 ,5.4 ,8.1 ,9.8 ,2.597 ,0.114 ,5.4 ,28.0 ,237 ,8500 ,0.114 ,0.014 ,74.2 ,195 ,52.152 ,,,,,
7.7 ,8.6 ,7.0 ,7.4 ,9.0 ,3.956 ,0.133 ,4.6 ,27.0 ,313 ,16200 ,1.921 ,0.078 ,66.6 ,209 ,55.343 ,,,,,
7.7 ,9.1 ,5.1 ,6.3 ,10.0 ,4.399 ,0.241 ,4.6 ,22.0 ,292 ,4033 ,1.241 ,0.142 ,43.5 ,2500 ,40.658 ,,,,,
7.5 ,11.1 ,2.6 ,6.1 ,5.4 ,6.314 ,0.559 ,4.6 ,19.6 ,344 ,2600 ,1.521 ,0.475 ,13.6 ,970 ,25.973 ,,,,,
6.7 ,10.9 ,5.1 ,7.3 ,12.3 ,6.494 ,0.562 ,4.6 ,19.6 ,386 ,1800 ,1.744 ,0.476 ,32.6 ,635 ,19.398 ,,,,,
8.6 ,13.7 ,6.8 ,11.1 ,10.7 ,6.499 ,0.519 ,7.1 ,18.8 ,423 ,2825 ,1.495 ,0.438 ,103.4 ,95 ,17.323 ,,,,,
8.1 ,10.4 ,7.1 ,9.1 ,15.5 ,6.170 ,0.646 ,6.9 ,17.6 ,402 ,500 ,1.376 ,0.496 ,77.1 ,25 ,16.747 ,,,,,
8.0 ,13.4 ,8.7 ,10.8 ,29.8 ,8.026 ,0.741 ,8.1 ,18.2 ,454 ,3300 ,1.690 ,0.458 ,140.3 ,905 ,11.941 ,,,,,
7.6 ,9.7 ,5.9 ,8.5 ,19.6 ,5.726 ,0.506 ,7.2 ,18.4 ,407 ,1850 ,0.694 ,0.365 ,55.2 ,700 ,16.946 ,,,,,
7.3 ,9.9 ,5.9 ,8.1 ,20.4 ,6.073 ,0.623 ,5.7 ,14.9 ,425 ,4400 ,0.976 ,0.478 ,54.4 ,1570 ,35.593 ,,,,,
6.7 ,10.3 ,3.5 ,6.9 ,18.7 ,5.585 ,0.475 ,5.0 ,10.4 ,304 ,22000 ,0.477 ,0.356 ,5.3 ,3920 ,20.330 ,,,,,
7.2 ,11.2 ,3.2 ,6.8 ,23.7 ,5.573 ,0.518 ,5.2 ,12.6 ,428 ,8000 ,1.464 ,0.440 ,10.7 ,1000 ,25.162 ,,,,,
7.4 ,13.4 ,1.8 ,5.2 ,4.9 ,4.867 ,0.408 ,3.8 ,8.1 ,428 ,4400 ,0.534 ,0.360 ,4.0 ,1600 ,24.751 ,,,,,
7.1 ,13.8 ,3.3 ,6.2 ,6.1 ,6.262 ,0.424 ,4.7 ,8.3 ,474 ,4500 ,1.106 ,0.387 ,15.4 ,323 ,25.525 ,,,,,
6.5 ,11.8 ,3.1 ,6.4 ,5.6 ,7.850 ,0.660 ,5.3 ,7.1 ,468 ,7800 ,1.932 ,0.530 ,12.1 ,2300 ,18.327 ,,,,,
7.2 ,15.0 ,4.8 ,8.0 ,7.9 ,7.792 ,0.600 ,6.6 ,4.1 ,480 ,3950 ,4.442 ,0.538 ,25.4 ,948 ,10.403 ,,,,,
7.9 ,14.3 ,4.7 ,8.4 ,7.1 ,10.901 ,0.888 ,6.6 ,5.9 ,513 ,11800 ,5.014 ,0.797 ,25.4 ,1100 ,12.313 ,,,,,
7.2 ,12.8 ,6.7 ,10.3 ,15.3 ,12.401 ,0.844 ,7.3 ,6.1 ,508 ,21100 ,6.125 ,0.493 ,66.6 ,6400 ,10.369 ,,,,,
7.9 ,15.6 ,5.6 ,11.3 ,14.1 ,10.239 ,0.236 ,7.2 ,4.3 ,461 ,400 ,3.684 ,0.057 ,75.5 ,10 ,13.402 ,,,,,
8.5 ,16.3 ,6.4 ,10.3 ,39.9 ,8.903 ,0.611 ,7.7 ,5.9 ,485 ,6800 ,4.205 ,0.402 ,54.4 ,1515 ,11.425 ,,,,,
8.3 ,12.8 ,6.3 ,10.0 ,12.5 ,8.084 ,0.462 ,6.9 ,4.7 ,478 ,39500 ,4.362 ,0.389 ,40.4 ,9300 ,13.781 ,,,,,
7.3 ,13.5 ,6.7 ,12.0 ,18.2 ,10.925 ,0.639 ,8.4 ,6.6 ,554 ,7200 ,6.526 ,0.491 ,83.7 ,295 ,14.019 ,,,,,
7.1 ,12.5 ,6.1 ,12.3 ,15.1 ,11.579 ,0.593 ,9.0 ,5.5 ,517 ,9600 ,7.625 ,0.363 ,64.4 ,1200 ,12.188 ,,,,,
7.2 ,10.1 ,6.1 ,10.1 ,9.4 ,12.827 ,0.601 ,8.0 ,6.6 ,518 ,23200 ,7.382 ,0.383 ,34.2 ,3930 ,10.597 ,,,,,
7.4 ,10.6 ,6.7 ,12.7 ,13.2 ,13.563 ,0.571 ,9.7 ,10.5 ,452 ,66000 ,10.295 ,0.417 ,63.1 ,13000 ,17.503 ,,,,,
7.6 ,12.7 ,6.5 ,11.7 ,16.6 ,12.106 ,0.387 ,10.4 ,9.6 ,461 ,5000 ,6.510 ,0.240 ,43.6 ,725 ,14.281 ,,,,,
7.8 ,12.4 ,7.0 ,12.2 ,12.6 ,11.305 ,0.874 ,9.4 ,10.3 ,534 ,12500 ,8.069 ,0.737 ,67.4 ,3160 ,11.992 ,,,,,
7.6 ,7.9 ,8.2 ,12.0 ,21.5 ,10.545 ,0.609 ,9.3 ,14.8 ,458 ,17100 ,5.972 ,0.420 ,104.0 ,750 ,23.073 ,,,,,
7.3 ,11.1 ,7.3 ,12.9 ,29.9 ,6.937 ,0.501 ,7.5 ,12.8 ,332 ,76500 ,2.682 ,0.157 ,90.3 ,26000 ,22.251 ,,,,,
7.8 ,13.4 ,6.2 ,11.8 ,13.8 ,6.007 ,0.314 ,7.0 ,15.1 ,344 ,12000 ,2.033 ,0.160 ,151.1 ,250 ,18.901 ,,,,,
8.7 ,10.9 ,6.6 ,11.5 ,8.1 ,7.079 ,0.481 ,8.4 ,19.2 ,393 ,950 ,3.855 ,0.396 ,74.1 ,40 ,12.567 ,,,,,
7.2 ,8.1 ,6.0 ,10.4 ,13.8 ,4.901 ,0.400 ,7.5 ,17.2 ,307 ,13955 ,2.357 ,0.269 ,61.3 ,2400 ,20.278 ,,,,,
7.3 ,11.3 ,6.4 ,11.0 ,16.2 ,5.440 ,0.465 ,7.2 ,21.1 ,310 ,4850 ,3.038 ,0.291 ,70.9 ,1050 ,24.241 ,,,,,
8.1 ,12.6 ,8.8 ,13.4 ,13.2 ,5.398 ,0.417 ,8.2 ,23.3 ,351 ,3700 ,3.184 ,0.328 ,76.2 ,210 ,13.961 ,,,,,
6.5 ,5.0 ,5.3 ,8.6 ,7.4 ,6.573 ,0.436 ,7.0 ,20.8 ,393 ,180 ,4.771 ,0.386 ,64.3 ,23 ,19.904 ,,,,,
7.7 ,10.4 ,5.7 ,11.6 ,11.7 ,3.708 ,0.167 ,8.2 ,22.7 ,398 ,20 ,1.171 ,0.065 ,82.8 ,5 ,16.984 ,,,,,
8.7 ,14.1 ,7.9 ,14.4 ,15.7 ,5.044 ,0.175 ,8.7 ,28.1 ,354 ,80 ,2.366 ,0.068 ,83.3 ,23 ,16.924 ,,,,,
8.9 ,12.0 ,6.0 ,12.3 ,10.6 ,5.243 ,0.285 ,8.4 ,25.9 ,337 ,230 ,2.503 ,0.197 ,89.8 ,62 ,21.466 ,,,,,
8.3 ,14.2 ,6.3 ,15.7 ,13.9 ,6.173 ,0.329 ,9.7 ,27.0 ,346 ,340 ,3.239 ,0.255 ,72.5 ,195 ,19.360 ,,,,,
7.9 ,11.4 ,12.2 ,14.3 ,18.4 ,6.003 ,0.318 ,9.2 ,25.7 ,349 ,360 ,2.833 ,0.186 ,143.5 ,70 ,26.550 ,,,,,
7.1 ,10.4 ,6.0 ,12.5 ,12.0 ,7.086 ,0.487 ,9.4 ,26.6 ,406 ,120 ,4.097 ,0.305 ,50.2 ,14 ,16.625 ,,,,,
7.6 ,12.1 ,6.8 ,15.3 ,19.9 ,3.650 ,0.209 ,8.8 ,25.8 ,305 ,140 ,1.323 ,0.096 ,146.9 ,110 ,86.417 ,,,,,
6.6 ,7.7 ,4.3 ,9.0 ,34.9 ,2.930 ,0.156 ,5.3 ,24.5 ,150 ,32000 ,0.526 ,0.110 ,9.1 ,8400 ,156.417 ,,,,,
6.8 ,9.3 ,3.2 ,6.8 ,36.5 ,2.643 ,0.117 ,4.1 ,23.0 ,123 ,60000 ,0.234 ,0.089 ,5.1 ,10600 ,232.167 ,,,,,
9.3 ,13.0 ,5.1 ,8.6 ,6.5 ,3.200 ,0.129 ,5.7 ,31.4 ,255 ,115 ,0.325 ,0.037 ,29.9 ,56 ,24.500 ,,,,,
8.1 ,8.8 ,5.3 ,11.2 ,11.1 ,3.299 ,0.138 ,6.6 ,31.3 ,288 ,100 ,0.962 ,0.079 ,71.2 ,2 ,15.076 ,,,,,
8.8 ,9.4 ,7.2 ,11.4 ,19.5 ,3.009 ,0.137 ,6.8 ,31.5 ,236 ,14000 ,1.076 ,0.074 ,100.3 ,740 ,39.021 ,,,,,
6.4 ,4.0 ,5.0 ,8.2 ,23.1 ,2.703 ,0.157 ,5.3 ,27.3 ,202 ,56000 ,1.183 ,0.143 ,26.4 ,19600 ,76.285 ,,,,,
7.2 ,6.0 ,3.2 ,8.1 ,15.8 ,2.321 ,0.148 ,4.5 ,26.4 ,168 ,40000 ,0.764 ,0.140 ,13.4 ,7200 ,102.111 ,,,,,
6.3 ,6.7 ,3.2 ,6.4 ,11.1 ,2.535 ,0.101 ,3.4 ,26.7 ,171 ,30000 ,0.048 ,0.088 ,9.0 ,5400 ,84.375 ,,,,,
7.3 ,7.7 ,1.2 ,5.7 ,12.3 ,2.052 ,0.040 ,2.3 ,24.9 ,121 ,19850 ,0.109 ,0.033 ,7.1 ,800 ,137.889 ,,,,,
7.8 ,8.7 ,1.7 ,5.4 ,3.6 ,2.635 ,0.095 ,2.7 ,23.7 ,151 ,11400 ,0.543 ,0.088 ,4.9 ,2800 ,93.882 ,,,,,
7.5 ,9.3 ,1.7 ,5.8 ,24.0 ,1.774 ,0.082 ,2.9 ,20.2 ,91 ,60000 ,0.131 ,0.064 ,5.1 ,8600 ,325.944 ,,,,,
7.2 ,9.6 ,2.5 ,5.2 ,5.0 ,3.275 ,0.060 ,2.2 ,23.0 ,199 ,3450 ,0.480 ,0.024 ,25.7 ,600 ,26.535 ,,,,,
7.2 ,10.7 ,2.7 ,5.9 ,7.4 ,2.874 ,0.053 ,2.6 ,21.1 ,216 ,1760 ,0.470 ,0.005 ,34.6 ,500 ,26.653 ,,,,,
