Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
20.0,7.6,9.1,1.1,4.6,26.9,150,1.269,0,0,0.117,0,0,3.1
17.1,7.3,9.7,0.4,3.1,7.6,243,2.645,0,0,0.075,0,0,2.5
15.8,7.4,11.4,0.9,3.7,5.8,177,2.017,0,0,0.048,0,0,3.3
20.3,7.8,11.8,1.1,3.2,7.9,240,2.680,0,0,0.060,0,0,3.5
16.2,7.9,11.2,1.1,3.2,11.0,222,2.286,0,0,0.059,0,0,3.1
13.1,7.5,14.3,1.1,3.6,14.8,189,2.331,0,0,0.068,0,0,2.3
13.2,6.6,10.1,1.6,7.6,12.4,225,3.645,0,0,0.132,0,0,5.5
13.6,7.5,11.1,0.9,3.8,19.6,230,3.517,0,0,0.145,0,0,3.0
8.7,7.7,11.9,1.2,3.5,71.1,257,4.076,0,0,0.120,0,0,1.1
5.8,7.9,12.5,0.6,2.7,22.5,246,3.277,0,0,0.073,0,0,1.4
7.7,7.7,12.9,1.6,4.2,61.1,286,2.328,0,0,0.172,0,0,2.1
0.7,6.7,13.9,0.9,2.9,5.5,279,4.579,0,0,0.057,0,0,1.7
1.2,7.2,15.5,3.0,3.0,7.7,222,3.504,0,0,0.037,0,0,1.3
3.2,7.3,15.1,1.0,3.3,8.9,204,3.499,0,0,0.061,0,0,2.0
5.8,6.9,12.7,0.9,2.7,10.3,229,3.675,0,0,0.052,0,0,1.5
6.2,7.4,14.1,1.0,2.8,3.9,245,4.126,0,0,0.030,0,0,2.1
9.1,6.8,10.4,1.5,4.2,11.5,182,4.045,0,0,0.026,0,0,2.7
5.2,7.5,12.5,3.6,4.4,7.9,197,3.993,0,0,0.061,0,0,2.6
10.8,7.1,14.3,1.9,4.0,7.1,229,4.047,0,0,0.044,0,0,3.1
11.7,7.6,15.0,1.9,3.4,6.3,210,4.050,0,0,0.033,0,0,3.6
16.1,8.4,12.1,1.6,4.8,13.0,144,4.007,0,0,0.037,0,0,2.8
15.2,6.8,10.7,1.6,3.7,8.5,226,4.000,0,0,0.080,0,0,2.5
14.7,6.8,10.3,1.3,4.1,22.3,178,3.294,0,0,0.105,0,0,2.5
16.1,7.2,13.0,1.2,2.8,7.2,163,2.225,0,0,0.092,0,0,1.8
17.3,6.7,10.1,11.9,16.3,82.4,125,4.558,0,0,0.584,0,0,7.2
15.4,7.3,8.4,7.1,9.0,26.6,173,5.369,0,0,0.292,0,0,5.8
20.2,7.4,12.2,1.1,3.5,5.0,175,1.901,0,0,0.055,0,0,2.1
19.1,7.5,8.7,3.6,6.3,18.7,152,2.550,0,0,0.148,0,0,3.9
21.0,7.3,7.2,3.6,6.7,12.9,177,2.919,0,0,0.132,0,0,4.9
21.8,7.3,9.5,2.2,4.7,9.2,145,1.905,0,0,0.080,0,0,3.3
21.5,7.1,11.2,1.7,4.9,11.0,162,1.741,0,0,0.075,0,0,4.2
23.8,7.1,8.4,3.8,7.8,10.8,207,3.941,0,0,0.147,0,0,6.6
22.3,6.4,9.5,1.6,5.6,10.7,148,1.848,0,0,0.098,0,0,4.4
23.2,7.1,9.1,1.7,7.0,28.5,139,2.794,0,0,0.232,0,0,5.1
23.7,7.3,8.5,8.1,10.9,52.9,174,5.040,0,0,0.487,0,0,9.2
24.5,7.3,9.0,2.3,4.7,10.1,158,1.944,0,0,0.120,0,0,3.5
28.4,7.1,8.3,3.8,7.5,14.4,168,1.936,0,0,0.120,0,0,7.0
25.8,7.8,8.8,1.5,5.7,11.6,168,1.363,0,0,0.116,0,0,4.2
26.8,6.9,9.0,1.2,4.5,9.8,192,1.619,0,0,0.107,0,0,5.0
25.8,7.0,8.1,1.3,5.8,11.9,140,1.194,0,0,0.148,0,0,5.3
21.1,7.1,8.7,1.1,3.3,5.8,214,2.547,0,0,0.135,0,0,4.8
22.9,6.8,7.8,1.5,6.2,9.5,174,1.579,0,0,0.121,0,0,5.7
19.7,7.1,9.1,0.7,3.8,8.3,192,2.562,0,0,0.080,0,0,4.0
22.2,7.0,9.9,1.3,3.1,3.1,205,2.522,0,0,0.061,0,0,3.7
21.2,7.7,8.4,3.9,11.6,65.7,110,2.100,0,0,0.544,0,0,8.2
16.7,7.0,11.3,2.5,6.1,4.8,160,2.041,0,0,0.144,0,0,5.6
17.4,7.9,10.5,0.9,3.6,4.8,227,3.331,0,0,0.072,0,0,3.9
16.3,7.5,9.2,0.9,3.7,3.3,213,3.388,0,0,0.059,0,0,3.8
10.2,7.8,12.3,1.7,3.4,7.2,188,2.505,0,0,0.054,0,0,2.5
13.1,9.5,9.5,1.3,3.1,4.5,273,3.225,0,0,0.047,0,0,2.3
12.5,7.3,13.4,1.5,3.0,2.7,230,3.656,0,0,0.048,0,0,2.3
11.3,7.9,12.0,1.3,2.6,2.4,247,4.010,0,0,0.042,0,0,2.1
7.3,7.6,14.2,1.4,3.2,2.8,260,4.791,0,0,0.044,0,0,2.3
6.5,7.9,14.1,1.0,2.5,1.9,258,4.548,0,0,0.029,0,0,2.1
5.4,7.4,13.5,0.9,2.0,1.4,251,4.718,0,0,0.027,0,0,2.1
4.6,8.4,13.8,1.5,6.2,5.1,254,5.497,0,0,0.105,0,0,3.5
1.3,7.4,14.3,0.8,2.7,3.6,247,5.267,0,0,0.048,0,0,2.4
1.2,7.0,12.3,1.4,2.9,3.0,301,4.887,0,0,0.031,0,0,1.8
2.7,7.3,12.3,0.9,3.0,2.2,291,4.780,0,0,0.046,0,0,2.8
3.8,6.6,12.8,1.1,3.1,2.9,280,4.564,0,0,0.036,0,0,2.9
2.9,7.6,13.5,2.5,8.1,13.0,275,5.242,0,0,0.103,0,0,5.8
5.0,7.3,12.2,2.3,4.1,2.9,275,3.838,0,0,0.042,0,0,2.5
3.7,7.7,15.0,1.5,3.5,4.9,218,2.885,0,0,0.030,0,0,2.6
7.8,7.6,11.3,1.1,3.7,2.4,243,3.547,0,0,0.034,0,0,3.3
9.3,7.2,11.3,1.7,5.4,3.4,252,3.674,0,0,0.050,0,0,3.7
11.4,8.1,11.9,1.7,4.3,3.4,253,3.189,0,0,0.051,0,0,3.0
14.7,7.3,11.1,4.8,8.2,10.0,245,3.632,0,0,0.175,0,0,6.1
14.7,7.4,11.4,2.2,6.1,6.6,234,2.957,0,0,0.109,0,0,4.1
16.0,7.8,13.1,1.4,4.7,5.3,188,2.083,0,0,0.063,0,0,3.1
15.9,7.3,8.8,2.3,6.8,8.5,292,2.868,0,0,0.120,0,0,5.0
18.3,7.8,12.0,1.7,6.1,4.2,215,1.866,0,0,0.064,0,0,4.3
19.5,7.8,9.6,1.8,6.1,9.7,160,1.997,0,0,0.129,0,0,4.6
19.5,7.4,10.2,3.2,7.4,10.1,225,2.630,0,0,0.162,0,0,5.5
18.3,7.6,8.3,3.0,7.1,6.5,172,2.483,0,0,0.133,0,0,5.7
20.9,7.9,10.1,1.5,7.0,4.2,203,2.623,0,0,0.114,0,0,5.3
20.8,7.0,8.2,2.9,7.9,7.2,198,1.961,0,0,0.176,0,0,5.8
22.6,7.1,7.3,9.2,17.2,29.5,250,5.633,0,0,0.397,0,0,11.4
24.5,6.9,7.3,3.9,10.0,27.1,226,2.584,0,0,0.201,0,0,6.9
24.5,7.1,7.5,7.2,15.4,34.4,246,4.911,0,0,0.469,0,0,12.5
24.3,7.2,6.5,9.8,14.6,32.1,206,5.252,0,0,0.555,0,0,10.2
27.7,7.2,8.6,1.8,6.0,6.3,238,2.207,0,0,0.125,0,0,4.2
27.4,7.3,9.9,2.7,6.9,7.1,179,1.335,0,0,0.135,0,0,5.3
24.7,7.3,7.3,3.0,9.2,5.1,231,4.479,0,0,0.271,0,0,6.2
25.7,7.5,8.9,3.2,11.8,45.1,152,2.493,0,0,0.260,0,0,7.0
25.4,7.0,10.2,5.3,12.1,37.2,172,4.615,0,0,0.468,0,0,8.7
22.6,7.4,9.0,1.7,4.8,10.0,133,1.215,0,0,0.087,0,0,3.8
20.9,7.4,9.2,1.8,5.1,8.9,165,2.116,0,0,0.083,0,0,3.5
22.6,6.7,9.3,1.7,5.1,7.6,217,2.222,0,0,0.076,0,0,3.7
21.0,7.8,8.4,1.0,4.2,4.5,229,2.828,0,0,0.096,0,0,3.1
16.1,7.2,13.4,0.5,3.3,3.4,243,2.954,0,0,0.077,0,0,2.4
14.7,7.8,12.0,1.0,3.4,2.0,228,3.130,0,0,0.068,0,0,2.6
12.4,6.8,10.9,2.7,5.6,11.2,179,1.823,0,0,0.079,0,0,3.5
11.6,7.7,9.8,1.0,3.3,1.9,281,3.883,0,0,0.058,0,0,2.2
9.9,7.7,12.2,0.8,2.9,1.3,248,4.386,0,0,0.051,0,0,2.2
5.8,7.4,12.2,0.7,2.7,1.5,252,3.953,0,0,0.035,0,0,1.9
6.1,6.6,11.8,0.9,2.8,1.0,294,3.437,0,0,0.042,0,0,2.2
3.5,7.7,12.5,0.8,3.1,2.0,282,4.335,0,0,0.050,0,0,2.2
1.9,6.9,12.6,0.8,4.0,1.8,289,4.486,0,0,0.064,0,0,3.1
2.9,7.7,14.2,2.8,8.0,4.4,343,6.115,0,0,0.179,0,0,5.7
2.8,8.0,12.8,1.5,4.4,3.2,261,4.379,0,0,0.055,0,0,3.3
0.6,7.3,15.5,1.2,3.2,2.2,303,5.104,0,0,0.070,0,0,2.6
0.8,7.5,15.7,1.3,3.3,3.0,252,5.301,0,0,0.044,0,0,2.6
3.4,7.6,14.5,1.2,4.1,1.7,298,4.353,0,0,0.053,0,0,2.8
5.1,6.7,12.7,1.8,4.2,3.7,244,3.635,0,0,0.052,0,0,2.8
8.0,7.4,13.3,3.6,9.3,9.1,259,4.722,0,0,0.153,0,0,7.4
9.3,7.5,12.7,1.8,5.3,3.9,264,2.945,0,0,0.063,0,0,3.6
9.9,7.4,10.1,2.2,10.9,209.6,211,5.007,0,0,0.332,0,0,7.7
12.1,7.3,13.6,2.1,5.1,5.1,221,3.126,0,0,0.074,0,0,3.5
17.7,7.8,12.0,2.1,5.2,8.8,257,2.517,0,0,0.076,0,0,3.7
14.2,7.2,11.5,2.1,5.2,6.1,208,2.895,0,0,0.062,0,0,3.4
13.9,7.6,13.2,2.3,5.0,5.3,220,2.971,0,0,0.100,0,0,3.8
15.8,7.3,12.2,3.3,7.8,8.4,226,3.579,0,0,0.256,0,0,5.4
18.3,7.4,11.3,3.5,5.1,8.1,204,2.947,0,0,0.127,0,0,3.7
21.5,7.4,11.5,1.5,5.6,6.8,255,2.588,0,0,0.119,0,0,4.1
18.6,7.5,9.0,6.1,12.8,13.2,210,9.186,0,0,0.671,0,0,9.6
20.2,7.3,9.8,2.0,5.9,6.7,163,1.788,0,0,0.097,0,0,6.2
20.4,7.4,11.4,3.0,7.1,7.3,205,2.856,0,0,0.191,0,0,5.2
21.2,7.3,9.6,1.9,6.4,7.2,161,2.081,0,0,0.106,0,0,5.0
21.5,7.3,8.4,2.4,6.4,7.4,168,2.176,0,0,0.183,0,0,5.3
23.5,7.3,6.9,2.3,6.8,7.3,219,2.039,0,0,0.111,0,0,5.2
23.2,7.0,8.8,6.9,6.9,18.8,153,2.610,0,0,0.149,0,0,4.6
22.8,6.6,8.3,5.3,5.3,7.3,193,2.640,0,0,0.109,0,0,3.7
25.9,7.3,12.8,2.4,7.2,7.9,182,1.924,0,0,0.236,0,0,5.5
28.9,7.5,8.4,2.3,8.7,7.8,173,1.767,0,0,0.167,0,0,6.9
26.7,7.2,7.8,1.9,7.5,4.8,157,1.705,0,0,0.160,0,0,5.6
24.3,7.5,8.5,1.6,6.9,9.8,152,1.374,0,0,0.192,0,0,5.3
22.9,7.1,8.0,1.6,5.5,19.0,135,2.564,0,0,0.148,0,0,4.6
20.8,7.4,9.9,1.5,3.7,2.1,197,2.975,0,0,0.086,0,0,3.2
21.4,7.3,9.2,1.5,4.2,16.7,211,2.768,0,0,0.113,0,0,3.7
18.2,7.4,10.1,4.0,3.9,2.0,205,2.888,0,0,0.077,0,0,3.0
15.6,7.8,10.8,1.7,3.7,7.6,187,2.951,0,0,0.088,0,0,3.2
15.9,7.3,12.2,1.6,4.0,1.6,201,3.323,0,0,0.053,0,0,3.4
14.3,7.5,10.1,1.0,2.9,1.8,228,3.474,0,0,0.053,0,0,3.1
13.2,7.2,11.4,0.8,3.7,1.3,207,3.495,0,0,0.055,0,0,2.1
10.2,8.0,11.6,1.6,3.3,3.3,227,3.307,0,0,0.048,0,0,4.6
10.0,6.9,12.9,2.1,5.2,2.3,239,3.257,0,0,0.086,0,0,4.1
8.2,7.3,12.7,0.9,2.8,2.9,213,3.390,0,0,0.048,0,0,2.7
8.4,8.1,12.7,1.2,3.1,3.3,223,3.560,0,0,0.054,0,0,2.9
10.5,7.6,10.8,8.7,18.7,103.7,235,4.721,0,0,0.724,0,0,13.1
3.6,6.6,14.3,0.9,2.6,1.9,248,3.886,0,0,0.051,0,0,3.1
4.5,6.7,14.2,0.7,2.5,1.6,248,4.099,0,0,0.038,0,0,2.4
2.7,7.2,12.7,1.2,3.3,3.5,235,4.278,0,0,0.046,0,0,2.4
3.4,8.2,17.2,1.3,3.2,2.9,271,4.054,0,0,0.037,0,0,2.4
2.3,7.7,13.9,1.0,3.1,6.5,242,4.344,0,0,0.066,0,0,3.5
1.4,7.8,16.0,1.0,3.4,19.0,234,3.903,0,0,0.086,0,0,3.1
4.7,7.4,13.0,4.1,8.5,20.0,273,5.255,0,0,0.255,0,0,8.6
6.6,7.6,10.8,1.6,3.8,3.3,229,3.157,0,0,0.073,0,0,2.9
7.8,7.3,15.1,1.9,5.8,3.4,257,3.186,0,0,0.077,0,0,3.1
8.4,7.7,11.3,1.7,3.8,1.9,239,3.290,0,0,0.081,0,0,3.0
8.6,7.7,12.7,2.1,3.8,2.7,232,3.267,0,0,0.079,0,0,2.4
9.6,7.8,14.0,1.9,3.9,1.6,249,2.914,0,0,0.065,0,0,2.3
13.9,7.9,14.2,2.4,5.4,3.1,250,3.388,0,0,0.074,0,0,4.1
18.4,7.5,9.4,2.0,4.9,4.6,282,2.219,0,0,0.106,0,0,3.2
15.6,7.4,10.9,1.7,5.5,4.7,227,2.734,0,0,0.175,0,0,3.9
15.8,8.2,14.2,2.2,6.0,5.1,202,2.339,0,0,0.148,0,0,4.5
18.3,7.7,9.8,2.8,7.1,4.8,237,2.163,0,0,0.169,0,0,4.4
16.3,7.1,11.1,2.1,5.4,5.2,151,1.937,0,0,0.112,0,0,3.5
15.3,7.1,9.4,2.1,5.6,8.0,160,1.982,0,0,0.127,0,0,4.5
19.2,7.8,11.1,2.2,6.6,8.8,197,1.639,0,0,0.117,0,0,4.1
19.0,7.4,8.6,1.5,5.2,4.6,144,1.318,0,0,0.089,0,0,3.2
19.8,6.6,8.6,2.4,6.9,7.8,216,2.403,0,0,0.139,0,0,5.0
21.7,7.4,8.5,2.0,6.7,6.9,192,1.421,0,0,0.141,0,0,5.4
20.4,6.8,8.5,2.5,8.2,17.0,244,4.296,0,0,0.252,0,0,6.6
22.5,7.2,9.1,1.7,5.3,7.9,140,0.947,0,0,0.104,0,0,6.0
25.3,7.1,7.5,1.6,5.6,12.2,218,2.468,0,0,0.162,0,0,4.9
28.4,7.2,7.6,2.7,7.9,12.7,248,1.638,0,0,0.166,0,0,6.2
21.5,7.0,9.1,2.1,6.8,12.5,147,1.202,0,0,0.121,0,0,4.0
25.3,6.9,13.2,1.7,7.8,10.5,300,3.372,0,0,0.193,0,0,5.7
22.2,7.3,8.8,2.0,7.4,20.7,150,2.488,0,0,0.278,0,0,4.7
22.1,6.6,9.7,1.9,3.8,6.3,278,1.871,0,0,0.087,0,0,2.6
18.4,7.3,9.6,1.2,4.2,6.9,160,2.640,0,0,0.094,0,0,2.9
15.9,6.9,10.3,0.8,2.4,3.7,293,3.757,0,0,0.074,0,0,2.0
11.4,7.3,11.6,1.0,3.0,2.4,216,3.781,0,0,0.064,0,0,1.8
14.1,7.1,11.7,1.0,3.0,1.4,312,3.978,0,0,0.053,0,0,1.8
13.5,7.4,12.3,1.0,3.1,2.0,218,3.432,0,0,0.057,0,0,1.7
7.1,6.7,12.9,1.8,5.4,4.0,244,4.260,0,0,0.102,0,0,3.6
8.7,6.6,11.4,2.2,7.3,13.9,386,4.067,0,0,0.227,0,0,5.2
8.1,7.2,12.0,0.8,2.9,2.8,242,3.515,0,0,0.070,0,0,2.5
1.6,7.2,13.4,1.0,3.5,3.2,250,3.917,0,0,0.073,0,0,3.0
7.9,7.3,13.2,2.1,5.8,2.9,226,3.855,0,0,0.087,0,0,3.6
