Flow,pH,DO,BOD,SS,EC,NH3N,TP,PO4P,TOC,TC,FC,Precipitation
4.338,7.1,6.5,2.1,8.7,252,0.151,0.118,0.063,7.5,3200,200,66.2
36.968,6.3,7.9,2.6,20,154,0.164,0.111,0.063,4.9,23000,2900,221.7
11.149,7.2,6.5,2.1,9.9,176,0.081,0.167,0.061,4.3,4200,510,31.8
9.893,7.4,7.6,2.2,8.5,204,0.048,0.075,0.06,4.3,13000,1000,32.9
5.217,7.3,9.6,2.6,8.9,281,0.062,0.121,0.049,8.2,5000,760,0.1
3.922,7.2,7.9,4.3,10.2,293,0.038,0.157,0.027,6.4,280,75,1.5
3.169,7.1,7.5,3.4,10.9,234,0.039,0.12,0.044,6.5,680,140,29.5
13.172,6.8,7.6,1.9,6.7,271,0.078,0.093,0.043,5.3,2300,385,5.8
1.873,7.3,4.9,1.5,4.7,459,0.064,0.071,0.029,5.3,1500,160,5.8
9.148,6.7,8.6,1.1,8.4,172,0.138,0.102,0.034,4.8,5500,450,44.2
30.813,7.4,6,2.5,13.9,192,0.321,0.102,0.033,5.8,13500,5400,9.3
11.783,7.3,8.3,1.6,8.1,216,0.119,0.107,0.06,5.1,9500,60,32.5
14.702,7.2,10.5,1.4,8.3,187,0.128,0.108,0.057,4.4,13000,2000,153.3
7.799,7.4,8,1.5,4.3,222,0.08,0.076,0.043,3.9,7500,380,1.8
12.199,6.8,8,1.5,9.4,216,0.094,0.117,0.087,4.7,18000,700,70.8
15.922,7.5,7.3,1,7.7,185,0.062,0.086,0.051,3.8,18000,1500,106.1
20.793,7.2,10.3,1.3,13.1,151,0.087,0.107,0.055,4,24000,2900,57.4
7.222,7.5,9,1,4,207,0.061,0.076,0.035,3,20000,700,2.9
4.556,7.3,10.1,1.1,3.7,206,0.105,0.067,0.045,3.4,9000,300,9.6
4.253,7.4,10.8,1,3,296,0.031,0.082,0.052,3.1,7300,150,0.4
3.313,7.8,10,1.1,3.9,344,0.037,0.165,0.051,4.2,26000,60,13.7
3.237,7.8,9.4,1.7,4,418,0.1,0.086,0.064,4.8,10200,40,8.7
2.998,7.7,12.6,2,4.9,350,0.027,0.069,0.028,4.1,2400,150,4.9
3.017,7.6,11.3,1.3,2.9,389,0.06,0.048,0.022,3.2,5100,100,5.4
3.151,7.8,12.4,1.3,3.1,358,0.148,0.048,0.015,3.2,3400,320,2.1
3.087,8.2,12.3,1.1,2.8,339,0.035,0.048,0.015,3,6000,320,9.2
4.499,7.5,13.1,1.6,4.3,337,0.066,0.081,0.026,4.4,49000,100,33.2
3.885,7.2,9.3,1.7,4,298,0.295,0.09,0.044,3.7,3000,110,0.3
3.233,7.1,13.2,1.5,5.9,319,0.361,0.088,0.042,3.3,6700,370,1.1
2.84,8.1,10.3,1,3.5,322,0.085,0.056,0.012,2.3,1200,110,0.9
2.961,7,13.4,1.6,3.2,368,0.153,0.081,0.017,3.8,300,130,5.8
4.274,8.2,13,1.3,3.8,299,0.39,0.102,0.065,3.3,1100,60,5.8
3.339,7.5,12.2,1.4,3.8,332,0.126,0.088,0.038,3.3,600,30,1.4
3.017,8.2,14,1.5,4.9,295,0.136,0.067,0.047,3.3,1300,290,5.7
2.883,8,10.8,2.5,10.3,356,0.311,0.092,0.028,3.7,1300,410,16.2
4.176,7.3,12.4,2.1,5.2,253,0.148,0.081,0.029,3.8,1900,210,20.5
3.847,7.2,12.3,2,7.2,326,0.14,0.068,0.022,3.8,500,40,5.9
2.597,7.3,11.5,3.9,11,337,0.018,0.082,0.004,5.2,100,120,2.1
1.98,8.1,13.8,5,20.4,459,0.028,0.124,0.005,8.4,1400,510,0.3
2.814,8.1,16.8,4.9,15,343,0.063,0.091,0.025,5.7,2600,20,1.2
0.787,8.8,13.7,6.5,20.6,508,0.024,0.128,0.005,8.9,600,20,3.4
7.172,8.1,11,4.1,17.1,216,0.009,0.081,0.008,5.9,31000,380,2.6
1.808,8.2,10.5,5.2,16.4,287,0.025,0.111,0.01,7.5,150,40,0
1.062,9,10.5,7.8,18.2,305,0.039,0.116,0.001,9,1000,160,2.2
1.973,7.8,8.7,6.4,20.4,373,0.04,0.139,0.003,7.3,400,40,10.4
1.174,8,13.1,7.6,24.3,441,0.071,0.137,0.012,9.6,280,85,10
1.93,8,11.4,3.9,21,357,0.119,0.134,0.018,9.8,60,15,1.7
3.294,7.4,10.2,5.1,19.2,284,0.267,0.141,0.006,9.8,1700,85,4.9
5.162,7,9.2,4.4,12.5,334,0.288,0.142,0.027,9.1,750,340,10.1
3.288,6.8,7.6,3,12.5,313,0.406,0.118,0.033,8.1,1500,240,26.5
2.977,7.1,6.2,5,15,339,0.262,0.103,0.006,10.4,780,390,2.1
2.465,6.6,6.2,3.1,11.6,343,0.188,0.12,0.039,10.5,1600,170,23.7
13.65,7.4,6.9,2.8,14,224,0.255,0.12,0.043,7.7,4200,1500,28.1
11.708,7.6,7.2,2.7,15,191,0.224,0.163,0.078,7,11000,1300,72.9
12.706,7,6.5,1.5,7.8,194,0.102,0.121,0.048,4.8,12000,2300,69
3.609,7.3,5.8,2.3,4.3,292,0.068,0.066,0.018,5.3,1000,410,12.2
1.804,7.5,7,3.2,9.1,241,0.067,0.086,0.023,5.5,300,70,28.2
29.849,7.3,7.1,2.2,36,130,0.117,0.135,0.085,5.7,26000,1000,56.1
86.871,7,7.7,3.2,37,181,0.114,0.16,0.096,5.9,32000,6800,98.5
8.136,7.4,8,1.2,3.9,181,0.067,0.066,0.053,3.9,4100,1000,83.4
6.257,7,9.1,2.5,4.1,261,0.014,0.087,0.022,4.4,2200,690,1.4
33.968,7.6,7.6,1.8,18,122,0.08,0.134,0.08,5.2,11000,4600,83.4
3.963,7.2,8.5,1.1,2.1,252,0.025,0.048,0.036,4.1,5300,290,0.2
4.169,7.1,8.2,1.5,2.5,247,0.033,0.051,0.025,4.2,2700,170,0
4.248,8.2,11.7,1.2,2.9,295,0.181,0.081,0.046,3.7,4300,710,13.6
3.445,7.6,10.8,1.1,3.2,310,0.057,0.073,0.041,3.9,3300,240,11.4
3.111,7.5,10.5,1.2,2.5,381,0.12,0.064,0.027,4,2000,120,0
2.755,7.7,13.4,2.8,6,399,0.009,0.064,0.006,5.3,400,30,1.3
2.117,7.7,10.7,3.8,8.7,516,0.387,0.076,0.005,5.6,2100,40,2
2.022,7.8,11.4,3.7,9.6,515,0.016,0.063,0.004,6.2,420,55,0.7
1.943,8.1,12.1,4.7,11.5,553,0.342,0.067,0.006,6.5,560,75,3.7
2.804,8,13.4,4.1,9.6,389,0.021,0.072,0.007,5.5,500,120,0.4
2.256,7,13.1,3.6,7.6,414,0.225,0.059,0.003,5.7,1100,260,3.5
2.446,7.4,11.6,2.9,6.6,382,0.387,0.072,0.007,4.8,1500,470,5.3
2.277,7.5,12.6,3,7.3,341,0.312,0.068,0.004,4.3,2400,1100,1.5
3.511,7.6,13.3,3.6,8.6,314,0.153,0.068,0.005,5.1,3300,400,21
2.657,8,14.1,3.1,7.4,339,0.038,0.066,0.007,4.6,1100,350,1
2.432,8.4,13.1,3.6,9.5,352,0.536,0.068,0.011,4.7,7000,1500,4.4
3.004,8.4,12.5,3.2,7.1,356,0.124,0.061,0.007,4.4,24000,340,9.5
3.448,7.1,13.6,2.5,4.7,293,0.142,0.086,0.02,4.6,1500,440,23.4
2.588,8,7.4,2,5,299,0.388,0.079,0.015,4,1400,240,6.4
2.583,8,11.1,2.3,6.5,430,0.05,0.079,0.009,3.6,410,270,3.5
2.64,7.9,10.7,2.4,4.6,464,0.157,0.089,0.008,3.5,1100,200,7.3
2.207,8.4,8.4,3.4,6.5,451,0.085,0.112,0.014,4.6,1900,910,0
1.808,8.5,7.8,4.7,13.2,413,0.006,0.098,0.016,6.2,860,65,7.9
3.088,7.5,10.4,4.9,15.3,332,0.192,0.134,0.01,6.5,4600,840,31.6
2.95,6.6,11.5,3.6,7.5,307,0.221,0.096,0.012,5.5,3200,160,19.1
32.093,7.5,8.8,4.1,34.4,229,0.346,0.16,0.071,6.3,24000,3400,65.4
7.426,7,12.1,1.4,5.1,176,0.048,0.043,0.019,3.8,14000,380,8.2
2.415,7.5,9.4,3.3,15,352,0.018,0.066,0.005,5.7,3100,20,5.9
6.695,7.6,10.6,1.9,7.6,237,0.092,0.1,0.043,5.2,1400,160,38.9
4.792,7.6,11.1,2,5.8,304,0.086,0.075,0.038,4.3,2000,170,23.7
8.327,7.6,8.3,3.2,12.8,270,0.043,0.107,0.009,5.3,15000,1000,41.2
8.653,7.8,9.7,2,4.6,198,0.082,0.12,0.02,4.3,1700,550,9.9
10.063,7.6,9.1,2.3,7.8,243,0.27,0.129,0.035,5.2,15000,700,30.9
9.413,7.4,8.6,2.2,8.1,227,0.186,0.106,0.05,5.2,5800,440,25.8
6.016,7.7,10.8,2.4,16,273,0.1,0.125,0.043,6,3900,390,23.1
6.023,6.9,8.1,3.7,14.5,270,0.452,0.162,0.104,7,1400,200,37.2
6.184,6.8,7.1,2.8,7.5,263,0.224,0.126,0.074,7.6,3200,460,0.1
7.051,6.7,6.4,1.9,10.3,248,0.152,0.121,0.064,8.2,4300,200,6.2
4.774,7.3,7.3,3.7,8,260,0.049,0.098,0.027,9.2,1400,230,0.1
4.018,7.6,6.6,3,9,249,0.054,0.116,0.033,9.1,1700,220,12.2
117.544,7.4,8.7,2.3,38.7,120,0.102,0.197,0.131,6.5,19000,4200,235
6.001,7.6,7.9,1.6,4.5,265,0.061,0.087,0.077,4.9,3000,400,8.6
4.752,7.5,9.2,4.7,8.5,302,0.008,0.095,0.055,6.5,1000,140,11
2.066,7.3,6.6,5.1,7.4,402,0.011,0.134,0.061,8.5,700,30,33
4.448,7.6,7.7,4.1,10.1,293,0.011,0.113,0.046,7.8,1500,230,11.6
0.854,7.7,8.5,3.2,7.7,356,0.013,0.107,0.042,7.5,200,30,0.7
4.952,7,6.3,2.4,5,251,0.071,0.107,0.068,6,1800,410,18.9
0.889,7.3,6.7,2.5,6.5,497,0.009,0.087,0.028,7,500,10,0.1
121.808,6.6,8.2,1.9,18.4,117,0.02,0.145,0.061,5.2,26000,4100,254.9
19.254,7.5,9.1,1.5,8.6,159,0.023,0.133,0.069,4,17000,3100,97.7
11.438,7.6,10.7,1.8,5.6,163,0.007,0.062,0.025,5,6300,1100,73.1
10.998,7.3,8.4,3,10.9,164,0.005,0.056,0.03,4,9100,1800,9.9
4.129,7.6,10.5,1.9,4.4,243,0.087,0.076,0.021,5,3100,280,15.3
3.354,8.3,11.4,3.3,6.6,285,0.11,0.092,0.019,6.8,1200,370,5.7
15.491,7.8,12.3,1.1,9.2,202,0.012,0.093,0.059,4.8,24000,4100,94.9
4.312,7.7,10.6,1.2,3.3,243,0.009,0.061,0.042,4.1,2800,360,4.2
3.632,8.2,10.7,1.8,4.5,312,0.014,0.073,0.016,5.5,3100,250,0
4.001,8.1,11.3,2.6,4.4,319,0.014,0.072,0.013,5.3,13000,600,11.9
0.884,7.8,7.7,2,4.9,355,0.008,0.095,0.017,7.2,2100,160,0.4
3.706,6.9,9.5,1.6,8.5,251,0.036,0.128,0.072,5,14000,700,32
2.98,7.4,11.1,1.7,4.4,310,0.004,0.065,0.027,5.6,2900,210,2.4
1.709,7.7,13.1,1.8,4,302,0.005,0.064,0.035,5.3,1300,170,6.2
3.941,7.6,10.7,2.8,6.9,313,0.008,0.072,0.019,5.3,15000,4000,8.5
4.098,8.2,14.3,1.6,3.2,295,0.056,0.068,0.033,5,800,70,15.6
3.644,7.3,14.4,1.3,3.8,330,0.153,0.076,0.046,4.5,900,60,0.9
3.089,7.5,12.5,1.4,4,337,0.093,0.068,0.037,4.6,900,260,2.6
2.906,8.3,9.9,1.1,2.9,360,0.105,0.072,0.016,4.8,900,140,0
2.797,7.6,14.1,1.5,3.3,394,0.209,0.058,0.015,4.9,600,240,3.3
2.528,7.6,12.5,1.7,4.6,341,0.046,0.08,0.018,3.4,280,140,1.9
2.363,8.1,13.3,2.6,7.5,435,0.006,0.081,0.007,4.2,310,190,0
3.129,8.3,12.1,2.3,9.1,338,0.269,0.092,0.043,5.3,2000,350,14.7
2.29,7.2,13.2,2.8,5,351,0.21,0.097,0.046,4.8,2000,80,0
2.738,8.1,14.2,2.9,10.7,305,0.02,0.111,0.009,6.1,400,150,0.5
2.551,8,13,3.1,9.3,339,0.022,0.099,0.014,6.2,500,180,15.7
1.663,8.3,11.9,4.5,17.5,352,0.024,0.117,0.022,7.2,5500,120,0.5
2.259,8,11.9,4.3,13.6,362,0.044,0.184,0.01,7.2,2700,1200,9.2
1.744,8.9,13,4,19,335,0.024,0.182,0.01,7.9,1200,3,0.9
2.339,8.3,13.3,4.8,17.8,300,0.05,0.196,0.013,7,800,60,17.6
1.744,8.5,11.4,4,17.3,334,0.041,0.138,0.011,5.5,1200,8,1.2
2.154,8.3,13.1,4.1,12.6,330,0.357,0.151,0.012,7.8,30,4,7.6
1.711,8.2,9,3.8,12.8,381,0.263,0.144,0.008,7.5,100,12,33.3
2.202,8.1,9.3,5.9,14,236,0.018,0.214,0.015,9.3,210,92,0
6.405,7.9,10,3.7,10.8,292,0.146,0.159,0.054,5,13000,3600,29.9
2.105,8.4,8.9,4.1,14.3,230,0.022,0.128,0.011,6.9,520,82,0
1.056,8,9.1,3.9,9.1,475,0.11,0.142,0.014,7.2,280,85,0
6.579,7.4,7.1,2.7,14.9,194,0.338,0.158,0.061,6,3700,520,43.3
11.052,8.3,7.5,4.1,26.9,211,0.616,0.194,0.079,7.5,27000,2200,22
6.849,6.9,8.4,3.9,10.8,221,0.267,0.149,0.057,7.8,2900,490,1.7
7.835,6.9,7.4,3.4,13.4,226,0.232,0.185,0.078,7.4,4800,2900,37.8
2.227,6.9,7.8,2.8,7.2,320,0.119,0.137,0.042,7.1,2100,23,3.6
4.404,7,10.8,3.9,10.6,242,0.091,0.104,0.035,9.1,1800,350,0.7
7.985,7.6,6.1,4.5,11,204,0.329,0.154,0.112,8,2300,760,102.5
6.799,7.9,10.5,3.7,8,221,0.033,0.102,0.05,8.2,36000,6100,0.3
4.022,6.9,6.8,2,5.6,255,0.009,0.075,0.039,6.4,1200,420,33
15.345,7,7.4,1.3,10.9,180,0.058,0.077,0.057,4.4,20000,4300,72.3
30.941,6.7,7.9,1.5,17.2,220,0.088,0.102,0.062,5.3,30000,4400,74.4
3.542,7.3,8.9,3.3,6.6,236,0.004,0.096,0.005,6.3,36000,500,0
9.793,6.8,6.9,3.5,9.3,217,0.08,0.106,0.059,7.1,4300,2500,16
4.263,7,7.5,2.1,5.8,242,0.01,0.072,0.039,8.8,1100,350,0.3
9.197,6.8,8,1.4,4.9,182,0.06,0.08,0.058,5.6,6500,3900,30.5
7.835,7.6,7.4,1.6,2.9,287,0.057,0.069,0.045,5.8,5200,3000,15.1
10.43,7,7.6,1.6,5,241,0.032,0.096,0.082,4.5,3800,2600,40.1
3.956,7,7,1.7,4.6,290,0.038,0.08,0.054,3.8,3900,530,0.3
19.125,7.3,9.3,1.6,5.5,157,0.028,0.079,0.066,4.1,31000,7100,86.7
8.866,7.3,9.5,1.5,2.9,207,0.03,0.061,0.037,3.7,5500,2900,0
13.89,7.1,11.5,1.1,4.2,159,0.071,0.066,0.042,2.6,23000,5900,126.2
3.902,8.2,11.2,1,3.1,289,0.016,0.056,0.038,2.9,2100,290,0.4
6.455,7.5,9.3,1.2,4.4,250,0.03,0.04,0.012,3,7300,5200,0.9
2.997,7.7,9,2,4.6,309,0.006,0.031,0.002,4.6,900,330,0
2.106,7.8,9.4,3.9,11.3,365,0.009,0.083,0.008,7.4,760,210,0
3.788,7.5,9.2,2.5,9.1,290,0.11,0.076,0.04,5.9,5500,3400,9.2
5.937,8,9.4,3.8,16.2,275,0.067,0.087,0.036,5.7,17000,4600,10.2
2.458,7.8,10.3,3.5,9.1,342,0.012,0.063,0.018,6.9,4200,710,0
5.455,7.9,10.7,4.4,8.3,319,0.039,0.038,0.026,6,13000,3500,15.6
3.11,7.9,12.7,3,5.7,340,0.006,0.053,0.01,5.3,600,220,0.1
3.843,8.2,12.2,2.4,7.1,369,0.029,0.059,0.014,4.7,2400,140,0.1
2.836,7.6,11.9,1.7,3,348,0.233,0.071,0.048,3.5,2400,170,2.2
