BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain
4.8,7.6,7.8,5.353,0.08,6.5,1.583,0.029,41.4,17.1
6.2,10.2,16,6.336,0.095,7.7,2.046,0.012,70.7,24.7
2.4,5.2,5,5.869,0.071,2.9,1.901,0.039,21.6,41.9
4.6,7.5,8.2,6.715,0.076,3.7,2.553,0.015,77.5,25.3
6.5,10.6,13.9,6.56,0.084,4.8,2.783,0.011,116.3,37
5.3,9.6,9.6,4.981,0.099,4.8,2.15,0.038,63.8,153.8
4.3,9.2,8.7,3.524,0.067,4.3,1.013,0.027,29.9,67.5
4.5,11.1,12,3.908,0.059,5.5,1.412,0.015,31.6,98.9
4.3,10.1,10.2,3.17,0.093,5.1,0.764,0.047,30.8,179.5
8.5,16.4,23.6,2.623,0.123,4.3,0.536,0.055,149.6,145.9
3,8.3,10,2.418,0.083,4.1,0.491,0.047,41.6,66.7
2.9,7.8,10.4,2.828,0.073,3.8,0.509,0.033,28.5,87.6
3.2,7.6,10,4.368,0.114,3.7,1.233,0.081,24,112.5
2.4,6.3,6.5,4.31,0.109,3.2,0.869,0.075,18.5,58
4.3,7.7,11.1,5.387,0.061,3.6,0.672,0.009,85.2,52.3
3,7,8,4.871,0.112,3.4,1.315,0.073,27.3,46.2
3.6,7.9,12.1,4.154,0.092,3.8,0.899,0.04,41.2,63.3
3.6,8.7,6.3,4.586,0.114,4.1,1.091,0.051,17.8,194.1
6,8.5,12.3,2.929,0.087,4,0.326,0.024,77.5,111.9
6.2,12.3,17.2,3.651,0.133,5.1,0.913,0.048,55.4,122.8
5.5,10.5,17.9,2.492,0.098,4.1,0.185,0.05,86.9,277.4
10.9,19,38.1,2.581,0.112,6.7,0.451,0.056,152.3,71
3.8,10.4,9.5,2.955,0.15,4.9,0.555,0.092,31.6,244.7
2.3,6.2,7.7,2.941,0.169,3.6,0.562,0.12,13.9,211.6
3.1,5.8,7.8,4.892,0.088,3.6,0.778,0.036,42.3,43.6
2.7,5.8,5.1,6.227,0.088,3.5,1.172,0.034,25.9,47
4.5,7.4,12.9,5.143,0.077,4.2,0.819,0.018,64,11.8
4.9,8.6,15.7,7.245,0.087,5.3,1.707,0.005,128.3,39.5
5,8.5,11.4,6.284,0.157,5.2,2.112,0.027,65.2,10.1
5.5,8.4,8.4,5.551,0.102,5.8,2.079,0.029,62,22.8
4.1,11.5,10.5,5.377,0.081,7.1,1.613,0.018,38.9,80.3
5.8,15.8,31.9,4.768,0.125,7,1.293,0.025,60.7,48.2
4.1,10.6,12.6,3.857,0.186,5.7,1.285,0.106,64.2,229.7
5.2,9.8,23.5,3.293,0.172,4.9,1.142,0.083,77.1,231.1
2.1,7.3,19,2.645,0.101,4.3,0.312,0.051,43.8,83.8
3.4,6.8,12.2,3.789,0.083,3.7,0.582,0.024,45.3,66
3,7.7,10.7,5.276,0.066,4.2,1.108,0.007,51.9,7.7
5.4,9.3,16.8,7.247,0.09,5.2,2.014,0.003,103,29.9
5.8,11,18.8,7.636,0.122,5.6,2.905,0.021,129.5,49
4.6,9.7,13.7,9.432,0.089,5.1,5.143,0.008,64.8,44.5
5.4,10.4,24.8,6.634,0.15,5.2,3.393,0.044,60.9,120.4
5.1,8.9,28.1,5.022,0.121,4.5,1.958,0.032,52.1,108.2
5.2,9.1,20.1,3.941,0.127,5.3,1.492,0.039,97.8,135.8
5.7,11.9,21,4.233,0.153,5,1.245,0.042,68.5,168.6
6.4,11.6,38.7,3.507,0.231,5.7,0.677,0.071,134.5,150.2
3.3,10.6,30.9,3.16,0.191,5.1,1.167,0.106,63.7,358.6
3,8.1,13.9,2.85,0.157,3.5,0.412,0.062,88.1,106.4
3.7,7.2,18.8,3.803,0.103,4.5,0.413,0.051,98.4,107.4
3.6,7,15.8,3.104,0.097,4.3,0.726,0.019,56.1,37.8
4,6.9,18,4.143,0.089,3.9,0.972,0.01,78.9,25.2
4.9,8.1,18.2,6.652,0.102,4.7,1.972,0.015,63.6,12.5
5.9,11.1,20.9,6.452,0.141,6.1,1.705,0.005,157.7,28.1
6.1,9.5,34.7,6.849,0.135,5.6,2.693,0.014,93.2,26.3
4.9,9.7,9.8,5.548,0.117,5.3,1.977,0.021,36.9,65.2
5.8,10.6,11.1,4.361,0.142,5.6,1.961,0.057,24.3,62.7
5.2,13.2,15,3.695,0.122,6.7,1.014,0.029,40.7,122.2
4.7,11.5,21,3.051,0.226,7.1,0.541,0.091,27.4,182.7
4.6,9.7,19.3,3.027,0.15,6.4,0.53,0.075,27.9,53.7
3.2,8.1,13.6,2.776,0.152,4,0.363,0.076,49.2,132
1.7,6.3,9.2,3.313,0.063,3.3,0.39,0.027,24.4,115.7
3.5,8.5,11.5,5.21,0.068,4.1,1.118,0.011,36.9,17.1
2.8,7.1,7.3,6.414,0.102,4.1,2.181,0.051,21.3,24.7
3.3,5.5,10.1,5.335,0.092,4.1,1.648,0.031,37.2,41.9
5,7.2,13.5,6.035,0.101,5.2,2.221,0.006,84,25.3
5.2,8.2,16.2,6.218,0.091,6,2.593,0.006,83.8,37
4.7,7.4,9.9,5.008,0.109,5.6,2.079,0.033,47.2,153.8
2.9,7.1,10.2,3.289,0.099,5.1,1.062,0.04,28.7,67.5
3.8,8.8,11.3,3.855,0.095,6.7,1.412,0.02,45,98.9
3.1,7.7,11,2.966,0.122,5.7,0.57,0.043,32.5,179.5
3.6,7.7,8.9,3.023,0.133,6.1,0.647,0.052,37.5,145.9
2.9,6.9,9.9,2.776,0.103,5.2,0.459,0.035,42.2,66.7
3.2,6.2,10.4,2.916,0.104,4.9,0.52,0.038,28.1,87.6
3.4,6.1,6.1,4.355,0.099,5.1,0.956,0.042,30.9,112.5
2.7,5.5,6.7,4.391,0.14,2.9,0.84,0.052,22.9,58
4.2,7,12.1,4.95,0.093,6.3,0.418,0.004,107.8,52.3
3.8,6.2,12.7,4.708,0.13,5.6,0.946,0.042,51.2,46.2
4.1,6.6,15.5,4.281,0.114,5.5,0.887,0.013,44.5,63.3
3.8,6.7,7.7,4.03,0.099,5.2,0.885,0.019,31.1,194.1
3.7,7.2,10.8,2.901,0.096,5.5,0.445,0.024,45.9,111.9
3.3,8.2,11.1,3.753,0.12,6.8,1.157,0.037,35.1,122.8
2.5,6.1,12.5,2.488,0.131,5.3,0.475,0.065,16.6,277.4
2.8,8.2,7.4,2.528,0.128,6.8,0.785,0.078,14.9,71
3.1,7.4,9.1,2.82,0.141,6,0.672,0.082,31.9,244.7
2.9,6,12.9,2.841,0.17,4.3,0.622,0.098,11.2,211.6
3.5,6.1,8.9,4.171,0.098,4.4,0.622,0.019,31.8,43.6
3,5.9,6.4,5.176,0.082,4.9,0.974,0.017,27.5,47
3.9,7.8,12.6,4.934,0.104,5.7,0.777,0.017,70.6,11.8
6.3,10.9,21.5,6.062,0.111,7.6,1.212,0.012,98.2,39.5
4.9,9.2,11.2,5.89,0.092,6.6,1.932,0.017,31,10.1
5.2,9.2,8.7,5.514,0.094,7,2.329,0.016,61.1,22.8
3.5,10.4,7.1,4.829,0.07,7.5,1.515,0.02,20.2,80.3
5.9,14.8,12.9,3.992,0.079,10.4,1.02,0.007,34,48.2
3.1,8.9,11.6,3.294,0.145,7,1.163,0.079,14.4,229.7
4.3,10.2,16.3,2.368,0.134,7.6,0.517,0.065,21,231.1
4.9,10.1,19.9,2.228,0.147,6.4,0.12,0.046,50,83.8
3.8,7.3,13.7,3.108,0.081,5.6,0.677,0.015,35.1,66
3.6,8.3,14.4,4.797,0.093,6.5,1.147,0.019,16.5,7.7
4.1,8.4,11.4,6.218,0.077,6.3,1.854,0.01,27.6,29.9
6.5,11.8,19.2,6.771,0.137,9,2.66,0.021,102.7,49
5.5,10.3,12.4,7.686,0.111,7.7,4.539,0.015,48.3,44.5
5,9.8,27.3,6.632,0.152,7.3,3.478,0.038,24.7,120.4
4.8,8.6,18.6,4.52,0.1,6.3,1.629,0.023,53.3,108.2
5.2,9.6,18,3.909,0.104,7,1.546,0.026,59.7,135.8
4,11.8,10.4,3.897,0.085,8.6,1.318,0.023,26.2,168.6
5.3,10.9,22.9,2.975,0.125,7.7,0.515,0.066,41.9,150.2
3.9,12,29.9,2.8,0.188,8.3,0.991,0.082,30.3,358.6
4.6,9.8,14,2.537,0.101,6.6,0.256,0.046,51.7,106.4
3.8,7.7,21,2.975,0.116,6.8,0.206,0.034,53.9,107.4
5.5,10.8,32.3,4.056,0.176,8.6,0.88,0.028,82.9,37.8
5,11.6,26,5.522,0.176,8.9,1.429,0.028,92,25.2
5.3,11.1,25.2,7.198,0.145,8.9,1.775,0.013,93.6,12.5
7.1,15.4,31.2,6.292,0.197,11.5,2.299,0.014,134.2,28.1
6.8,14.2,24,6.492,0.192,9.2,2.755,0.013,90.4,26.3
4.5,9.7,9,4.441,0.156,7.1,2.08,0.029,46.4,65.2
4.2,10,13.3,3.878,0.149,7.2,2.154,0.044,36,62.7
6.3,13.3,19.9,2.811,0.132,9.1,1.181,0.017,59,122.2
3.8,9.4,21.1,2.46,0.118,8.5,0.421,0.053,25.5,182.7
3.7,9.7,23.7,2.128,0.142,8.7,0.347,0.065,53.7,53.7
3.8,7.2,13.8,2.608,0.137,4.9,0.339,0.07,30.2,132
3.5,6.2,8.9,3.111,0.068,4.6,0.181,0.024,34.1,115.7
4.9,8.3,14.5,4.537,0.062,7.5,0.597,0.023,58.3,17.1
3.6,7.4,5.1,5.832,0.088,6.3,1.843,0.049,20.6,24.7
4,5.7,15.9,5.134,0.099,4.3,1.457,0.017,51.4,41.9
4.6,6.6,14.3,5.714,0.096,4.8,1.809,0.007,73.4,25.3
5.6,8.3,20.5,6.029,0.103,5.8,2.214,0.006,87.5,37
5.5,7.5,16.6,4.748,0.11,5.6,1.872,0.03,42.1,153.8
3.6,6.5,21.2,3.242,0.109,5,0.854,0.03,24.9,67.5
5.5,8.2,25.6,3.725,0.103,6.7,1.261,0.016,44.6,98.9
3.9,7.5,21.9,2.928,0.139,5.4,0.497,0.044,31.4,179.5
4.2,8.2,21.6,3.431,0.19,5.8,0.729,0.068,28.5,145.9
3.5,6.7,16.7,2.514,0.135,4.9,0.347,0.034,25.3,66.7
4,6.5,17.6,2.841,0.117,5.1,0.409,0.031,38.9,87.6
4.3,6.5,13.1,3.945,0.098,5.2,0.673,0.016,32.3,112.5
2.9,5.5,9.5,4.364,0.129,2.8,0.861,0.062,18.1,58
4.7,8.1,15.9,5.226,0.104,7.5,0.3,0.007,133,52.3
4.1,6.5,15,5.067,0.139,5.6,1.062,0.041,51.6,46.2
5,7.7,19.6,4.042,0.118,5.8,0.678,0.019,53.1,63.3
4.5,6.3,12.8,3.852,0.096,5.4,0.735,0.024,27.8,194.1
4.1,6.5,22,2.573,0.097,5.5,0.259,0.026,41.9,111.9
4.9,8.6,22.8,3.751,0.135,7.3,0.985,0.035,49.2,122.8
3,6.9,20.9,2.459,0.138,5.6,0.323,0.067,28.7,277.4
5.1,11.3,23.2,2.578,0.181,7.9,0.576,0.074,46.5,71
3.2,7.3,11.6,2.502,0.135,5.5,0.444,0.073,20.7,244.7
3.3,6.4,27.5,3.037,0.196,4.8,0.502,0.102,15.8,211.6
3.4,5.8,11.6,4.027,0.102,4.7,0.538,0.034,23.9,43.6
3.4,6.1,7.7,4.594,0.091,5,0.843,0.029,38,47
3.4,6.7,6.9,4.325,0.094,5,0.724,0.016,42.5,11.8
6.5,11.5,23.6,5.665,0.111,7.6,0.809,0.008,132.1,39.5
5,8.9,12,5.857,0.085,6.6,1.943,0.017,35.6,10.1
6,9.8,11,5.697,0.134,7.9,2.073,0.057,80.9,22.8
4.3,10.1,12.1,4.327,0.066,7.5,1.112,0.012,24,80.3
5.2,14.2,20.1,3.892,0.092,10.2,1.182,0.005,56.1,48.2
4.3,8.8,17.1,3.168,0.135,7.3,1.111,0.064,20.8,229.7
4.4,8.6,22.8,3.01,0.159,6.3,0.914,0.07,32.5,231.1
3.6,7.7,12.8,2.183,0.1,5.8,0.176,0.052,40.4,83.8
3.5,7.1,11.8,2.886,0.078,5.4,0.545,0.019,32,66
3.3,7.5,12.5,4.581,0.073,5.9,0.998,0.008,26.1,7.7
2.6,7.2,7.8,5.655,0.071,5.7,1.297,0.011,17.7,29.9
7.2,13,20.3,6.551,0.159,9.7,2.274,0.017,155.4,49
5.7,10.4,13.6,7.818,0.12,8.2,4.195,0.02,68.2,44.5
4,7.9,8.6,7.502,0.118,6.6,4.24,0.019,24.3,120.4
4.4,8.2,19.2,4.374,0.1,6.1,1.529,0.021,56.5,108.2
4.9,8.9,15.7,4.07,0.097,6.9,1.658,0.024,61.8,135.8
4.6,12.2,14.4,3.717,0.097,9.1,1.135,0.032,44.2,168.6
4.9,9.4,19,3.009,0.116,6.7,0.459,0.043,41.3,150.2
4.5,12.4,16.4,2.745,0.154,8.9,0.804,0.07,48.2,358.6
4.2,7.4,18.7,2.585,0.095,5.8,0.251,0.049,35.8,106.4
3.7,7.6,16.7,2.898,0.128,6.9,0.219,0.03,54.6,107.4
5.1,9.7,18,4.147,0.136,8.1,0.95,0.033,112.2,37.8
5.1,10.6,23.1,4.971,0.159,9.1,1.212,0.032,111.1,25.2
5.2,10.9,20.9,7.118,0.13,9.6,1.624,0.021,117.5,12.5
6.2,13.4,18.6,6.277,0.157,10.4,2.434,0.014,136.5,28.1
5.3,10.6,15.5,6.171,0.127,8.2,2.785,0.024,58.1,26.3
4.4,9.3,17.9,4.295,0.16,8.3,1.758,0.022,66.4,65.2
3.7,8.5,13.9,4.093,0.151,6.5,2.031,0.05,31.2,62.7
4.6,11.1,20.7,2.939,0.112,8.8,0.995,0.018,51.7,122.2
3.7,8.9,16.8,2.494,0.116,8.1,0.38,0.05,30.8,182.7
3.4,8.5,15.7,2.069,0.113,8.1,0.499,0.061,45.8,53.7
3.2,7.1,11.4,2.399,0.12,5,0.176,0.082,23.3,132
2.6,5.2,11.9,3.255,0.075,4,0.206,0.023,28.8,115.7
4.7,7.9,16.5,4.056,0.051,7.1,0.362,0.017,49.3,17.1
3.6,7.3,5.7,5.492,0.091,5.8,1.965,0.058,21.1,24.7
3.9,5.6,15.1,4.808,0.085,4.2,1.085,0.013,55,45
4.5,6.9,17,5.078,0.081,4.5,1.292,0.004,80.5,24.6
5.5,8.4,19.5,5.719,0.096,5.8,1.868,0.008,76.4,35.7
5.3,7.6,17.8,4.621,0.103,5.6,1.609,0.02,54.6,150.7
4.2,6.5,20,3.145,0.1,5.1,0.795,0.027,22.2,59.4
4.5,7.9,19.6,3.573,0.085,6.7,1.104,0.012,35.9,104.1
4,7.3,19.2,2.907,0.129,5.5,0.451,0.04,31.1,162.6
5,7.8,19.4,2.893,0.183,6,0.514,0.054,36,125.9
3.6,6.7,18.3,2.433,0.121,4.9,0.261,0.02,24.9,71.4
4.4,6.2,19.9,2.975,0.11,5.1,0.498,0.025,18,88.4
4.1,6.2,14.6,3.721,0.1,5.2,0.587,0.018,26,116.3
3.4,5.3,9.8,4.374,0.116,2.8,0.838,0.051,15.6,62.9
4.9,7.6,15.2,4.621,0.088,7,0.154,0.007,118.9,60.7
4.1,7,19.2,5.102,0.129,6,0.937,0.033,58.6,43.5
5.1,7.5,19.2,3.945,0.109,5.9,0.566,0.012,45.7,55.1
3.9,6.4,14,3.519,0.099,5.4,0.499,0.02,23.7,187.6
4,6.7,23.7,2.858,0.116,5.5,0.248,0.038,39.7,110.2
4.6,8.1,22.4,3.481,0.123,7.3,0.745,0.028,41.4,122.5
2.9,7.2,27.9,2.324,0.15,5.8,0.239,0.066,26.4,282.2
3.7,8.9,21.3,2.126,0.141,7.2,0.243,0.059,29.1,58.7
3.5,7.4,13.5,2.447,0.134,5.7,0.331,0.069,24.7,231.6
3.4,8.1,34.1,3.149,0.275,5.5,0.355,0.155,15.8,211.7
3,5.5,14.5,3.727,0.111,4.4,0.404,0.039,20.1,42.6
3.5,6,9.6,4.374,0.08,5.1,0.573,0.017,37.2,45.3
2.9,6.8,9,4.429,0.097,5,0.746,0.027,45.8,12.5
6.5,11,22.4,5.129,0.102,7.4,0.457,0.008,128.5,38.4
3.9,7.9,12,5.711,0.068,6.2,1.773,0.015,18.4,6.1
5.6,9.4,10.2,5.336,0.078,7.3,1.643,0.01,54.7,7.9
3.3,8.9,10.8,3.728,0.059,7,0.79,0.011,16.1,22.6
3.9,12.5,26.7,3.847,0.096,8.9,0.97,0.011,32.3,37.1
4,9.5,29.6,3.315,0.13,7.3,1.039,0.057,15.7,184.6
3.8,7.9,22.2,3.117,0.148,6.2,0.99,0.072,20.8,246.9
2.9,6.9,14.8,2.144,0.101,5.2,0.152,0.055,28.4,109
3.5,6.4,15.1,2.717,0.085,5.1,0.491,0.026,23.8,77
3.3,7.2,13.7,4.118,0.059,5.7,0.689,0.01,33.1,1.8
2.6,6.7,9.5,5.091,0.067,5.5,1.067,0.012,17.5,34.7
5.7,11.1,15.3,6.747,0.119,8.4,2.313,0.013,105.6,45.9
5.2,10,12.9,6.701,0.107,7.7,2.794,0.015,57.6,28.4
3,7.9,9.7,7.046,0.102,6.2,3.458,0.019,17.5,129.4
3.9,7.9,17.9,4.435,0.098,5.9,1.593,0.025,32.8,142.7
3.6,8.2,14.9,3.502,0.081,6.3,1.051,0.022,31.4,86.8
4.3,11.9,15.9,3.163,0.085,9,0.776,0.021,32.5,200.2
4.7,10.5,27.2,2.531,0.118,7.1,0.235,0.035,37.8,78.3
5.2,14.5,26.7,2.4,0.168,9.7,0.503,0.056,40.4,341.5
3.6,7.4,20.4,2.591,0.108,5.2,0.21,0.048,27.6,137.7
3,7.3,17.7,2.558,0.109,6.3,0.187,0.03,22.1,130.1
3.6,7.5,11.5,3.592,0.099,6.9,1.02,0.037,30.5,48.6
4.2,10.1,13.1,4.371,0.092,8.1,1.18,0.028,67.6,34.6
4.7,10.1,17.4,6.836,0.103,8.6,1.333,0.013,100.7,15.3
6.1,13.1,18.2,6.029,0.132,9.7,1.965,0.012,104.4,34.3
3.9,8.3,11,5.893,0.108,6.9,2.536,0.027,35.8,35.6
4.4,9.2,11.8,4.814,0.152,8.1,1.938,0.022,59.4,85.3
4,8.6,13.5,3.708,0.134,6.5,1.632,0.033,32.2,95
4.7,11.2,19.1,2.979,0.117,8.1,1.019,0.023,40.9,163.3
3.8,9.6,18.4,2.641,0.121,8.8,0.297,0.05,27.7,214.5
3.8,8.6,16,1.999,0.119,8,0.305,0.058,36.1,94.3
2.8,6.9,17.7,2.511,0.128,5.1,0.243,0.086,14.1,200.2
2.4,5.3,11.2,3.072,0.082,3.8,0.173,0.034,12,153.3
3.5,7,12.3,3.692,0.047,6.3,0.259,0.017,34.8,19.8
3.6,7.1,7.4,5.379,0.055,6,1.75,0.025,23.8,35
