pH,DO,Temp,EC,Flow,Rain
7.2,10.4,11.6,317,26.807,55.2
7.2,10,16.6,284,29.265,185
6.9,9.4,21.4,287,26.044,104.5
6.9,7.2,24.3,288,24.42,116.1
6.9,6.5,26.2,230,59.187,301.4
6.8,4.3,29,317,22.217,81
7,6.8,24,276,36.609,251.3
6.5,7.1,19.5,220,42.963,216.7
7,10.8,13.2,371,16.251,31.5
7,10.9,8.3,428,15.293,44.9
7,13.1,6.1,432,12.284,11.7
7.2,13.8,7,473,16.996,41.9
7.5,14.8,11.1,428,4.914,7.8
6.8,10.5,16.6,369,13.412,8.9
7.2,8.6,21.6,445,9.681,28.1
7.1,8,24.1,351,23.248,42.1
6.4,4.6,27.2,274,24.309,211.7
6.6,3.3,27.5,262,94.799,273.8
7,8.4,23.7,272,47.595,108.8
7.1,8.4,18.9,388,17.424,85.4
7.6,12.3,12.1,480,15.681,2.1
7.8,12.2,7.4,559,25.078,28.5
7.2,13.5,5.8,561,7.29,38.8
7.5,13.3,6.5,548,10.175,22
7.3,7.8,11.7,386,38.267,115.8
7.4,8.2,16.6,364,43.437,127.4
7.5,8.3,21.5,306,38.195,85.4
7.6,7.7,26,382,33.815,222.4
8,9.2,28.7,323,68.392,84.5
8,9.7,29.5,343,60.961,397.1
7.3,6.9,24.5,294,17.677,129.7
7.3,8.7,18.4,336,12.864,125.2
7.8,9.7,13.4,415,8.473,47.2
7.9,11.7,8.4,466,12.747,32.4
7.8,12.5,6.7,485,6.433,16.4
7.8,12.4,7.5,434,7.281,37
7.8,10.4,12,454,8.799,33.9
8.3,9,15.3,374,18.457,84.7
7.6,8.1,20.6,349,16.081,78.8
7.9,6.5,24.4,325,14.614,158
7.7,5.7,26.1,257,34.56,242.2
7.6,7.6,28.1,273,51.418,64.8
7.4,7.8,24.5,243,42.173,165.8
7.8,10.2,19.6,291,24.889,149.9
7.7,10.3,14.9,419,19.908,22.8
7.7,13.1,9,480,12.57,31.6
7.9,17.2,5.4,369,20.63,47.2
7.4,13.1,6.3,397,18.073,23.9
8.4,12.5,10.7,367,12.371,36.5
7.7,9.6,16.3,311,22.021,145.5
8.2,10.4,22,275,19.311,48.6
8.3,10.5,25.6,311,19.118,96.1
7.7,7.8,25.1,205,38.434,164.3
8,8.9,28.5,234,21.543,148.9
8,9.9,24.9,228,19.761,66.6
7.8,9.8,20,249,14.647,90.9
7.5,8.6,14.6,352,21.203,121.9
7.1,10.6,7.8,339,23.383,59.2
8.4,15.6,5.1,353,15.677,49.9
7.7,12.8,6.3,363,23.339,45.2
7.9,11,11.2,271,26.807,55.2
7.6,10.3,17.2,220,29.265,185
7.3,10.5,20.5,222,26.044,104.5
7,8.7,24.9,266,24.42,116.1
7.5,10.4,27.3,200,59.187,301.4
8.2,10.5,31.5,276,22.217,81
7.7,10,24.3,240,36.609,251.3
7.2,8,19.8,192,42.963,216.7
7.6,12.7,13.2,333,16.251,31.5
7.7,13.1,8.3,428,15.293,44.9
7.8,14.4,5.3,363,12.284,11.7
8.1,12.1,6.4,427,16.996,41.9
8.2,10.4,10.2,401,4.914,7.8
7.9,11.7,18.3,293,13.412,8.9
7.8,12,23.2,417,9.681,28.1
7.9,11.3,25.5,368,23.248,42.1
7.5,6.8,27,194,24.309,211.7
7.4,8.2,28.5,250,94.799,273.8
7.7,11.6,24.2,236,47.595,108.8
7.2,9.2,19.6,397,17.424,85.4
6.9,12.7,11.9,410,15.681,2.1
7.5,12.6,6.4,486,25.078,28.5
8,15,5.4,500,7.29,38.8
7.7,14,5.3,507,10.175,22
7.4,12,11.2,342,38.267,115.8
7.1,11.5,17.3,346,43.437,127.4
7,8.7,20.6,277,38.195,85.4
8,10.9,26.6,357,33.815,222.4
7.7,8.8,29.9,341,68.392,84.5
7.9,10.7,29.2,283,60.961,397.1
7.6,10.2,23.9,249,17.677,129.7
7.8,10,18.4,286,12.864,125.2
7.7,13,12.5,343,8.473,47.2
7.7,12.5,7,420,12.747,32.4
8,14.6,5,433,6.433,16.4
8.5,13.7,6.9,398,7.281,37
8,11.2,11.2,376,8.799,33.9
7.8,9.5,14.8,383,18.457,84.7
7.6,9,19.9,340,16.081,78.8
7.5,8.1,23.3,307,14.614,158
7.4,8.2,25.5,202,34.56,242.2
7.6,8.4,26.6,284,51.418,64.8
7.4,9.4,23.1,238,42.173,165.8
7.8,11.2,18.1,279,24.889,149.9
7.6,11.2,12.8,399,19.908,22.8
8.1,12.9,8.3,432,12.57,31.6
7.7,17.6,5.3,374,20.63,41.1
7.6,14.5,6.3,336,18.073,25.7
8.5,13.4,10.5,374,12.371,34.4
8,9.6,16.3,314,22.021,159.6
7.8,8.7,22.1,225,19.311,77.8
8.3,10.3,26,314,19.118,117.8
7.7,8.5,25.5,202,38.434,159.6
8.2,10.4,28.8,220,21.543,86.5
7.9,8.9,25.1,241,19.761,79.5
7.8,8.6,20.3,222,14.647,84.2
7.5,8,14.8,346,21.203,106.8
7.3,12,8.2,341,23.383,69.3
8.3,16.5,5.7,374,15.677,79.2
7.7,12.8,6.3,363,23.339,40.5
8,11.3,11.3,276,26.807,54.9
7.9,10.5,16.9,269,29.265,192
8.1,11.6,21,216,26.044,119.9
8.1,10.1,25.6,271,24.42,133.6
8.5,14.4,28.7,192,59.187,249.2
8.7,11.1,30.6,261,22.217,20.4
8.1,10.1,25.7,226,36.609,197.8
7.3,9.7,19.2,187,42.963,203.1
7.8,12.1,13.5,260,16.251,61.5
7.8,13.4,8.6,411,15.293,45.9
8,15.3,6.4,380,12.284,13.9
8.3,15.1,6.4,389,16.996,32.3
7.9,13.1,10.4,391,4.914,3.1
7.8,11.1,17.4,344,13.412,6.2
8.3,12,24,409,9.681,13.3
8.3,12.4,26,336,23.248,28.5
7.9,7.7,28.4,228,24.309,138.2
8.2,9.5,29,232,94.799,200.8
7.9,9,24.9,223,47.595,109.4
7.8,10.4,20,301,17.424,62.7
7.5,11,12.7,448,15.681,1.4
7.8,14.5,6,525,25.078,45.3
8.2,14.9,5.6,437,7.29,58
8.3,16.1,5.5,447,10.175,39.3
7.6,13.1,13.1,320,38.267,152.7
7.7,11.4,17.4,290,43.437,169
7.6,13.4,21.7,270,38.195,89.3
7.7,12.4,26.7,288,33.815,162
7.8,10.2,28.5,237,68.392,67.6
7.6,7.6,29.2,238,60.961,246.2
7.5,9.9,25.1,186,17.677,151.4
7.9,13.8,18.6,296,12.864,138.4
7.8,12.7,14.5,319,8.473,51.1
7.7,9.1,8.3,342,12.747,38.3
7.6,14.3,6.6,439,6.433,13.3
7.9,13.4,6.6,374,7.281,29.6
7.9,14,11,339,8.799,38.5
8,12.2,15.7,345,18.457,86.3
8.2,10.3,21.4,316,16.081,122.9
8.6,12.1,25.5,233,14.614,172.3
7.7,9.2,25.7,190,34.56,167
8.1,9.7,29.3,198,51.418,144.9
7.7,10.6,24.4,188,42.173,259.3
7.9,13.1,19.2,228,24.889,159
8,12.9,14.9,365,19.908,14.6
7.5,13.5,7.8,433,12.57,40.7
7,14.2,4.6,393,32.249,41.1
7.5,16.1,5.3,387,22.295,25.7
8.2,14.4,9.3,385,18.668,34.4
7.6,9.7,15.4,326,38.066,159.6
7.3,6.8,20.1,233,42.229,77.8
7.4,6.9,24.1,306,45.66,117.8
7.8,8,25.7,210,51.774,159.6
8.1,7.7,28,261,47.29,86.5
7.6,8.8,24.3,258,41.411,79.5
7.4,8.6,19.9,217,21.357,84.2
7,7.5,15.6,342,24.514,106.8
6.8,9.9,9,298,32.197,69.3
8.1,15.7,5.3,362,21.65,79.2
7.4,13.9,5.7,339,39.941,40.5
7.2,11.6,10.5,275,36.155,54.9
7.3,9.6,16.2,297,40.966,192
7.7,10.1,21.1,225,96.209,119.9
7.4,7.9,24.3,283,46.652,133.6
7,6.3,25.6,182,136.889,249.2
7.3,4.7,29.4,283,44.865,20.4
7.2,7.4,24.1,224,54.21,197.8
6.6,7.5,19.5,194,61.176,203.1
7,10.7,13.5,306,27.86,61.5
6.9,11.2,7.4,379,22.245,45.9
7.3,13.5,5.1,360,24.514,13.9
7.7,15.4,5.3,424,31.762,32.3
7.7,13.5,9.2,382,26.073,3.1
7.1,10.9,15.5,358,22.668,6.2
7.4,9.4,20.7,379,17.923,13.3
7.4,8.3,24.2,374,35.164,28.5
6.7,5.5,27.1,251,45.476,138.2
7,7.3,27.8,203,111.683,200.8
7.4,10.3,23.9,189,46.315,109.4
7.2,8.7,18.9,283,19.645,62.7
7.5,10,11.8,405,21.103,1.4
7.6,13.1,5.4,531,16.96,45.3
8.1,15.1,4.3,490,26.607,58
8.5,15,4.2,489,13.41,39.3
7.6,9.9,11,409,29.906,152.7
8.2,10.6,16.4,282,97.752,169
7.7,7.6,20.8,297,55.849,89.3
7.9,5.1,25.4,339,26.872,162
8.3,7,28.4,264,48.904,67.6
7.7,6.1,28.9,275,15.464,246.2
7.5,8,23.6,219,155.253,151.4
8.2,11.2,18.3,258,113.241,138.4
8.1,12.8,12.2,357,12.627,51.1
8.4,14.9,7,419,16.621,38.3
8.5,16,4.8,448,14.324,13.3
8.8,16.1,6.3,405,16.909,29.6
8.7,13.3,11,404,18.053,38.5
8.4,8.8,14.3,341,19.123,86.3
7.4,7,20.4,314,22.146,122.9
8,8,23.8,271,27.817,172.3
7.8,6.2,24.9,178,46.295,167
7.9,7.9,28.8,206,44.483,144.9
7.7,8.3,24.1,198,49.015,259.3
8.3,11,19.6,240,24.599,159
8.2,11.6,14.6,362,10.33,14.6
7.7,10.4,7.9,426,11.253,40.7
7.4,14.3,4.5,383,32.249,41.1
7.3,13.9,4.4,356,22.295,25.7
7.7,13.2,9.1,377,18.668,34.4
7.5,8.9,15.1,319,38.066,159.6
7.2,8.1,20.4,233,42.229,77.8
7,6.7,24.1,278,45.66,117.8
7.4,6.9,25.8,201,51.774,159.6
7.3,5.3,27.7,285,47.29,86.5
7.3,7.1,25,214,41.411,79.5
7.3,8.5,19.7,217,21.357,84.2
7,8.8,15.4,347,24.514,106.8
6.8,9.5,9.6,313,32.197,69.3
8.4,14.5,3.6,369,21.65,79.2
7.3,14.2,5.3,358,39.941,40.5
7.5,13.3,10.3,273,36.155,54.9
7.2,9.5,16.4,294,40.966,192
7.3,9.3,19.9,202,96.209,119.9
7.1,6.7,24.4,289,46.652,133.6
6.9,6.9,26.6,185,136.889,249.2
7.2,5.6,29.5,280,44.865,20.4
6.9,7.3,23.7,190,54.21,197.8
7.1,8.4,19.8,182,61.176,203.1
7.4,10,13.2,302,27.86,61.5
7,11.2,8.1,350,22.245,45.9
7.3,13.1,5.4,332,24.514,13.9
8,13.9,5,403,31.762,32.3
7.7,11.7,9.2,398,26.073,3.1
7.2,10.9,15.6,359,22.668,6.2
7.5,10.5,21.2,373,17.923,13.3
7.4,6.8,24,386,35.164,28.5
7,5.2,27.3,252,45.476,138.2
7.3,6.7,27.5,220,111.683,200.8
6.9,7.6,24,180,46.315,109.4
7.4,8.8,18.8,272,19.645,62.7
7.7,10.5,11.7,397,21.103,1.4
8.1,10.9,6,496,16.96,45.3
8.3,14.6,4.1,489,26.607,58
8.5,14.9,4.4,483,13.41,39.3
7.6,9.1,10.3,415,29.906,152.7
7.6,9,15.4,274,97.752,169
7.7,7.5,21.1,301,55.849,89.3
7.8,5,25.7,338,26.872,162
8,5.9,27.5,233,48.904,67.6
7.9,6.1,30.5,304,15.464,246.2
7.3,7.5,24.3,194,155.253,151.4
8,9.9,18.4,253,113.241,138.4
8.2,12.3,12.5,351,12.627,51.1
8.8,14.8,7.2,404,16.621,38.3
8.5,16.3,5,455,14.324,13.3
8.9,16.6,5.4,407,16.909,29.6
8.2,9.3,10.9,410,18.053,38.5
8.7,10.1,14.4,327,19.123,86.3
7.4,6,19.7,330,22.146,122.9
8.2,7.8,24.2,268,27.817,172.3
7.9,9.5,26,181,46.295,167
7.8,7.5,28.8,205,44.483,144.9
7.6,7.8,23.8,175,49.015,259.3
7.8,9.6,19.7,249,24.599,159
8.2,10.7,14.4,354,10.33,14.6
7.8,10.9,8.7,414,11.253,40.7
7.6,14.7,4.5,373,38.474,41.1
8.1,13.9,4.1,345,25.326,25.7
8.2,13.4,9,361,20.012,34.4
7.7,9.7,15.5,314,43.103,159.6
7.2,8.5,20.2,237,48.581,77.8
7.2,6.8,24.1,279,50.842,117.8
7.3,6.8,25.9,201,57.82,159.6
7.3,4.6,27.7,274,57.917,86.5
7.5,6.8,25,219,46.262,79.5
7.1,7.7,19.7,226,23.138,84.2
7.1,8.5,15.5,330,27.262,106.8
6.9,9.5,9.6,309,35.164,69.3
8.5,14.8,3.5,351,24.477,79.2
7.3,14.4,5.3,353,45.833,40.5
7.7,13.4,10.1,265,40.739,54.9
7.2,9.9,16.4,272,45.568,192
7.3,8.4,19.7,213,64.289,119.9
7.3,6.9,24.2,281,53.891,133.6
7,6.9,26.3,178,154.334,249.2
7.3,5.4,29.6,268,48.273,20.4
7,6.9,23.8,191,57.882,197.8
7.1,8.2,19.7,185,68.15,203.1
7.3,9.8,12.9,285,31.71,61.5
7.4,11.6,8,349,24.266,45.9
7.3,12.4,5.4,346,26.541,13.9
8.3,13.5,4.9,385,33.811,32.3
7.7,11.2,8.5,407,27.675,3.1
7.4,12.1,15.6,362,24.79,6.2
7.5,9.5,21.1,356,19.795,13.3
7.2,7.7,23.9,373,48.527,28.5
6.8,5.1,27.4,273,61.922,138.2
7,5.6,27.6,234,49.217,200.8
6.8,7.4,23.8,167,55.976,109.4
7.2,8.3,18.7,263,21.409,62.7
7.5,11.2,11.8,369,21.937,1.4
7.9,11.4,6.3,471,17.711,45.3
8.2,13,3.8,474,28.58,58
8.6,14.9,3.8,465,14.642,39.3
7.5,9.2,10.1,401,34.235,152.7
7.7,8.6,15.4,271,108.369,169
7.6,7,21.1,280,66.894,89.3
7.9,6.2,25.4,323,33.6,162
8.4,8.2,28,214,55.787,67.6
8.4,7.7,30.8,344,17.23,246.2
7.2,7.1,24.2,183,176.091,151.4
7.7,8.6,18.4,229,118.054,138.4
7.9,9.4,12.7,332,14.486,51.1
8.6,14.1,7.8,392,20.713,38.3
8.5,15.9,4.4,439,16.01,13.3
8.9,15.9,5.1,411,19.421,29.6
8,8.3,10.2,399,19.783,38.5
8.6,11.1,14.2,350,21.241,86.3
7.5,7.2,19.4,327,26.601,122.9
8.2,6.1,23.8,275,34.232,172.3
7.9,8.8,26.5,191,53.368,167
7.9,7.9,28.3,194,54.18,144.9
7.3,6.8,23.4,173,60.086,259.3
7.7,8.6,19.8,230,30.764,159
8.1,10.4,14.4,337,13.34,14.6
7.8,11.5,8.5,409,13.058,40.7
