yyyymm,date,spot,Cyanophytes,Diatoms,Chlorophytes,Others
201809,180927,J2,234,120,170,10
201810,181002,J2,62,180,380,110
201810,181010,J2,0,140,0,90
201810,181016,J2,0,280,120,60
201810,181023,J2,0,840,320,20
201810,181030,J2,0,770,80,30
201811,181106,J2,0,2130,520,50
201811,181113,J2,0,500,30,30
201811,181120,J2,0,300,0,60
201811,181127,J2,0,260,240,160
201812,181204,J2,0,310,120,60
201812,181210,J2,0,250,50,90
201812,181218,J2,0,190,140,30
201812,181226,J2,0,360,70,120
201901,190102,J2,0,570,10,110
201901,190108,J2,0,170,30,130
201901,190115,J2,0,710,60,80
201901,190122,J2,0,280,0,30
201901,190129,J2,0,470,5,20
201902,190207,J2,0,920,10,0
201902,190212,J2,0,200,20,50
201902,190219,J2,0,280,30,20
201902,190226,J2,0,720,30,30
201903,190305,J2,0,1770,0,20
201903,190312,J2,0,2830,40,40
201903,190319,J2,0,3670,30,30
201903,190326,J2,0,2650,0,40
201904,190402,J2,0,2760,20,40
201904,190409,J2,0,2680,10,50
201904,190416,J2,0,2390,0,50
201904,190423,J2,0,500,0,20
201904,190430,J2,0,750,0,20
201905,190507,J2,0,440,0,0
201905,190513,J2,0,175,0,10
201905,190521,J2,0,45,0,15
201905,190529,J2,0,150,0,20
201906,190604,J2,0,150,0,0
201906,190611,J2,0,175,5,10
201906,190618,J2,22,160,0,15
201906,190625,J2,0,55,0,25
201907,190701,J2,0,75,5,30
201907,190709,J2,0,50,0,30
201907,190716,J2,37,10,20,40
201907,190722,J2,1335,115,0,10
201907,190730,J2,984,20,0,15
201908,190806,J2,680,20,0,10
201908,190813,J2,440,75,0,15
201908,190820,J2,335,40,10,0
201908,190827,J2,83,5,25,2
201909,190903,J2,122,50,40,10
201909,190910,J2,123,30,20,5
201909,190917,J2,86,45,0,10
201909,190924,J2,60,130,10,10
201910,191001,J2,138,60,30,0
201910,191015,J2,0,275,10,10
201910,191022,J2,24,35,30,25
201910,191029,J2,44,95,40,0
201911,191105,J2,0,185,20,15
201911,191112,J2,0,165,50,15
201911,191119,J2,0,140,40,10
201911,191126,J2,0,25,30,0
201912,191203,J2,0,60,60,15
201912,191210,J2,0,40,80,10
201912,191217,J2,0,0,45,45
201912,191223,J2,0,50,50,0
201912,191230,J2,0,90,5,115
202001,200107,J2,0,105,40,200
202001,200114,J2,0,125,20,15
202001,200121,J2,0,160,30,65
202001,200128,J2,0,130,85,65
202002,200203,J2,0,55,50,90
202002,200211,J2,0,295,35,95
202002,200217,J2,0,140,15,35
202002,200225,J2,0,165,25,55
202003,200303,J2,0,140,20,45
202003,200310,J2,0,280,5,50
202003,200317,J2,0,450,35,90
202003,200324,J2,0,740,15,45
202004,200407,J2,0,785,10,105
202004,200414,J2,0,700,15,25
202004,200421,J2,0,270,25,40
202004,200428,J2,0,165,35,150
202005,200504,J2,0,55,28,65
202005,200512,J2,0,32,141,110
202005,200519,J2,0,69,565,55
202005,200526,J2,0,103,25,65
202006,200602,J2,213,574,103,173
202006,200609,J2,0,330,48,52
202006,200616,J2,0,248,12,17
202006,200623,J2,0,314,147,30
202006,200630,J2,0,287,117,16
202007,200707,J2,0,77,31,34
202007,200714,J2,17,156,24,15
202007,200721,J2,87,828,55,29
202007,200728,J2,159,898,1701,108
202008,200804,J2,1090,2620,510,90
202008,200819,J2,177,750,175,60
202008,200825,J2,26,2160,200,30
202009,200901,J2,0,2350,60,50
202009,200908,J2,314,715,120,70
202009,200915,J2,314,170,85,15
202009,200922,J2,236,110,80,30
202009,200928,J2,428,255,25,115
202010,201006,J2,134,770,140,130
202010,201012,J2,109,820,195,50
202010,201020,J2,9,875,115,0
202010,201027,J2,0,1200,520,120
202011,201103,J2,0,890,610,50
202011,201110,J2,80,1230,220,80
202011,201117,J2,0,1580,220,20
202011,201123,J2,0,1280,570,100
202012,201201,J2,0,160,140,55
202012,201208,J2,0,255,185,15
202012,201214,J2,0,220,195,65
202012,201222,J2,0,260,110,75
202012,201228,J2,0,150,85,95
202101,210105,J2,0,290,155,140
202101,210111,J2,0,605,85,100
202101,210120,J2,0,850,105,60
202101,210126,J2,0,850,60,20
202102,210202,J2,0,760,100,50
202102,210209,J2,0,570,60,45
202102,210216,J2,0,470,275,250
202102,210223,J2,0,505,25,35
202103,210303,J2,0,345,35,20
202103,210309,J2,0,225,5,10
202103,210316,J2,0,390,85,80
202103,210323,J2,0,270,15,35
202103,210330,J2,0,480,10,120
202104,210406,J2,0,105,30,65
202104,210413,J2,0,1260,0,40
202104,210420,J2,0,450,75,90
202104,210427,J2,0,380,20,95
202105,210504,J2,0,910,190,100
202105,210511,J2,0,1030,110,130
202105,210518,J2,0,455,210,55
202105,210525,J2,0,285,130,115
202106,210602,J2,0,380,40,45
202106,210608,J2,0,175,105,110
202106,210615,J2,27,205,125,55
202106,210622,J2,20,140,145,55
202106,210629,J2,77,110,60,30
202107,210708,J2,20,310,135,65
202107,210713,J2,95,25,285,130
202107,210720,J2,30,105,465,115
202107,210727,J2,380,30,220,165
202108,210803,J2,281,90,395,35
202108,210810,J2,656,95,1090,20
202108,210818,J2,819,75,1095,15
202108,210825,J2,400,900,670,90
202108,210831,J2,126,76,206,28
202109,210907,J2,325,120,235,75
202109,210913,J2,397,130,200,65
202109,210923,J2,109,80,245,25
202109,210928,J2,40,155,240,100
202110,211006,J2,61,270,195,35
202110,211013,J2,17,180,340,25
202110,211026,J2,0,235,125,45
202111,211102,J2,0,355,220,30
202111,211109,J2,0,275,135,20
202111,211116,J2,0,520,210,65
202111,211123,J2,0,385,155,40
202111,211130,J2,0,700,20,35
202112,211207,J2,0,610,40,45
202112,211214,J2,0,380,65,60
202112,211221,J2,0,175,20,65
202112,211227,J2,0,155,35,85
202201,220104,J2,0,36,32,52
202201,220111,J2,0,135,80,160
202201,220118,J2,0,65,90,60
202201,220125,J2,0,240,70,55
202202,220203,J2,0,420,45,55
202202,220208,J2,0,425,110,145
202202,220215,J2,0,725,130,60
202202,220222,J2,0,480,30,60
202203,220302,J2,0,955,140,20
202203,220308,J2,0,770,65,45
202203,220315,J2,0,790,75,40
202203,220322,J2,0,670,40,50
202203,220329,J2,0,515,45,25
202204,220405,J2,0,1280,60,50
202204,220412,J2,0,2080,90,90
202204,220419,J2,0,1120,70,100
202204,220426,J2,0,550,25,105
202205,220503,J2,0,200,30,55
202205,220510,J2,0,145,5,10
202205,220517,J2,0,30,30,65
202205,220524,J2,0,210,122,36
202205,220531,J2,151,212,52,78
202206,220607,J2,0,122,26,46
202206,220614,J2,0,94,54,62
202206,220621,J2,254,325,245,35
202206,220628,J2,0,200,130,42
202207,220705,J2,8,70,110,14
202207,220712,J2,40,50,106,44
202207,220719,J2,160,58,170,10
202207,220726,J2,77,80,400,30
202208,220801,J2,176,150,350,75
202208,220809,J2,80,75,180,35
202208,220816,J2,195,74,372,8
202208,220823,J2,290,180,300,50
202208,220830,J2,234,230,180,30
202209,220907,J2,320,170,235,35
202209,220914,J2,215,190,140,60
202209,220920,J2,160,385,70,45
202209,220927,J2,892,550,45,35
202210,221004,J2,530,490,115,15
202210,221012,J2,128,290,270,45
202210,221018,J2,0,260,275,50
202210,221025,J2,0,185,330,70
202210,221031,J2,70,190,330,35
202211,221108,J2,66,550,230,120
202211,221115,J2,66,200,420,20
202211,221122,J2,0,225,390,10
202211,221129,J2,0,570,320,400
202212,221206,J2,0,690,750,50
202212,221213,J2,0,310,255,10
