pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
8.4,12.5,9.5,337,4.4,9,17,1.753,0.17,7.3,2550,0.036,0.014,77,346,2.001,33.9
8.2,10.6,15.1,315,4.3,9.5,13.5,1.404,0.161,7,2908,0.165,0.02,52.8,743,2.843,84.7
8,8.2,19.7,278,3.7,8.9,16.3,1.501,0.156,6.9,7875,0.272,0.041,40.6,722,5.198,78.8
6.9,8.6,23.2,252,3.5,9.8,10.5,1.82,0.144,7.9,2900,0.177,0.053,17,941,5.329,158
7.2,7.7,25.5,216,2.6,7.5,10.5,1.856,0.102,6.5,17900,0.103,0.064,9.2,3196,13.018,242.2
7,7.8,27.1,219,2.6,7.9,6.7,1.13,0.089,7,11975,0.039,0.04,20.6,1813,6.699,64.8
7.2,8.2,23.2,236,1.6,5.7,4.2,1.729,0.077,4.4,9880,0.037,0.057,6.5,3226,10.641,165.8
7.6,10.3,16.8,252,1.3,4.6,4.1,1.968,0.048,3.3,8325,0.031,0.024,10.1,2930,6.811,149.9
7.8,9.6,12.6,318,3.4,7,11.4,1.974,0.077,6.5,6865,0.05,0.026,50.2,2230,3.572,22.8
7.9,11.9,5.9,344,2.9,5.1,6,2.557,0.055,4.9,4600,0.077,0.025,28,1008,3.814,31.6
6.9,11.9,5.6,403,2.5,5,6.4,6.382,0.115,4.5,6880,3.178,0.055,7.1,155,20.63,47.2
7.1,12.6,6.5,422,4.3,6.5,6.7,7.327,0.11,5.3,3675,4.068,0.029,27.9,1062,18.073,23.9
7.4,12,10.4,430,6.9,10,13.4,7.658,0.147,7,1512,4.521,0.017,99.8,51,12.371,36.5
7.2,7.5,15.8,346,5.6,8.9,12.5,5.658,0.162,6.5,17763,2.966,0.049,56,1159,22.021,145.5
7,6.4,20.9,309,6.3,8.4,11.5,5.195,0.14,6.2,5298,2.582,0.027,56.3,686,19.311,48.6
6.7,6.8,23.9,290,5.3,8.3,13.2,4.456,0.126,6.3,6342,1.874,0.025,44.6,833,19.118,96.1
7.5,7.1,26.2,237,4.2,8.3,9.6,3.352,0.137,5.9,8623,0.953,0.041,57,1948,38.434,164.3
7.3,6.7,27.8,291,4.3,7.6,10.6,4.168,0.19,5.8,4028,1.283,0.063,60,1107,21.543,148.9
7.2,8.1,24,322,4.4,7.1,8.7,4.487,0.153,5.2,10753,1.428,0.049,38.1,3161,19.761,66.6
7,8.9,20.1,313,4.3,7.1,9.4,4.514,0.118,5.9,1961,1.064,0.039,38.8,450,14.647,90.9
6.7,5.8,15.6,349,4.2,6.6,5.9,5.011,0.202,5.3,19705,1.801,0.093,23,4605,21.203,121.9
6.6,9.2,9,341,2.3,5.2,3.3,4.916,0.169,2.6,16400,1.234,0.089,7.5,1078,23.383,59.2
7.2,12.8,6.6,417,2.6,5.4,5.1,6.783,0.124,5.3,875,1.672,0.036,28.5,60,15.677,49.9
7.1,12,6.9,355,3.5,5.8,8.6,5.428,0.154,5.5,5561,1.762,0.072,20.3,462,23.339,45.2
7.2,10.4,11.6,317,4.8,7.4,19.5,4.855,0.176,6.1,3675,1.311,0.046,46.4,258,26.807,55.2
7.2,10,16.6,284,5.4,7.9,12.8,3.833,0.137,5.9,5775,0.889,0.025,64.3,1314,29.265,185
6.9,9.4,21.4,287,4.5,7.6,10.1,4.087,0.14,6,8700,1.309,0.045,65.8,1864,26.044,104.5
6.9,7.2,24.3,288,4,7.8,7,4.023,0.146,7,11250,1.365,0.068,42.4,1360,24.42,116.1
6.9,6.5,26.2,230,3.9,6.9,10.7,3.277,0.166,6.2,27275,1.072,0.085,36.7,7305,59.187,301.4
6.8,4.3,29,317,4.5,8.6,9.7,3.845,0.204,7.3,10192,1.669,0.117,61,2456,22.217,81
7,6.8,24,276,4.1,7,9.1,3.613,0.152,5.7,12250,1.076,0.077,49.5,2175,36.609,251.3
6.5,7.1,19.5,220,3,5.9,11.8,3.153,0.192,4.6,36000,0.807,0.126,8.4,8050,42.963,216.7
7,10.8,13.2,371,3.8,6.6,8.7,5.604,0.163,5.4,6800,1.577,0.061,48.2,1416,16.251,31.5
7,10.9,8.3,428,4.1,7.3,10,6.097,0.122,6.1,5880,1.738,0.023,46.5,545,15.293,44.9
7,13.1,6.1,432,4,7.2,9,6.447,0.114,5.7,1576,1.892,0.019,42.9,54,12.284,11.7
7.2,13.8,7,473,5.5,9.1,14.7,7.673,0.154,7.8,3070,3.512,0.02,69.3,81,16.996,41.9
7.5,14.8,11.1,428,6.8,12.4,16,8.267,0.121,8.8,5275,4.164,0.018,101.4,70,4.914,7.8
6.8,10.5,16.6,369,7.3,11.7,9.9,6.152,0.159,8.7,2800,3.048,0.044,34.2,163,13.412,8.9
7.2,8.6,21.6,445,5.9,12.6,11,7.44,0.133,9,220,3.606,0.038,35.2,81,9.681,28.1
7.1,8,24.1,351,6.9,14.1,13.7,4.55,0.106,10.3,100,1.528,0.006,55.3,52,23.248,42.1
6.4,4.6,27.2,274,3.9,9.1,10.3,3.847,0.176,7.4,9775,1.711,0.101,20.5,2865,24.309,211.7
6.6,3.3,27.5,262,3.8,8.8,13.7,4.244,0.181,6.8,23500,2.362,0.104,13.9,11600,94.799,273.8
7,8.4,23.7,272,3.7,7.9,10.5,3.163,0.105,5.9,10475,0.858,0.039,38.9,3185,47.595,108.8
7.1,8.4,18.9,388,4.9,8.3,10.1,5.166,0.091,6.6,2075,1.926,0.031,48.9,630,17.424,85.4
7.6,12.3,12.1,480,5.3,9.8,13.7,6.34,0.087,7.4,1311,2.229,0.008,48.1,172,15.681,2.1
7.8,12.2,7.4,559,5.4,9.2,17.3,7.16,0.117,7.6,12125,3.507,0.007,40.7,1225,25.078,28.5
7.2,13.5,5.8,561,6.4,11.6,13,8.883,0.125,8.6,3820,5.352,0.013,56.5,176,7.29,38.8
7.5,13.3,6.5,548,6.1,11.8,14.1,11.563,0.177,8.9,1115,8.907,0.023,70,144,10.175,22
7.3,7.8,11.7,386,6,11.1,25.3,7.031,0.199,8.7,13450,4.46,0.034,41.9,3100,38.267,115.8
7.4,8.2,16.6,364,5.7,10.9,47.7,6.849,0.203,8.2,59600,3.832,0.043,41.4,13833,43.437,127.4
7.5,8.3,21.5,306,6.2,10.7,36.6,4.675,0.183,8.1,78500,2.27,0.048,47.7,20125,38.195,85.4
7.6,7.7,26,382,6.6,11.6,24.4,5.959,0.128,8.9,7450,3.329,0.026,50,1975,33.815,222.4
8,9.2,28.7,323,7,12.5,43.6,5.545,0.214,9,67760,2.853,0.096,70.5,14806,68.392,84.5
8,9.7,29.5,343,6.7,12.9,23.2,5.043,0.227,8.9,32800,2.788,0.09,80.1,10315,60.961,397.1
7.3,6.9,24.5,294,4.8,8.7,10.3,4.876,0.19,6.7,100750,2.516,0.108,28.5,57875,17.677,129.7
7.3,8.7,18.4,336,4.9,7.9,9.5,4.942,0.158,7.4,29620,2.397,0.07,33.8,9980,12.864,125.2
7.8,9.7,13.4,415,5.1,9.7,10.6,5.688,0.209,8.6,41175,2.488,0.066,56.9,22395,8.473,47.2
7.9,11.7,8.4,466,4,8.4,9.5,6.668,0.14,8.1,16975,2.556,0.038,62.2,3690,12.747,32.4
7.8,12.5,6.7,485,4.7,9,10.1,9.198,0.154,8,730,3.972,0.024,42,34,6.433,16.4
7.8,12.4,7.5,434,6.6,14.1,19.1,7.597,0.195,10.5,8225,3.777,0.018,115.2,1183,7.281,37
7.8,10.4,12,454,6,12.5,12.2,8.271,0.194,9,22600,5.145,0.027,66.7,1783,8.799,33.9
8.3,9,15.3,374,6,12.9,29.8,6.569,0.358,9.1,78900,3.919,0.098,44.2,14434,18.457,84.7
7.6,8.1,20.6,349,4.8,10.3,13.3,5.09,0.197,7.7,63025,2.642,0.045,49.6,19518,16.081,78.8
7.9,6.5,24.4,325,6.4,13.5,14.3,4.433,0.2,9.2,19025,2.53,0.037,63.8,2370,14.614,158
7.7,5.7,26.1,257,4.1,10.2,14.9,4.12,0.163,9.3,54880,1.928,0.079,29.9,25288,34.56,242.2
7.6,7.6,28.1,273,4,10,19.7,3.918,0.181,8.6,54900,1.575,0.063,52.4,23030,51.418,64.8
7.4,7.8,24.5,243,3.8,7.1,8.8,3.411,0.129,4.9,51880,1.138,0.073,28.4,16658,42.173,165.8
7.8,10.2,19.6,291,3.9,6.5,10.3,4.156,0.063,5.2,3250,1.075,0.016,46.8,883,24.889,149.9
7.7,10.3,14.9,419,5,8.5,8.7,6.361,0.086,7.7,2155,2.714,0.053,52,300,19.908,22.8
7.7,13.1,9,480,6.1,10.5,14,7.155,0.116,8.5,14225,2.998,0.032,70.3,3168,12.57,31.6
7.4,14.3,4.5,383,4,5.7,15.9,5.134,0.099,4.3,53,1.457,0.017,51.4,40,32.249,41.1
7.3,13.9,4.4,356,4.6,6.6,14.3,5.714,0.096,4.8,237,1.809,0.007,73.4,2,22.295,25.7
7.7,13.2,9.1,377,5.6,8.3,20.5,6.029,0.103,5.8,42,2.214,0.006,87.5,8,18.668,34.4
7.5,8.9,15.1,319,5.5,7.5,16.6,4.748,0.11,5.6,700,1.872,0.03,42.1,55,38.066,159.6
7.2,8.1,20.4,233,3.6,6.5,21.2,3.242,0.109,5,187,0.854,0.03,24.9,24,42.229,77.8
7,6.7,24.1,278,5.5,8.2,25.6,3.725,0.103,6.7,48,1.261,0.016,44.6,16,45.66,117.8
7.4,6.9,25.8,201,3.9,7.5,21.9,2.928,0.139,5.4,640,0.497,0.044,31.4,12,51.774,159.6
7.3,5.3,27.7,285,4.2,8.2,21.6,3.431,0.19,5.8,1060,0.729,0.068,28.5,680,47.29,86.5
7.3,7.1,25,214,3.5,6.7,16.7,2.514,0.135,4.9,540,0.347,0.034,25.3,73,41.411,79.5
7.3,8.5,19.7,217,4,6.5,17.6,2.841,0.117,5.1,480,0.409,0.031,38.9,70,21.357,84.2
7,8.8,15.4,347,4.3,6.5,13.1,3.945,0.098,5.2,95,0.673,0.016,32.3,2,24.514,106.8
6.8,9.5,9.6,313,2.9,5.5,9.5,4.364,0.129,2.8,460,0.861,0.062,18.1,70,32.197,69.3
8.4,14.5,3.6,369,4.7,8.1,15.9,5.226,0.104,7.5,60,0.3,0.007,133,4,21.65,79.2
7.3,14.2,5.3,358,4.1,6.5,15,5.067,0.139,5.6,940,1.062,0.041,51.6,100,39.941,40.5
7.5,13.3,10.3,273,5,7.7,19.6,4.042,0.118,5.8,6000,0.678,0.019,53.1,540,36.155,54.9
7.2,9.5,16.4,294,4.5,6.3,12.8,3.852,0.096,5.4,40,0.735,0.024,27.8,1,40.966,192
7.3,9.3,19.9,202,4.1,6.5,22,2.573,0.097,5.5,3900,0.259,0.026,41.9,750,96.209,119.9
7.1,6.7,24.4,289,4.9,8.6,22.8,3.751,0.135,7.3,200,0.985,0.035,49.2,14,46.652,133.6
6.9,6.9,26.6,185,3,6.9,20.9,2.459,0.138,5.6,15000,0.323,0.067,28.7,2400,136.889,249.2
7.2,5.6,29.5,280,5.1,11.3,23.2,2.578,0.181,7.9,100,0.576,0.074,46.5,30,44.865,20.4
6.9,7.3,23.7,190,3.2,7.3,11.6,2.502,0.135,5.5,540,0.444,0.073,20.7,95,54.21,197.8
7.1,8.4,19.8,182,3.3,6.4,27.5,3.037,0.196,4.8,9000,0.502,0.102,15.8,600,61.176,203.1
7.4,10,13.2,302,3.4,5.8,11.6,4.027,0.102,4.7,700,0.538,0.034,23.9,90,27.86,61.5
7,11.2,8.1,350,3.4,6.1,7.7,4.594,0.091,5,200,0.843,0.029,38,20,22.245,45.9
7.3,13.1,5.4,332,3.4,6.7,6.9,4.325,0.094,5,65,0.724,0.016,42.5,20,24.514,13.9
8,13.9,5,403,6.5,11.5,23.6,5.665,0.111,7.6,60,0.809,0.008,132.1,1,31.762,32.3
7.7,11.7,9.2,398,5,8.9,12,5.857,0.085,6.6,40,1.943,0.017,35.6,1,26.073,3.1
7.2,10.9,15.6,359,6,9.8,11,5.697,0.134,7.9,120,2.073,0.057,80.9,5,22.668,6.2
7.5,10.5,21.2,373,4.3,10.1,12.1,4.327,0.066,7.5,110,1.112,0.012,24,22,17.923,13.3
7.4,6.8,24,386,5.2,14.2,20.1,3.892,0.092,10.2,300,1.182,0.005,56.1,100,35.164,28.5
7,5.2,27.3,252,4.3,8.8,17.1,3.168,0.135,7.3,600,1.111,0.064,20.8,100,45.476,138.2
7.3,6.7,27.5,220,4.4,8.6,22.8,3.01,0.159,6.3,1000,0.914,0.07,32.5,50,111.683,200.8
6.9,7.6,24,180,3.6,7.7,12.8,2.183,0.1,5.8,100,0.176,0.052,40.4,50,46.315,109.4
7.4,8.8,18.8,272,3.5,7.1,11.8,2.886,0.078,5.4,300,0.545,0.019,32,30,19.645,62.7
7.7,10.5,11.7,397,3.3,7.5,12.5,4.581,0.073,5.9,100,0.998,0.008,26.1,1,21.103,1.4
8.1,10.9,6,496,2.6,7.2,7.8,5.655,0.071,5.7,36,1.297,0.011,17.7,3,16.96,45.3
8.3,14.6,4.1,489,7.2,13,20.3,6.551,0.159,9.7,110,2.274,0.017,155.4,7,26.607,58
8.5,14.9,4.4,483,5.7,10.4,13.6,7.818,0.12,8.2,25,4.195,0.02,68.2,1,13.41,39.3
7.6,9.1,10.3,415,4,7.9,8.6,7.502,0.118,6.6,800,4.24,0.019,24.3,100,29.906,152.7
7.6,9,15.4,274,4.4,8.2,19.2,4.374,0.1,6.1,130,1.529,0.021,56.5,10,97.752,169
7.7,7.5,21.1,301,4.9,8.9,15.7,4.07,0.097,6.9,900,1.658,0.024,61.8,110,55.849,89.3
7.8,5,25.7,338,4.6,12.2,14.4,3.717,0.097,9.1,300,1.135,0.032,44.2,2,26.872,162
8,5.9,27.5,233,4.9,9.4,19,3.009,0.116,6.7,4000,0.459,0.043,41.3,1900,48.904,67.6
7.9,6.1,30.5,304,4.5,12.4,16.4,2.745,0.154,8.9,400,0.804,0.07,48.2,5,15.464,246.2
7.3,7.5,24.3,194,4.2,7.4,18.7,2.585,0.095,5.8,1900,0.251,0.049,35.8,200,155.253,151.4
8,9.9,18.4,253,3.7,7.6,16.7,2.898,0.128,6.9,130,0.219,0.03,54.6,10,113.241,138.4
8.2,12.3,12.5,351,5.1,9.7,18,4.147,0.136,8.1,840,0.95,0.033,112.2,160,12.627,51.1
8.8,14.8,7.2,404,5.1,10.6,23.1,4.971,0.159,9.1,2000,1.212,0.032,111.1,340,16.621,38.3
8.5,16.3,5,455,5.2,10.9,20.9,7.118,0.13,9.6,140,1.624,0.021,117.5,20,14.324,13.3
8.9,16.6,5.4,407,6.2,13.4,18.6,6.277,0.157,10.4,300,2.434,0.014,136.5,10,16.909,29.6
8.2,9.3,10.9,410,5.3,10.6,15.5,6.171,0.127,8.2,500,2.785,0.024,58.1,2,18.053,38.5
8.7,10.1,14.4,327,4.4,9.3,17.9,4.295,0.16,8.3,40,1.758,0.022,66.4,3,19.123,86.3
7.4,6,19.7,330,3.7,8.5,13.9,4.093,0.151,6.5,2,2.031,0.05,31.2,1,22.146,122.9
8.2,7.8,24.2,268,4.6,11.1,20.7,2.939,0.112,8.8,65,0.995,0.018,51.7,12,27.817,172.3
7.9,9.5,26,181,3.7,8.9,16.8,2.494,0.116,8.1,3400,0.38,0.05,30.8,1200,46.295,167
7.8,7.5,28.8,205,3.4,8.5,15.7,2.069,0.113,8.1,540,0.499,0.061,45.8,2,44.483,144.9
7.6,7.8,23.8,175,3.2,7.1,11.4,2.399,0.12,5,160,0.176,0.082,23.3,47,49.015,259.3
7.8,9.6,19.7,249,2.6,5.2,11.9,3.255,0.075,4,1800,0.206,0.023,28.8,510,24.599,159
8.2,10.7,14.4,354,4.7,7.9,16.5,4.056,0.051,7.1,290,0.362,0.017,49.3,18,10.33,14.6
7.8,10.9,8.7,414,3.6,7.3,5.7,5.492,0.091,5.8,3700,1.965,0.058,21.1,280,11.253,40.7
7.6,14.7,4.5,373,3.9,5.6,15.1,4.808,0.085,4.2,67,1.085,0.013,55,20,38.474,41.1
8.1,13.9,4.1,345,4.5,6.9,17,5.078,0.081,4.5,80,1.292,0.004,80.5,2,25.326,25.7
8.2,13.4,9,361,5.5,8.4,19.5,5.719,0.096,5.8,133,1.868,0.008,76.4,10,20.012,34.4
7.7,9.7,15.5,314,5.3,7.6,17.8,4.621,0.103,5.6,1320,1.609,0.02,54.6,195,43.103,159.6
7.2,8.5,20.2,237,4.2,6.5,20,3.145,0.1,5.1,193,0.795,0.027,22.2,93,48.581,77.8
7.2,6.8,24.1,279,4.5,7.9,19.6,3.573,0.085,6.7,65,1.104,0.012,35.9,26,50.842,117.8
7.3,6.8,25.9,201,4,7.3,19.2,2.907,0.129,5.5,300,0.451,0.04,31.1,4,57.82,159.6
7.3,4.6,27.7,274,5,7.8,19.4,2.893,0.183,6,4800,0.514,0.054,36,1540,57.917,86.5
7.5,6.8,25,219,3.6,6.7,18.3,2.433,0.121,4.9,1080,0.261,0.02,24.9,205,46.262,79.5
7.1,7.7,19.7,226,4.4,6.2,19.9,2.975,0.11,5.1,560,0.498,0.025,18,52,23.138,84.2
7.1,8.5,15.5,330,4.1,6.2,14.6,3.721,0.1,5.2,400,0.587,0.018,26,16,27.262,106.8
6.9,9.5,9.6,309,3.4,5.3,9.8,4.374,0.116,2.8,180,0.838,0.051,15.6,66,35.164,69.3
8.5,14.8,3.5,351,4.9,7.6,15.2,4.621,0.088,7,45,0.154,0.007,118.9,48,24.477,79.2
7.3,14.4,5.3,353,4.1,7,19.2,5.102,0.129,6,470,0.937,0.033,58.6,210,45.833,40.5
7.7,13.4,10.1,265,5.1,7.5,19.2,3.945,0.109,5.9,1300,0.566,0.012,45.7,200,40.739,54.9
7.2,9.9,16.4,272,3.9,6.4,14,3.519,0.099,5.4,60,0.499,0.02,23.7,1,45.568,192
7.3,8.4,19.7,213,4,6.7,23.7,2.858,0.116,5.5,18300,0.248,0.038,39.7,3900,64.289,119.9
7.3,6.9,24.2,281,4.6,8.1,22.4,3.481,0.123,7.3,100,0.745,0.028,41.4,12,53.891,133.6
7,6.9,26.3,178,2.9,7.2,27.9,2.324,0.15,5.8,16000,0.239,0.066,26.4,2200,154.334,249.2
7.3,5.4,29.6,268,3.7,8.9,21.3,2.126,0.141,7.2,300,0.243,0.059,29.1,40,48.273,20.4
7,6.9,23.8,191,3.5,7.4,13.5,2.447,0.134,5.7,1500,0.331,0.069,24.7,30,57.882,197.8
7.1,8.2,19.7,185,3.4,8.1,34.1,3.149,0.275,5.5,8000,0.355,0.155,15.8,1000,68.15,203.1
7.3,9.8,12.9,285,3,5.5,14.5,3.727,0.111,4.4,400,0.404,0.039,20.1,120,31.71,61.5
7.4,11.6,8,349,3.5,6,9.6,4.374,0.08,5.1,100,0.573,0.017,37.2,10,24.266,45.9
7.3,12.4,5.4,346,2.9,6.8,9,4.429,0.097,5,70,0.746,0.027,45.8,2,26.541,13.9
8.3,13.5,4.9,385,6.5,11,22.4,5.129,0.102,7.4,90,0.457,0.008,128.5,1,33.811,32.3
7.7,11.2,8.5,407,3.9,7.9,12,5.711,0.068,6.2,20,1.773,0.015,18.4,1,27.675,3.1
7.4,12.1,15.6,362,5.6,9.4,10.2,5.336,0.078,7.3,80,1.643,0.01,54.7,1,24.79,6.2
7.5,9.5,21.1,356,3.3,8.9,10.8,3.728,0.059,7,80,0.79,0.011,16.1,4,19.795,13.3
7.2,7.7,23.9,373,3.9,12.5,26.7,3.847,0.096,8.9,300,0.97,0.011,32.3,4,48.527,28.5
6.8,5.1,27.4,273,4,9.5,29.6,3.315,0.13,7.3,400,1.039,0.057,15.7,200,61.922,138.2
7,5.6,27.6,234,3.8,7.9,22.2,3.117,0.148,6.2,100,0.99,0.072,20.8,50,49.217,200.8
6.8,7.4,23.8,167,2.9,6.9,14.8,2.144,0.101,5.2,400,0.152,0.055,28.4,50,55.976,109.4
7.2,8.3,18.7,263,3.5,6.4,15.1,2.717,0.085,5.1,200,0.491,0.026,23.8,50,21.409,62.7
7.5,11.2,11.8,369,3.3,7.2,13.7,4.118,0.059,5.7,50,0.689,0.01,33.1,2,21.937,1.4
7.9,11.4,6.3,471,2.6,6.7,9.5,5.091,0.067,5.5,12,1.067,0.012,17.5,1,17.711,45.3
8.2,13,3.8,474,5.7,11.1,15.3,6.747,0.119,8.4,44,2.313,0.013,105.6,2,28.58,58
8.6,14.9,3.8,465,5.2,10,12.9,6.701,0.107,7.7,5,2.794,0.015,57.6,2,14.642,39.3
7.5,9.2,10.1,401,3,7.9,9.7,7.046,0.102,6.2,800,3.458,0.019,17.5,200,34.235,152.7
7.7,8.6,15.4,271,3.9,7.9,17.9,4.435,0.098,5.9,30,1.593,0.025,32.8,10,108.369,169
7.6,7,21.1,280,3.6,8.2,14.9,3.502,0.081,6.3,300,1.051,0.022,31.4,30,66.894,89.3
7.9,6.2,25.4,323,4.3,11.9,15.9,3.163,0.085,9,100,0.776,0.021,32.5,1,33.6,162
8.4,8.2,28,214,4.7,10.5,27.2,2.531,0.118,7.1,20000,0.235,0.035,37.8,1100,55.787,67.6
8.4,7.7,30.8,344,5.2,14.5,26.7,2.4,0.168,9.7,100,0.503,0.056,40.4,30,17.23,246.2
7.2,7.1,24.2,183,3.6,7.4,20.4,2.591,0.108,5.2,400,0.21,0.048,27.6,190,176.091,151.4
7.7,8.6,18.4,229,3,7.3,17.7,2.558,0.109,6.3,300,0.187,0.03,22.1,33,118.054,138.4
7.9,9.4,12.7,332,3.6,7.5,11.5,3.592,0.099,6.9,400,1.02,0.037,30.5,12,14.486,51.1
