WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,Flowrate,
3.2 ,8.0 ,208 ,14.1 ,0.9 ,4.8 ,12.8 ,2.518 ,0.065 ,2.8 ,10.103 ,
6.4 ,7.9 ,343 ,13.1 ,0.5 ,3.2 ,3.8 ,4.338 ,0.065 ,2.3 ,1.953 ,
6.1 ,7.5 ,379 ,12.3 ,0.8 ,4.0 ,3.2 ,4.701 ,0.071 ,2.6 ,2.109 ,
7.9 ,7.9 ,396 ,12.1 ,0.3 ,3.9 ,1.6 ,5.122 ,0.064 ,2.4 ,1.743 ,
6.7 ,7.4 ,452 ,13.2 ,2.0 ,4.9 ,1.8 ,4.953 ,0.058 ,2.7 ,1.620 ,
8.9 ,7.9 ,457 ,12.3 ,0.7 ,4.8 ,3.2 ,5.368 ,0.070 ,2.7 ,1.750 ,
6.6 ,7.5 ,469 ,13.1 ,0.5 ,4.5 ,3.0 ,5.331 ,0.057 ,2.7 ,1.410 ,
19.6 ,7.9 ,327 ,10.9 ,1.0 ,4.2 ,6.8 ,4.497 ,0.079 ,2.5 ,4.664 ,
12.4 ,7.6 ,346 ,11.2 ,1.0 ,3.3 ,5.0 ,4.482 ,0.060 ,2.4 ,2.905 ,
21.9 ,7.7 ,309 ,8.3 ,0.6 ,3.7 ,6.0 ,5.948 ,0.071 ,2.5 ,6.424 ,
12.3 ,7.3 ,314 ,11.9 ,1.0 ,4.2 ,4.6 ,3.898 ,0.058 ,2.3 ,3.901 ,
19.9 ,7.7 ,341 ,10.1 ,0.8 ,4.7 ,4.6 ,3.936 ,0.058 ,2.5 ,2.399 ,
17.9 ,7.6 ,303 ,10.3 ,1.2 ,3.2 ,5.8 ,3.724 ,0.054 ,2.3 ,3.522 ,
26.9 ,7.9 ,288 ,8.4 ,0.7 ,3.6 ,6.6 ,4.123 ,0.079 ,2.0 ,5.200 ,
21.9 ,7.7 ,329 ,9.7 ,1.3 ,4.2 ,4.2 ,3.895 ,0.042 ,2.3 ,2.245 ,
24.9 ,8.1 ,379 ,8.4 ,1.8 ,4.6 ,3.8 ,4.435 ,0.055 ,2.6 ,1.240 ,
23.3 ,7.8 ,333 ,8.5 ,2.4 ,5.1 ,13.0 ,4.135 ,0.082 ,2.5 ,2.417 ,
24.4 ,7.5 ,348 ,9.3 ,0.8 ,3.7 ,5.0 ,3.976 ,0.058 ,2.2 ,1.757 ,
26.2 ,7.8 ,316 ,8.8 ,2.8 ,7.8 ,24.2 ,4.026 ,0.162 ,4.7 ,5.030 ,
28.2 ,7.8 ,423 ,8.1 ,1.7 ,5.5 ,19.3 ,3.826 ,0.079 ,2.8 ,1.895 ,
26.1 ,7.7 ,296 ,8.1 ,1.2 ,3.8 ,10.2 ,3.490 ,0.105 ,3.0 ,6.777 ,
27.4 ,7.8 ,327 ,8.4 ,1.3 ,3.5 ,4.0 ,3.156 ,0.062 ,2.7 ,3.806 ,
29.3 ,7.8 ,351 ,7.3 ,1.1 ,3.8 ,3.4 ,3.317 ,0.072 ,2.2 ,2.752 ,
21.2 ,7.3 ,125 ,8.9 ,4.4 ,15.4 ,203.0 ,3.671 ,0.482 ,5.4 ,230.703 ,
22.5 ,7.6 ,187 ,8.2 ,0.5 ,4.4 ,9.6 ,3.764 ,0.086 ,2.8 ,35.721 ,
21.7 ,7.7 ,217 ,8.6 ,0.9 ,4.0 ,7.6 ,4.001 ,0.071 ,2.2 ,15.859 ,
26.9 ,8.0 ,354 ,8.7 ,1.1 ,4.1 ,2.4 ,4.160 ,0.067 ,2.5 ,4.121 ,
21.5 ,8.0 ,355 ,8.9 ,1.2 ,4.1 ,2.2 ,4.502 ,0.064 ,2.6 ,3.490 ,
18.5 ,7.9 ,245 ,10.2 ,1.0 ,3.1 ,3.4 ,3.612 ,0.062 ,2.0 ,7.830 ,
18.4 ,8.1 ,237 ,10.4 ,1.0 ,3.8 ,9.2 ,4.536 ,0.079 ,2.5 ,9.944 ,
15.9 ,8.1 ,278 ,8.4 ,0.3 ,3.4 ,4.4 ,3.450 ,0.052 ,2.1 ,6.749 ,
15.9 ,7.7 ,242 ,8.2 ,1.0 ,3.3 ,5.8 ,3.434 ,0.073 ,2.0 ,10.679 ,
11.1 ,7.8 ,209 ,10.4 ,0.9 ,3.8 ,7.2 ,3.491 ,0.069 ,2.2 ,16.682 ,
12.1 ,7.9 ,252 ,8.6 ,1.0 ,3.4 ,5.2 ,4.008 ,0.046 ,2.2 ,8.541 ,
10.8 ,8.0 ,269 ,9.7 ,1.3 ,3.7 ,8.4 ,4.007 ,0.052 ,2.1 ,6.839 ,
10.0 ,7.5 ,206 ,11.2 ,5.7 ,12.1 ,38.5 ,3.804 ,0.268 ,7.1 ,37.524 ,
8.6 ,7.3 ,250 ,10.5 ,2.9 ,5.1 ,9.0 ,3.419 ,0.078 ,3.5 ,12.730 ,
7.4 ,7.3 ,272 ,11.9 ,2.4 ,3.8 ,4.6 ,4.412 ,0.052 ,2.4 ,8.135 ,
7.6 ,7.8 ,298 ,12.0 ,0.9 ,3.6 ,4.6 ,4.791 ,0.062 ,2.4 ,4.945 ,
7.8 ,7.7 ,324 ,12.2 ,2.0 ,4.2 ,5.4 ,4.920 ,0.079 ,2.8 ,4.236 ,
6.2 ,7.5 ,253 ,13.6 ,0.8 ,3.6 ,8.2 ,4.114 ,0.061 ,2.1 ,5.395 ,
8.5 ,7.6 ,279 ,13.1 ,2.3 ,4.3 ,7.4 ,4.151 ,0.063 ,2.9 ,5.980 ,
6.2 ,7.5 ,262 ,12.8 ,1.2 ,3.7 ,4.8 ,4.354 ,0.062 ,2.2 ,4.343 ,
8.3 ,7.6 ,301 ,12.0 ,1.6 ,4.7 ,7.8 ,4.432 ,0.072 ,2.8 ,5.180 ,
7.8 ,7.6 ,279 ,12.4 ,1.5 ,3.9 ,4.2 ,3.879 ,0.057 ,2.7 ,4.973 ,
9.2 ,7.6 ,260 ,11.6 ,0.9 ,3.7 ,3.8 ,4.136 ,0.043 ,2.1 ,4.330 ,
16.7 ,7.7 ,309 ,9.6 ,1.9 ,4.5 ,5.4 ,4.436 ,0.055 ,2.3 ,4.250 ,
12.0 ,7.4 ,202 ,11.1 ,1.9 ,4.1 ,23.2 ,3.788 ,0.064 ,2.3 ,11.268 ,
10.4 ,7.6 ,222 ,11.2 ,1.3 ,4.7 ,6.8 ,3.352 ,0.059 ,2.6 ,8.961 ,
11.7 ,7.6 ,234 ,10.9 ,1.7 ,5.9 ,20.6 ,3.877 ,0.082 ,2.8 ,9.426 ,
22.1 ,7.7 ,212 ,9.3 ,1.6 ,4.1 ,9.4 ,2.546 ,0.034 ,2.2 ,10.003 ,
19.8 ,7.6 ,213 ,9.6 ,1.0 ,3.8 ,8.0 ,2.860 ,0.041 ,1.9 ,8.735 ,
21.7 ,7.7 ,234 ,8.9 ,1.5 ,4.4 ,13.4 ,2.755 ,0.044 ,2.6 ,5.799 ,
27.2 ,7.9 ,288 ,8.2 ,1.9 ,4.2 ,10.8 ,3.616 ,0.050 ,2.5 ,3.538 ,
24.4 ,7.9 ,277 ,9.6 ,1.3 ,4.8 ,18.0 ,3.072 ,0.057 ,2.5 ,2.432 ,
23.8 ,7.9 ,301 ,9.5 ,1.1 ,4.6 ,6.8 ,2.906 ,0.053 ,3.2 ,2.459 ,
23.1 ,7.7 ,300 ,9.6 ,1.4 ,4.3 ,5.8 ,2.846 ,0.048 ,2.9 ,2.555 ,
29.6 ,8.2 ,330 ,8.5 ,1.5 ,4.8 ,5.6 ,3.163 ,0.038 ,2.9 ,2.451 ,
25.1 ,7.4 ,278 ,8.5 ,1.3 ,4.9 ,24.2 ,2.951 ,0.060 ,3.7 ,4.557 ,
23.0 ,8.0 ,287 ,8.7 ,0.6 ,4.2 ,14.8 ,2.628 ,0.058 ,2.6 ,4.417 ,
22.2 ,7.2 ,129 ,8.6 ,1.3 ,8.0 ,20.4 ,2.876 ,0.120 ,4.9 ,86.184 ,
25.6 ,7.8 ,236 ,7.8 ,0.4 ,3.9 ,6.4 ,2.928 ,0.047 ,2.2 ,9.916 ,
26.7 ,7.8 ,293 ,7.9 ,1.4 ,4.3 ,8.0 ,2.576 ,0.044 ,2.5 ,4.502 ,
22.7 ,7.8 ,204 ,7.3 ,2.9 ,7.0 ,38.0 ,2.174 ,0.116 ,4.5 ,17.953 ,
23.4 ,7.8 ,235 ,8.4 ,1.0 ,4.0 ,10.0 ,2.560 ,0.047 ,1.7 ,7.143 ,
25.2 ,7.8 ,273 ,7.6 ,0.8 ,3.8 ,7.0 ,2.577 ,0.038 ,1.9 ,5.479 ,
21.7 ,7.7 ,330 ,9.1 ,0.3 ,4.0 ,5.0 ,3.069 ,0.032 ,1.8 ,2.569 ,
25.8 ,7.6 ,427 ,9.5 ,0.4 ,4.4 ,1.6 ,3.282 ,0.041 ,2.0 ,1.116 ,
20.6 ,7.9 ,379 ,8.8 ,0.8 ,4.7 ,24.2 ,3.195 ,0.052 ,2.6 ,2.923 ,
20.9 ,8.1 ,387 ,9.1 ,1.0 ,4.4 ,18.8 ,3.410 ,0.051 ,2.3 ,2.564 ,
18.5 ,8.1 ,459 ,9.8 ,0.6 ,4.9 ,10.2 ,4.013 ,0.037 ,2.6 ,2.236 ,
16.8 ,8.1 ,475 ,10.0 ,1.1 ,4.7 ,13.2 ,3.963 ,0.044 ,2.7 ,2.050 ,
13.6 ,8.0 ,466 ,10.4 ,0.9 ,4.3 ,11.4 ,3.967 ,0.061 ,2.3 ,1.745 ,
15.6 ,8.0 ,347 ,9.9 ,1.0 ,4.6 ,14.6 ,3.368 ,0.052 ,2.6 ,5.991 ,
13.0 ,8.0 ,293 ,10.3 ,0.9 ,4.4 ,14.4 ,3.407 ,0.046 ,2.5 ,8.240 ,
13.2 ,7.9 ,326 ,10.8 ,0.8 ,3.9 ,20.0 ,3.653 ,0.042 ,2.2 ,5.936 ,
9.2 ,8.1 ,364 ,12.5 ,0.7 ,4.2 ,37.4 ,3.707 ,0.049 ,2.6 ,4.296 ,
10.7 ,8.0 ,370 ,11.4 ,0.8 ,4.3 ,22.4 ,4.039 ,0.038 ,2.3 ,3.568 ,
5.7 ,8.0 ,418 ,12.0 ,0.7 ,4.3 ,9.0 ,4.761 ,0.039 ,2.4 ,3.077 ,
4.7 ,7.5 ,432 ,12.5 ,0.7 ,4.6 ,7.8 ,4.932 ,0.037 ,2.9 ,3.212 ,
7.4 ,7.8 ,450 ,11.8 ,1.4 ,5.3 ,5.8 ,5.411 ,0.043 ,3.3 ,1.975 ,
3.7 ,7.7 ,452 ,13.2 ,0.9 ,4.3 ,6.6 ,5.197 ,0.031 ,2.5 ,2.794 ,
5.3 ,7.9 ,348 ,13.7 ,1.4 ,4.9 ,10.4 ,4.394 ,0.028 ,2.5 ,4.609 ,
7.3 ,7.5 ,441 ,13.2 ,1.0 ,5.0 ,4.4 ,5.183 ,0.031 ,3.0 ,2.854 ,
9.4 ,7.7 ,240 ,10.9 ,1.9 ,5.3 ,37.0 ,4.399 ,0.084 ,3.5 ,11.868 ,
7.7 ,7.6 ,305 ,12.2 ,1.3 ,3.8 ,7.8 ,4.786 ,0.035 ,2.2 ,5.420 ,
15.6 ,7.7 ,333 ,9.8 ,2.0 ,4.5 ,5.2 ,4.254 ,0.022 ,2.4 ,3.904 ,
12.0 ,7.6 ,353 ,11.0 ,1.0 ,4.3 ,5.2 ,4.197 ,0.024 ,2.3 ,2.907 ,
18.0 ,7.8 ,303 ,9.1 ,1.0 ,4.5 ,10.0 ,3.312 ,0.023 ,2.8 ,4.040 ,
12.3 ,7.2 ,222 ,10.7 ,1.4 ,4.8 ,24.6 ,3.824 ,0.047 ,3.0 ,12.628 ,
15.7 ,7.8 ,246 ,9.8 ,1.3 ,4.6 ,16.6 ,3.225 ,0.024 ,2.7 ,9.679 ,
15.6 ,7.3 ,205 ,10.3 ,1.3 ,4.5 ,19.4 ,2.865 ,0.034 ,2.9 ,13.078 ,
17.7 ,7.6 ,251 ,9.4 ,1.4 ,4.5 ,29.8 ,3.167 ,0.040 ,2.9 ,7.253 ,
22.0 ,7.9 ,250 ,8.7 ,1.2 ,4.8 ,22.6 ,2.850 ,0.035 ,2.5 ,6.776 ,
22.0 ,7.5 ,288 ,8.6 ,1.0 ,4.2 ,8.8 ,2.954 ,0.025 ,2.6 ,3.970 ,
21.8 ,8.1 ,341 ,8.0 ,1.2 ,5.8 ,45.4 ,4.136 ,0.028 ,3.4 ,4.701 ,
26.0 ,7.2 ,335 ,7.5 ,1.5 ,4.7 ,19.8 ,3.050 ,0.024 ,3.3 ,4.050 ,
24.5 ,8.2 ,415 ,7.7 ,1.4 ,4.8 ,21.0 ,3.269 ,0.030 ,3.0 ,2.703 ,
25.0 ,7.5 ,370 ,7.9 ,1.0 ,4.3 ,12.2 ,2.965 ,0.027 ,2.7 ,3.446 ,
23.9 ,7.2 ,142 ,7.2 ,2.7 ,12.3 ,78.0 ,3.600 ,0.248 ,8.4 ,120.492 ,
24.5 ,7.2 ,197 ,7.4 ,0.8 ,4.4 ,20.2 ,3.813 ,0.101 ,3.3 ,30.276 ,
26.5 ,7.8 ,250 ,7.1 ,0.8 ,3.9 ,7.0 ,3.473 ,0.056 ,2.5 ,9.787 ,
30.4 ,8.7 ,348 ,7.0 ,0.3 ,3.7 ,2.8 ,2.843 ,0.048 ,2.5 ,2.843 ,
30.4 ,8.1 ,368 ,7.1 ,0.6 ,3.9 ,1.2 ,4.024 ,0.042 ,2.6 ,2.174 ,
26.3 ,7.8 ,215 ,7.0 ,0.6 ,5.2 ,22.0 ,2.374 ,0.084 ,3.9 ,13.745 ,
19.6 ,8.4 ,139 ,8.5 ,1.0 ,7.2 ,19.8 ,3.551 ,0.100 ,5.1 ,98.952 ,
23.0 ,7.7 ,270 ,7.5 ,0.5 ,4.2 ,6.0 ,3.675 ,0.049 ,2.4 ,11.763 ,
21.1 ,7.5 ,212 ,7.6 ,0.6 ,5.4 ,24.0 ,3.522 ,0.095 ,3.7 ,25.003 ,
15.7 ,7.6 ,185 ,9.6 ,0.3 ,4.7 ,16.8 ,3.655 ,0.073 ,3.0 ,40.762 ,
17.9 ,7.4 ,202 ,8.4 ,0.7 ,5.0 ,10.0 ,3.499 ,0.070 ,2.9 ,23.335 ,
16.4 ,7.8 ,251 ,9.7 ,0.6 ,3.3 ,5.0 ,3.802 ,0.049 ,2.2 ,9.254 ,
15.5 ,7.7 ,291 ,9.6 ,0.4 ,3.8 ,7.2 ,4.147 ,0.048 ,2.4 ,6.587 ,
13.0 ,7.3 ,311 ,9.7 ,0.5 ,3.7 ,27.6 ,3.879 ,0.042 ,2.5 ,5.321 ,
11.6 ,7.8 ,309 ,10.4 ,0.6 ,3.7 ,6.4 ,4.164 ,0.025 ,2.2 ,5.953 ,
10.6 ,7.1 ,316 ,11.0 ,0.8 ,3.5 ,6.0 ,4.237 ,0.029 ,2.4 ,5.010 ,
9.0 ,7.8 ,322 ,10.7 ,0.8 ,4.0 ,2.4 ,4.272 ,0.029 ,2.5 ,4.633 ,
7.0 ,7.4 ,329 ,11.6 ,0.8 ,3.7 ,6.0 ,4.426 ,0.035 ,2.5 ,4.441 ,
3.0 ,7.7 ,330 ,13.5 ,1.3 ,4.2 ,5.2 ,4.532 ,0.033 ,2.7 ,3.986 ,
5.0 ,7.6 ,292 ,12.8 ,1.3 ,4.4 ,2.8 ,4.326 ,0.037 ,2.7 ,4.090 ,
8.0 ,7.8 ,338 ,11.0 ,1.0 ,4.2 ,8.0 ,4.519 ,0.036 ,2.6 ,3.443 ,
8.0 ,7.6 ,331 ,10.0 ,6.0 ,8.5 ,32.0 ,5.265 ,0.079 ,6.2 ,6.948 ,
7.5 ,7.8 ,361 ,12.0 ,1.0 ,4.1 ,4.4 ,4.109 ,0.039 ,2.7 ,3.993 ,
14.3 ,7.9 ,384 ,9.9 ,1.3 ,4.5 ,5.6 ,4.547 ,0.030 ,3.0 ,4.128 ,
9.4 ,7.6 ,294 ,11.3 ,1.3 ,4.3 ,5.0 ,3.890 ,0.035 ,2.5 ,5.090 ,
16.0 ,7.9 ,267 ,8.5 ,1.0 ,4.2 ,5.0 ,3.447 ,0.030 ,2.5 ,4.900 ,
14.0 ,7.5 ,256 ,10.5 ,0.9 ,4.1 ,2.8 ,3.276 ,0.025 ,2.4 ,5.308 ,
19.0 ,7.6 ,236 ,8.2 ,1.5 ,4.5 ,3.6 ,3.280 ,0.033 ,3.0 ,7.961 ,
18.7 ,7.7 ,285 ,8.6 ,0.6 ,3.8 ,5.2 ,3.062 ,0.026 ,2.5 ,4.846 ,
17.0 ,7.4 ,304 ,8.9 ,1.3 ,4.8 ,8.0 ,3.107 ,0.037 ,3.3 ,4.847 ,
20.8 ,7.6 ,363 ,8.8 ,0.7 ,3.6 ,1.2 ,4.305 ,0.023 ,2.4 ,2.614 ,
25.0 ,8.2 ,398 ,8.9 ,0.8 ,4.5 ,0.8 ,3.965 ,0.027 ,3.0 ,1.633 ,
25.0 ,8.3 ,529 ,8.0 ,0.9 ,4.5 ,5.0 ,4.319 ,0.022 ,3.2 ,0.542 ,
26.0 ,8.9 ,583 ,7.6 ,1.4 ,5.2 ,3.0 ,4.260 ,0.023 ,3.5 ,0.619 ,
28.0 ,8.7 ,590 ,8.0 ,1.0 ,5.7 ,3.4 ,4.642 ,0.024 ,3.8 ,0.527 ,
26.7 ,7.8 ,340 ,7.6 ,1.5 ,6.1 ,7.8 ,2.678 ,0.060 ,4.4 ,4.403 ,
26.7 ,7.7 ,381 ,7.2 ,5.6 ,8.5 ,28.8 ,3.868 ,0.073 ,6.6 ,3.543 ,
29.6 ,7.8 ,238 ,7.2 ,1.1 ,5.7 ,12.0 ,2.445 ,0.059 ,4.0 ,10.677 ,
27.3 ,7.8 ,278 ,7.4 ,0.5 ,4.1 ,9.0 ,2.387 ,0.050 ,2.6 ,7.369 ,
23.0 ,7.1 ,152 ,7.0 ,0.7 ,8.3 ,25.0 ,3.812 ,0.138 ,6.3 ,85.165 ,
25.4 ,7.2 ,158 ,7.0 ,2.0 ,7.8 ,41.1 ,2.806 ,0.169 ,5.7 ,55.306 ,
25.6 ,7.4 ,282 ,7.2 ,0.5 ,5.1 ,44.6 ,3.671 ,0.069 ,3.5 ,8.980 ,
23.4 ,7.1 ,331 ,8.0 ,0.8 ,4.5 ,8.6 ,3.925 ,0.037 ,2.8 ,4.754 ,
23.2 ,7.5 ,195 ,7.6 ,1.1 ,6.9 ,11.6 ,2.697 ,0.096 ,4.3 ,34.601 ,
22.8 ,7.1 ,305 ,8.1 ,0.5 ,3.8 ,4.6 ,3.624 ,0.030 ,2.4 ,6.137 ,
23.7 ,7.6 ,386 ,8.3 ,0.4 ,4.2 ,7.8 ,3.895 ,0.035 ,2.7 ,3.544 ,
23.1 ,7.0 ,312 ,8.1 ,0.5 ,3.8 ,2.2 ,3.308 ,0.044 ,2.2 ,5.464 ,
17.9 ,7.7 ,338 ,8.8 ,0.6 ,3.9 ,0.4 ,3.701 ,0.042 ,2.3 ,6.169 ,
17.5 ,7.1 ,338 ,9.2 ,0.6 ,3.7 ,1.2 ,3.641 ,0.033 ,2.1 ,4.428 ,
12.9 ,7.9 ,417 ,10.2 ,0.8 ,4.2 ,1.8 ,4.434 ,0.025 ,2.3 ,2.931 ,
10.9 ,7.6 ,406 ,10.4 ,0.9 ,4.1 ,1.4 ,5.388 ,0.026 ,2.2 ,2.664 ,
9.6 ,7.6 ,474 ,11.0 ,1.0 ,5.3 ,26.2 ,5.997 ,0.041 ,3.1 ,2.571 ,
8.4 ,7.8 ,469 ,11.5 ,1.0 ,4.9 ,16.2 ,5.772 ,0.043 ,2.8 ,2.638 ,
4.9 ,8.0 ,523 ,12.3 ,1.2 ,4.9 ,13.8 ,6.220 ,0.034 ,3.3 ,2.412 ,
4.4 ,7.0 ,456 ,12.3 ,1.3 ,4.2 ,5.6 ,5.484 ,0.024 ,2.5 ,2.310 ,
5.8 ,7.9 ,453 ,11.8 ,1.7 ,4.9 ,7.2 ,5.860 ,0.032 ,2.7 ,2.144 ,
0.2 ,6.5 ,269 ,12.0 ,0.6 ,2.2 ,0.2 ,3.446 ,0.026 ,1.0 ,0.735 ,
1.0 ,7.3 ,230 ,14.4 ,0.5 ,2.0 ,1.1 ,2.797 ,0.021 ,1.2 ,0.947 ,
2.7 ,7.4 ,212 ,14.9 ,0.7 ,2.4 ,1.4 ,2.710 ,0.023 ,1.4 ,1.299 ,
3.0 ,7.1 ,122 ,14.2 ,0.8 ,3.0 ,3.4 ,2.839 ,0.024 ,1.5 ,7.916 ,
4.4 ,7.0 ,112 ,13.9 ,0.8 ,2.5 ,1.4 ,2.820 ,0.011 ,1.4 ,4.733 ,
5.4 ,7.3 ,222 ,14.4 ,0.7 ,2.9 ,2.3 ,2.635 ,0.024 ,1.5 ,0.946 ,
4.8 ,7.2 ,224 ,15.3 ,1.1 ,3.0 ,1.1 ,2.609 ,0.026 ,1.8 ,0.901 ,
10.9 ,7.4 ,201 ,14.4 ,2.0 ,4.4 ,1.1 ,1.925 ,0.025 ,2.1 ,1.116 ,
12.1 ,7.6 ,204 ,11.9 ,5.5 ,12.8 ,51.3 ,2.660 ,0.163 ,7.0 ,5.927 ,
10.1 ,7.6 ,125 ,15.5 ,1.7 ,3.6 ,3.1 ,1.868 ,0.013 ,1.6 ,3.064 ,
11.1 ,8.1 ,123 ,13.5 ,0.9 ,3.0 ,1.8 ,1.837 ,0.021 ,1.6 ,2.809 ,
11.5 ,7.8 ,127 ,12.2 ,1.0 ,3.1 ,3.5 ,2.056 ,0.021 ,1.7 ,3.854 ,
10.4 ,7.8 ,186 ,13.4 ,1.0 ,2.9 ,2.0 ,2.718 ,0.017 ,1.7 ,1.421 ,
13.3 ,7.8 ,169 ,11.1 ,1.9 ,4.1 ,7.0 ,1.684 ,0.024 ,2.1 ,2.823 ,
18.4 ,8.5 ,196 ,12.5 ,1.3 ,4.9 ,3.4 ,2.069 ,0.032 ,2.2 ,1.206 ,
22.6 ,8.1 ,177 ,11.3 ,2.0 ,4.9 ,12.8 ,1.755 ,0.062 ,3.1 ,1.560 ,
