√¯¡§º“∏Ì,≥‚/ø˘/¿œ,BOD,COD,Chl_a,T_N,T_P,TOC,NO3_N,NH3_N,SS
ªÍµø,2022-02-08,7.3,12.7,157.6,2.031,0.086,10.6,0.035,1.387,31.6
»≤∑Ê∞≠4,2022-02-08,2.6,5.4,23.3,1.148,0.021,2.5,0.11,0.938,7.2
±§¡÷1,2022-02-08,7.6,14.2,175,2.056,0.094,6.1,0.02,1.382,26.4
±§¡÷2,2022-02-08,7.3,11.2,73.2,11.477,0.152,6,7.676,1.912,12.4
±§¡÷3,2022-02-08,8.4,11.9,96.1,11.524,0.282,6.6,7.741,1.832,13.2
±§¡÷√µ1,2022-02-09,4.6,7.6,8.7,16.952,0.088,5,5.045,3.099,4.8
»≤∑Ê∞≠1,2022-02-09,1.5,3.2,2.2,0.418,0.04,1.8,0.047,0.355,2.6
»≤∑Ê∞≠2,2022-02-09,2.3,3.9,8.1,1.079,0.055,2,0.061,0.915,12.3
±§¡÷√µ2,2022-02-14,7.1,14.8,118.1,6.602,0.159,7.2,1.199,3.297,28.2
»≤∑Ê∞≠3,2022-02-14,4.2,6.5,,2.35,0.067,4.4,,,11.6
±§ªÍ,2022-02-14,7.8,11.5,82.1,9.575,0.132,7.6,5.816,2.301,15
øÏƒ°,2022-02-14,5.4,8.4,89.9,2.391,0.096,4.9,0.016,1.813,27.5
»≤∑Ê∞≠5,2022-02-14,4.1,6.7,29.1,2.218,0.104,4.4,0.446,0.856,13.7
±§¡÷1,2022-02-16,10.8,18,211.6,2.015,0.156,7.6,0,1.08,33.2
±§¡÷2,2022-02-16,6.7,12.2,65.3,14.136,0.314,9.9,10.557,1.882,12.4
±§¡÷3,2022-02-16,8.1,15.4,115.7,13.65,0.311,10.1,9.723,1.817,15.6
±§¡÷√µ2,2022-02-21,8,11.9,79,6.68,0.14,6.9,1.475,3.662,24.2
»≤∑Ê∞≠3,2022-02-21,3.7,6.6,,2.064,0.057,3.8,,,9.7
±§ªÍ,2022-02-21,6.3,10.5,71.3,10.735,0.147,7.8,6.57,2.634,13.3
øÏƒ°,2022-02-21,5.3,9.6,69.7,2.416,0.108,4.9,0.029,1.572,23.6
»≤∑Ê∞≠5,2022-02-21,4.5,8.5,26.2,2.029,0.104,4.8,0.368,0.795,13.5
±§¡÷1,2022-02-22,6.9,11.9,168,2.384,0.208,7.9,0.016,1.393,37.6
±§¡÷2,2022-02-22,6.2,9.5,69.2,13.74,0.346,10.2,9.62,1.905,13.2
±§¡÷3,2022-02-22,8.5,9.5,100,12.543,0.319,9.7,8.043,2.102,17.2
±§¡÷√µ2,2022-02-28,8.8,13.6,101.8,7.316,0.187,8.6,1.907,3.7,32.6
»≤∑Ê∞≠3,2022-02-28,5,7.5,,2.463,0.096,4.5,,,19.4
±§ªÍ,2022-02-28,9.2,12.5,84.1,9.996,0.135,8.3,5.735,2.67,18.4
øÏƒ°,2022-02-28,5.5,10.5,87.7,2.467,0.133,4.9,0.016,1.568,27.3
»≤∑Ê∞≠5,2022-02-28,5.5,8.8,36.9,2.093,0.106,4.8,0.378,0.855,17.5
±§¡÷1,2022-03-03,17.9,18.5,165.3,2.038,0.114,9.3,0.017,0.877,36.8
±§¡÷2,2022-03-03,8,13.1,78.5,13.811,0.349,7.7,9.352,1.567,17.6
±§¡÷3,2022-03-03,8.9,14.8,106.4,13.035,0.23,10.3,8.473,1.764,16
»≤∑Ê∞≠1,2022-03-03,1.4,3.2,1.6,0.426,0.049,1.8,0.041,0.155,3.6
»≤∑Ê∞≠2,2022-03-03,2,4.1,0.6,1.012,0.047,2.2,0.033,0.784,3.9
±§ªÍ,2022-03-07,8.4,12.8,115,10.095,0.163,9.4,5.85,2.283,20.3
±§¡÷√µ2,2022-03-07,6.4,12.2,83.9,5.939,0.164,7.8,1.184,3.324,22.8
øÏƒ°,2022-03-07,5.2,10.7,85.5,2.348,0.149,6.5,0.023,1.31,27
»≤∑Ê∞≠3,2022-03-07,5.2,6.7,,1.851,0.069,3.9,,,12.6
»≤∑Ê∞≠4,2022-03-07,3.2,8.4,25.7,1.425,0.065,3.1,0.09,1.072,13.6
»≤∑Ê∞≠5,2022-03-07,6,9.1,26.5,1.915,0.105,5.4,0.363,0.717,15.9
±§¡÷√µ1,2022-03-08,5.6,9,11.6,16.104,0.209,6.6,4.785,3.375,8
ªÍµø,2022-03-08,8.3,16.1,124.6,2.342,0.263,10.1,0.031,0.742,36.4
±§¡÷1,2022-03-08,8.4,16.7,52.2,2.571,0.249,10.5,0.017,1.436,30
±§¡÷2,2022-03-08,8.4,13.1,55.4,14.332,0.31,9.9,10.199,1.788,15.6
±§¡÷3,2022-03-08,7,12.6,17.8,14.145,0.249,9.7,10.5,1.818,10.4
±§ªÍ,2022-03-14,7.7,10.8,15.4,12.947,0.252,7.5,9.229,1.885,9.6
±§¡÷√µ2,2022-03-14,9.3,13.5,23.9,5.492,0.305,9.5,2.37,1.216,27.1
øÏƒ°,2022-03-14,4.6,8.7,39.6,2.733,0.156,4.3,0.341,1.401,20.2
»≤∑Ê∞≠3,2022-03-14,5.2,7.6,,2.556,0.106,4.6,,,22.3
»≤∑Ê∞≠5,2022-03-14,8.4,9.1,45.6,3.117,0.21,5.3,1.395,0.653,18.5
±§¡÷1,2022-03-16,5.6,10.1,12,2.599,0.189,5.2,1.188,0.613,12
±§¡÷2,2022-03-16,14.2,15.8,11.3,10.62,0.583,8.1,8.46,0.838,27.6
±§¡÷3,2022-03-16,8.3,10.6,6.6,11.531,0.442,8.1,8.798,0.803,9.2
±§ªÍ,2022-03-21,6.1,9.3,5.7,8.093,0.265,6.4,6.001,1.286,6.9
±§¡÷√µ2,2022-03-21,4,8.5,3.6,6.003,0.15,5.7,2.576,2.56,6.5
øÏƒ°,2022-03-21,4.6,7.2,29.9,2.907,0.113,5.1,0.562,1.532,10.7
»≤∑Ê∞≠3,2022-03-21,4.1,6.8,,2.163,0.068,4,,,8.9
»≤∑Ê∞≠5,2022-03-21,6.5,8.8,25.5,2.146,0.109,4.6,0.545,0.791,12.6
±§¡÷1,2022-03-22,6,8.9,13.3,2.886,0.25,6.4,1.111,0.975,15.2
±§¡÷2,2022-03-22,6.2,12,11.4,10.09,0.498,8.6,6.505,1.84,20
±§¡÷3,2022-03-22,7.8,9.4,5.4,9.9,0.264,7.3,5.741,2.23,9.2
±§ªÍ,2022-03-28,7,8.8,25.3,4.187,0.133,6.1,0.744,2.434,18.6
±§¡÷√µ2,2022-03-28,5.4,5.5,5.2,4.251,0.12,4,0.729,2.836,10.9
øÏƒ°,2022-03-28,5.8,7.2,12.7,2.928,0.141,5.1,0.249,1.974,20.7
»≤∑Ê∞≠3,2022-03-28,5.4,6.6,,3.227,0.075,4.4,,,27.5
»≤∑Ê∞≠5,2022-03-28,6.6,7.9,8.8,4.109,0.153,5.8,0.331,3.028,25.4
±§¡÷1,2022-03-30,3.4,9.1,51.7,2.605,0.169,5.5,0.172,1.946,23.2
±§¡÷2,2022-03-30,5.5,8.4,36.6,4.365,0.189,6,1.411,2.189,18.4
±§¡÷3,2022-03-30,6.7,9.6,45.6,5.488,0.181,6.7,2.224,2.359,15.6
±§ªÍ,2022-04-04,8,13.6,111.6,5.278,0.155,6.8,1.782,2.27,20.9
±§¡÷√µ2,2022-04-04,8.2,11.8,113.2,4.384,0.156,7.4,0.042,3.074,19.7
øÏƒ°,2022-04-04,5.4,7.6,66.6,2.244,0.103,4.6,0.013,1.54,14.6
»≤∑Ê∞≠1,2022-04-04,1.4,3.7,6.3,1.921,0.023,1.9,0.04,1.688,8.5
»≤∑Ê∞≠2,2022-04-04,1.7,4,4.9,1.86,0.019,2.2,0.044,1.623,3.8
»≤∑Ê∞≠3,2022-04-04,3.1,4.3,,2.337,0.056,3,,,5.7
»≤∑Ê∞≠5,2022-04-04,6.5,8.4,36.1,2.96,0.114,5.2,0.219,1.879,16.9
±§¡÷1,2022-04-05,6,10.2,127.3,1.977,0.162,6.2,0.019,1.054,30.8
±§¡÷2,2022-04-05,5.4,7.4,98.2,7.63,0.22,7.1,4.382,1.868,18
±§¡÷3,2022-04-05,5.7,9.8,84.9,8.827,0.176,7.5,5.34,2.118,12.4
±§¡÷√µ1,2022-04-06,5.4,6.4,3.3,6.886,0.078,3.6,1.525,4.107,1.6
»≤∑Ê∞≠4,2022-04-07,3.5,5.8,49.2,2.127,0.051,3,0.103,1.427,18
±§ªÍ,2022-04-11,12.8,15.1,178,6.87,0.164,6.7,2.912,2.125,21.7
±§¡÷√µ2,2022-04-11,12.1,14.2,105.8,3.515,0.173,7.5,0.016,2.257,24.5
øÏƒ°,2022-04-11,6.7,9.6,99.9,1.833,0.128,4.2,0.01,0.821,18.6
»≤∑Ê∞≠3,2022-04-11,5,7.2,,1.943,0.067,3.9,,,12.4
»≤∑Ê∞≠5,2022-04-11,7.4,9.2,56.3,2.53,0.156,5.1,0.749,0.824,17.3
ªÍµø,2022-04-13,8.7,11.1,92.2,1.25,0.128,8.3,0.095,0.302,22
±§¡÷1,2022-04-13,5.7,10.9,59.1,1.246,0.115,7.7,0.14,0.211,14
±§¡÷2,2022-04-13,14.5,10.6,36.5,10.334,0.204,8,7.503,0.953,16.8
±§¡÷3,2022-04-13,7,11.2,53.3,9.617,0.098,8.2,6.833,1.168,12
±§ªÍ,2022-04-18,7.4,11.4,30.8,7.193,0.132,6.3,4.555,1.476,8.6
±§¡÷√µ2,2022-04-18,6.3,8,21.9,3.983,0.132,5.4,0.395,2.547,10.4
øÏƒ°,2022-04-18,4.4,7,13.4,1.422,0.083,4.4,0.078,0.659,7.1
»≤∑Ê∞≠5,2022-04-18,7.1,7.8,15.7,1.872,0.127,4.5,0.646,0.528,12
»≤∑Ê∞≠3,2022-04-18,9.8,11.2,,1.564,0.127,5.8,,,15.9
±§¡÷1,2022-04-19,7.3,11.8,132.3,1.474,0.16,5.9,0.038,0.374,19.2
±§¡÷2,2022-04-19,8,11.4,49.4,9.059,0.187,7,5.622,1.593,10.4
±§¡÷3,2022-04-19,8.3,11,54.4,8.317,0.165,7.3,4.486,2.019,12
±§ªÍ,2022-04-25,11.3,12.8,92.8,7.643,0.133,7.5,3.604,2.098,12
±§¡÷√µ2,2022-04-25,8.8,9.2,50.6,3.876,0.145,6.3,0.106,2.647,18.9
øÏƒ°,2022-04-25,6.9,9.5,57.5,1.014,0.111,5.4,0.039,0.212,9.8
»≤∑Ê∞≠5,2022-04-25,7.3,8.5,43.7,1.503,0.14,5.2,0.44,0.207,15.9
±§¡÷1,2022-04-28,4.9,9.4,30.5,1.61,0.154,5.5,0.245,0.431,16
±§¡÷2,2022-04-28,12.4,9.8,21.3,6.877,0.311,7.7,4.748,0.515,19.2
±§¡÷3,2022-04-28,8.4,10.2,18.8,7.014,0.296,8.6,4.869,0.494,13.2
±§ªÍ,2022-05-02,12.2,14.2,119.3,6.492,0.319,10.6,3.636,1.141,19.1
±§¡÷√µ1,2022-05-02,4.8,7.4,2.4,12.594,0.126,4.7,6.252,2.684,6.8
±§¡÷√µ2,2022-05-02,4.4,7.6,7.4,3.801,0.144,5.4,0.618,2.223,12
øÏƒ°,2022-05-02,4.1,8,30.2,1.185,0.105,5.1,0.032,0.427,12.5
»≤∑Ê∞≠3,2022-05-02,4.7,6.6,,1.188,0.071,4.4,,,7.4
»≤∑Ê∞≠5,2022-05-02,9.6,11.1,60.6,1.33,0.124,8,0.198,0.269,14.7
±§¡÷1,2022-05-03,5.9,10.6,59,1.439,0.111,5.5,0.048,0.627,14
±§¡÷2,2022-05-03,9.5,10.9,24.8,8.965,0.17,6.4,6.704,1.356,11.2
±§¡÷3,2022-05-03,7.3,11.3,18.4,10.922,0.205,6.9,7.167,1.15,9.2
»≤∑Ê∞≠4,2022-05-03,3.6,7.4,51.2,0.82,0.05,3.8,0.13,0.307,12
»≤∑Ê∞≠1,2022-05-09,1.8,4.6,3.9,0.17,0.026,3.2,0.009,0.065,6.6
»≤∑Ê∞≠2,2022-05-09,1.5,4.3,2.6,0.185,0.017,3.2,0.01,0.059,3.2
±§ªÍ,2022-05-09,11,12.3,54.7,8.756,0.111,7.6,4.861,1.972,13.8
±§¡÷√µ2,2022-05-09,5.7,8.9,26.2,3.801,0.169,6.4,0.318,2.22,24
øÏƒ°,2022-05-09,4.1,8.9,30.1,1.079,0.12,5.8,0.086,0.241,11.6
»≤∑Ê∞≠3,2022-05-09,3.3,6.8,,1.043,0.079,4.3,,,8.8
»≤∑Ê∞≠5,2022-05-09,9.5,10,51.7,1.659,0.15,7.1,0.451,0.272,14.8
ªÍµø,2022-05-10,5,10.2,64.6,0.712,0.057,6.7,0.011,0,16
±§¡÷1,2022-05-10,6.1,11.3,94.6,0.799,0.106,6.6,0.016,0,16.4
±§¡÷2,2022-05-10,8.1,9.9,39.7,8.48,0.137,5.7,5.724,1.679,10.4
±§¡÷3,2022-05-10,6.8,10.9,42,9.107,0.157,5.8,6.101,2.149,9.2
±§ªÍ,2022-05-16,12,14.7,77.7,9.048,0.16,8.7,5.46,1.856,17.8
±§¡÷√µ2,2022-05-16,5.5,9.4,31.2,4.641,0.175,6.7,0.395,3.115,25.7
øÏƒ°,2022-05-16,4.5,8,33.4,1.095,0.107,5.2,0.028,0.314,13.5
»≤∑Ê∞≠3,2022-05-16,4,7.3,,1.319,0.135,5.2,,,17.8
»≤∑Ê∞≠5,2022-05-16,7.4,10.5,45.9,2.282,0.207,6.9,0.626,0.415,13.2
±§¡÷1,2022-05-18,7.4,13.3,38.4,0.777,0.092,6.6,0.018,0,18
±§¡÷2,2022-05-18,9.4,11.7,5.7,7.917,0.169,6.8,4.894,1.531,8.8
±§¡÷3,2022-05-18,8.9,13.3,41.5,8.8,0.13,6.9,4.809,1.768,12.4
±§ªÍ,2022-05-23,12.5,15.5,130.5,6.079,0.2,8.9,2.736,1.792,19.4
±§¡÷√µ2,2022-05-23,8.1,11.9,31.2,2.405,0.217,8.2,0.366,0.979,29.5
øÏƒ°,2022-05-23,6.1,8.7,39.6,1.047,0.115,5.6,0.063,0.265,10.7
»≤∑Ê∞≠3,2022-05-23,4.8,8.1,,0.949,0.09,5.2,,,15.3
»≤∑Ê∞≠5,2022-05-23,6.2,9.3,32.2,1.02,0.129,5.8,0.231,0.204,13
±§¡÷1,2022-05-25,8.5,13.6,101,0.849,0.103,7.5,0,0.131,25.2
±§¡÷2,2022-05-25,6.8,10.4,35.4,6.825,0.14,7.2,4.004,1.522,12
±§¡÷3,2022-05-25,9,13,105.2,6.851,0.124,9.7,4.207,1.242,18
±§ªÍ,2022-05-30,10.6,14.4,95.5,4.392,0.195,8.2,1.918,1.036,18.1
±§¡÷√µ2,2022-05-30,7.8,12.2,62,3.202,0.235,6.8,0.035,1.943,29
øÏƒ°,2022-05-30,4.5,10.7,20.6,1.967,0.157,7.1,0.308,0.558,15.7
»≤∑Ê∞≠3,2022-05-30,5.3,7.7,,0.936,0.097,5.6,,,14.4
»≤∑Ê∞≠5,2022-05-30,8.1,10.3,40.6,1.481,0.147,7.1,0.337,0.277,18.4
±§ªÍ,2022-06-07,5.9,11.1,18.9,2.431,0.186,7.4,0.638,0.902,15.4
±§¡÷1,2022-06-07,2.9,12.3,12,2.242,0.122,7.7,0.541,0.781,15.2
±§¡÷2,2022-06-07,7,11.4,16.3,4.215,0.147,7,2.212,1.034,13.2
±§¡÷3,2022-06-07,8.9,11.9,19.5,4.941,0.295,7,2.798,1.015,16
±§¡÷√µ2,2022-06-07,7.2,11.2,12.1,3.021,0.25,7.5,1.523,0.652,11.1
øÏƒ°,2022-06-07,3.9,10.5,5.7,2.174,0.177,6.6,0.388,0.877,13.4
»≤∑Ê∞≠3,2022-06-07,3.2,7.2,,1.287,0.109,4.6,,,10.9
»≤∑Ê∞≠5,2022-06-07,4.9,9.6,20.7,1.289,0.153,6.5,0.24,0.362,16.3
±§¡÷√µ1,2022-06-08,5.2,8.4,4,9.577,0.154,4.6,5.11,3.206,10.4
»≤∑Ê∞≠1,2022-06-09,1.1,5.1,4.2,0.848,0.035,3.5,0.049,0.77,3.6
»≤∑Ê∞≠2,2022-06-09,1,7,6.3,1.718,0.052,4.9,0.164,1.402,6.2
»≤∑Ê∞≠4,2022-06-09,2.5,8.8,19.7,1.118,0.066,4.4,0.374,0.72,10.8
±§ªÍ,2022-06-13,8,12.5,71.1,5.284,0.151,7.8,2.462,1.449,15.7
±§¡÷√µ2,2022-06-13,8.2,11.3,71.5,3.098,0.202,8.4,0.248,1.632,14.9
øÏƒ°,2022-06-13,4,9.4,13.3,2.079,0.139,6.8,0.197,0.838,9.8
»≤∑Ê∞≠5,2022-06-13,4.9,8.8,26.3,1.399,0.101,6.3,0.164,0.413,14.9
»≤∑Ê∞≠3,2022-06-15,5.4,8.4,,1.376,0.101,5.9,,,11.5
ªÍµø,2022-06-16,3.2,11,26.6,1.942,0.121,5.9,0.166,0.929,14.4
±§¡÷1,2022-06-16,5.7,12.2,85.7,1.861,0.124,6.6,0.029,0.853,19.2
±§¡÷2,2022-06-16,8.7,12.5,79.3,4.376,0.153,6.1,1.961,1.223,17.6
±§¡÷3,2022-06-16,10.7,13.9,80,5.571,0.158,6.8,2.647,1.282,13.2
±§ªÍ,2022-06-20,7.9,12.3,49.4,4.78,0.167,8.5,1.997,1.237,13.2
±§¡÷√µ2,2022-06-20,9.5,14.7,163.1,2.999,0.204,10.6,0.018,1.489,26.8
øÏƒ°,2022-06-20,4.7,11.7,54.4,1.737,0.139,8.6,0.046,0.594,11.7
»≤∑Ê∞≠3,2022-06-20,5.1,8.6,,1.347,0.079,6.2,,,8.6
»≤∑Ê∞≠5,2022-06-20,4.2,9.4,9.6,1.387,0.085,7.5,0.259,0.334,14.3
±§¡÷1,2022-06-21,4.2,12.3,32,1.625,0.11,7.2,0.129,0.655,9.2
±§¡÷2,2022-06-21,12.5,12,19,7.322,0.414,7.4,4.343,0.885,20
±§¡÷3,2022-06-21,14.9,13.4,27.2,8.776,0.752,8.5,5.599,0.884,14.4
±§ªÍ,2022-06-27,5.2,11.7,23.4,3.334,0.177,7.6,1.176,1.069,17.5
±§¡÷√µ2,2022-06-27,3.3,7.5,30.6,3.046,0.173,5.5,0.213,2.15,4.8
øÏƒ°,2022-06-27,3.2,10,14.3,2.221,0.168,7.4,0.216,1.116,10
»≤∑Ê∞≠3,2022-06-27,3.8,8.4,,2.101,0.1,6.2,,,12.5
»≤∑Ê∞≠5,2022-06-27,7.1,12.8,17.9,2.234,0.155,8.6,0.624,0.865,18.5
±§¡÷1,2022-06-29,5.3,12.3,1.7,1.962,0.125,7.5,0.017,0.937,19.2
±§¡÷2,2022-06-29,9.4,11.8,58.2,4.634,0.208,6.7,2.276,1.059,14
±§¡÷3,2022-06-29,13.1,11.5,51.1,8.431,0.286,6.5,3.879,1.175,15.6
