pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Rain
8.5,15,4.2,489,5.5,10.3,12.4,7.686,0.111,7.7,41,4.539,0.015,48.3,6,39.3
7.6,9.9,11,409,5,9.8,27.3,6.632,0.152,7.3,5000,3.478,0.038,24.7,634,152.7
8.2,10.6,16.4,282,4.8,8.6,18.6,4.52,0.1,6.3,930,1.629,0.023,53.3,166,169
7.7,7.6,20.8,297,5.2,9.6,18,3.909,0.104,7,905,1.546,0.026,59.7,173,89.3
7.9,5.1,25.4,339,4,11.8,10.4,3.897,0.085,8.6,9,1.318,0.023,26.2,4,162
8.3,7,28.4,264,5.3,10.9,22.9,2.975,0.125,7.7,5810,0.515,0.066,41.9,1262,67.6
7.7,6.1,28.9,275,3.9,12,29.9,2.8,0.188,8.3,15050,0.991,0.082,30.3,1983,246.2
7.5,8,23.6,219,4.6,9.8,14,2.537,0.101,6.6,3220,0.256,0.046,51.7,368,151.4
8.2,11.2,18.3,258,3.8,7.7,21,2.975,0.116,6.8,1996,0.206,0.034,53.9,494,138.4
8.1,12.8,12.2,357,5.5,10.8,32.3,4.056,0.176,8.6,5275,0.88,0.028,82.9,688,51.1
8.4,14.9,7,419,5,11.6,26,5.522,0.176,8.9,3490,1.429,0.028,92,300,38.3
8.5,16,4.8,448,5.3,11.1,25.2,7.198,0.145,8.9,218,1.775,0.013,93.6,21,13.3
8.8,16.1,6.3,405,7.1,15.4,31.2,6.292,0.197,11.5,1005,2.299,0.014,134.2,19,29.6
8.7,13.3,11,404,6.8,14.2,24,6.492,0.192,9.2,1605,2.755,0.013,90.4,142,38.5
8.4,8.8,14.3,341,4.5,9.7,9,4.441,0.156,7.1,195,2.08,0.029,46.4,26,86.3
7.4,7,20.4,314,4.2,10,13.3,3.878,0.149,7.2,272,2.154,0.044,36,148,122.9
8,8,23.8,271,6.3,13.3,19.9,2.811,0.132,9.1,188,1.181,0.017,59,24,172.3
7.8,6.2,24.9,178,3.8,9.4,21.1,2.46,0.118,8.5,6486,0.421,0.053,25.5,1867,167
7.9,7.9,28.8,206,3.7,9.7,23.7,2.128,0.142,8.7,7725,0.347,0.065,53.7,2165,144.9
7.7,8.3,24.1,198,3.8,7.2,13.8,2.608,0.137,4.9,8040,0.339,0.07,30.2,1970,259.3
8.3,11,19.6,240,3.5,6.2,8.9,3.111,0.068,4.6,3726,0.181,0.024,34.1,550,159
8.2,11.6,14.6,362,4.9,8.3,14.5,4.537,0.062,7.5,318,0.597,0.023,58.3,58,14.6
7.7,10.4,7.9,426,3.6,7.4,5.1,5.832,0.088,6.3,1615,1.843,0.049,20.6,482,40.7
