Total_Code,하천차수,수온,DO,pH,Conductivity,Turbidity,BOD,NH3-N,NO3-N,T-N,PO4-P,T-P,Chl-a,1시가화건조지역,2농업지역,3산림지역,4초지지역,5습지,6나지,7수역,비율,slope_R,aspect_gra,tavg_R,tmax_7m_R,tmin_1m_R,prcp_R,godo_R,수폭m,수심cm,유속cm/s
1001G062,5,14,12.9,7.7,269,0.3,0.8,0.049,0.814,2.504,0.035,0.062,1,1.174,35.241,55.863,1.67,1.115,2.134,2.802,99.999,17.0067,6,8.73084,26.6097,-12.5314,1229.56,244.605,16.3,21.4,45.8
1001G064,7,19.4,11.2,8.2,215.3,3.7,1.1,0.139,1.643,2.341,0.009,0.017,0.9,9.942,30.569,37.226,1.397,0.28,9.514,11.071,99.999,0,0,9.35032,26.913,-12.2624,1201.03,200,78.8,27.4,80.3
1001G066,6,20.9,10.7,8.1,245.3,2.2,1,0.152,1.803,2.523,0.009,0.023,1.1,17.093,12.525,34.31,3.558,2.068,16.155,14.291,100,0,0,9.73414,27.2463,-10.8652,1202.03,200,18.5,19,50.7
1001G068,7,19.2,12.3,8.1,221.3,5.5,0.9,0.172,1.716,2.437,0.011,0.024,1.2,53.169,4.904,4.466,4.939,5.382,4.675,22.465,100,0,0,9.75153,26.913,-11.1736,1211.78,200,145.2,23.8,72
1002G092,7,20,10.7,8.3,205.3,6.3,1,0.083,1.708,2.464,0.008,0.021,1,19.807,15.855,28.483,12.595,4.645,5.371,13.244,100,0,0,9.44509,27.2678,-12.1342,1259.54,200,121.9,23.4,60.7
1003G002,8,20.2,12.1,8.1,223.7,5,1.1,0.08,1.601,2.37,0.007,0.019,1.2,16.632,22.393,25.727,2.232,7.125,6.698,19.194,100.001,0,0,9.72729,27.2497,-11.2164,1187.06,180,103.5,28.2,56.4
1003G016,6,18.3,11.3,8.3,146.9,3.6,0.9,0.062,1.168,1.797,0.005,0.016,1.1,7.01,38.295,35.011,4.588,0.271,7.146,7.678,99.999,0.064416,0,8.91344,27.1519,-12.3927,1206.49,180,77.1,24.5,71.8
1003G018,3,13.7,8.2,7.8,176,0.2,0.9,0.013,1.66,2.376,0.008,0.015,1.1,2.478,41.806,47.36,0,8.355,0,0,99.999,2.36728,6,9.22177,27.2663,-12.3666,1249.19,180.043,17,27.6,49.5
1003G022,4,15.8,9.1,7.6,144,0.7,1,0.018,2.242,2.698,0.009,0.018,0.5,10.112,20.75,32.572,10.742,10.482,8.783,6.559,100,5.99023,8,9.24587,27.2663,-12.3122,1238.98,171.323,8.3,25.5,58.8
1003G026,3,15,11.4,7.8,213.5,3.5,1.4,0.027,2.184,3.205,0.023,0.033,1.5,2.022,12.117,70.744,1.968,10.482,0.257,2.411,100.001,10.0981,6,9.36364,27.3761,-12.1644,1289.33,161.498,7.5,27,48.5
1003G028,8,20.9,11.4,8.1,200.5,6.8,0.8,0.058,1.398,2.604,0.007,0.022,0.8,4.946,13.83,35.672,12.66,2.759,11.911,18.221,99.999,0,0,9.36383,27.408,-11.8042,1302.33,160,86.5,24.8,31.3
1003G034,4,19.4,11.7,7.9,329.2,5.1,1.1,0.073,1.401,2.767,0.011,0.026,1,2.276,33.198,47.745,6.056,2.546,4.183,3.995,99.999,0,0,9.38918,27.4254,-12.1193,1288.16,160,14.5,21.5,54.4
1003G038,8,20.7,10,8,199,10.1,1,0.09,1.617,2.694,0.015,0.03,0.9,3.522,19.262,42.632,11.715,1.182,1.569,20.118,100,0,0,9.31604,27.365,-11.8162,1235.16,160,69.3,27.6,25.6
1003G044,5,19.9,10.3,7.8,420.6,10.7,1.1,0.096,1.81,3.026,0.009,0.02,1,34.477,3.952,25.421,13.604,4.233,8.923,9.39,100,0,0,9.79274,27.365,-11.3486,1251.45,140,17.6,25.3,36
1003G046,4,14.6,10.2,7.8,149,8.9,2,0.066,4.305,5.351,0.051,0.072,1.9,5.182,17.446,66.274,4.23,4.933,1.934,0,99.999,8.29953,7,9.23914,27.3587,-12.1913,1290.79,194.657,9.8,32,62.1
1003G054,5,19.1,10.6,8.3,140.8,2.6,0.9,0.054,1.651,2.697,0.007,0.021,0.9,25.342,22.936,29.293,12.678,4.16,2.436,3.156,100.001,0,0,9.58875,27.3617,-11.4314,1184.3,160,22.3,21,54.1
1003G056,5,18.7,10.6,7.5,78.6,0.5,0.7,0.04,1.423,2.802,0.009,0.023,0.8,6.419,30.289,44.596,10.669,4.503,2.535,0.99,100.001,5.82223,8,9.28238,27.0569,-11.6001,1174.62,234.111,13.6,20.8,59.9
1003G058,8,21.9,13.1,8.1,245.5,35.6,1.8,0.033,1.702,2.089,0.014,0.022,4.8,2.662,4.758,28.931,2.436,14.072,31.898,15.243,100,0,0,9.3413,27.4394,-12.0806,1176.36,160,262.5,41.8,14.3
1003G062,5,18.2,9.2,8.1,375,7.9,1.7,0.025,2.62,3.484,0.042,0.056,0.9,4.509,28.163,60.736,1.84,0,0,4.751,99.999,0,0,9.91596,27.7324,-11.4796,1228.31,160,4.8,32.4,69.7
1003G092,6,24.6,10.6,8.8,313.5,18.8,2.2,0.017,1.593,2.037,0.035,0.069,0.6,3.657,10.468,60.425,0,0,11.591,13.86,100.001,0,0,10.1462,28.0631,-11.1182,1228.8,160,40,41.2,4.6
1003G102,4,20.4,10.1,7.9,126.5,2.5,0.9,0.127,1.364,2.86,0.018,0.038,0.8,1.526,42.323,44.192,6.945,1.237,0,3.777,100,0,0,10.309,27.7473,-10.624,1182.4,160,17.5,17.7,48.6
1003G104,8,17.6,11.7,7.5,216.5,1.3,1.3,0.066,1.557,2.634,0.016,0.028,0.9,15.085,6.07,48.411,7.763,0.164,2.395,20.112,100,0,0,10.5994,28.0545,-10.268,1211.59,80,168.8,91.7,41.6
1003G106,8,17.4,10,7.9,231.4,7.4,1.1,0.149,1.499,2.635,0.014,0.023,1.1,16.371,10.723,6.572,24.31,2.386,3.503,36.135,100,0,0,10.6387,28.1814,-10.8586,1203.52,80,292.6,40.1,19.4
1004G106,7,21.3,10.1,7.9,234.8,20.2,2,0.039,1.59,2.603,0.039,0.075,2,4.65,5.042,11.272,7.464,0,7.122,64.451,100.001,0,0,10.6517,28.2021,-10.4683,1196.43,80,292.7,58,2.3
1005G005,3,24,10.4,7.7,322.5,0,1.7,0.057,0.834,2.492,0.057,0.12,1.7,4.97,32.238,30.894,3.308,0,19.921,8.668,99.999,0,0,10.2912,28.2211,-11.2181,1206.69,60,11.8,29.9,7.1
1005G015,4,20.8,9.7,7.6,231.9,5.6,1.4,0.098,2.577,3.292,0.037,0.061,1.6,22.175,56.569,3.656,9.412,0,0.007,8.182,100.001,0,0,10.5911,28.1723,-10.6242,1222.98,80,8,19.4,26.1
1005G030,8,20.1,10.2,8.2,216.5,13.2,1.3,0.041,1.6,2.41,0.019,0.037,1.4,7.369,18.639,12.265,12.66,10.22,10.826,28.023,100.002,0,0,10.28,28.2413,-10.9185,1202.71,60,182.4,27.3,39.7
1005G035,4,20.8,8.5,7.6,238.5,4.9,2.3,0.01,2.244,2.641,0.021,0.052,0.9,9.062,62.559,10.783,3.865,0,9.496,4.235,100,4.0298,6,10.9422,28.2413,-9.93769,1212.13,73.8124,10,24.7,3.2
1005G045,5,21.6,10.3,7.6,176.1,22.2,1.8,0.058,2.17,2.9,0.025,0.049,2,11.089,54.728,14.364,9.284,0,2.968,7.568,100.001,0,0,10.6321,28.3031,-10.1766,1188.26,120,17.3,25.3,21.4
1005G055,4,22.2,8.6,7.4,223.5,35.5,2.2,0.012,1.748,2.07,0.026,0.057,2.7,7.355,39.471,38.866,6.961,6.389,0,0.958,100,0.432946,6,10.2996,28.2754,-10.8968,1202.02,80,11.5,25.5,4.2
1005G060,8,19.2,10,7.9,199.3,7.5,1.4,0.03,1.595,2.343,0.015,0.037,1.5,2.647,31.459,15.045,1.106,19.544,0.879,29.32,100,0,0,11.0179,28.6456,-9.54714,1220.86,60,193.3,38.3,53.4
1005G065,4,21.6,8.3,7.5,155.3,9.1,1.5,0.039,1.905,2.763,0.012,0.031,1.3,6.926,41.938,36.475,2.643,3.438,2.713,5.867,100,0,0,10.3512,28.6456,-10.8864,1223.3,60,12.7,27.3,31
1005G070,4,22.1,8.2,7.3,127.3,14.3,2,0.052,1.299,2.356,0.015,0.038,1.8,9.708,57.95,21.134,4.131,0,0.462,6.614,99.999,0,0,10.4309,28.6719,-10.4997,1244.16,60,3.4,22.8,21.5
1005G075,8,20,10,7.9,198.6,10.5,1.3,0.039,1.633,2.32,0.018,0.04,1.3,10.147,32.637,4.552,12.771,8.435,3.852,27.606,100,1.79166,8,11.1016,28.6719,-9.4929,1253.97,51.2118,172.1,40.8,31.8
1006G080,7,21.7,10.2,7.8,211.2,10.2,1.8,0.106,1.979,2.592,0.023,0.043,1.5,4.459,23.707,49.627,3.006,0.16,8.031,11.011,100.001,0,0,11.1285,28.6623,-9.48764,1272.08,60,74.3,29.7,25.9
1007G064,8,21,8.8,7.3,260,9.7,1.2,0.056,1.33,1.905,0.016,0.038,2.1,0,5.272,29.568,3.292,0,22.651,39.217,100,0,0,10.789,28.6665,-9.81822,1276.53,40,200,66.9,2.8
1007G066,6,23.3,10.8,7.8,278.9,18.6,3.2,0.11,1.722,2.983,0.035,0.069,7.9,1.854,47.988,30.322,2.11,8.392,2.511,6.823,100,0,0,11.1083,28.6719,-9.47494,1258.99,60,35,27.4,28.9
1007G068,8,20.5,10.2,7.8,239.9,18.3,2,0.046,1.636,2.283,0.021,0.048,1.9,0,1.137,0,14.045,4.048,55.373,25.397,100,0,0,10.4614,28.6633,-10.4696,1271.26,40,261.9,51,27.1
1007G070,8,21.7,8.9,7.9,269.5,12.3,1.3,0.038,1.168,1.951,0.019,0.045,1.3,6.464,23.54,10.033,2.163,1.478,21.097,35.225,100,0,0,10.8069,28.6485,-9.48246,1280.21,40,268.8,100,NA
1007G072,5,20,10.2,7.5,221,10.9,1.8,0.079,1.684,2.86,0.019,0.041,1.4,12.518,65.567,11.209,0,0,4.752,5.955,100.001,0.21649,6,10.7737,28.6741,-9.8187,1266.59,60,4.3,19.7,19.8
1007G074,8,19.6,8.7,8.1,223.5,23.3,1.5,0.07,1.614,2.4,0.028,0.046,2.3,5.333,8.323,14.039,2.028,0,40.299,29.978,100,0,0,11.1379,28.6406,-9.48982,1276.54,40,266.3,41.6,43.5
1007G076,4,22.2,8.3,7.6,226.8,15.9,1.9,0.047,1.582,2.292,0.022,0.04,2,10.625,47.712,18.96,1.824,0,20.879,0,100,0,0,10.8146,28.6385,-10.1519,1283.46,60,2.3,14,11.5
1007G086,5,23.9,11.2,7,733.5,18.7,4.7,0.06,3.637,4.356,0.056,0.119,27.1,42.762,13.541,14.831,3.973,3.916,19.529,1.448,100,4.20314,1,11.0653,28.3131,-9.23989,1296.17,52.3994,15,28.6,2.9
1007G090,8,22.4,11.9,7.6,267.7,23.8,1.6,0.042,0.978,1.834,0.03,0.056,1.7,10.599,0.707,0,1.517,8.846,40.036,38.295,100,0,0,10.7379,28.6465,-9.57026,1292.67,40,370,100,NA
1007G092,8,22,9.6,7.1,267.3,37.9,1.4,0.042,1.236,2.03,0.016,0.035,2,2.839,7.516,11.486,10.694,0,0.609,66.856,100,0,0,10.706,28.6465,-10.2827,1295.76,40,350,100,NA
1007G094,4,23.2,9.2,7.5,643.5,26.3,2.9,0.057,2.691,3.523,0.237,0.401,3.3,14.061,69.215,9.401,0.708,5.433,0.361,0.82,99.999,1.66886,5,11.0061,28.6465,-9.33461,1298.5,59.6006,7,24.6,3.5
1007G096,8,23.3,9.4,7,249.7,18.4,1.5,0.048,1.776,2.211,0.032,0.058,2.2,0.853,6.646,0,0,0,55.98,36.521,100,0,0,11.006,28.3131,-9.32856,1298.03,40,250,66,4.6
1007G098,3,22.1,10.1,7.2,286.6,24.3,2.1,0.126,1.249,3.395,0.035,0.06,2.5,12.174,72.121,12.801,0,0,0,2.904,100,0,0,10.9692,28.5573,-9.71439,1298.3,60,2.7,16.8,15.4
1007G106,5,23.9,9.7,6.2,161,74.6,2.3,0.019,1.095,1.417,0.072,0.101,4.9,10.239,48.91,12.973,0.329,0,16.107,11.442,100,0,0,10.916,28.224,-9.44675,1289.98,40,15.5,32.6,3.2
1007G108,8,21.3,10.2,8.1,220.1,14.2,1.6,0.013,1.708,2.051,0.015,0.036,1.7,5.856,17.466,0.758,3.522,8,20.878,43.519,99.999,0,0,10.9379,28.2649,-9.41651,1294.97,40,221.4,31.3,29
1007G124,6,22.7,10.7,7.5,281.6,23.2,2.9,0.12,1.969,3.447,0.069,0.124,3.1,7.381,58.126,11.217,2.074,13.937,0.125,7.14,100,0,0,10.3033,28.6123,-10.37,1292.1,40,28.3,29.8,23.7
1007G162,6,23.5,8.5,7.4,468.2,23.2,4.2,0.137,1.56,5.717,0.053,0.093,2.9,12.691,67.067,0,0,4.97,10.261,5.011,100,0,0,10.5977,28.2688,-10.0746,1282.83,40,33.4,26.5,18.5
1007G166,4,22.5,8,7.3,681,64.3,1.9,0.018,1.217,1.685,0.049,0.073,2.1,3.061,31.215,33.39,0,3.861,26.738,1.736,100.001,0,0,10.1889,28.4942,-10.5277,1290.72,40,7,28.2,5.8
1007G168,8,21.2,10,7.6,227.7,16.4,1.4,0.073,1.196,2.42,0.021,0.037,2.1,5.244,13.044,4.902,1.147,9.282,21.956,44.425,100,0,0,10.5064,28.1417,-9.88007,1291.87,40,216.4,40.9,2.4
1007G170,8,23.1,10,7.9,235,3.3,1.7,0.029,1.193,2.126,0.022,0.037,2.7,1.838,14.728,14.588,0,5.858,16.405,46.584,100.001,0,0,10.8203,28.4578,-9.57287,1290.77,40,343.8,0,0
1007G174,4,21.1,9,6.8,1128.5,22.1,2.3,0.026,3.13,3.829,0.042,0.082,2.7,9.653,35.027,2.032,4.302,2.301,16.012,30.672,99.999,0,0,10.7863,28.1249,-9.95725,1286.59,40,3.5,28.6,0.9
1007G178,5,19.9,11.5,7.4,421.5,5.9,1.4,0.015,1.49,1.875,0.008,0.02,1,6.98,40.377,20.025,2.739,4.764,3.746,21.369,100,0,0,10.4423,28.125,-10.2954,1284.66,40,5.5,24.6,3.7
1007G212,6,22,8.3,8,158.6,16.7,1.4,0.071,1.547,2.224,0.013,0.027,1.5,19.993,56.561,5.072,3.179,3.88,1.256,10.058,99.999,0,0,10.4066,28.4589,-10.027,1287.93,40,40.7,31.6,26.2
1007G214,8,21.7,9.8,8.1,217.6,15.2,1.7,0.033,1.493,2.522,0.015,0.034,2,24.009,0.307,3.297,5.985,1.615,23.237,41.549,99.999,0,0,10.071,28.0553,-10.6827,1283.37,40,222.7,89.6,1.1
1007G216,4,21.8,5.6,6.8,766.5,25.5,2.8,0.03,1.873,2.268,0.077,0.102,3.3,36.101,7.275,9.578,6.043,4.864,2.747,33.392,100,0,0,10.3999,28.3886,-10.0231,1285.37,40,4.5,48.1,2.6
1007G220,5,20.4,10.4,6.5,134,71.9,2.8,0.036,2.196,2.575,0.042,0.062,6.8,28.344,27.714,29.302,4.206,2.47,3.612,4.351,99.999,0,0,10.4192,28.0436,-9.99308,1284.84,40,10,21.1,4
1007G224,8,21.6,11.7,7.9,155.5,5.5,1.8,0.012,1.654,1.979,0.016,0.03,2.7,15.053,18.151,1.882,3.971,0,3.223,57.719,99.999,0,0,10.4571,28.1134,-9.93461,1271.78,40,450,0,0
1007G228,2,18.4,11.2,7.1,470.5,6.1,1.3,0.01,1.988,2.244,0.008,0.026,1.6,13.756,52.386,21.619,4.679,0,2.979,4.582,100.001,0,0,10.8814,28.1297,-9.8463,1278.29,40,6.5,18,4.5
1009G020,6,17.3,12.4,7.5,87.8,2.3,1,0.162,0.732,1.513,0.011,0.023,1.5,2.868,16.925,62.995,0,0,4.996,12.214,99.998,0,0,8.85109,27.1177,-12.5071,1212.55,120,119.3,30,14
1010G004,5,21.3,5.5,7.8,75.5,0,1.2,0.008,0.682,0.904,0.006,0.008,0.4,0.232,25.006,74.296,0,0,0.465,0,99.999,0,0,8.24226,26.5863,-13.7352,1124.99,220,16.3,20,31.4
1010G014,5,19.9,12.2,7.6,117.5,7.8,1.3,0.219,1.742,3.299,0.017,0.035,1.7,14.981,55.875,15.388,0,0,13.059,0.697,100,0,0,9.28673,26.8044,-11.9333,1178.73,200,85.4,20.3,108.3
1010G016,4,18.7,6.9,7.4,155,0,2.5,0.023,1.499,2.185,0.057,0.064,1.1,0.116,39.577,58.62,0,0,1.687,0,100,0,0,8.80424,26.6864,-13.1441,1181.61,200,4,7.5,19.8
1010G020,3,19.9,6.1,7.5,124.5,0,1.1,0.013,0.504,0.657,0.005,0.008,0.5,0,6.055,91.308,0,0,0.349,2.289,100.001,4.97996,6,8.85164,26.8025,-12.9998,1175.46,180.339,4.5,17.5,7
1010G040,5,24.9,7.6,8.5,139,0,1.4,0.023,1.185,1.591,0.005,0.009,1.8,32.824,21.054,37.519,1.27,0,4.807,2.525,99.999,0,0,9.04861,27.0557,-12.3097,1225.85,120,35,10,24.3
1010G044,3,23.1,6.8,8.2,113,0,1.2,0.008,0.978,1.367,0.005,0.007,1,2.79,20.092,77.118,0,0,0,0,100,0,0,8.3722,27.0742,-13.3129,1237.4,120,9.5,17.5,14
1010G046,3,18.1,10.9,7.4,75.8,2.1,0.8,0.062,0.73,2.413,0.015,0.029,1.1,3.706,44.694,51.599,0,0,0,0,99.999,0.036259,0,8.38131,26.7312,-13.6352,1256.4,160,5.1,14.4,67.6
1010G056,2,20.1,11.7,7.8,48.5,0,1,0.05,0.779,1.784,0.011,0.016,1.6,0.465,18.83,76.095,3.951,0,0.232,0.427,100,0,0,8.93628,27.1691,-12.7073,1296.96,120,17.5,28.5,29.2
1010G058,3,23.3,5.7,7.5,79.5,0,0.7,0.04,1.033,1.264,0.005,0.01,1.5,0.232,18.004,80.254,1.509,0,0,0,99.999,1.12518,4,9.03851,27.2638,-12.261,1305,120,7.5,10,14
1010G060,6,17.6,11.9,7.4,85.7,4,1.1,0.094,1.033,1.98,0.009,0.019,1.2,0.978,26.591,47.576,0,0,0.581,24.275,100.001,0,0,9.59626,27.3962,-11.3963,1281.1,80,268,27,12.4
1010G064,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.013,82.544,9.797,0,0,5.646,0,100,0.239732,4,9.66447,27.4181,-11.6814,1280.54,80,3,17.5,14
1010G066,6,18.3,11.4,7.5,80.6,3.3,1.1,0.051,1.143,1.828,0.006,0.017,1.6,15.023,19.612,1.5,15.457,0,2.039,46.369,100,0,0,9.72,27.4181,-11.2885,1280.96,80,278.3,28.4,12.5
1011G010,5,16.6,11.2,7.8,57.4,4.9,0.8,0.052,1.265,2.211,0.007,0.015,0.7,21.823,18.599,51.114,0,0,3.297,5.168,100.001,0,0,7.32229,25.2411,-14.5214,1185.75,320,31.5,26.7,73.4
1011G015,4,15.7,12.1,7.4,47.6,1.7,0.7,0.048,1.21,1.872,0.005,0.02,0.7,7.61,16.199,71.43,0,0,4.76,0,99.999,20.8179,4,7.59915,25.1813,-13.4661,1216.33,350.311,16.9,20.1,66.2
1011G020,3,15.4,11.6,7.3,96.8,2.6,0.7,0.047,1.247,2.114,0.005,0.011,0.9,0,14.184,85.584,0,0,0.232,0,100,3.0289,4,7.3781,25.1813,-14.1362,1190.74,339.91,6.7,20.9,56.1
1011G025,5,17.4,13.2,7.3,61.9,4.3,0.9,0.094,1.221,2.094,0.009,0.02,1,15.736,25.012,54.56,0,0,1.508,3.184,100,5.30089,7,8.15355,25.3631,-13.0461,1184.66,300,37.9,24.2,80.5
1011G030,5,16.4,12,7.6,61.3,3.1,0.9,0.065,1.252,2.363,0.007,0.024,0.9,48.639,35.765,10.028,0,0,2.493,3.075,100,0.096465,0,7.46045,25.3631,-14.0361,1182.01,300,7.9,14.9,42.2
1011G035,5,17.4,12.2,7.6,59.7,4.4,0.9,0.051,1.322,2.375,0.007,0.017,1.1,4.745,64.628,26.003,0,0,0.463,4.161,100,0,0,8.24919,25.4422,-13.2918,1186.82,280,57.5,27.3,78.2
1011G040,2,16.3,12.3,7.3,59.6,3.2,0.6,0.065,1.264,1.949,0.005,0.016,0.8,2.551,60.047,34.285,0,0,0,3.116,99.999,0,0,7.94377,25.4422,-13.6053,1194.45,280,3.6,16.5,44.9
1011G065,5,19.6,11.6,7.5,68.9,2,0.8,0.019,1.086,2.122,0.004,0.012,0.7,0.559,38.91,51.615,0,0,4.284,4.631,99.999,0,0,7.7251,25.8403,-13.7725,1177.27,240,63.6,30,32.3
1011G080,3,17.3,11.2,7.7,90,2.4,0.7,0.013,1.628,2.296,0.003,0.011,0.9,0,13.903,86.097,0,0,0,0,100,14.8451,8,8.03192,25.9357,-13.6114,1220.42,270.921,7.9,24.5,71.4
1011G085,6,19.5,11.2,8.1,68.3,3,1.1,0.046,1.003,2.008,0.008,0.018,1.2,8.423,31.872,53.698,0,0,1.589,4.418,100,11.2177,7,8.75979,26.2357,-12.5674,1180.18,203.181,47,26.1,66.5
1011G090,3,18.4,12.6,7.8,81.8,3.7,0.8,0.046,0.999,1.803,0.006,0.016,0.8,0,47.367,52.633,0,0,0,0,100,4.9788,5,8.35625,26.1598,-13.6154,1184.35,221.222,7.1,22.9,62.1
1012G048,6,18.6,12.8,7.9,71.9,2.3,0.8,0.026,1.504,2.169,0.007,0.014,1.1,6.001,16.137,73.323,0,0,0.698,3.84,99.999,2.86582,6,8.08513,26.0965,-13.904,1174.71,220.233,45.4,29.4,17.6
1012G051,7,19.4,12,8.1,77.3,4,0.9,0.037,1.191,2.032,0.009,0.021,1.2,29.245,38.124,16.525,0,0,9.067,7.04,100.001,0,0,8.90589,26.3581,-12.7888,1173.99,200,115.3,24.6,91.2
1012G060,4,19.9,6.6,8,76,0,1.3,0.084,1.034,2.409,0.012,0.022,1.8,0,30.63,69.254,0,0,0.116,0,100,0,0,8.39263,26.3792,-13.3397,1232.39,300,15,33.5,82.8
1012G063,3,20.8,6.1,7.2,563.5,6.2,2.6,0.043,3.802,4.908,0.063,0.118,2.7,1.194,42.465,56.34,0,0,0,0,99.999,0,0,9.54669,26.7494,-11.8493,1222.72,200,4.5,5,24.3
1012G069,7,13.3,11.5,7.5,66.1,2.4,1,0.024,1.079,2.005,0.008,0.024,1.1,12.561,47.153,20.72,0,0,0.797,18.769,100,0,0,9.82316,27.472,-11.5802,1271.51,80,204,26.5,71.3
1012G072,3,24.1,10.8,8.1,251.5,0,1.3,0.079,0.933,2.304,0.015,0.02,1.2,4.761,72.963,7.615,0,0,3.948,10.713,100,0,0,9.47933,27.4454,-12.2497,1270.16,80,25,64,14
1012G075,4,22.6,6.6,7.3,218.5,0,1.4,0.017,3.478,4.013,0.036,0.043,1,8.949,66.951,23.198,0,0,0.902,0,100,0,0,9.74728,27.4181,-11.2849,1278.96,80,5,10,14
1013G003,7,18,12.4,7.6,77,6.7,1.2,0.05,1.062,2.176,0.006,0.022,1.6,3.071,3.443,2.425,0.314,0,0.233,90.516,100.002,0,0,9.82547,27.4942,-11.1747,1279.64,80,843.8,26.6,12.5
1013G006,3,19.6,9.2,7.4,126.5,0,1.2,0.022,2.32,2.966,0.01,0.025,1.9,0.814,46.188,51.537,1.347,0,0.113,0,99.999,0,0,9.44339,27.4267,-12.1938,1284.43,80,5,20,24.3
