pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
7.8,12.5,6.7,485,4.7,9,10.1,9.198,0.154,8,730,3.972,0.024,42,34,6.433,16.4
7.8,12.4,7.5,434,6.6,14.1,19.1,7.597,0.195,10.5,8225,3.777,0.018,115.2,1183,7.281,37
7.8,10.4,12,454,6,12.5,12.2,8.271,0.194,9,22600,5.145,0.027,66.7,1783,8.799,33.9
8.3,9,15.3,374,6,12.9,29.8,6.569,0.358,9.1,78900,3.919,0.098,44.2,14434,18.457,84.7
7.6,8.1,20.6,349,4.8,10.3,13.3,5.09,0.197,7.7,63025,2.642,0.045,49.6,19518,16.081,78.8
7.9,6.5,24.4,325,6.4,13.5,14.3,4.433,0.2,9.2,19025,2.53,0.037,63.8,2370,14.614,158
7.7,5.7,26.1,257,4.1,10.2,14.9,4.12,0.163,9.3,54880,1.928,0.079,29.9,25288,34.56,242.2
7.6,7.6,28.1,273,4,10,19.7,3.918,0.181,8.6,54900,1.575,0.063,52.4,23030,51.418,64.8
7.4,7.8,24.5,243,3.8,7.1,8.8,3.411,0.129,4.9,51880,1.138,0.073,28.4,16658,42.173,165.8
7.8,10.2,19.6,291,3.9,6.5,10.3,4.156,0.063,5.2,3250,1.075,0.016,46.8,883,24.889,149.9
7.7,10.3,14.9,419,5,8.5,8.7,6.361,0.086,7.7,2155,2.714,0.053,52,300,19.908,22.8
7.7,13.1,9,480,6.1,10.5,14,7.155,0.116,8.5,14225,2.998,0.032,70.3,3168,12.57,31.6
