Flow,Temp,pH,DO,BOD,COD,SS,EC,TN,TP,TOC
0.108,9.8,7.5,12.6,0.8,4.3,1.3,255,5.856,0.046,2.5
0.123,6.8,7.4,13.5,0.8,4.3,0.3,270,7.776,0.043,2.7
0.042,4.6,7.3,12.2,1.2,4.1,25.1,290,7.545,0.069,2
0.045,6.6,7.8,13.1,1.5,4.4,3.3,301,7.841,0.045,2.3
0.046,11,7.8,12.4,1.6,5.3,11.6,282,7.591,0.049,3.1
0.126,15.2,7.7,12.1,1.3,5.4,7.4,234,6.432,0.058,3.7
0.059,19.7,7.7,10,2.6,7.1,34.3,232,2.535,0.107,4
0.009,22,7.2,8.8,1.3,4.6,8.3,276,1.555,0.047,3.2
0.008,24.2,7.2,7.7,0.9,3.9,4.2,282,0.672,0.038,2.7
2.39,21.8,7.4,8.2,1.4,10.9,7.5,171,4.767,0.113,7.8
0.117,20.9,7.4,7.5,1,4.8,7.5,286,3.794,0.052,3.1
0.857,16.2,7.6,10.2,1.5,5.6,10.9,237,4.998,0.092,3.8
0.291,10.1,7.6,11.2,1.6,4.5,1.7,235,5.286,0.039,2.9
0.164,4.1,7.3,12.1,1.3,4.3,1,237,6.48,0.037,2.7
0.088,4.3,7.6,13.6,1.7,5.1,3,344,8.895,0.04,3.4
0.052,3.5,7.5,13.1,1.1,4.2,2.5,291,7.173,0.037,2.6
0.083,8.1,7.6,12.7,0.9,5.1,2.4,289,7.217,0.039,2.8
0.155,14.2,7.7,11.2,1.6,5.9,8.2,214,3.779,0.076,3.4
0.066,19.3,7.5,9.3,1.3,5.7,3.4,250,2.213,0.054,3.4
0.005,22.7,7.6,9.1,1.6,4.5,1.4,267,0.88,0.044,2.8
0.144,23.2,7.5,8.7,1.3,5.2,2.5,259,2.065,0.045,3.3
0.03,24.5,7.6,7.8,1.8,5.2,4.1,277,0.754,0.049,2.7
0.017,23.4,7.5,7.2,1.1,4.4,2.4,281,0.499,0.053,2.4
0.064,19.3,7.6,8.9,1.7,5.4,5.4,300,1.804,0.057,3.4
0.111,15.2,7.6,10.5,2.3,6.3,8.4,318,3.109,0.061,4.4
0.049,6,7.6,14,1,4.4,3.5,329,2.51,0.02,2.8
0.012,1.7,7.4,14.3,1.1,4.2,12.7,347,3.281,0.013,2.7
0.148,4.7,7.9,15.3,1,5.9,2.3,307,4.467,0.029,3.6
0.224,12.7,8.5,13.9,2.1,6.9,4.3,282,5.355,0.028,4.5
0.152,20.2,9.2,11.5,3.1,8.6,4.5,267,3.062,0.038,6.1
0.137,18.9,8.5,10.6,2.4,7,5.9,274,1.126,0.035,4.6
0.519,21.9,8.2,9.7,2.5,7.7,7,266,2.906,0.098,5.1
0.9,24.9,7.9,8.7,2.5,8.4,8.1,257,4.686,0.16,5.5
0.519,24.4,8.1,9.3,1.7,6.7,5.2,279,3.566,0.095,4.4
0.138,23.9,8.3,9.9,0.8,5,2.3,300,2.445,0.029,3.2
0.347,19.8,8.4,11,1.2,5.4,9,264,3.23,0.05,3.1
0.061,15.3,8.9,13.7,0.5,3.7,0.9,328,3.885,0.013,2.1
0.06,9.6,8.4,14.6,0.7,3.4,1.3,345,4.735,0.007,1.6
0.053,3.5,7.4,15.3,4.9,9.8,10.8,633,7.601,0.193,9.1
0.059,4.5,7.6,12.3,8,12.3,11.5,629,10.262,0.216,9.7
0.661,9.2,7.9,12.1,5.9,10.7,42,406,4.655,0.217,7
0.39,17.1,8.1,10.7,3.8,8.4,19.1,341,2.596,0.109,6.9
0.181,22.3,8.1,8.8,6.7,9.6,30.9,350,3.009,0.167,7
0.118,25.1,8,10.1,6.2,11.3,29,390,2.989,0.198,6.7
1.277,26.3,7.9,8.4,4.9,9.5,29.1,340,3.141,0.19,7
2.421,27.2,7.6,7,4.1,11.8,44.5,243,2.527,0.279,8.1
0.999,23.6,7.5,8.2,3.2,9.1,69.7,272,2.23,0.128,6.2
0.073,16,7.6,8.4,1.2,6.2,4.2,382,0.911,0.045,5.6
0.074,8.9,7.7,12.2,2.4,6.8,8.7,427,2.315,0.12,6
0.087,2.6,8,12.4,3,7.3,13.1,481,3.517,0.149,5.9
0.07,2.3,7.8,14.7,6.7,8.7,23.2,608,5.856,0.157,7.6
0.202,4.3,7.7,14.5,2.8,6.5,8.9,422,3.91,0.088,5.5
0.251,11.6,7.9,13.1,4.7,9.3,34.5,416,3.445,0.144,6.3
0.207,14.7,8,11.2,6.4,9.4,31.8,411,2.555,0.17,6.1
1.01,23.2,8.2,10.3,5.3,10.1,41.2,355,2.153,0.156,7.2
0.335,25.2,8.1,10.2,2.6,8.9,34,336,1.893,0.119,6.7
0.73,28,8,8.8,2.7,9.4,32.5,257,1.954,0.165,6.2
0.299,30.7,7.9,10.4,1.8,8.2,20.6,283,1.299,0.135,6.7
0.218,24.9,7.9,10.5,1.7,7.5,19.2,322,0.895,0.09,5.9
0.354,18.4,7.8,9.9,1.3,6.9,18.9,399,1.547,0.108,5.2
0.095,9.2,7.7,14,2,6.4,9.8,476,1.289,0.077,4.8
0.095,5.6,7.3,13.3,2.1,6.7,6.6,436,2.121,0.078,5.1
0.023,2,7.6,14.2,2.7,6.8,6.9,552,3.442,0.217,5.4
0.034,5.3,7.8,13.4,3.7,7.4,7.9,523,2.245,0.204,5.2
0.034,12.1,7.8,12,4.1,9.9,24.5,474,3.48,0.265,7
0.059,18.9,8.2,12.1,4.1,9.2,33.3,379,2.434,0.146,6.9
0.132,24.4,8.8,12.3,3.8,10.3,27.7,367,1.591,0.106,7.4
0.375,25.3,8.2,11.9,2.6,9.2,22.3,389,1.778,0.105,6.7
0.282,28.9,8.1,11.9,3.3,9.1,19.9,346,2.023,0.188,6.4
19.756,22.3,7.1,7.9,2.9,17.5,292.3,184,2.963,0.27,9.5
0.415,24.9,7.8,11.2,2.1,8.9,12,285,1.221,0.088,6.7
0.701,18,7.8,11.2,1.3,8.5,16.4,287,1.384,0.093,6.4
0.526,11.3,7.9,14.7,2.6,7.9,15.8,357,1.919,0.092,5.8
0.266,7.1,8.3,14.4,5.1,9,8.4,394,2.239,0.081,5.8
0.05,3.2,7.8,14.5,3,6.8,6.1,524,2.484,0.117,5.3
0.024,2.7,7.7,13.4,3.2,7.2,3.8,528,2.613,0.134,5.8
0.035,8.5,7.9,12.1,3.2,8.1,11.6,466,2.085,0.136,5.4
0.4,16.3,8.5,13.9,3.6,9.1,17,347,1.791,0.084,5.6
0.274,23.6,8.5,13.6,3.1,8.8,13.3,378,1.32,0.095,6.8
0.07,26.6,8.2,11.1,2.7,9.1,10.4,417,1.826,0.168,7.1
0.975,25.1,7.9,9.8,3.2,10.3,15.1,318,2.255,0.199,7.5
1.623,24.9,8,7.6,3.6,10.5,60.5,305,1.301,0.138,7
0.259,23.5,8.1,12.1,1.2,7.4,4.7,322,0.915,0.066,4.6
0.27,17.7,8.1,12.3,1.5,7.7,4.2,386,0.609,0.043,5.4
0.201,13.6,8,11.5,1.7,7.9,4.8,422,1.698,0.061,5.6
0.158,8.5,7.9,14.8,1.8,6.6,5.4,472,1.318,0.039,4.7
0.047,2.3,7.4,13.7,1.9,6.5,6.5,584,1.632,0.091,4.6
0.111,4.9,7.7,14.1,2.3,7.6,4.1,493,2.429,0.065,5.6
0.082,11.4,7.8,10.8,2.5,7.9,7.2,440,2.147,0.071,5.6
0.202,18.2,8.1,12.1,2.9,8.5,6.9,362,2.096,0.051,6.3
0.332,21.4,7.8,8.6,4.2,9,14.1,363,1.952,0.057,6.6
0.297,25,7.6,8,3.3,9,8.8,405,2.087,0.084,6.5
0.644,27.1,7.5,6.5,4.8,10.2,10.4,326,2.71,0.203,7.4
0.334,30.2,7.6,5.5,1.7,6.8,5,344,1.754,0.078,4.7
0.547,24,7.4,7.3,2.2,9.1,8.7,337,2.577,0.104,6
4.164,19.1,7.5,7.7,3.1,9.5,43,312,2.67,0.14,5.9
0.055,12.6,7.8,11.2,4.3,8.6,15.2,488,2.797,0.052,5.5
0.045,6.4,8.2,15.5,6.4,9.8,13.6,409,3.252,0.075,7.1
0.666,6.3,7.4,10.8,2.3,7.6,4.4,1848,4.807,0.042,4.8
0.756,8.9,7.4,9,2.7,9,5.4,1607,6.98,0.055,6.3
0.761,11.9,7.6,9.8,1.5,6.5,5.9,1530,3.854,0.037,4.2
1.232,15.2,7.5,8.5,1.4,5.4,3.2,959,3.14,0.028,3.8
0.501,23.7,7.3,8,2.1,7.5,3.6,1630,4.288,0.036,5.2
0.743,25.3,7.7,9.2,2.4,7.3,9.6,1119,4.557,0.126,5.5
2.933,25.3,7.7,8.3,1.4,6.6,10.3,498,4.272,0.082,4.9
13.455,27.2,7.1,7.9,2.2,7.7,21,371,2.713,0.154,5.3
3.379,23.8,7.4,9.7,1.5,5.2,7.2,403,3.797,0.095,4
1.11,18.7,7.5,9,4,7.7,12.9,1248,8.579,0.164,4.1
0.78,12,7.4,11.9,0.9,5.5,4.5,1226,7.309,0.075,3.7
0.771,7.2,7.8,12.7,1,5.5,3.2,1432,11.112,0.069,3.5
0.738,5.2,7.9,12.6,1.4,6.4,4.4,1427,9.166,0.187,3.6
1.167,6.9,7.9,12.7,1.4,5.7,5.8,968,9.331,0.19,3.3
1.789,11.8,7.9,11.8,2,6.7,9.7,974,7.344,0.139,3.7
2.451,14,7.9,11.3,1.7,6.3,7.6,706,4.691,0.083,3.7
0.666,23.6,7.9,10.5,1.7,6.7,6,1095,4.312,0.078,4.3
1.093,26,7.8,8.9,1.8,7.3,7.8,941,2.89,0.129,5
2.335,27.2,7.5,8.4,1.9,6.6,12.9,593,3.125,0.1,4.5
0.88,29.3,7.5,8.3,2.3,6.9,6.7,793,2.925,0.126,4.9
0.862,25.2,7.6,8.6,1.2,5.5,8.7,996,2.509,0.104,3.9
1.024,19.4,7.6,9.7,1.1,4.8,6.8,967,2.909,0.105,3.2
0.74,12.5,7.6,10.7,1.7,5.6,7.4,1286,3.477,0.109,3.6
0.632,9.2,7.6,11.5,1,5.4,4.5,1259,3.348,0.125,3.2
0.539,5.9,7.7,13.9,1.2,6.4,4.1,1621,8.157,0.173,3.5
0.523,9.3,7.6,12.4,1.7,7.1,7.7,1662,6.761,0.166,3.4
0.766,12.9,7.7,11.7,1.3,6.4,9.9,1441,4.575,0.155,3.8
1.099,16.8,7.9,11.3,1.2,5.9,5.7,970,3.367,0.094,3.9
0.69,21.9,7.6,9.1,2.8,7.3,7.5,1427,2.508,0.107,4.4
0.718,24.4,7.7,9.4,3.3,8.3,8.6,1456,3.622,0.123,4.9
0.854,27.1,7.8,9.1,5,8.8,13.8,1066,2.635,0.094,5.2
18.952,22,7.5,9.2,1.3,9.6,17.3,244,2.847,0.094,6.6
1.243,24.1,7.8,8.9,1.5,6.2,4.2,1039,4.42,0.102,4.4
1.805,18.1,7.9,8.7,1.1,6.1,5.6,1024,5.062,0.132,4
1.168,12.9,7.8,9.8,1,5.2,3.6,1003,4.688,0.043,3.4
1.509,6,7.3,11.8,1.4,5.5,8.5,713,4.578,0.062,3.6
0.928,7,7.4,12.7,2.3,6.4,4.9,1383,4.506,0.071,4.1
0.8,5.8,7.4,12.6,1.2,5.9,3.6,1148,4.73,0.077,3.7
0.964,9.5,7.5,11.1,1.4,6.4,6.3,1087,3.723,0.074,3.9
1.695,16.6,7.6,10.5,2.1,6.8,10.5,761,2.914,0.126,3.9
1.134,22.2,7.6,9.8,1.9,7,9.9,1280,3.238,0.099,4.6
0.651,25.9,7.7,9.3,2,7.6,6.9,1476,3.179,0.189,5.6
2.2,25,7.5,8.5,1.2,7.4,8.6,963,2.79,0.049,4.8
0.889,26.8,7.8,8.3,1.8,6.5,4.9,1142,1.926,0.047,3.8
0.994,24.4,7.7,9.3,1.1,6.2,6.6,1316,2.651,0.062,3.6
0.677,19.5,7.9,9.7,1.9,6.4,4,1728,2.8,0.038,4.2
1.229,15.3,7.9,9.7,1.5,6.1,6.6,1286,3.559,0.086,4
0.689,9.4,7.9,11.6,0.6,5.5,6.6,1359,3.8,0.143,3.4
0.408,4.7,7.6,12.4,1,8.1,3.8,2008,6.216,0.083,5
0.687,7.3,7.6,12.6,1.6,6.9,8.2,1508,4.524,0.105,4.8
0.868,13.5,7.5,10.1,2.3,6.9,9.9,1214,4.315,0.073,4.9
1.237,17.7,7.6,9.4,2.1,6.9,10.3,975,2.673,0.031,5.4
2.167,20.5,7.4,7.6,3.7,8.1,14.5,1053,4.234,0.055,6.1
0.742,25.7,7.5,6.9,3.4,8.3,6.3,1425,3.453,0.067,6.3
2.245,25.3,7.3,7.4,2.9,7.2,12.6,697,3.895,0.106,5.3
0.467,28.2,7.8,7.1,1.9,7.8,2.6,1805,4.187,0.042,4.8
1.961,23.1,7.5,6.9,1.4,7.8,5.9,805,3.683,0.057,5.1
10.425,17.7,7.4,8.1,2.1,7.8,22.6,609,3.472,0.07,4.6
0.771,14.9,7.2,8.4,0.7,7.3,2.7,1864,5.215,0.025,4.4
0.807,9.6,7.3,10.5,1.5,7.3,2.2,2023,5.5,0.046,5.2
0.503,5.7,8.1,12.5,1.8,5.4,20.6,414,3.781,0.064,3.3
2.413,8.2,7.6,12,3.2,6.6,26,474,3.286,0.07,4.7
0.946,12.5,8,12.6,6.1,9.7,35.3,503,3.052,0.089,6.6
1.68,18.7,8.2,9.9,5.3,8.4,27.1,373,3.408,0.096,3.7
0.248,21.9,8.4,9.8,7.4,12.7,49.4,520,2.956,0.141,8.4
1.946,24.1,7.4,8.3,6.3,12.2,33.9,447,3.002,0.141,8.2
16.732,25.6,7.4,7.3,4.1,8.7,56.7,310,2.955,0.162,6.4
4.382,28.2,7.7,6.7,4.7,9.9,32.6,464,2.528,0.238,7.3
10.441,23.1,7.2,6.7,2,5.9,35.8,285,2.627,0.142,3.9
1.021,17.3,7.2,7.8,3.5,6.5,34.5,440,3.064,0.122,3.9
0.794,9.7,7.3,9.7,4.4,6.9,29.3,457,3.849,0.183,5
0.377,4.4,7.2,13,4,6.3,26.2,549,4.359,0.134,4.5
0.458,2.7,7.5,12.6,8.5,6.6,21,566,6.358,0.15,6.4
2.068,5.7,7.3,11.1,5.8,6.7,47.8,401,5.312,0.162,4.8
6.382,12.2,7.5,10.1,5.9,8.9,39.3,334,5.205,0.223,4.8
0.773,14.2,7.5,9.6,6.4,7.4,46.4,347,4.012,0.198,4.6
7.268,22.3,7.8,10.4,7.2,11.4,67.2,357,3.731,0.212,6.6
0.387,25,7.3,7,4.7,10.5,29,424,3.178,0.148,7.4
3.089,27.9,7.3,6.9,3.2,8.6,26.6,366,2.506,0.149,5.6
0.078,29.2,7.3,6.1,2.7,9.5,23.5,442,1.725,0.145,6.6
0,26.1,7.3,7.3,3,8.5,29.5,462,1.967,0.145,6.2
0.206,18.3,7,7.1,2.4,6.8,31.5,463,2.454,0.122,4.4
1.734,12,7.7,10.4,5.2,8.7,34.4,441,4.153,0.193,6
0.201,5.8,7.4,10.1,4.1,6.9,27.9,630,4.645,0.158,5.1
0.368,4,7.5,12.8,2.9,7,23.7,641,5.431,0.137,4.5
0,6.8,7.8,11.5,4.2,7.6,26.4,623,4.77,0.136,4.7
0.26,12.2,7.7,11.2,5.3,9,29.7,534,4.95,0.134,5.9
1.034,17.4,7.9,11,4.6,8.7,35,437,4.081,0.159,5.7
1.866,23.8,7.8,10.7,6.6,13.4,33.1,419,3.937,0.164,7.6
0.048,25.4,7.5,8.5,6.6,16.1,23.3,559,3.186,0.149,10.2
0.901,25.7,7.3,6.4,3.4,11.1,23.4,418,2.821,0.155,8.5
34.573,22,7.2,6.7,2.7,12.5,242.1,180,3.872,0.311,4.9
0.74,23.8,7.5,8.1,3.9,7.5,33.3,340,2.887,0.139,4.9
2.032,18.1,7.5,7.8,3,7.1,42,346,3.209,0.16,4.4
2.309,12.3,7.6,10.2,4.3,7.2,43.2,355,3.227,0.158,4.4
0.863,7.8,7.7,11.6,2.2,5.6,33.2,407,3.637,0.128,3.6
0.314,5.4,7.8,11.8,3.3,6.2,32.3,470,4.185,0.133,4.4
0.694,4.4,7.8,12.7,2.6,6.6,24.2,466,3.891,0.132,4.5
1.002,11.1,8,10.3,4.1,7.4,39.2,413,3.89,0.151,4.4
3.451,15.3,7.8,8.6,4,7.6,52.1,317,3.88,0.143,4.2
1.661,21.4,7.8,8.3,5.2,9.4,33.6,339,3.027,0.176,6.2
0.718,24.9,8.2,8.3,6.1,13.6,21.6,519,2.56,0.18,10.9
16.87,24,7.8,6.5,4,10.4,74.9,361,2.693,0.109,7.9
2.18,25.7,7.8,5.8,6.4,12,46.2,398,2.877,0.211,8.9
1.594,23.7,7.6,6.1,3.6,9,34.3,375,3.219,0.203,5.3
0.595,19.1,7.8,7.5,2.1,6.5,30.2,415,2.363,0.07,4
1.307,14.4,7.7,8,3.4,7.7,48.3,410,3.272,0.088,5.3
0.634,9.3,7.7,10.7,3.1,7.7,22.8,487,4.096,0.069,5
0.276,4.8,8.1,12.7,3.1,6.4,22.9,561,3.965,0.07,4.8
1.115,5.9,7.7,11.2,4.7,8,44.1,379,4.924,0.098,6.1
1.402,13,7.7,10.8,4,7.3,38.1,360,4.31,0.083,5.1
2.892,17.6,7.5,8.7,4.9,7.7,53,304,4,0.09,5.2
1.146,22.7,8.3,9.7,3.7,8.4,47.3,394,3.272,0.077,5.3
0.94,26,8,7.2,4.8,12.4,60.7,437,3.434,0.093,10.6
1.131,28.1,8,7.3,3.8,8.6,43.1,330,3.091,0.114,5.8
0.298,32.4,8.6,8.6,3.1,10.6,44,494,1.748,0.132,7.7
22.162,23.8,7.5,6.7,1.7,6.6,31.1,282,3.728,0.108,4.2
4.826,19.9,7.3,7.2,2,6.1,49,292,3.599,0.093,3.9
0.317,13.9,7.8,10,2.8,6.1,22.5,389,3.309,0.056,3.2
0.229,7.3,7.8,12.5,2.2,6,19.7,440,3.24,0.065,3.5
0.527,2.9,7.8,14.6,0.6,2.3,1.7,260,2.862,0.023,1.3
0.527,2.9,7.8,14.6,0.6,2.3,1.7,260,2.862,0.023,1.3
0.546,2.9,7.5,15.2,1,2.7,2.5,264,2.673,0.022,1.8
0.546,2.9,7.5,15.2,1,2.7,2.5,264,2.673,0.022,1.8
0.61,9.2,8.1,14.3,1.8,4.3,2.9,255,2.433,0.031,2.5
0.61,9.2,8.1,14.3,1.8,4.3,2.9,255,2.433,0.031,2.5
5.189,13.9,7.7,12.1,2.4,4.8,32.2,143,3.303,0.083,2.8
5.189,13.9,7.7,12.1,2.4,4.8,32.2,143,3.303,0.083,2.8
2.553,20.2,7.7,10.7,2.1,5.4,25.2,187,2.321,0.099,3.6
2.553,20.2,7.7,10.7,2.1,5.4,25.2,187,2.321,0.099,3.6
1.405,23.4,7.8,9.9,1.8,5.8,16.5,210,1.842,0.09,4.3
1.405,23.4,7.8,9.9,1.8,5.8,16.5,210,1.842,0.09,4.3
6.642,23.6,7.7,8.8,1.4,4.8,21.3,188,2.102,0.073,2.8
6.642,23.6,7.7,8.8,1.4,4.8,21.3,188,2.102,0.073,2.8
10.439,24.1,7.6,8.4,1.1,4.9,17,163,2.173,0.111,3.1
10.439,24.1,7.6,8.4,1.1,4.9,17,163,2.173,0.111,3.1
14.957,23.9,7.5,8.9,1,3.6,6.6,153,2.074,0.034,2.1
14.957,23.9,7.5,8.9,1,3.6,6.6,153,2.074,0.034,2.1
1.124,16.6,7.7,13.6,1.4,3.1,1.5,258,2.184,0.021,2.4
1.124,16.6,7.7,13.6,1.4,3.1,1.5,258,2.184,0.021,2.4
2.119,8.2,7.5,12.6,0.9,3.4,4.4,230,2.268,0.037,2.6
2.119,8.2,7.5,12.6,0.9,3.4,4.4,230,2.268,0.037,2.6
1.772,2.1,7.3,13.5,0.4,2.7,2.5,222,2.551,0.024,1.5
1.772,2.1,7.3,13.5,0.4,2.7,2.5,222,2.551,0.024,1.5
0.994,1.3,7.1,13.8,0.6,2.2,0.9,237,2.984,0.023,1.2
0.994,1.3,7.1,13.8,0.6,2.2,0.9,237,2.984,0.023,1.2
4.532,4.3,7.1,14.2,0.8,2.8,2.4,152,2.765,0.02,1.5
4.532,4.3,7.1,14.2,0.8,2.8,2.4,152,2.765,0.02,1.5
2.752,9.5,7.5,14.3,2.6,6,14.2,189,2.266,0.057,3.1
2.752,9.5,7.5,14.3,2.6,6,14.2,189,2.266,0.057,3.1
2.727,11.6,7.9,12.6,1.2,3.3,3.6,151,2.074,0.021,1.8
2.727,11.6,7.9,12.6,1.2,3.3,3.6,151,2.074,0.021,1.8
7.631,19.2,7.9,10.7,2.5,6.8,20.2,174,2.336,0.11,3.5
7.631,19.2,7.9,10.7,2.5,6.8,20.2,174,2.336,0.11,3.5
2.829,23.6,7.7,9.2,1.6,5,19.5,173,1.827,0.07,2.7
2.829,23.6,7.7,9.2,1.6,5,19.5,173,1.827,0.07,2.7
7.016,23.4,7.1,8.9,1.2,4.2,13.1,149,1.87,0.06,2.4
7.016,23.4,7.1,8.9,1.2,4.2,13.1,149,1.87,0.06,2.4
1.761,28.8,8.3,10.9,1.2,4.4,7.4,196,1.24,0.068,2.5
1.761,28.8,8.3,10.9,1.2,4.4,7.4,196,1.24,0.068,2.5
1.934,24.2,8,10,1,3.3,6.1,191,1.547,0.054,2.2
1.934,24.2,8,10,1,3.3,6.1,191,1.547,0.054,2.2
3.293,17.1,7.9,11.6,2.4,5.3,38.1,223,2.327,0.147,3.6
3.293,17.1,7.9,11.6,2.4,5.3,38.1,223,2.327,0.147,3.6
1.399,9.8,7.9,12.9,2.4,6,18.2,244,2.655,0.108,3.8
1.399,9.8,7.9,12.9,2.4,6,18.2,244,2.655,0.108,3.8
0.777,6.2,8,13.6,0.7,2.9,1,253,2.822,0.03,1.6
0.777,6.2,8,13.6,0.7,2.9,1,253,2.822,0.03,1.6
0.612,1.7,7.6,15.5,0.5,2.8,1.9,228,3.718,0.029,1.4
0.612,1.7,7.6,15.5,0.5,2.8,1.9,228,3.718,0.029,1.4
0.489,4.7,7.4,13.6,0.8,3.4,1.4,239,2.995,0.036,1.7
0.489,4.7,7.4,13.6,0.8,3.4,1.4,239,2.995,0.036,1.7
0.512,10.8,7.8,14,1.2,3.6,2.5,241,2.618,0.04,2
0.512,10.8,7.8,14,1.2,3.6,2.5,241,2.618,0.04,2
0.697,17.5,8.2,13.8,1.5,4.4,6.2,211,2.138,0.04,2.5
0.697,17.5,8.2,13.8,1.5,4.4,6.2,211,2.138,0.04,2.5
1.834,21.5,7.6,10.4,2.3,6.8,29.9,198,2.054,0.109,4
1.834,21.5,7.6,10.4,2.3,6.8,29.9,198,2.054,0.109,4
3.685,23.5,7.4,8.7,2.3,6.8,32.2,200,1.753,0.116,4.5
3.685,23.5,7.4,8.7,2.3,6.8,32.2,200,1.753,0.116,4.5
0.511,29.4,7.8,11,1.2,4.6,8,246,0.842,0.074,2.9
0.511,29.4,7.8,11,1.2,4.6,8,246,0.842,0.074,2.9
8.307,23.1,7.6,8.7,2.9,9.2,67.4,204,2.509,0.22,3.9
8.307,23.1,7.6,8.7,2.9,9.2,67.4,204,2.509,0.22,3.9
1.209,22.7,7.4,11.3,1.1,3.7,3.1,235,1.421,0.055,2.3
1.209,22.7,7.4,11.3,1.1,3.7,3.1,235,1.421,0.055,2.3
0.988,16.4,8.1,11.8,1,3,2.2,255,1.922,0.036,1.9
0.988,16.4,8.1,11.8,1,3,2.2,255,1.922,0.036,1.9
2.141,10.3,8,12.6,1.6,4.4,3.1,224,2.417,0.044,2.6
2.141,10.3,8,12.6,1.6,4.4,3.1,224,2.417,0.044,2.6
1.146,5.6,8,14,1.5,3.9,2.5,257,2.493,0.036,2.5
1.146,5.6,8,14,1.5,3.9,2.5,257,2.493,0.036,2.5
0.586,3.5,7.5,15.3,1,2.8,0.8,226,2.829,0.017,1.6
0.586,3.5,7.5,15.3,1,2.8,0.8,226,2.829,0.017,1.6
0.561,4.3,7.6,15.3,0.7,2.8,0.8,244,2.641,0.016,1.7
0.561,4.3,7.6,15.3,0.7,2.8,0.8,244,2.641,0.016,1.7
1.708,8.7,7.7,13.5,1.5,3.7,3.5,200,2.622,0.023,1.8
1.708,8.7,7.7,13.5,1.5,3.7,3.5,200,2.622,0.023,1.8
2.658,13.9,7.8,13,1.3,4.2,4.7,163,1.878,0.022,2.1
2.658,13.9,7.8,13,1.3,4.2,4.7,163,1.878,0.022,2.1
1.246,19.9,7.8,10.8,1.7,6,13,193,1.748,0.066,3.7
1.246,19.9,7.8,10.8,1.7,6,13,193,1.748,0.066,3.7
1.023,24.5,8.1,9.7,2.3,6.9,14.8,201,1.414,0.09,4.8
1.023,24.5,8.1,9.7,2.3,6.9,14.8,201,1.414,0.09,4.8
1.13,23.8,7.8,8.8,1.5,5,8.5,223,1.082,0.06,3.2
1.13,23.8,7.8,8.8,1.5,5,8.5,223,1.082,0.06,3.2
0.919,25.2,7.7,10,2.2,5.2,7.2,230,0.597,0.057,3
0.919,25.2,7.7,10,2.2,5.2,7.2,230,0.597,0.057,3
0.341,24.1,8.1,10.2,0.8,3.9,3.1,264,0.654,0.037,2
0.341,24.1,8.1,10.2,0.8,3.9,3.1,264,0.654,0.037,2
0.385,17.5,8.3,11.5,1.4,3.9,2.9,274,0.601,0.026,2
0.385,17.5,8.3,11.5,1.4,3.9,2.9,274,0.601,0.026,2
0.665,12.3,7.9,12.6,0.9,4,2.6,277,1.253,0.025,2.3
0.665,12.3,7.9,12.6,0.9,4,2.6,277,1.253,0.025,2.3
0.595,7,8,14.6,0.8,3.1,0.7,264,1.963,0.013,1.4
0.595,7,8,14.6,0.8,3.1,0.7,264,1.963,0.013,1.4
0.278,1.9,8.1,17.1,0.7,2.8,1.2,293,2.217,0.011,1.6
0.278,1.9,8.1,17.1,0.7,2.8,1.2,293,2.217,0.011,1.6
0.411,3,7.7,15.8,0.7,3.8,1.8,271,2.309,0.014,2
0.411,3,7.7,15.8,0.7,3.8,1.8,271,2.309,0.014,2
0.856,11,8,13.3,1.4,3.8,2.6,238,2.297,0.018,2.2
0.856,11,8,13.3,1.4,3.8,2.6,238,2.297,0.018,2.2
2.187,15.7,8.2,11.3,1.5,4.6,5,212,1.871,0.02,2.6
2.187,15.7,8.2,11.3,1.5,4.6,5,212,1.871,0.02,2.6
1.747,19.5,7.8,9.6,2,6.3,15.9,225,2.064,0.051,4.1
1.747,19.5,7.8,9.6,2,6.3,15.9,225,2.064,0.051,4.1
0.396,26.1,7.8,8.7,1.7,6.2,6.3,281,1.048,0.053,4.4
0.396,26.1,7.8,8.7,1.7,6.2,6.3,281,1.048,0.053,4.4
24.692,22.9,7.1,8.2,1.3,5.5,12.9,151,2.723,0.057,3.7
24.692,22.9,7.1,8.2,1.3,5.5,12.9,151,2.723,0.057,3.7
0.697,30.4,8.1,7.8,1.5,5,3.4,249,1.217,0.068,3.5
0.697,30.4,8.1,7.8,1.5,5,3.4,249,1.217,0.068,3.5
1.776,23.2,7.2,8.5,0.7,4.6,3.4,239,1.439,0.048,3.1
1.776,23.2,7.2,8.5,0.7,4.6,3.4,239,1.439,0.048,3.1
1.155,18.6,8.1,9.5,0.6,3.2,2.1,252,1.628,0.029,1.9
1.155,18.6,8.1,9.5,0.6,3.2,2.1,252,1.628,0.029,1.9
0.575,12.1,8.3,12.3,0.5,2.8,0.9,272,1.674,0.017,1.7
0.575,12.1,8.3,12.3,0.5,2.8,0.9,272,1.674,0.017,1.7
0.45,6.7,8.1,14.6,0.6,2.9,1.2,287,1.988,0.013,1.7
0.45,6.7,8.1,14.6,0.6,2.9,1.2,287,1.988,0.013,1.7
16.76,3.7,7.8,13.6,2.2,8.1,7.1,897,8.804,0.621,5.8
11.959,6.3,8.3,15.3,5.3,11.3,14.3,1031,9.402,0.572,7.9
31.907,9.9,8.1,12.8,4.6,9.4,15.4,749,7.763,0.381,6.3
