Year, Month, Date,Spot,Time,BOD,COD,TN,TP,TOC,NH3N,NO3N,PO4P,SS,pH,DO,EC,Chla,WT,WL,WS,RF,TI,TD
2016,5,2016.05.30,±¤»ê,147,4.9,8.2,4.081,0.124,6.5,1.927,1.361,0.074,6.6,7.1,6.2,330,50.3,23.3,7.55,9.066,0,21.948,22.445
2016,6,2016.06.07,±¤»ê,154,3.8,7.3,4.041,0.133,7.2,1.409,1.561,0.065,6.8,6.4,5.9,288,22.7,22.4,7.59,9.152,1.3618,29.418,29.169
2016,6,2016.06.13,±¤»ê,160,5.4,7.3,4.522,0.147,6.9,1.644,1.947,0.052,7.1,7.2,10.1,316,73.7,24.6,7.55,9.066,0,19.946,20.195
2016,6,2016.06.20,±¤»ê,167,3.4,8.7,4.097,0.126,6.8,1.453,1.774,0.049,7.6,7,7.5,309,57.5,25.4,7.61,9.195,15.5369,31.927,30.435
2016,6,2016.06.27,±¤»ê,174,3.3,7.7,3.431,0.179,7.2,0.952,1.555,0.105,6.6,6.9,5.1,238,15.5,24.6,7.52,9.009,0.0023,17.418,17.857
2016,7,2016.07.05,±¤»ê,182,3.4,6.6,2.79,0.176,5.7,0.498,1.701,0.076,16.1,6.6,6.7,152,2.3,23.1,7.76,9.517,28.6902,155.828,152.097
2016,7,2016.07.11,±¤»ê,188,3.9,7.7,3.116,0.195,6.1,0.881,1.483,0.082,11.5,7.3,5.5,216,59.5,27.2,7.62,9.216,7.1506,44.651,45.397
2016,7,2016.07.18,±¤»ê,195,4,5.9,3.496,0.144,6,1.536,1.313,0.104,8.1,6.5,5.3,243,39.4,25.5,7.56,9.087,0,25.646,26.392
2016,7,2016.07.25,±¤»ê,202,4.2,7.5,3.704,0.15,7,1.374,1.65,0.077,6.9,7.2,8.5,308,45.5,29,7.47,8.931,0,14.194,15.091
2016,8,2016.08.01,±¤»ê,209,4.7,8.3,4.616,0.147,7.4,2.216,1.895,0.082,7.9,6.7,2.6,380,39.7,30.1,7.53,9.028,0,15.895,16.334
2016,8,2016.08.08,±¤»ê,216,5.4,8.4,3.714,0.177,6.9,1.642,1.197,0.121,11.8,7.1,3.4,293,90.1,29.1,7.61,9.195,4.3891,35.764,35.515
2016,8,2016.08.16,±¤»ê,224,4.1,9,3.728,0.219,7.1,1.557,1.295,0.13,8.2,6.9,4.1,312,69.5,30.1,7.56,9.087,0,21.373,21.124
2016,8,2016.08.22,±¤»ê,230,4.4,9.9,3.535,0.193,8.4,1.231,1.1,0.106,10.3,6.6,5.8,330,53,30.2,7.54,9.047,0,15.77,15.331
2016,8,2016.08.29,±¤»ê,237,3.8,7.5,3.634,0.286,6.8,1.697,1.046,0.144,10.3,6.8,5.5,271,52.8,25.4,7.55,9.066,0,24.119,23.899
2016,9,2016.09.05,±¤»ê,244,5.3,6.8,3.972,0.13,6.4,1.356,2.105,0.041,11.8,7.6,5.9,338,90.4,25.2,7.6,9.173,0.4965,53.875,52.192
2016,9,2016.09.12,±¤»ê,251,4.7,7.5,3.884,0.135,5.5,1.691,1.729,0.078,9,6.3,5,314,31.9,25.3,7.52,9.009,2.7414,28.183,28.403
2016,9,2016.09.20,±¤»ê,259,1.8,7.3,2.605,0.183,5.2,0.499,1.726,0.129,8.9,6.6,6.8,173,3.4,21.8,7.58,9.13,0.0069,48.09,48.836
2016,9,2016.09.26,±¤»ê,265,4.6,6.4,3.991,0.158,5.6,0.759,2.387,0.06,6.7,7.6,9.4,280,72.2,23.5,7.52,9.009,1.1574,20.374,20.154
2016,10,2016.10.04,±¤»ê,273,2.8,6.2,3.32,0.27,5,1.168,1.159,0.189,8.2,6.5,4,245,10.5,22.9,7.22,8.602,2.4728,49.527,56.888
2016,10,2016.10.10,±¤»ê,279,2.3,5.9,2.633,0.124,4.6,0.509,1.639,0.104,13.5,6.7,7.2,178,6.6,17.9,7.58,9.13,0,41.046,39.861
2016,10,2016.10.18,±¤»ê,287,3.3,6.3,2.735,0.237,4.9,0.503,1.264,0.15,18.8,6.5,9.7,175,4.1,18.1,7.61,9.195,0,52.443,50.511
2016,10,2016.10.24,±¤»ê,293,3.6,5.2,3.925,0.137,3.8,1.047,2.321,0.061,6.7,6.4,7.3,282,12.3,19,7.5,8.971,0.379,23.546,23.766
2016,11,2016.11.01,±¤»ê,301,2.3,5.2,4.183,0.156,4.4,1.343,2.368,0.119,8.1,7.5,6.7,300,8.9,14.6,7.49,8.958,0,20.039,20.411
2016,11,2016.11.07,±¤»ê,307,3.5,5.8,5.935,0.14,4.3,1.584,3.456,0.077,4.8,6.6,9.8,352,34.4,14,7.52,9.009,0.3153,16.34,16.12
2016,11,2016.11.14,±¤»ê,314,3.8,6.2,5.372,0.284,5.4,1.569,3.36,0.06,8.4,6.8,11.6,382,62.8,13.6,7.49,8.958,1.2256,16.538,16.91
2016,11,2016.11.21,±¤»ê,321,4.7,7.9,6.583,0.132,6.3,2.093,3.095,0.039,9,7.2,11.2,405,65.9,14.3,7.51,8.99,0,14.301,14.301
2016,11,2016.11.28,±¤»ê,328,4.9,7.7,5.946,0.101,6.4,1.294,3.817,0.01,13,7,14.6,418,69.2,9.6,7.52,9.009,0,13.582,13.362
2016,12,2016.12.05,±¤»ê,335,3.7,6.9,6.528,0.153,5.6,2.339,3.224,0.064,7.7,6.8,9.1,433,34.1,9,7.51,8.99,0,12.746,12.966
2016,12,2016.12.12,±¤»ê,342,4.3,7.4,6.785,0.085,6.2,1.877,3.733,0,9.8,6.9,13.2,476,63.5,8,7.52,9.009,0.9163,12.632,12.193
2016,12,2016.12.19,±¤»ê,349,3.9,7.1,6.895,0.09,5.9,1.651,3.933,0.006,7.5,7.1,11.8,422,40.3,7.4,7.49,8.958,6.614,17.879,18.251
2016,12,2016.12.26,±¤»ê,356,4.5,7.6,4.181,0.16,6.5,1.086,2.019,0.02,14.8,7,9.6,380,48.2,8.8,7.51,8.99,11.3031,22.365,22.585
2017,1,2017.01.02,±¤»ê,363,3.3,6.5,5.9,0.142,5.8,1.744,2.76,0.057,5,7.4,11.1,420,26.4,6.2,7.49,8.958,0,15.136,15.289
2017,1,2017.01.09,±¤»ê,370,3.1,6.7,6.049,0.096,5.1,1.669,3.461,0.012,6.9,6.6,12.7,417,43.8,8.3,7.52,9.009,0.3287,12.93,10.965
2017,1,2017.01.16,±¤»ê,377,4.3,7.9,5.963,0.106,5.6,1.416,3.415,0,14.4,6.8,14.6,404,45.9,5.3,7.5,8.971,0,12.344,12.344
2017,1,2017.01.24,±¤»ê,385,4.8,7.7,6.268,0.115,6.1,1.693,3.546,0.005,9.6,7.7,14.7,426,56.5,5.1,7.5,8.971,0.1308,11.493,11.493
2017,1,2017.01.31,±¤»ê,392,4.3,7,8.056,0.109,5.9,2.937,4.099,0.019,8.9,6.5,12.4,495,41.8,5.7,7.5,8.971,0,11.625,11.845
2017,2,2017.02.06,±¤»ê,398,4.9,8.8,9.113,0.217,7.2,4.349,3.469,0.043,9.8,7.7,11.5,464,31.4,6.3,7.51,8.99,0.1025,10.693,10.473
2017,2,2017.02.13,±¤»ê,405,5.9,9.2,8.256,0.113,8.4,3.867,3.088,0.024,14.2,7.6,14.6,485,99,6.1,7.45,8.905,0,12.329,13.312
2017,2,2017.02.20,±¤»ê,412,6.3,9.8,8.713,0.162,8.7,4.496,2.976,0.007,18.8,6.3,15.3,538,73.1,8.3,7.24,8.628,0.7854,19.632,23.599
2017,2,2017.02.27,±¤»ê,419,5,8.5,4.608,0.122,6.7,1.336,2.332,0.004,16,7.1,13.7,404,73.7,7.4,6.57,7.699,0,9.803,16.895
2017,3,2017.03.06,±¤»ê,426,6.4,11.9,7.454,0.146,8.1,3.404,2.617,0.023,15.8,7.7,13.6,374,77.6,9.9,7.29,8.694,0,7.317,0.748
2017,3,2017.03.13,±¤»ê,433,6,11.4,7.831,0.092,8.3,3.84,2.639,0.004,11,7.8,16,438,53.1,10.2,7.32,8.734,0,12.894,15.86
2017,3,2017.03.20,±¤»ê,440,6.7,12.6,9.845,0.143,9,5.182,2.757,0.003,17.9,6.8,14,463,96.8,11.9,5.49,6.103,6.325,5.35,5.35
2017,3,2017.03.27,±¤»ê,447,7.9,13.7,7.939,0.103,9.7,4.229,2.497,0.04,19.4,7.7,15.6,437,177.9,12.4,7.18,8.549,2.0909,7.002,0.297
2017,4,2017.04.03,±¤»ê,454,7.6,12.6,8.061,0.115,9.7,4.254,2.433,0.003,12.8,7.5,15.4,427,60.3,13.5,7.5,8.971,0,8.599,8.599
2017,4,2017.04.10,±¤»ê,461,6.8,11,4.446,0.184,8.3,1.903,1.428,0.07,9.9,6.5,9.1,324,29,17,7.51,8.99,0.2963,17.431,17.651
2017,4,2017.04.17,±¤»ê,468,6.9,11.4,5.406,0.134,8.1,2.65,1.732,0.042,8.6,6.4,9.9,370,27.3,18,7.44,8.892,13.8729,16.608,16.455
2017,4,2017.04.24,±¤»ê,475,7.7,11.7,6.695,0.203,8.6,3.385,1.868,0.059,8.4,6.8,7.5,354,20.3,17.7,7.48,8.945,0,10.549,10.854
2017,5,2017.05.08,±¤»ê,489,7.4,12.1,7.545,0.113,8.2,3.431,2.625,0.008,7.4,7.1,7.3,452,35.1,20.7,7.48,8.945,0,8.843,8.996
2017,5,2017.05.15,±¤»ê,496,7.1,11.8,7.208,0.224,8.3,4.001,1.769,0.123,7.3,7.1,7.2,439,27.6,20.5,7.48,8.945,0,8.635,8.635
2017,5,2017.05.22,±¤»ê,503,4.1,13.1,8.187,0.1,9.2,3.802,2.616,0.014,14.9,7.5,9,448,38.4,22.1,7.47,8.931,0,11.321,11.626
2017,5,2017.05.29,±¤»ê,510,4.9,13.2,6.821,0.095,10.1,3.19,2.057,0.008,14.3,7.1,10.8,440,39.5,22.9,7.52,9.009,0,11.244,11.024
2017,6,2017.06.05,±¤»ê,517,6.3,13.7,3.736,0.119,10.1,1.14,1.289,0.017,12.9,7.1,9.1,344,44.3,23.4,7.58,9.13,0.0023,14.114,14.114
2017,6,2017.06.12,±¤»ê,524,7.9,12.6,4.005,0.103,9.5,1.257,1.822,0.003,12.6,6.9,7.9,334,94.6,23.3,7.54,9.047,0,8.192,9.158
2017,6,2017.06.19,±¤»ê,531,7.6,15.3,5.284,0.101,10.1,1.401,2.537,0.003,13.1,7.5,10.6,389,38.4,24.4,7.55,9.066,0,7.177,6.957
2017,6,2017.06.26,±¤»ê,538,5.8,14.6,5.176,0.099,11.3,2.312,1.679,0,16,6.7,4.4,338,43.9,25.4,7.64,9.259,24.1392,67.01,64.772
2017,7,2017.07.03,±¤»ê,545,4.5,11.8,5.885,0.26,9.4,3.637,1.306,0.182,8.4,6.7,3.2,380,27,26.2,7.54,9.047,14.4166,27.713,29.176
2017,7,2017.07.10,±¤»ê,552,4.8,9.5,2.986,0.18,7.9,0.986,1.158,0.087,10.6,6.7,4,270,31.4,27.2,7.52,9.009,7.5002,26.196,26.196
2017,7,2017.07.17,±¤»ê,559,2.8,7.9,2.476,0.142,6.2,0.393,1.768,0.071,16.6,5.7,6,146,2.4,26,7.62,9.216,15.0488,39.652,37.911
2017,7,2017.07.24,±¤»ê,566,3.4,7.2,4.039,0.123,5.9,1.826,1.669,0.064,5.6,6.4,5.3,300,21.1,29.2,7.55,9.066,0,13.109,13.109
2017,8,2017.08.07,±¤»ê,580,4,9.2,3.798,0.15,6.9,1.987,1.207,0.073,10.1,7.1,2.2,252,22.4,29.9,7.56,9.087,0,11.412,11.909
2017,8,2017.08.14,±¤»ê,587,3.6,8.7,5.378,0.142,6.6,3.847,1.053,0.104,8.3,6.5,2.5,347,11.2,27.9,7.67,9.324,30.3347,104.079,100.435
2017,8,2017.08.21,±¤»ê,594,4.7,9.6,4.71,0.277,7.9,2.908,0.976,0.149,28.9,6.4,2.2,250,9.6,26.5,7.57,9.109,70.1479,220.585,222.326
2017,8,2017.08.28,±¤»ê,601,3,7.6,3.089,0.153,5.7,0.707,1.787,0.089,7.3,6.4,6.1,197,12.3,25.7,7.64,9.259,0,47.56,48.306
2017,9,2017.09.04,±¤»ê,608,4.7,8.9,3.771,0.142,6.3,1.299,1.793,0.028,7.5,6.8,9.6,295,49.4,25,7.59,9.152,0.046,30.059,30.805
2017,9,2017.09.12,±¤»ê,616,2.8,7.3,2.076,0.173,5.5,0.149,1.164,0.106,20.3,6.7,6.1,166,5,22.2,7.51,8.99,0.0554,121.446,123.32
2017,9,2017.09.18,±¤»ê,622,3.7,7.9,3.343,0.068,6.2,1.102,1.493,0.013,9.1,7,8.4,278,70,23.4,7.58,9.13,0,18.548,19.045
2017,9,2017.09.25,±¤»ê,629,3.4,7.3,3.461,0.035,5.5,0.881,1.894,0.01,5.1,7.5,9.5,350,31,24,7.56,9.087,0,16.038,14.911
2017,10,2017.10.10,±¤»ê,644,5,7.9,4.132,0.12,6.1,1.82,1.54,0.048,8.4,6.8,5.4,283,61.9,21.4,7.61,9.195,0,27.297,27.048
2017,10,2017.10.16,±¤»ê,650,4.7,7.5,5.542,0.125,6.1,2.157,2.13,0.05,10.2,6.9,7.7,396,37.5,19.1,7.59,9.152,0.0001,18.64,18.64
2017,10,2017.10.23,±¤»ê,657,4.8,8.5,5.302,0.06,6.3,1.902,2.347,0.02,9.4,7.5,8.8,414,52.5,18.3,7.57,9.109,0,12.92,12.92
2017,10,2017.10.30,±¤»ê,664,5.2,9.1,5.688,0.06,8,1.823,2.955,0.007,12.4,7,11.8,459,43.6,16.9,7.56,9.087,0,10.838,11.087
2017,11,2017.11.06,±¤»ê,671,4.5,7.9,5.351,0.058,5.9,2.106,2.918,0.008,8.3,6.8,11.8,474,26.9,14.4,7.57,9.109,0,12.225,11.728
2017,11,2017.11.13,±¤»ê,678,4.6,8.4,6.183,0.074,6.6,2.249,3.223,0.004,12.2,8,9.9,441,24.2,13.9,7.21,8.589,0,15.815,21.587
2017,11,2017.11.20,±¤»ê,685,5.8,11.6,6.484,0.099,8.7,2.038,2.888,0.01,19.6,8.3,13.3,476,75.7,9.9,5.47,6.073,0,13.156,14.012
2017,11,2017.11.27,±¤»ê,692,6.1,11.4,7.341,0.116,8.4,2.523,3.693,0.01,14.7,7.2,14.1,527,65.4,10.2,5.5,6.118,0,14.591,15.275
2017,12,2017.12.04,±¤»ê,699,5.6,9,7.74,0.13,7.8,3.694,2.981,0.005,23.3,7.6,11.6,614,42.9,9.4,5.11,5.541,0.5434,11.3,11.129
2017,12,2017.12.11,±¤»ê,706,5.1,8.3,7.513,0.095,7.1,3.551,3.147,0.005,14.3,8.2,11.8,603,30.1,8,4.87,5.208,0.095,13.429,14.948
2017,12,2017.12.18,±¤»ê,713,4.6,8.3,8.02,0.103,6.9,4.175,2.756,0.009,10.1,8.4,13.1,576,19.1,5.8,4.68,4.959,0,13.5,15.931
2017,12,2017.12.26,±¤»ê,721,6.2,11.1,5.365,0.141,8.7,2.608,2.029,0.007,21.5,7,12.4,443,70.8,6.4,4.53,4.762,0.0527,16.46,16.004
2018,1,2018.01.02,±¤»ê,728,5.8,10.7,8.828,0.099,7.2,5.464,2.281,0.008,10.6,7.2,13.8,541,24.9,6.9,6.03,6.902,0,9.274,7.047
2018,1,2018.01.08,±¤»ê,734,5.9,10.8,9.144,0.075,7.5,5.513,2.465,0.017,8.5,7,13,534,42.1,6.3,5.99,6.842,1.3774,10.924,10.068
2018,1,2018.01.15,±¤»ê,741,6.9,12,9.233,0.166,9.6,5.473,2.529,0.011,14,7,13.3,730,80.8,5.3,6.02,6.887,5.1645,14.519,14.004
2018,1,2018.01.22,±¤»ê,748,7,12.5,8.063,0.159,9.8,5.009,2.138,0.015,17.6,7.5,13.2,499,67.2,7,5.99,6.842,1.1512,13.757,14.272
2018,1,2018.01.29,±¤»ê,755,6.4,12.1,9.149,0.126,8.7,5.303,2.185,0.013,14.1,7.5,14.4,501,67.3,3.6,5.98,6.828,0.1654,10.973,11.831
2018,2,2018.02.05,±¤»ê,762,4.2,8.8,10.59,0.123,7.5,8.19,1.889,0,8.2,7.5,13.3,516,51.1,4.5,6.02,6.887,2.1576,9.805,9.461
2018,2,2018.02.13,±¤»ê,770,6.2,11.6,11.062,0.155,8.4,8.269,1.709,0.021,14.8,7.6,13.6,544,64.5,6.1,6.04,6.916,0.374,10.699,10.355
2018,2,2018.02.19,±¤»ê,776,7.9,14,10.64,0.255,10.7,8.241,1.438,0.037,21.4,7.5,13.1,571,100.2,6.9,6.03,6.902,0,9.499,8.812
2018,2,2018.02.26,±¤»ê,783,6.1,12.8,13.96,0.176,9,10.926,1.872,0.034,12.1,7.5,13.1,561,64.3,8.5,6.02,6.887,0,9.981,10.153
2018,3,2018.03.05,±¤»ê,790,6.5,12.3,8.43,0.194,9.3,6.419,1.205,0.016,16,7.2,5.6,491,72.6,10.1,6.22,7.184,7.5339,22.718,21
2018,3,2018.03.12,±¤»ê,797,6.2,11.6,6.451,0.194,8.8,3.956,1.571,0.021,18.1,7.6,11.1,445,67.8,10.6,6.05,6.931,0,17.678,17.678
2018,3,2018.03.19,±¤»ê,804,6.1,11.6,5.312,0.289,9,2.414,1.598,0.071,44.9,7.2,6.8,228,6.8,12.3,6.07,6.961,16.8278,91.383,91.383
2018,3,2018.03.26,±¤»ê,811,5.3,8.7,7.931,0.118,7.5,5.05,1.744,0.027,22,7.3,7.7,380,20.4,13.8,4.32,4.486,0,19.935,22.974
2018,4,2018.04.02,±¤»ê,818,6.3,11.6,8.101,0.229,8.7,5.963,1.121,0.013,41.1,7.5,6.7,434,54.5,17.6,3.49,3.577,0,16.167,16.056
2018,4,2018.04.09,±¤»ê,825,5.9,12.3,6.838,0.247,9.1,4.959,1.331,0.062,86.2,7.3,8.6,346,24,13.8,2.85,3.044,0,65.214,65.362
2018,4,2018.04.16,±¤»ê,832,6.5,11.6,6.477,0.225,8.7,2.634,1.462,0.064,32.3,7.2,9,351,54.2,14.8,2.89,3.061,0,60.522,60.67
2018,4,2018.04.30,±¤»ê,846,4.2,8,5.979,0.11,6.4,1.771,2.754,0.034,31.2,7.4,8.4,326,32.9,20,2.9,3.066,0,31.735,31.784
2018,5,2018.05.08,±¤»ê,854,8.1,14,3.573,0.239,9.4,1.406,0.198,0.043,74.5,7.6,8.1,249,76.3,18.9,2.94,3.083,0,43.445,45.292
2018,5,2018.05.14,±¤»ê,860,5.7,9.4,3.775,0.234,8.1,1.732,1.25,0.079,22.7,7.5,7.8,277,50.5,21.3,2.93,3.078,0,37.276,37.842
2018,5,2018.05.21,±¤»ê,867,4.3,8.6,5.112,0.148,7,2.32,1.895,0.026,26.4,7.5,9.3,348,35.5,21,2.88,3.057,0,28.889,28.889
2018,5,2018.05.28,±¤»ê,874,6.7,10.8,6.241,0.11,7.9,3.62,1.477,0.042,22.6,7.5,8.1,349,28.6,24.6,2.9,3.066,0.0023,29.875,29.875
2018,6,2018.06.04,±¤»ê,881,7.3,11.5,5.863,0.108,8.3,2.839,1.724,0.025,25.3,7.5,7.6,361,43.2,25.1,2.95,3.087,0,35.127,35.127
2018,6,2018.06.11,±¤»ê,888,5,10.6,6.001,0.11,7.8,3.52,1.284,0.026,20.3,7.4,6.1,368,21.3,24.8,3,3.108,2.9786,38.066,37.869
2018,6,2018.06.18,±¤»ê,895,7.8,12,5.649,0.142,10.2,3.005,1.377,0.033,28.7,7.8,9.4,382,99.6,26.5,2.93,3.078,0,32.499,32.548
2018,6,2018.06.25,±¤»ê,902,6.1,12.3,6.321,0.151,9.1,3.95,1.24,0.021,23.1,7.8,7.8,415,35.8,27.4,2.96,3.091,0,29.887,29.69
2018,7,2018.07.02,±¤»ê,909,6,14.8,3.14,0.377,9.9,0.586,1.808,0.169,150.2,7.5,5.8,132,5.2,23.7,4,4.066,36.2559,274.529,273.31
2018,7,2018.07.09,±¤»ê,916,5,8.8,6.418,0.229,7.1,3.707,1.972,0.191,15.7,7.5,4.6,306,13.3,24.9,2.98,3.1,0.0021,39.969,40.067
2018,7,2018.07.16,±¤»ê,923,6.1,9.9,5.317,0.115,7.6,3.237,1.447,0.06,9,7.9,9,362,27.4,31.2,2.7,2.981,0,11.476,11.476
2018,7,2018.07.23,±¤»ê,930,8.9,13.3,6.737,0.148,9.3,3.942,2.346,0.022,16.5,8.4,13.2,441,156.1,31.2,2.64,2.955,0,8.047,8.047
2018,7,2018.07.30,±¤»ê,937,8.8,15.9,6.113,0.202,10.9,2.794,1.452,0.039,26.6,8.7,13.3,375,150.6,32.4,2.67,2.968,1.8797,9.706,9.706
2018,8,2018.08.06,±¤»ê,943,9,15.8,7.394,0.224,10.2,3.814,1.858,0.026,20.9,8.6,12.5,448,174.7,32.5,2.62,2.947,0.0443,7.198,7.247
2018,8,2018.08.13,±¤»ê,950,7.4,12.8,4.901,0.345,9.9,4.074,0.568,0.224,11.7,7.9,9.5,351,54.6,31.5,2.69,2.976,0,11.914,12.012
2018,8,2018.08.20,±¤»ê,957,7.1,13.5,5.998,0.124,8.8,2.894,1.662,0.026,12.2,8.4,10.2,455,85.3,29.8,2.63,2.951,0,7.297,7.248
2018,8,2018.08.28,±¤»ê,965,3.3,9.6,1.878,0.215,6.6,0.371,1.388,0.082,48.1,6.9,6.7,116,5.6,24.3,3.18,3.281,1.5554,187.211,213.889
2018,9,2018.09.03,±¤»ê,971,3,6,3.338,0.24,5.5,1.545,1.277,0.136,10.3,7.1,5.1,228,2.6,25.8,2.84,3.04,35.1418,28.554,28.898
2018,9,2018.09.10,±¤»ê,978,3.6,7.7,5.606,0.194,6,3.313,1.449,0.138,6.8,7.1,5.2,307,15.7,24.8,2.69,2.976,0,13.881,14.57
2018,9,2018.09.17,±¤»ê,985,6,9.9,4.811,0.214,7.7,3.057,0.958,0.136,13.6,7.4,7.2,317,54.3,25.1,2.74,2.998,0.1892,15.714,15.812
2018,9,2018.09.27,±¤»ê,995,6.4,11.3,5.748,0.11,7.4,2.15,1.91,0.022,10.4,7.6,10,324,41.4,22.3,2.69,2.976,0,11.252,11.301
2018,10,2018.10.01,±¤»ê,999,7,9.8,4.237,0.092,8.5,2.362,1.816,0.026,9.7,7.2,10.2,356,72.8,21.2,2.66,2.964,1.1565,9.977,10.075
2018,10,2018.10.08,±¤»ê,1006,4.2,8.8,3.402,0.323,7.5,1.72,1.434,0.255,14.9,7.1,6.3,194,6.2,19.7,2.78,3.015,0,35.625,36.461
2018,10,2018.10.15,±¤»ê,1013,3.8,7.1,5.342,0.096,6,2.109,2.619,0.034,8.4,7.4,8.8,331,27.3,18.1,2.71,2.985,0,12.325,12.325
2018,10,2018.10.22,±¤»ê,1020,4.1,7.1,5.273,0.138,6.9,2.268,2.621,0.015,7.8,7.5,9.5,382,26.3,17.1,2.7,2.981,0,5.731,5.583
2018,10,2018.10.29,±¤»ê,1027,5.2,6.8,6.458,0.141,8.3,3.527,2.11,0.018,6.8,7.4,8.5,418,36.2,16,2.69,2.976,1.1095,7.759,7.661
2018,11,2018.11.05,±¤»ê,1034,4.2,7.6,5.767,0.155,7.6,2.155,1.9,0.019,5.4,7.8,9.7,431,31.8,14.6,2.66,2.964,0,6.875,6.875
2018,11,2018.11.12,±¤»ê,1041,5.9,10.9,5.008,0.394,9.5,2.689,1.495,0.173,13.4,7.5,6,380,36.9,15.1,2.71,2.985,0.6209,11.748,11.748
2018,11,2018.11.19,±¤»ê,1048,5.1,10,5.873,0.154,8.4,2.429,2.651,0.046,11.3,7.9,11.6,423,73.2,12.8,6.03,6.902,0,13.11,11.91
2018,11,2018.11.26,±¤»ê,1055,5.3,10.2,6.104,0.134,8.9,2.68,2.624,0.027,12.1,7.8,11.5,424,85.5,11.1,6.04,6.916,0,12.677,12.333
2018,12,2018.12.03,±¤»ê,1062,4.1,8.7,6.814,0.115,8.2,2.495,3.526,0.026,10.9,8,12.1,475,77.5,12,6.01,6.872,7.8286,17.966,17.452
